指標名,幼稚園～高校,,,公立,https://www.kyoiku.metro.tokyo.lg.jp/about/statistics_and_research,,,,
出典,公立：東京都教育委員会、私立：東京都生活文化局,,,私立,https://www.seikatubunka.metro.tokyo.lg.jp/shigaku/,,,,
年次,2025/2取得,,,国立（高等学校のみ）,https://www.minkou.jp/hischool/search/pref=tokyo/c=2/,,,,
URL,右記参照,,,,,,,,
備考,（2019年度：498件、2020年度：733件、2021年度：716件、2022年度：711件、2023年度：716件、2024年度：723件）,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,国公私,カテゴリ,データ年次
新宿区,西早稲田３丁目,-,東京都新宿区西早稲田3-10-12,35.710997,139.715033,戸塚第一,公立,幼稚園,2024年5月1日
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-25-21,35.712602,139.705910,戸塚第二,公立,幼稚園,2024年5月1日
新宿区,高田馬場３丁目,-,東京都新宿区高田馬場3-18-21,35.714563,139.697344,戸塚第三,公立,幼稚園,2024年5月1日
新宿区,上落合２丁目,-,東京都新宿区上落合2-10-23,35.712926,139.689038,落合第二,公立,幼稚園,2024年5月1日
新宿区,西落合１丁目,-,東京都新宿区西落合1-12-20,35.720904,139.682438,落合第三,公立,幼稚園,2024年5月1日
新宿区,下落合２丁目,-,東京都新宿区下落合2-9-34,35.718310,139.700238,落合第四,公立,幼稚園,2024年5月1日
新宿区,西落合４丁目,-,東京都新宿区西落合4-11-21,35.688205,139.717906,落合第六,公立,幼稚園,2024年5月1日
新宿区,北新宿３丁目,-,東京都新宿区北新宿3-17-1,35.701885,139.691537,淀橋第四,公立,幼稚園,2024年5月1日
新宿区,百人町４丁目,-,東京都新宿区百人町4-7-1,35.708888,139.695721,西戸山,公立,幼稚園,2024年5月1日
江東区,木場１丁目,-,東京都江東区木場1-2-2,35.667464,139.802643,平久,公立,幼稚園,2024年5月1日
江東区,白河４丁目,-,東京都江東区白河4-9-17,35.682967,139.807812,元加賀,公立,幼稚園,2024年5月1日
江東区,豊洲４丁目,-,東京都江東区豊洲4-4-4,35.653819,139.797953,豊洲,公立,幼稚園,2024年5月1日
江東区,辰巳１丁目,-,東京都江東区辰巳1-11-1,35.646568,139.810655,辰巳,公立,幼稚園,2024年5月1日
江東区,亀戸２丁目,-,東京都江東区亀戸2-5-7,35.698800,139.821931,第一亀戸,公立,幼稚園,2024年5月1日
江東区,亀戸６丁目,-,東京都江東区亀戸6-36-1,35.694782,139.830331,第二亀戸,公立,幼稚園,2024年5月1日
江東区,大島７丁目,-,東京都江東区大島7-39-2-101,35.691278,139.843753,第三大島,公立,幼稚園,2024年5月1日
江東区,東砂７丁目,-,東京都江東区東砂7-5-27,35.671449,139.838750,第五砂町,公立,幼稚園,2024年5月1日
江東区,東砂４丁目,-,東京都江東区東砂4-20-1,35.678426,139.839349,東砂,公立,幼稚園,2024年5月1日
江東区,東陽２丁目,-,東京都江東区東陽2-1-14,35.667443,139.813728,南陽,公立,幼稚園,2024年5月1日
江東区,大島５丁目,-,東京都江東区大島5-38-1,35.687217,139.835988,大島,公立,幼稚園,2024年5月1日
江東区,北砂５丁目,-,東京都江東区北砂5-20-7-102,35.683349,139.831765,なでしこ,公立,幼稚園,2024年5月1日
江東区,枝川３丁目,-,東京都江東区枝川3-4-1-101,35.659458,139.808617,枝川,公立,幼稚園,2024年5月1日
江東区,東雲２丁目,-,東京都江東区東雲2-4-1-103,35.642057,139.798064,ひばり,公立,幼稚園,2024年5月1日
江東区,扇橋３丁目,-,東京都江東区扇橋3-20-13-101,35.684531,139.819210,つばめ,公立,幼稚園,2024年5月1日
江東区,南砂２丁目,-,東京都江東区南砂2-3-3-101,35.673977,139.821555,みどり,公立,幼稚園,2024年5月1日
品川区,南品川２丁目,-,東京都品川区南品川2-8-21,35.612812,139.742620,城南,公立,幼稚園,2024年5月1日
品川区,荏原４丁目,-,東京都品川区荏原4-5-22,35.615070,139.707675,平塚,公立,幼稚園,2024年5月1日
品川区,南大井４丁目,-,東京都品川区南大井4-3-14,35.597693,139.736802,浜川,公立,幼稚園,2024年5月1日
品川区,北品川５丁目,-,東京都品川区北品川5-3-1,35.622491,139.731744,御殿山,公立,幼稚園,2024年5月1日
品川区,西大井５丁目,-,東京都品川区西大井5-22-8,35.598241,139.716689,伊藤,公立,幼稚園,2024年5月1日
品川区,西五反田６丁目,-,東京都品川区西五反田6-5-6,35.622359,139.716741,第一日野,公立,幼稚園,2024年5月1日
品川区,東品川１丁目,-,東京都品川区東品川1-8-30,35.620879,139.743696,台場,公立,幼稚園,2024年5月1日
品川区,二葉１丁目,-,東京都品川区二葉1-3-40,35.607272,139.725581,二葉,公立,幼稚園,2024年5月1日
品川区,八潮５丁目,-,東京都品川区八潮5-6-32,35.596475,139.749870,八潮わかば,公立,幼稚園,2024年5月1日
渋谷区,東３丁目,-,東京都渋谷区東3-3-3,35.651633,139.712654,広尾,公立,幼稚園,2024年5月1日
渋谷区,本町５丁目,-,東京都渋谷区本町5-19-4,35.684280,139.674897,本町,公立,幼稚園,2024年5月1日
渋谷区,広尾１丁目,-,東京都渋谷区広尾1-9-17,35.649495,139.716898,臨川,公立,幼稚園,2024年5月1日
渋谷区,千駄ケ谷２丁目,-,東京都渋谷区千駄ケ谷2-4-1,35.675044,139.707176,千駄谷,公立,幼稚園,2024年5月1日
渋谷区,代々木３丁目,-,東京都渋谷区代々木3-32-13,35.683127,139.692773,山谷,公立,幼稚園,2024年5月1日
千代田区,麹町２丁目,-,東京都千代田区麹町2-8,35.684664,139.740614,麹町,公立,小学校,2024年5月1日
千代田区,三番町,-,東京都千代田区三番町16,35.690522,139.740713,九段,公立,小学校,2024年5月1日
千代田区,六番町,-,東京都千代田区六番町8,35.687673,139.733549,番町,公立,小学校,2024年5月1日
千代田区,富士見１丁目,-,東京都千代田区富士見1-10-3,35.697007,139.746911,富士見,公立,小学校,2024年5月1日
千代田区,神田猿楽町１丁目,-,東京都千代田区神田猿楽町1-1-1,35.697373,139.760308,お茶の水,公立,小学校,2024年5月1日
千代田区,神田司町２丁目,-,東京都千代田区神田司町2-16,35.693169,139.768274,千代田,公立,小学校,2024年5月1日
千代田区,外神田３丁目,-,東京都千代田区外神田3-4-7,35.701223,139.769923,昌平,公立,小学校,2024年5月1日
千代田区,神田和泉町,-,東京都千代田区神田和泉町1,35.699269,139.775976,和泉,公立,小学校,2024年5月1日
中央区,八重洲２丁目,日八京,東京都中央区八重洲2-2-1,35.679408,139.768931,城東,公立,小学校,2024年5月1日
中央区,銀座５丁目,-,東京都中央区銀座5-1-13,35.672356,139.761507,泰明,公立,小学校,2024年5月1日
中央区,明石町,-,東京都中央区明石町1-15,35.668719,139.776448,明石,公立,小学校,2024年5月1日
中央区,新川２丁目,-,東京都中央区新川2-13-4,35.676117,139.781743,明正,公立,小学校,2024年5月1日
中央区,日本橋本石町４丁目,日八京,東京都中央区日本橋本石町4-4-26,35.688215,139.770168,常盤,公立,小学校,2024年5月1日
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町2-10-23,35.683193,139.788005,有馬,公立,小学校,2024年5月1日
中央区,日本橋久松町,-,東京都中央区日本橋久松町7-2,35.688932,139.784539,久松,公立,小学校,2024年5月1日
中央区,日本橋兜町,-,東京都中央区日本橋兜町15-18,35.679590,139.777023,阪本,公立,小学校,2024年5月1日
中央区,佃２丁目,-,東京都中央区佃2-3-1,35.668325,139.784867,佃島,公立,小学校,2024年5月1日
中央区,月島４丁目,-,東京都中央区月島4-15-1,35.660359,139.779736,月島第一,公立,小学校,2024年5月1日
中央区,勝どき１丁目,-,東京都中央区勝どき1-12-2,35.660246,139.776069,月島第二,公立,小学校,2024年5月1日
中央区,晴海１丁目,-,東京都中央区晴海1-4-1,35.658365,139.785688,月島第三,公立,小学校,2024年5月1日
中央区,豊海町,-,東京都中央区豊海町3-1,35.653166,139.771313,豊海,公立,小学校,2024年5月1日
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-1-17,35.684267,139.781365,日本橋,公立,小学校,2024年5月1日
中央区,築地２丁目,-,東京都中央区築地2-13-1,35.667957,139.771318,京橋築地,公立,小学校,2024年5月1日
中央区,湊１丁目,-,東京都中央区湊1-4-1,35.672160,139.778733,中央,公立,小学校,2024年5月1日
中央区,晴海５丁目,-,東京都中央区晴海5-3-5,35.651916,139.774968,晴海西,公立,小学校,2024年5月1日
港区,芝２丁目,-,東京都港区芝2-21-3,35.652377,139.746682,芝,公立,小学校,2024年5月1日
港区,三田２丁目,-,東京都港区三田2-6-2,35.651850,139.742472,赤羽,公立,小学校,2024年5月1日
港区,芝浦４丁目,-,東京都港区芝浦4-8-18,35.638759,139.746362,芝浦,公立,小学校,2024年5月1日
港区,高輪２丁目,-,東京都港区高輪2-8-24,35.636263,139.734412,高輪台,公立,小学校,2024年5月1日
港区,白金台１丁目,-,東京都港区白金台1-4-26,35.636821,139.728553,白金,公立,小学校,2024年5月1日
港区,港南４丁目,-,東京都港区港南4-3-28,35.629194,139.749552,港南,公立,小学校,2024年5月1日
港区,麻布台１丁目,虎ノ門,東京都港区麻布台1-5-15,35.661815,139.738480,麻布,公立,小学校,2024年5月1日
港区,元麻布３丁目,-,東京都港区元麻布3-8-15,35.657156,139.730446,南山,公立,小学校,2024年5月1日
港区,南麻布３丁目,-,東京都港区南麻布3-9-33,35.649755,139.730037,本村,公立,小学校,2024年5月1日
港区,西麻布３丁目,-,東京都港区西麻布3-11-16,35.656488,139.724921,笄,公立,小学校,2024年5月1日
港区,南麻布１丁目,-,東京都港区南麻布1-8-11,35.650595,139.735612,東町,公立,小学校,2024年5月1日
港区,南青山２丁目,-,東京都港区南青山2-21-2,35.669876,139.719101,青山,公立,小学校,2024年5月1日
港区,南青山４丁目,-,東京都港区南青山4-21-15,35.663504,139.716189,青南,公立,小学校,2024年5月1日
港区,芝公園３丁目,虎ノ門,東京都港区芝公園3-2-4,35.661291,139.749743,御成門,公立,小学校,2024年5月1日
港区,赤坂８丁目,赤坂,東京都港区赤坂8-13-29,35.669137,139.730875,赤坂,公立,小学校,2024年5月1日
港区,台場１丁目,-,東京都港区台場1-1-5,35.633868,139.777172,港陽,公立,小学校,2024年5月1日
港区,白金３丁目,-,東京都港区白金3-18-2,35.644365,139.729279,御田,公立,小学校,2024年5月1日
港区,白金４丁目,-,東京都港区白金4-1-12,35.643618,139.727772,白金の丘,公立,小学校,2024年5月1日
港区,芝浦１丁目,-,東京都港区芝浦1-16-31,35.646409,139.750965,芝浜,公立,小学校,2024年5月1日
新宿区,津久戸町,-,東京都新宿区津久戸町2-2,35.702681,139.741978,津久戸,公立,小学校,2024年5月1日
新宿区,水道町,-,東京都新宿区水道町1-28,35.706685,139.736632,江戸川,公立,小学校,2024年5月1日
新宿区,市谷山伏町,-,東京都新宿区市谷山伏町1-3,35.699624,139.728867,市谷,公立,小学校,2024年5月1日
新宿区,北町,-,東京都新宿区北町26,35.699694,139.734036,愛日,公立,小学校,2024年5月1日
新宿区,早稲田南町,-,東京都新宿区早稲田南町25,35.703890,139.723366,早稲田,公立,小学校,2024年5月1日
新宿区,早稲田鶴巻町,-,東京都新宿区早稲田鶴巻町140,35.708031,139.724939,鶴巻,公立,小学校,2024年5月1日
新宿区,市谷仲之町,-,東京都新宿区市谷仲之町4-33,35.695778,139.723647,牛込仲之,公立,小学校,2024年5月1日
新宿区,富久町,-,東京都新宿区富久町7-24,35.692387,139.716313,富久,公立,小学校,2024年5月1日
新宿区,若松町,-,東京都新宿区若松町13-1,35.699309,139.715605,余丁町,公立,小学校,2024年5月1日
新宿区,戸山２丁目,-,東京都新宿区戸山2-34-2,35.702393,139.711282,東戸山,公立,小学校,2024年5月1日
新宿区,大京町,-,東京都新宿区大京町30,35.681908,139.716041,四谷第六,公立,小学校,2024年5月1日
新宿区,大久保１丁目,-,東京都新宿区大久保1-1-21,35.703702,139.717307,大久保,公立,小学校,2024年5月1日
新宿区,新宿６丁目,-,東京都新宿区新宿6-14-2,35.690496,139.700092,天神,公立,小学校,2024年5月1日
新宿区,百人町２丁目,-,東京都新宿区百人町2-1-38,35.703953,139.702015,戸山,公立,小学校,2024年5月1日
新宿区,西早稲田３丁目,-,東京都新宿区西早稲田3-10-12,35.710997,139.715033,戸塚第一,公立,小学校,2024年5月1日
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-25-21,35.712602,139.705910,戸塚第二,公立,小学校,2024年5月1日
新宿区,高田馬場３丁目,-,東京都新宿区高田馬場3-18-21,35.714563,139.697344,戸塚第三,公立,小学校,2024年5月1日
新宿区,中落合２丁目,-,東京都新宿区中落合2-13-27,35.719464,139.691522,落合第一,公立,小学校,2024年5月1日
