,,,,,,,
指標名,コンベンション施設,,,,,,
出典,公益財団法人 東京観光財団（TCVB）,,,,,,
年次,2025/2/20取得,,,,,,
URL,https://businesseventstokyo.org/ja/venues/convention_venues/,,,,,,
備考,部屋数、収容人数などは各URLを参照。（2019年度：179件、2020年度：203件、2021年度：199件、2022年度：202件、2023年度：198件、2024年度：167件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
港区,芝５丁目,-,港区芝5-26-20,35.64751,139.7459,建築会館ホール,http://www.aij.or.jp/kentikukaikan.html
港区,海岸１丁目,-,港区海岸1-11-1,35.65524,139.76341,ニューピアホール,http://www.newpier-hall.jp/
港区,芝公園４丁目,-,港区芝公園4-8-1,35.65598,139.74625,ザ・プリンス パークタワー東京,http://www.princehotels.co.jp/parktower
港区,芝公園３丁目,虎ノ門,港区芝公園3-3-1,35.65889,139.74879,東京プリンスホテル,http://www.princehotels.co.jp/tokyo
港区,海岸１丁目,-,港区海岸1-16-2,35.6529,139.76247,ホテル インターコンチネンタル 東京ベイ,http://www.interconti-tokyo.com
港区,芝公園１丁目,-,港区芝公園1-5-10,35.65853,139.75154,芝パークホテル,http://www.shibaparkhotel.com
港区,海岸１丁目,-,港区海岸1-11-2,35.65524,139.76341,ベイサイドホテルアジュール竹芝,http://www.hotel-azur.com
港区,北青山２丁目,-,港区北青山2-8-44,35.67275,139.71803,TEPIA(TEPIA館),http://www.tepia.jp
港区,元赤坂２丁目,-,港区元赤坂2-2-23,35.67828,139.72163,明治記念館,http://www.meijikinenkan.gr.jp/
港区,赤坂１丁目,虎ノ門,港区赤坂1-8-1,35.66959,139.74266,赤坂インターシティコンファレンス,https://aicc.tokyo/
港区,赤坂２丁目,赤坂,港区赤坂2-14-27,35.67206,139.73711,TKP赤坂駅カンファレンスセンター,https://www.kashikaigishitsu.net/facilitys/cc-akasaka/
港区,港南１丁目,-,港区港南1-6-41,35.63041,139.74547,フクラシア　品川クリスタルスクエア,https://www.fukuracia.jp/shinagawa/
港区,浜松町２丁目,-,港区浜松町2-3-1,35.65564,139.75557,浜松町コンベンションホール,http://www.hmc.conventionhall.jp/
港区,港南２丁目,-,港区港南2-16-4,35.62649,139.74068,THE GRAND HALL,http://tg-hall.com/
港区,海岸１丁目,-,港区海岸1-7-1,35.65504,139.76086,東京都立産業貿易センター 浜松町館（東京ポートシティ竹芝オフィスタワー内）,https://www.sanbo.metro.tokyo.lg.jp/hamamatsucho/
港区,海岸１丁目,-,港区海岸1-7-1,35.65504,139.76086,東京ポートシティ竹芝ポートホール/ポートスタジオ,https://www.portcity-hall.tokyo/
港区,六本木６丁目,六本木,港区六本木6-4-1,35.66142,139.72969,ハリウッド大学ホール,https://hall.hollywood.ac.jp/
港区,虎ノ門２丁目,虎ノ門,港区虎ノ門2-6-2,35.66707,139.74733,TOKYO NODE,https://www.tokyonode.jp/
港区,高輪２丁目,-,港区高輪2-21-2,35.63556,139.73959,TAKANAWA GATEWAY Convention Center,https://www.takanawagateway-cc.com/
渋谷区,渋谷２丁目,-,渋谷区渋谷2-21-1,35.65894,139.70341,ヒカリエホール・カンファレンス,https://space.hikarie.jp/conference/
渋谷区,神宮前５丁目,-,渋谷区神宮前5-53-70,35.66289,139.70657,国連大学本部ビル,https://jp.unu.edu/
渋谷区,宇田川町,-,渋谷区宇田川町1-1,35.66415,139.69789,LINE CUBE SHIBUYA(渋谷公会堂),https://linecubeshibuya.com
渋谷区,千駄ケ谷１丁目,-,渋谷区千駄ヶ谷1-17-1,35.67936,139.71217,東京体育館,http://www.tef.or.jp/tmg
渋谷区,神南２丁目,-,渋谷区神南2-1-1,35.66766,139.70209,国立代々木競技場 第一体育館,https://www.jpnsport.go.jp/yoyogi/
渋谷区,神南２丁目,-,渋谷区神南2-1-1,35.66766,139.70209,国立代々木競技場 第二体育館,https://www.jpnsport.go.jp/yoyogi/
渋谷区,桜丘町,-,渋谷区桜丘町26-1,35.6563,139.69917,セルリアンタワー東急ホテル,http://www.ceruleantower-hotel.com
渋谷区,道玄坂１丁目,-,渋谷区道玄坂1-12-2,35.65793,139.698,渋谷エクセルホテル東急,https://www.tokyuhotels.co.jp/shibuya-e/index.html
渋谷区,代々木３丁目,-,渋谷区代々木3-25-3,35.68459,139.6925,あいおいニッセイ同和損保新宿ビル 新宿ホール・会議室,https://www.aioinissaydowa-shinjuku-kashiholl.com/
渋谷区,代々木２丁目,-,渋谷区代々木2-12-10,35.68684,139.69753,こくみん共済 coop ホール/スペース・ゼロ,https://www.spacezero.co.jp/
渋谷区,神宮前５丁目,-,渋谷区神宮前5-31,35.66444,139.70398,TRUNK(HOTEL),https://catstreet.trunk-hotel.com/
新宿区,市谷本村町,-,新宿区市谷本村町4-1,35.6916,139.73221,ホテル グランドヒル市ヶ谷,http://www.ghi.gr.jp
新宿区,市谷砂土原町１丁目,-,新宿区市谷砂土原町1-1,35.69409,139.73599,ルーテル市ケ谷センター,http://www.l-i-c.com
新宿区,霞ケ丘町,-,新宿区霞ヶ丘町3-1,35.67506,139.717,明治神宮野球場,http://www.jingu-stadium.com
新宿区,西新宿２丁目,-,新宿区西新宿2-4-1,35.68815,139.69333,新宿NSビル,http://www.shinjuku-ns.co.jp
新宿区,西新宿８丁目,-,新宿区西新宿8-17-3,35.69588,139.69044,ベルサール新宿グランド・新宿グランドコンファレンスセンター,https://www.bellesalle.co.jp/shisetsu/shinjuku/bs_shinjukugrand/
新宿区,新宿６丁目,-,新宿区新宿6-14-1,35.69531,139.70984,新宿文化センター,http://www.regasu-shinjuku.or.jp/?p=355
新宿区,西新宿１丁目,-,新宿区西新宿1-6-1,35.69238,139.69733,新宿エルタワーサンスカイルーム,https://www.sunskyroom.jp/shinjuku/
