,,,,,,,,,,,
,指標名,インターナショナルスクール,,,,,,,,,
,出典,plazahomes,,,,,,,,,
,年次,2024/12/12取得,,,,,,,,,
,URL,https://www.navitime.co.jp/,,,,,,,,,
,備考,(2022年度：58件、2023年度：68.0件、2024年度：69件),,,,,,,,,
,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,施設名,英語名,対象,共学/別学,URL
,港区,元麻布２丁目,-,東京都港区元麻布2-11-8,35.6554352,139.7307965,ABCインターナショナルスクール,ABC International School,共学1歳 - 5歳,共学,http://www.abcinternationalschool.com/
,港区,南麻布４丁目,-,東京都港区南麻布4丁目11-30 南麻布渋谷ビル4F,35.6470234,139.7271634,Capital Tokyo International School (CTIS),Capital Tokyo International School (CTIS),共学小学部・中学部 (6歳〜15歳),共学,https://www.capitaltokyo.com/
,港区,麻布狸穴町６２丁目,-,東京都港区麻布狸穴町62-3,35.6581741,139.7395442,Dandelion Montessori School,Dandelion Montessori School,共学2.9 - 6歳,共学,https://www.dandelion.tokyo/
,港区,南青山６丁目,-,東京都港区南青山6-13-17,35.6596438,139.7146635,Four Leaves International School Tokyo,Four Leaves International School Tokyo,共学1歳〜6歳,共学,https://flist.co.jp/
,港区,南麻布３丁目,-,東京都港区南麻布3-11-4,35.648891,139.7291894,Ivy Prep インターナショナルスクール,Ivy Prep International School,共学6ヶ月から6歳,共学,https://www.giftedschooltokyo.com/
,港区,元麻布２丁目,-,東京都港区元麻布2-12-14,35.6547498,139.7307778,J's インターナショナルスクール,J's International School,共学15ヶ月 - 6歳,共学,https://www.js-international-school.com/
,港区,白金台５丁目,-,東京都港区白金台5-13-39,35.6388066,139.7222233,Kスペース インターナショナル プリスクール アンド キンダーガーテン,Kspace International Preschool and Kindergarten,共学14ヶ月 - 6歳,共学,https://www.kspacetokyo.org/main/
,港区,六本木２丁目,六本木,東京都港区六本木2-1-1,35.6677696,139.7386989,Mitsui Gardens International Preschool,Mitsui Gardens International Preschool,共学15ヶ月 - 5歳,共学,https://mitsuigardensinternationalpreschool.com/
,港区,芝公園４丁目,-,東京都港区芝公園4丁目2-8 東京タワー 1F,35.6585696,139.745484,Red Bambini Montessori International School,Red Bambini Montessori International School,共学12ヶ月 - 6歳,共学,https://montessori-cbms.com/
,港区,芝公園２丁目,-,東京都港区芝公園2-8-2,35.6545859,139.7511858,Star Kids International Preschool,Star Kids International Preschool,共学1歳 - 6歳 (English Club: 7 -12 歳),共学,http://www.starkids-japan.com/
,港区,東麻布１丁目,-,東京都港区東麻布1-26-2 セラフテン麻布3F,35.6554849,139.7447934,Tokyo International Kindercare （麻布）,Tokyo International Kindercare (Azabu),共学18ケ月 - 6歳,共学,https://tokyokinder.com/
,港区,三田５丁目,-,東京都港区三田5-4-1,35.6478824,139.7387098,アイインターナショナルスクール,ai International School,共学18ヶ月 - 6 歳,共学,http://www.aiinternationalschool.com/
,港区,白金台５丁目,-,東京都港区白金台5-13-28-102,35.6376677,139.7224878,アイラ・インターナショナルスクール,Ayla International School,共学1 - 6 歳,共学,https://www.aylais.com/
,港区,六本木６丁目,六本木,東京都港区六本木6-16-5,35.658113,139.7297658,アメリカンスクールインジャパン　アーリーラーニングセンター,"American School in Japan, Early Learning Center",共学3歳 - 6歳,共学,https://www.asij.ac.jp/learning-at-asij/early-learning-center
,港区,赤坂９丁目,六本木,東京都港区赤坂9-2-16,35.6677611,139.7323655,イートンハウス インターナショナルプリスクール東京,Eton House International Pre-school Tokyo,共学15ヶ月 - 6歳,共学,https://etonhouse.co.jp/
