指標名,保育園,,,認可保育所,https://www.fukushi.metro.tokyo.lg.jp/kiban/fukushi_shisetsu/shs_list/index.html,,,,
出典,東京都福祉保健局,,,認証保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninsyo/ichiran.html,,,,
年次,2025/2/14取得,,,こども園,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/n_kodomoen/shisetsuichiran.html,,,,
URL,右記参照,,,認可外保育施設,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninkagai/index.html,,,,
備考,（2021年度：1073件、2022年度：1080件、2023年度：792件、2024年度：1044件）,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,種別,定員,データ時点
中央区,日本橋浜町２丁目,-,中央区日本橋浜町２-４４-４　第１７村上ビル１・２Ｆ,35.6876734,139.7881934,キッズハウス浜町公園,認可保育所,48,2024年10月1日
中央区,日本橋浜町３丁目,-,中央区日本橋浜町３-３７-１,35.685474,139.7912845,浜町保育園,認可保育所,125,2024年10月1日
中央区,日本橋浜町３丁目,-,中央区日本橋浜町３-４０-３　パ-クホ-ムズ日本橋浜町ザレジデンス１階・２階,35.6863568,139.790612,グロ-バルキッズ浜町園,認可保育所,40,2024年10月1日
中央区,日本橋堀留町１丁目,-,中央区日本橋堀留町１-１-１-２Ｆ,35.6873891,139.7789867,堀留町保育園,認可保育所,81,2024年10月1日
中央区,日本橋堀留町２丁目,-,中央区日本橋堀留町２-８-４　日本橋コアビル１階,35.688521,139.7813088,ほっぺるランド日本橋堀留町,認可保育所,70,2024年10月1日
中央区,日本橋人形町２丁目,-,中央区日本橋人形町２-１４-５,35.6845914,139.7848281,人形町保育園,認可保育所,105,2024年10月1日
中央区,日本橋人形町３丁目,-,中央区日本橋人形町３-４-８アイビ-コ-ト日本橋人形町１～４階,35.6864875,139.7812223,モニカ人形町園,認可保育所,63,2024年10月1日
中央区,日本橋蛎殻町１丁目,-,中央区日本橋蛎殻町１-１-２,35.6808908,139.7835403,日本橋保育園,認可保育所,91,2024年10月1日
中央区,日本橋蛎殻町１丁目,-,中央区日本橋蛎殻町１-１６-１１　ＥＤＧＥ日本橋蛎殻町１・２階,35.6830977,139.7825867,グロ-バルキッズかきがら園,認可保育所,45,2024年10月1日
中央区,日本橋蛎殻町１丁目,-,中央区日本橋蛎殻町１-２９-９　ネオテック水天宮ビル１・２階,35.6831226,139.7839057,アイグラン保育園水天宮,認可保育所,90,2024年10月1日
中央区,日本橋蛎殻町１丁目,-,中央区日本橋蛎殻町１-３５-５　セイラン水天宮ビル１・２階・Ｂ１階,35.6817405,139.7860588,キッズラボ水天宮前園,認可保育所,56,2024年10月1日
中央区,日本橋蛎殻町２丁目,-,中央区日本橋蛎殻町２-１５-５　水天宮ＣＰビル１～４Ｆ,35.6843166,139.7868914,ＴＨＲＥＥ　ＳＴＡＲ　ＮＵＲＳＥＲＹ蛎殻町園,認可保育所,110,2024年10月1日
中央区,日本橋箱崎町,-,中央区日本橋箱崎町１７-９　箱崎升喜ビル１・２階,35.6805116,139.7851394,コビ-プリスク-ルはこざき,認可保育所,70,2024年10月1日
中央区,日本橋茅場町２丁目,-,中央区日本橋茅場町２-１６-６,35.6781654,139.7799268,ほっぺるランド茅場町,認可保育所,60,2024年10月1日
中央区,日本橋３丁目,日八京,中央区日本橋３-１５-１０,35.6793299,139.7753422,ＥＤＯ日本橋保育園,認可保育所,60,2024年10月1日
中央区,八丁堀４丁目,-,中央区八丁堀４-５-１０,35.673996,139.7758645,八丁堀保育園,認可保育所,79,2024年10月1日
中央区,新川１丁目,-,中央区新川１-２４-１　ユニゾ新川永代通りビル２階,35.6767456,139.7852427,太陽の子新川保育園,認可保育所,95,2024年10月1日
中央区,新川１丁目,-,中央区新川１-２６-９　新川イワデビル１．２階,35.6760996,139.784163,アイグラン保育園新川,認可保育所,80,2024年10月1日
中央区,新川２丁目,-,中央区新川２-３０-３　ＮＭビル１～４Ｆ,35.6728163,139.7829729,ミアヘルサ保育園ひびき八丁堀,認可保育所,80,2024年10月1日
中央区,入船１丁目,-,中央区入船１-１-１３,35.6737353,139.778237,桜川保育園,認可保育所,139,2024年10月1日
中央区,入船３丁目,-,中央区入船３-５-１０　藤和入船ビル２Ｆ,35.6708364,139.7762922,ブライト保育園東京入船,認可保育所,40,2024年10月1日
