指標名,ミシュラン掲載レストラン,,,,,,,3つ星,特別な料理,
中央区,銀座６丁目,-,中央区銀座 6-6-1 2F,35.67107,139.76261,現代茶寮 銀座凮月堂／Gendaisaryo Ginza Fugetsudo,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/gendaisaryo-ginza-fugetsudo
千代田区,紀尾井町,赤坂,千代田区紀尾井町 4-1 ホテルニューオータニ東京 ザ・メイン ロビー階,35.68110,139.73402,トゥールダルジャン 東京／Tour D'argent Tokyo,フランス料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tour-d-argent-1194082
渋谷区,広尾１丁目,-,渋谷区広尾 1-6-13,35.64876,139.71412,アムール／AMOUR,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/amour
渋谷区,広尾５丁目,-,渋谷区広尾 5-4-16 EAT PLAY WORKS 2F,35.65069,139.72191,ル ビストロ デ ブル／le bistrot des bleus,フランス料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/le-bistrot-des-bleus
中央区,築地１丁目,-,中央区築地 1-5-8,35.66993,139.77151,東京チャイニーズ 一凛／Tokyo Chinese Ichirin,中国料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tokyo-chinese-ichirin
港区,南青山３丁目,-,港区南青山 3-14-23,35.66517,139.71457,ラ・ロシェル 南青山／La Rochelle Minami Aoyama,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/la-rochelle-minami-aoyama
港区,愛宕１丁目,虎ノ門,港区愛宕 1-1-1 虎ノ門ヒルズレジデンシャルタワー 1F,35.66599,139.74857,かんだ／Kanda,日本料理,3つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kanda
渋谷区,広尾５丁目,-,渋谷区広尾 5-22-1,35.64857,139.71760,ポ・ブイユ／Pot-Bouille,フランス料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/pot-bouille
品川区,東五反田３丁目,-,品川区東五反田 3-15-19,35.62601,139.72970,ヌキテパ／Ne Quittez pas,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ne-quittez-pas
港区,六本木３丁目,六本木,港区六本木 3-8-12,35.66319,139.73435,三宅 輝／Miyake Akira,日本料理,-,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/miyake-akira
渋谷区,上原１丁目,-,渋谷区上原 1-32-5,35.66878,139.68075,ラ・ファソン 古賀／La façon Koga,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/la-facon-koga
