,指標名,シェアサイクルポート,,,,,,,
,出典,東京自転車シェアリング ポートマップ,,,,,,,
,年次,2024/12/12取得,,,,,,,
,URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
,備考,2021年度：679件、2022年度：728件、2023年度：793件、2024年度：855件）,,,,,,,
,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,ポート名,休止・再開・閉鎖情報,営業時間
,千代田区,神田神保町三丁目,-,東京都千代田区神田神保町３丁目 A2-22.専修大学,35.696147,139.753709,A2-22.専修大学 / SENSHU　UNIVERSITY,,Open for 24 hours
,千代田区,神田小川町三丁目,-,東京都千代田区神田小川町３丁目２８−５,35.696126,139.763297,A2-23.axle御茶ノ水 / axle Ochanomizu,,Open for 24 hours
,千代田区,神田三崎町二丁目,-,東京都千代田区神田三崎町２丁目２２ A2-24.水道橋駅西口前,35.702271,139.752619,A2-24.水道橋駅西口前 / Suidobashi Station in front of West exit,,Open for 24 hours
,港区,高輪二丁目,-,東京都港区高輪２丁目１４−１４,35.698991,139.760910,A2-25.プラウド神田駿河台 / PROUD KANDA SURUGADAI,,Open for 24 hours
,千代田区,大手町一丁目,大丸有,東京都千代田区大手町１丁目４−２,35.690958,139.759876,A2-27.丸紅ビル / Marubeni Building,,Open for 24 hours
,千代田区,一ツ橋一丁目,-,東京都千代田区一ツ橋１丁目１ A2-28.NTTコミュニケーションズ一ツ橋ビル駐車場,35.691500,139.756850,A2-28.NTTコミュニケーションズ一ツ橋ビル駐車場 / Communications Hitotsubashi Building parking,,Open for 24 hours
,千代田区,神田司町二丁目,-,東京都千代田区神田司町２丁目２−５ Dk・Tビル,35.692989,139.767732,A3-01.神田児童公園（西側交番横） / Kanda Children Park(West Side Next to the Police Box),,Open for 24 hours
,千代田区,内神田二丁目,-,東京都千代田区内神田２丁目３ A3-02.絶滅メディア博物館（楓ビル）,35.689571,139.767854,A3-02.絶滅メディア博物館（楓ビル）/ Extinct Media Museum(Kaede Build.),,Open for 24 hours
,千代田区,内神田二丁目,-,東京都千代田区内神田２丁目１６−１６−８,35.692548,139.768551,【休止中】A3-03.NTT東日本神田ビル / NTT-East Kanda Build,休止中,Open for 24 hours
,千代田区,神田佐久間町一丁目,-,東京都千代田区神田佐久間町１丁目１７,35.697643,139.774860,A3-04.秋葉原公園 / Akihabara Park,,Open for 24 hours
,千代田区,神田佐久間町三丁目,-,東京都千代田区神田佐久間町３丁目２６−７,35.698817,139.778883,A3-05.和泉公園（西側入口） / Izumi Park(Western Entrance),,Open for 24 hours
,千代田区,神田淡路町二丁目,-,東京都千代田区神田淡路町２丁目５−５,35.696945,139.767288,A3-07.淡路公園 / Awaji Park,,Open for 24 hours
,千代田区,外神田二丁目,-,東京都千代田区外神田２丁目１６ A3-08.神田明神（神田神社）,35.702311,139.768343,A3-08.神田明神（神田神社）/ Kanda Myoujin (Kanda Shrine ),,Open for 24 hours
,千代田区,外神田三丁目,-,東京都千代田区外神田３丁目５ A3-10.芳林公園（北側）,35.701966,139.769816,A3-10.芳林公園（北側）/ Hourin Park(North Side),,Open for 24 hours
,千代田区,外神田六丁目,-,東京都千代田区外神田６丁目１１ A3-11.練成公園,35.703734,139.770677,A3-11.練成公園 / Rensei Park,,Open for 24 hours
,千代田区,外神田四丁目,-,東京都千代田区外神田４丁目１４−５,35.701114,139.772925,A3-12.秋葉原UDX北側駐輪場前 / Akihabara UDX(North Side),,Open for 24 hours
