指標名,ホテル,,,,,,,,,
出典,Rakuten API,,,,,,,,,
年次,2024/12/10取得,,,,,,,,,
URL,https://app.rakuten.co.jp/services/api/Travel/SimpleHotelSearch/20170426,,,,,,,,,
備考,(2022年度：1721件、2023年度：1099.0件、2024年度：1124件),,,,,,,,,
,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,星数,レビュー数,室数,ホテルURL
千代田区,外神田１丁目,-,東京都千代田区外神田一丁目17-4,35.69793867,139.772656,ＪＲ東日本ホテルメッツ　プレミア　秋葉原,4.43,337,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176544
中央区,銀座３丁目,-,東京都中央区銀座3-12-2,35.67099055,139.7694883,ホテル銀座ダイエー,3.99,6674,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1494
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町1-3-5,35.68078419,139.7804426,京王プレッソイン日本橋茅場町,4.22,4285,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=39646
千代田区,神田富山町３０丁目,-,東京都千代田区神田富山町30-1,35.6934,139.7740312,オリンピックイン神田,3.86,266,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=184244
千代田区,東神田１丁目,-,東京都千代田区東神田1-9-10,35.69455194,139.7797346,コンフォートホテル東京東神田（２０２５年２月６日リブランド）,4.3,1012,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=160785
中央区,銀座８丁目,-,東京都中央区銀座8-6-15,35.66818228,139.760167,銀座グランドホテル,3.4,5067,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=767
千代田区,神田須田町２丁目,-,東京都千代田区神田須田町2-25-8,35.6966567,139.7744858,天然温泉　奥湯河原の湯　スーパーホテルＰｒｅｍｉｅｒ秋葉原,4.31,567,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176736
中央区,晴海３丁目,-,東京都中央区晴海3-8-1,35.6547834,139.7795806,Ｌ　ｓｔａｙ＆ｇｒｏｗ晴海,4.27,643,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=184117
江東区,南砂２丁目,-,東京都江東区南砂2-1-5,35.6695004,139.8198202,Ｒ＆Ｂホテル東京東陽町,4.11,2387,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=52322
江東区,潮見２丁目,-,東京都江東区潮見2-8-16,35.6603274,139.8173478,東京ベイ潮見プリンスホテル,4.63,796,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178293
千代田区,神田須田町１丁目,-,東京都千代田区神田須田町1-16,35.6952086,139.7706746,明神の湯ドーミーインＰＲＥＭＩＵＭ神田（ドーミーイン・御宿野乃　ホテルズグループ）,4.21,1048,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=161040
中央区,銀座７丁目,-,東京都中央区銀座七丁目12番9号,35.6678673,139.7636509,ホテルミュッセ銀座名鉄,3.67,933,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165557
江東区,富岡１丁目,-,東京都江東区富岡1-23-2,35.67115798,139.7986747,東急ステイ門前仲町,3.93,1639,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=41707
中央区,八重洲１丁目,日八京,東京都中央区八重洲1-3-22,35.68310034,139.7711821,ホテル龍名館東京,4.79,1761,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=76496
中央区,日本橋兜町１５丁目,-,東京都中央区日本橋兜町15-13,35.67936479,139.7764013,センターホテル東京,3.2,3374,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=922
中央区,京橋１丁目,日八京,東京都中央区京橋1-4-1,35.67885652,139.770082,京王プレッソイン東京駅八重洲,3.92,1524,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=160960
