,,,,,,,,,,,
,指標名,観光地,,,,,,,,,
,出典,google places API,,,,,,,,,
,年次,2025/02/05取得,,,,,,,,,
,URL,google places API,,,,,,,,,
,備考,(2022年度：1922件、2023年度：2497.0件、2024年度：2182件),,,,,,,,,
,,,,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,施設名,ジャンル,星,口コミ数,place_id
,千代田区,千代田,-,千代田区千代田１−１,35.6865232,139.7486665,吹上大宮御所,"tourist_attraction, point_of_interest, establishment",4.4,54,ChIJLVL4SHKMGGARR8l5zZQx02A
,千代田区,皇居外苑,-,千代田区皇居外苑３,35.6826271,139.7620267,元宮城和田倉門守衛所,"tourist_attraction, point_of_interest, establishment",4.2,123,ChIJ0QFUhfeLGGARcBgc0OSQI2U
,千代田区,千代田,-,千代田区千代田１−１,35.682171,139.7535606,長和殿,"local_government_office, tourist_attraction, travel_agency, point_of_interest, establishment",4.6,253,ChIJ-w9nwAqMGGARuiyw3jm3Ios
,中央区,日本橋馬喰町２丁目,-,中央区日本橋馬喰町２丁目７−１７,35.6965584,139.7827277,左衛門橋,"tourist_attraction, point_of_interest, establishment",3.6,37,ChIJ1xPb8K2OGGARleis8lZGsEk
,中央区,日本橋馬喰町,-,中央区日本橋馬喰町,35.694782,139.7837401,日本橋馬喰町,"tourist_attraction, point_of_interest, establishment",0,0,ChIJ52MQDbCPGGARc2pZPANhONI
,千代田区,神田和泉町,-,千代田区神田和泉町１−１,35.699238,139.77616,ものづくり館 by YKK,"tourist_attraction, art_gallery, museum, point_of_interest, establishment",3.9,54,ChIJz3TS9aaOGGARwdZXzammqSQ
,中央区,日本橋室町１丁目,日八京,中央区日本橋室町１丁目１,35.6844324,139.7744088,日本国道路元標(複製),"tourist_attraction, point_of_interest, establishment",4.2,524,ChIJL3iOc1aJGGAR2OacIEqx0Bc
,千代田区,神田駿河台１丁目,-,千代田区神田駿河台１丁目１ 明治大学 駿河台キャンパス アカデミーコモン地階,35.698594,139.76187,明治大学博物館,"tourist_attraction, museum, point_of_interest, establishment",4.2,520,ChIJ62acTxeMGGARUmcrd2EKsVw
,千代田区,神田駿河台１丁目,-,千代田区神田駿河台１丁目１ 明治大学 駿河台キャンパス アカデミーコモン地階,35.6986837,139.7617688,阿久悠記念館,"museum, tourist_attraction, point_of_interest, establishment",4.3,37,ChIJLxsaTxeMGGARPiuFcX6fnkw
,千代田区,神田猿楽町２丁目,-,千代田区神田猿楽町２丁目１−１４,35.6991766,139.7593587,東京音楽大学発祥の地,"tourist_attraction, point_of_interest, establishment",2.7,15,ChIJDbND9xaMGGARjeHlRxwfqqQ
,新宿区,筑土八幡町,-,新宿区筑土八幡町２−１,35.7040543,139.7406148,筑土八幡神社,"tourist_attraction, place_of_worship, point_of_interest, establishment",4,320,ChIJt3bsaFCMGGARmRx8EJr9uCs
,中央区,日本橋人形町１丁目,-,中央区日本橋人形町１丁目１７−７,35.6853572,139.7830201,人形町からくり櫓（町火消し）,"tourist_attraction, point_of_interest, establishment",4,44,ChIJDdJsKFCJGGAR_LtuNlL-Wz4
,千代田区,隼町,-,千代田区隼町４−３,35.6800371,139.7453274,三宅坂小公園,"park, tourist_attraction, point_of_interest, establishment",3.7,32,ChIJ-5FsWHaMGGARqbbg6TMXPMU
,千代田区,麹町１丁目,-,千代田区麹町１丁目２ 千鳥ヶ淵公園内,35.6841462,139.744467,千鳥ヶ淵公園児童遊園,"park, tourist_attraction, point_of_interest, establishment",4,87,ChIJvVErVHCMGGARuf-ToldwmNM
,千代田区,紀尾井町,赤坂,千代田区紀尾井町５−２,35.681291,139.7322552,喰違見附跡,"tourist_attraction, point_of_interest, establishment",3.8,47,ChIJsR2kVn2MGGARzfT8eo-ciHs
,港区,赤坂７丁目,赤坂,港区赤坂７丁目３−３９,35.673673,139.7288999,高橋是清翁記念公園,"tourist_attraction, park, point_of_interest, establishment",3.9,470,ChIJN-aSBYGMGGARV4hamU-HF9I
,新宿区,四谷１丁目,-,新宿区四谷１丁目１２−１２,35.6832984,139.7282332,四谷見附公園,"park, tourist_attraction, point_of_interest, establishment",3.7,455,ChIJZT9KFYmMGGAR0RHuH3Wk-Lw
,港区,赤坂８丁目,赤坂,港区赤坂８丁目１１−３２,35.6679674,139.7274786,乃木公園,"park, tourist_attraction, point_of_interest, establishment",4.1,140,ChIJk1Vhhn6LGGARl0MVL-KexZQ
,港区,赤坂９丁目,六本木,港区赤坂９丁目７−１,35.6672495,139.7304848,ミッドタウン・ガーデン,"tourist_attraction, park, point_of_interest, establishment",4.4,532,ChIJx0V7jrqLGGAR_VT5Fj3yNZ8
,港区,元赤坂１丁目,赤坂,港区元赤坂１丁目４−７,35.6764056,139.73285,豊川稲荷東京別院,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.5,4401,ChIJK-keEn6MGGARyZaLZnQVdgU
,千代田区,平河町,-,千代田区平河町３,35.6820048,139.7408691,中坂（平河町）,"tourist_attraction, point_of_interest, establishment",3,2,ChIJLR5mQnqMGGARR8jVpfHfilo
,港区,元赤坂１丁目,赤坂,港区元赤坂１丁目４−７,35.6762968,139.7326928,いなりん,"tourist_attraction, point_of_interest, establishment",0,0,ChIJLTuyZgCNGGAR_bxEbDoZNeY
,港区,赤坂２丁目,赤坂,港区赤坂２丁目１５,35.6716753,139.7385354,福吉坂,"tourist_attraction, point_of_interest, establishment",4.3,3,ChIJuUVN6oaLGGARhmQ2bYmvi1Y
,港区,赤坂４丁目,赤坂,港区赤坂４丁目１−２６,35.676412,139.7347065,赤坂氷川山車展示スペース,"tourist_attraction, point_of_interest, establishment",0,0,ChIJE2NSlyeNGGARo9bMMz8vCxI
,港区,元赤坂１丁目,赤坂,港区元赤坂１丁目４,35.676217,139.7327907,豊川稲荷縁起説明板,"tourist_attraction, point_of_interest, establishment",0,0,ChIJw48jshCNGGARRnsUxkRxq80
,千代田区,麹町６丁目,-,千代田区麹町６丁目５−１,35.6851661,139.7312516,カトリック麹町 聖イグナチオ教会,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",4.6,1117,ChIJNZ056omMGGARZhItdVTT87M
,千代田区,平河町２丁目,-,千代田区平河町２丁目３−２０ 学校法人 城西大学 東京紀尾井町キャンパス3号棟 B1F,35.681894,139.7404144,城西大学水田記念博物館 大石化石ギャラリー,"tourist_attraction, museum, point_of_interest, establishment",4.3,74,ChIJq6oaRXqMGGARO38fkV_jVbE
,港区,赤坂７丁目,赤坂,港区赤坂７丁目３−３９ 高橋是清翁記念公園前,35.6739752,139.7285283,上皇上皇后両陛下 ご移居記念花壇,"tourist_attraction, point_of_interest, establishment",4.5,2,ChIJ7cZUqHiNGGARuvbsPlg8hec
,港区,赤坂５丁目,赤坂,港区赤坂５丁目４−５,35.6726088,139.7358222,Akasaka Shiny Sign,"tourist_attraction, point_of_interest, establishment",4.4,7,ChIJf5olLduLGGARZNv73tto1YQ
,千代田区,麹町６丁目,-,千代田区麹町６丁目２−３,35.6850407,139.7335185,仲良し公園,"park, tourist_attraction, point_of_interest, establishment",3.2,154,ChIJBzNAQ2KMGGARJ1v9BGmSYj0
,千代田区,五番町無番地,-,千代田区五番町無番地,35.6883019,139.7308924,外濠公園,"park, tourist_attraction, point_of_interest, establishment",3.9,438,ChIJ08IS-4qMGGAR4rjoONNcZAU
,千代田区,麹町１丁目,-,千代田区麹町１丁目１０,35.6851239,139.7423521,戸嶋靖昌記念館分館,"museum, tourist_attraction, point_of_interest, establishment",4.6,14,ChIJszHNB3CMGGARSGgpqCntYxI
,新宿区,四谷１丁目,-,新宿区四谷１丁目１２−１１,35.6830856,139.7291595,若葉東公園,"park, tourist_attraction, point_of_interest, establishment",3.9,270,ChIJt6SxGomMGGARHrGql1kD6yg
,新宿区,四谷１丁目,-,新宿区四谷１丁目,35.6857417,139.7302166,四谷見附橋,"tourist_attraction, point_of_interest, establishment",3.7,53,ChIJZx20JYqMGGAR45crqnwSn64
,千代田区,紀尾井町,赤坂,千代田区紀尾井町２−１,35.6817641,139.7357662,偕香苑,"park, tourist_attraction, point_of_interest, establishment",3.2,6,ChIJVVXB6nyMGGARVEVCpWUoLQo
,新宿区,荒木町,-,新宿区荒木町,35.6901778,139.722599,策の池 （むちのいけ）,"tourist_attraction, point_of_interest, establishment",4.1,38,ChIJFxVObPKMGGARsZzoY7S5AX8
,千代田区,紀尾井町,赤坂,千代田区紀尾井町４−１,35.6801955,139.7342741,ホテルニューオータニ 日本庭園,"tourist_attraction, park, point_of_interest, establishment",4.5,873,ChIJd0TGAH2MGGARdoUx5v0t2yo
,港区,赤坂５丁目,赤坂,港区赤坂５丁目３ 赤坂サカス,35.6733017,139.7354005,赤坂サカスの桜,"tourist_attraction, park, point_of_interest, establishment",0,0,ChIJje44HJuLGGARPu3Gea5mFtg
,港区,赤坂５丁目,赤坂,港区赤坂５丁目４−５ 赤坂駅,35.6726774,139.735835,Harry Potter 階段とタイムターナー,"tourist_attraction, point_of_interest, establishment",4.5,165,ChIJhyc0046LGGARTtseD5A7W_M
,港区,赤坂,-,港区赤坂,35.6710403,139.7345469,Teke teke,"tourist_attraction, point_of_interest, establishment",0,0,ChIJ37svUgCLGGARZpyaGxqtEHs
,港区,赤坂５丁目,赤坂,港区赤坂５丁目３ サカス坂,35.672861,139.7357203,サカス坂,"tourist_attraction, point_of_interest, establishment",4.5,11,ChIJvWEmNJ-LGGARjLUJNHnveoQ
,中央区,佃１丁目,-,中央区佃１丁目１１−４,35.6685022,139.7831535,中央区立佃公園,"park, tourist_attraction, point_of_interest, establishment",4.1,371,ChIJAcDs82WJGGARRXmL_0ojH2g
,中央区,月島１丁目,-,中央区月島１丁目３−丁目,35.6642944,139.7824662,月島もんじゃストリート,"tourist_attraction, point_of_interest, establishment",4.1,2386,ChIJZ8PuP3CJGGARAXwWdc4PGQw
,中央区,佃１丁目,-,中央区佃１丁目８−１,35.6672566,139.783354,佃小橋,"tourist_attraction, point_of_interest, establishment",4.2,372,ChIJXW6Shm-JGGARG2GT8dohPhs
,中央区,佃１丁目,-,中央区佃１丁目２,35.6678296,139.7822271,佃まちかど展示館,"museum, tourist_attraction, point_of_interest, establishment",3.8,39,ChIJq-qVkGWJGGARrK_GNSIDk_Q
,中央区,佃１丁目,-,中央区佃１丁目１−１４,35.6679919,139.7833677,住吉神社（東京佃）,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.2,835,ChIJtbY4fG-JGGARBcvW4yUB2rM
,中央区,八丁目堀１丁目,-,中央区八丁堀１丁目,35.6763252,139.7789726,亀島橋,"tourist_attraction, point_of_interest, establishment",3.8,25,ChIJ79eM8NOJGGARZ_oqMW7mGqo
,中央区,佃１丁目,-,中央区佃１丁目２−４,35.6680397,139.7829741,鰹塚,"tourist_attraction, point_of_interest, establishment",3.5,13,ChIJU0bQh2WJGGARwNDqKpZcris
,中央区,-,-,中央区３１,35.6611547,139.7780607,西仲橋,"tourist_attraction, point_of_interest, establishment",3.8,37,ChIJe5JIfnuJGGARrWyjwLWMeXo
,中央区,佃１丁目,-,中央区佃１丁目３−１２,35.6674279,139.7820732,誕生記念植樹,"tourist_attraction, point_of_interest, establishment",5,1,ChIJD7Y8bQCJGGARQw43WMW65Tg
,中央区,佃１丁目,-,中央区佃１丁目１１−８ ピアウエストスクエア 1階,35.6696136,139.7845101,石川島資料館,"tourist_attraction, museum, point_of_interest, establishment",3.8,68,ChIJd6HdOG-JGGARg0Z9lieRosQ
,中央区,築地６丁目,-,中央区築地６丁目２０−１０,35.6632652,139.7736548,勝鬨の渡し跡,"tourist_attraction, point_of_interest, establishment",3.3,34,ChIJUbMYjmKJGGARUByMne8RIMM
,中央区,佃３丁目,-,中央区佃３丁目１１−４−先,35.6637869,139.7871965,中央区立佃三丁目公園,"park, tourist_attraction, point_of_interest, establishment",3.9,34,ChIJ1VOka3GJGGARtUYTsozhGrM
,江東区,越中島１丁目,-,江東区越中島１丁目３−２６先,35.6677433,139.7887714,中の島公園,"park, tourist_attraction, point_of_interest, establishment",3.7,176,ChIJo6_p-W2JGGARZ8RlrePLg4U
,中央区,入船１丁目,-,中央区入船１丁目１−１,35.6737283,139.7771483,桜川公園,"park, tourist_attraction, point_of_interest, establishment",3.8,311,ChIJxdRDb16JGGARPwIuXnWRGRk
,江東区,門前仲町２丁目,-,江東区門前仲町２丁目９−４,35.6730826,139.7959278,辰巳新道,"tourist_attraction, point_of_interest, establishment",4.3,96,ChIJneXPqROJGGARWFIGQSM-VXE
,中央区,湊２丁目,-,中央区湊２丁目１６−１９,35.6707615,139.7811526,湊公園,"park, tourist_attraction, point_of_interest, establishment",4,73,ChIJZ1N7WmaJGGARedOihu9IFDs
,江東区,佐賀２丁目,-,江東区佐賀２丁目１０,35.6798664,139.7920136,油堀跡,"tourist_attraction, point_of_interest, establishment",0,0,ChIJc48oXQCJGGAR1gEHWyQPJDM
,中央区,日本橋茅場町,-,中央区日本橋茅場町３,35.6787052,139.777582,日本橋茅場町の桜並木,"tourist_attraction, point_of_interest, establishment",4.6,16,ChIJhbtZ1DWJGGARy3cGw58rN8g
,江東区,永代１丁目,-,江東区永代１丁目１−４,35.6749086,139.788355,永代公園,"park, tourist_attraction, point_of_interest, establishment",3.9,111,ChIJxSHQGGqJGGARTVThYJxxcfY
,中央区,築地６丁目,-,中央区築地６丁目２０−３４,35.6635275,139.7713431,海幸橋碑,"tourist_attraction, point_of_interest, establishment",3.9,10,ChIJhYIO79iLGGARn9k6sqJL0ZE
,中央区,築地３丁目,-,中央区築地３丁目１６−１３,35.6667227,139.7712827,陸上交通殉難者追悼の碑,"tourist_attraction, point_of_interest, establishment",0,0,ChIJOzn6GQCLGGARHB0TOqsbNg0
,中央区,築地４丁目,-,中央区築地４丁目９−１１,35.6655523,139.7696519,築地交番所跡,"tourist_attraction, point_of_interest, establishment",4,1,ChIJ2QsVqtGLGGARwqIYN4ZRm3c
,中央区,築地６丁目,-,中央区築地６丁目２０−３７,35.6635382,139.7715384,波除神社,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.1,2274,ChIJa4JUjdiLGGARfzINTSU_X0s
,中央区,銀座６丁目,-,中央区銀座６丁目１８,35.6673935,139.7672408,築地川采女橋公園,"park, tourist_attraction, point_of_interest, establishment",3.4,117,ChIJKZcP5d2LGGARdgYADLEjCgU
,中央区,築地４丁目,-,中央区築地４丁目１５−２,35.6660464,139.768613,市場橋公園,"park, tourist_attraction, point_of_interest, establishment",3.2,71,ChIJ_7_Sjd6LGGARbsL1p098360
,中央区,築地６丁目,-,中央区築地６丁目１９−２４,35.6640811,139.7751064,はとば公園,"park, tourist_attraction, point_of_interest, establishment",3.9,263,ChIJx3P6-2KJGGARKkrq4_tlnd4
,中央区,築地７丁目,-,中央区築地７丁目１９−１,35.6662569,139.7765548,中央区立あかつき公園,"park, tourist_attraction, point_of_interest, establishment",3.9,299,ChIJV2cV0WOJGGARuydNncDj020
,中央区,浜離宮庭園,-,中央区浜離宮庭園１−１,35.6624093,139.7639592,三百年の松,"tourist_attraction, point_of_interest, establishment",4.4,222,ChIJETsVn9yLGGARO6YBehyxOIQ
,中央区,明石町,-,中央区明石町１０−２,35.6672585,139.7744038,中央区立築地川公園,"park, tourist_attraction, point_of_interest, establishment",3.9,482,ChIJe7vq7GGJGGARwqsdCgIvefw
,中央区,築地１丁目,-,中央区築地１丁目１１−１３先,35.6694869,139.7699102,築地川祝橋公園,"park, tourist_attraction, point_of_interest, establishment",3.4,209,ChIJ56U1heCLGGARv-0KIy572mA
,中央区,築地１丁目,-,中央区築地１丁目６−１,35.6704587,139.7710564,中央区立築地川亀井橋公園,"park, tourist_attraction, point_of_interest, establishment",3.6,191,ChIJXXI0b-CLGGARwewp4OuBYdU
,中央区,銀座８丁目,-,中央区銀座８丁目１９,35.6655188,139.7660865,千代橋,"tourist_attraction, point_of_interest, establishment",3.3,4,ChIJuQQlrt2LGGARtVCRJxJ86-c
,中央区,-,-,中央区３ 中央区築地５丁目１−１,35.6657335,139.7661369,築地川千代橋公園,"park, tourist_attraction, point_of_interest, establishment",3.2,66,ChIJzyRXst2LGGARSThDMARiY04
,中央区,勝どき５丁目,-,中央区勝どき５丁目７−１,35.6574393,139.7701041,中央区立勝どき見晴らし公園,"park, tourist_attraction, point_of_interest, establishment",3.9,59,ChIJ4UMx-daLGGARujFMUN9N2wc
,中央区,浜離宮庭園,-,中央区浜離宮庭園１−１,35.6596559,139.7634091,浜離宮恩賜庭園,"tourist_attraction, park, point_of_interest, establishment",4.4,10620,ChIJwfegutyLGGARGjiY-L2eSps
,中央区,築地４丁目,-,中央区築地４丁目１,35.6672279,139.7677451,采女橋,"tourist_attraction, point_of_interest, establishment",4,8,ChIJfVrJnlKLGGARnOCUVziw2mQ
,中央区,築地７丁目,-,中央区築地７丁目１９−１,35.6668175,139.7750071,あかつき公園 冒険広場,"park, tourist_attraction, point_of_interest, establishment",4.2,104,ChIJw6TBhmGJGGARvGRPMPJ_tSA
,中央区,築地１丁目,-,中央区築地１丁目１３−２０,35.6685787,139.7687953,名犬チロリ記念碑,"tourist_attraction, point_of_interest, establishment",4,57,ChIJ91aIHt6LGGARQJ7duvE22FA
,中央区,新大橋通り,-,中央区新大橋通り,35.6700237,139.774731,入船橋,"tourist_attraction, point_of_interest, establishment",3.7,12,ChIJ9fxraGCJGGARHg6DOb_XktI
,中央区,浜離宮庭園,-,中央区浜離宮庭園１−１,35.6588479,139.7618309,浜離宮のトウカエデ,"tourist_attraction, point_of_interest, establishment",4.2,5,ChIJRS5Fx7eLGGARyM9iOryPYlA
,中央区,銀座３丁目,-,中央区銀座３丁目６ 中央通り,35.6721871,139.7659944,銀座中央通り,"tourist_attraction, point_of_interest, establishment",4.4,50,ChIJRQ2BJ-SLGGARBo5lWSuc-jM
,中央区,銀座４丁目,-,中央区銀座４丁目１２−１５ 歌舞伎座タワー 5F,35.6697503,139.7680034,歌舞伎座ギャラリー,"tourist_attraction, art_gallery, museum, travel_agency, point_of_interest, establishment",3.9,68,ChIJv7Dpy-CLGGARH1EUcwwPtL4
,港区,東新橋１丁目,虎ノ門広域,港区東新橋１丁目８−１ カレッタ汐留 46F 無料展望スペース,35.6644594,139.7625223,SKY VIEW,"tourist_attraction, point_of_interest, establishment",4.4,278,ChIJrx_Ez8KLGGARPUaHxocRqHk
,中央区,銀座８丁目,-,中央区銀座８丁目２０,35.66465,139.763631,浜離宮前踏切跡,"tourist_attraction, point_of_interest, establishment",4,70,ChIJPdj7I92LGGARR9f4X1-fID0
,中央区,浜離宮庭園,-,中央区浜離宮庭園１−１,35.6591253,139.7631115,松の御茶屋,"tourist_attraction, point_of_interest, establishment",3.9,38,ChIJq6oG0dqLGGARbqmloLdHBfg
,中央区,新富２丁目,-,中央区新富２丁目１−１,35.6723561,139.7722508,楓川新富橋公園,"park, tourist_attraction, point_of_interest, establishment",3.4,117,ChIJq3CvMuCLGGARJdSwg-XkM-U
,中央区,銀座１丁目,-,中央区銀座１丁目１２−６,35.674316,139.7699932,水谷橋公園,"park, tourist_attraction, point_of_interest, establishment",4,121,ChIJq5bv0eOLGGARrlEm2rzrx1U
,中央区,湊１丁目,-,中央区湊１丁目６−７,35.6724075,139.780024,鐵砲洲稲荷神社,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.2,453,ChIJm3Zzb2eJGGARHKbKJcBHB4w
,中央区,京橋３丁目,日八京,中央区京橋３丁目４,35.675313,139.7688986,江戸歌舞伎発祥の地,"tourist_attraction, point_of_interest, establishment",3.5,40,ChIJI2z0muOLGGAR_vvyJQi_qvE
,中央区,銀座８丁目,-,中央区銀座８丁目 中央通り,35.6705813,139.7643418,銀座歩行者天国,"tourist_attraction, point_of_interest, establishment",4.6,186,ChIJcTA-aeaLGGARj3kIPKAI23M
,中央区,銀座５丁目,-,中央区銀座５丁目１−１,35.6726412,139.7623365,数寄屋橋公園,"park, tourist_attraction, point_of_interest, establishment",3.7,817,ChIJ40N1fO-LGGARcTqd0Q-RpDc
,中央区,湊１丁目,-,中央区湊１丁目５−１,35.6720388,139.7796534,中央区立鉄砲洲児童公園,"park, tourist_attraction, point_of_interest, establishment",3.7,268,ChIJp8p4bGeJGGAR_JYU-_z0Trk
,中央区,湊１丁目,-,中央区湊１丁目 ～新川２丁目,35.6729936,139.7814557,南高橋(みなみたかばし) 区民有形文化財,"tourist_attraction, point_of_interest, establishment",4.1,84,ChIJ1cpzo16JGGARiSDgHzOhMfo
,中央区,日本橋箱崎町,-,中央区日本橋箱崎町１９−１,35.6774902,139.7866726,豊海橋 (区民有形文化財),"tourist_attraction, point_of_interest, establishment",4.1,137,ChIJTydvRkKJGGARjKbSv6IMqx8
,中央区,銀座１丁目,-,中央区銀座１丁目２８−１１,35.6714572,139.7716713,三吉橋の碑,"tourist_attraction, point_of_interest, establishment",3.8,11,ChIJKTxnOOCLGGARgnqqTvzz1nc
,中央区,新富１丁目,-,中央区新富１丁目１−９,35.673396,139.7727997,新金橋児童遊園,"park, tourist_attraction, point_of_interest, establishment",4.1,7,ChIJqxmv2OGLGGAR9uwJm8IA2gs
,中央区,銀座４丁目,-,中央区銀座４丁目１２−１５ 歌舞伎座タワー 5F,35.6697503,139.7680034,歌舞伎座ギャラリー,"tourist_attraction, art_gallery, travel_agency, museum, point_of_interest, establishment",3.9,68,ChIJv7Dpy-CLGGARH1EUcwwPtL4
,中央区,銀座８丁目,-,中央区銀座８丁目,35.6690823,139.7589922,銀座コリドー街,"tourist_attraction, point_of_interest, establishment",4,87,ChIJEdwOL7yLGGAR7qwmaDq5tCs
,中央区,銀座４丁目,-,中央区銀座４丁目６−１６,35.6713158,139.7653446,ライオン像(銀座三越),"tourist_attraction, point_of_interest, establishment",4.1,92,ChIJU2J8iOaLGGAReNtcR5-9osw
,中央区,銀座４丁目,-,中央区銀座４丁目６−１６ 9階入場口 三越新館 9階,35.6713698,139.7657375,アートアクアリウム美術館 GINZA,"art_gallery, tourist_attraction, amusement_park, aquarium, pet_store, museum, point_of_interest, store, establishment",4.1,3882,ChIJ6UVSHl2JGGARDurMrMPwvdk
,中央区,銀座５丁目,-,中央区銀座５丁目１０,35.6702739,139.7654308,三原小路銀座,"tourist_attraction, point_of_interest, establishment",4,12,ChIJ5wENpauLGGARmW0riUjl-Q0
,中央区,銀座４丁目,-,中央区銀座４丁目３−６,35.6722828,139.7646477,"""猿結参道"" WA!moto. motoka watanabe","tourist_attraction, point_of_interest, establishment",5,1,ChIJR3XqFzqLGGARlWHUUGOCjQ4
,中央区,銀座３丁目,-,中央区銀座３丁目６,35.6725043,139.7665018,日本の道100選 銀座通り 顕彰碑,"tourist_attraction, point_of_interest, establishment",4.3,8,ChIJq59OWdWLGGAR_xmE8GbhogI
,中央区,銀座７丁目,-,中央区銀座７丁目１１−１０,35.6679603,139.7630729,少女像「はな」,"tourist_attraction, point_of_interest, establishment",0,0,ChIJJZfmddOLGGARx_9jb2a-jjY
,中央区,銀座６丁目,-,中央区銀座６丁目１４−５ 東武銀座第1ビル,35.668985,139.765361,tokyo sky tree,"tourist_attraction, point_of_interest, establishment",0,0,ChIJoWd_GQCLGGAReWXkZWeXwpw
,中央区,銀座６丁目,-,中央区銀座６丁目９−１６,35.670233,139.7632341,Suzuran street,"tourist_attraction, point_of_interest, establishment",4.7,9,ChIJC2kcLwCLGGAR9jwSgFY5XU0
,中央区,銀座３丁目,-,中央区銀座３丁目,35.6736764,139.7656132,並木通り,"tourist_attraction, point_of_interest, establishment",4.1,49,ChIJie-XJjSLGGARkF7l_8BMlUM
,中央区,銀座２丁目,-,中央区銀座２丁目７,35.6732219,139.7672728,銀座発祥の地碑,"tourist_attraction, point_of_interest, establishment",3.9,30,ChIJrR16BeSLGGAR31Ezs8CKOKQ
,中央区,銀座２丁目,-,中央区銀座２丁目３−１２ マロニエゲート銀座3 3F,35.6740276,139.7657352,ZEXAVERSE TOKYO,"tourist_attraction, point_of_interest, establishment",5,2,ChIJw3nmXACLGGARPB-gE6J1ndo
,中央区,銀座８丁目,-,中央区銀座８丁目２−１１,35.6693343,139.7594902,銀座大福地蔵,"tourist_attraction, point_of_interest, establishment",5,2,ChIJLUKM7W6LGGAR1mGyra-DWhI
,中央区,銀座１丁目,-,中央区銀座１丁目２５−２ 京橋公園,35.6730189,139.7711915,銀座二世柳,"tourist_attraction, point_of_interest, establishment",0,0,ChIJOcKYYtuLGGARePePm1GpnNo
,中央区,銀座４丁目,-,中央区銀座４丁目５−１１,35.6715697,139.7650504,セイコーハウス 時計塔,"tourist_attraction, point_of_interest, establishment",4.5,340,ChIJDcZ1YZiLGGAR8j1tcFitQ8k
,中央区,銀座,-,中央区銀座６,35.6731924,139.7665186,銀座マロニエ通り,"tourist_attraction, point_of_interest, establishment",5,2,ChIJ52egxnaLGGARGOro3qgvsTU
,港区,新橋１丁目,虎ノ門広域,港区新橋１丁目６−９,35.6672392,139.761147,銀座の柳碑,"tourist_attraction, point_of_interest, establishment",3.7,18,ChIJS2YMQ-iLGGARwBN1DwIgXUg
,中央区,銀座５丁目,-,中央区銀座５丁目１３−１５,35.6687557,139.7666855,銀座五丁目,"tourist_attraction, point_of_interest, establishment",5,5,ChIJKTOibneLGGARn79_2Atdhqo
,中央区,銀座７丁目,-,中央区銀座７丁目１５ 中央市場通り,35.6667296,139.7647108,中央市場通り,"tourist_attraction, point_of_interest, establishment",0,0,ChIJ84s_JwCLGGARzpX_uVywtSc
,千代田区,有楽町１丁目,大丸有,千代田区有楽町１丁目３−２,35.6736998,139.7602977,ゴジラ像,"tourist_attraction, point_of_interest, establishment",3.8,2146,ChIJj9FCzO-LGGARv0qenUaDws4
,中央区,銀座７丁目,-,中央区銀座７丁目 花椿通り,35.667498,139.7635782,花椿通り,"tourist_attraction, point_of_interest, establishment",0,0,ChIJu7l2OQCLGGARQpo4AjT16xg
,中央区,銀座４丁目,-,中央区銀座４丁目１２,35.6692083,139.767859,歌舞伎稲荷神社,"tourist_attraction, place_of_worship, point_of_interest, establishment",3.9,142,ChIJVcCfs-CLGGARfSIMmkZGYoU
,中央区,銀座５丁目,-,中央区銀座５丁目１−１,35.6724742,139.7621686,「若い時計台」岡本 太郎,"tourist_attraction, point_of_interest, establishment",4.2,86,ChIJV8P5fO-LGGAR6Qn-vWMmKO0
,中央区,中央市場通り,-,中央区中央市場通り,35.6656365,139.766038,中央市場通り,"tourist_attraction, point_of_interest, establishment",0,0,ChIJdSfsSwCLGGARfchVFbzPwns
,中央区,銀座４丁目,-,中央区銀座４丁目３−１３,35.6723695,139.7643786,ロンド・ラ・トゥール (RONDEAU LA TOUR),"tourist_attraction, point_of_interest, establishment",5,3,ChIJT3XSrVuLGGARZp_-7yZEZ4Y
,中央区,銀座５丁目,-,中央区銀座５丁目１−１ 数寄屋橋公園,35.6725731,139.7623436,友好の木ハナミズキ・イニシアチブ,"tourist_attraction, point_of_interest, establishment",0,0,ChIJ5ydo4dyLGGAR51_WP2VqOE4
,中央区,銀座１丁目,-,中央区銀座１丁目２５−２,35.6729106,139.7716197,京橋公園,"park, tourist_attraction, point_of_interest, establishment",3.7,333,ChIJn76wuOGLGGAR78WCEuv9vTQ
,中央区,銀座３丁目,-,中央区銀座３丁目９−１１,35.6712864,139.7675755,セントラルミュージアム銀座,"museum, tourist_attraction, point_of_interest, establishment",3.9,149,ChIJu2ZczOaLGGARqyh2nbbn8gk
,中央区,銀座４丁目,-,中央区銀座４丁目５,35.6717715,139.7654097,真珠王記念碑,"tourist_attraction, point_of_interest, establishment",3.8,13,ChIJPWUPgeaLGGAR6M2YnWjhXkE
,千代田区,日比谷公園,-,千代田区日比谷公園１,35.6735053,139.7567875,大噴水,"tourist_attraction, point_of_interest, establishment",4.1,70,ChIJr62ciOSLGGARIs6ax4bn-a8
