,,,,,,,,,,,
,指標名,観光地,,,,,,,,,
,出典,google places API,,,,,,,,,
,年次,2025/02/05取得,,,,,,,,,
,URL,google places API,,,,,,,,,
,備考,(2022年度：1922件、2023年度：2497.0件、2024年度：2182件),,,,,,,,,
,,,,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,施設名,ジャンル,星,口コミ数,place_id
,港区,愛宕２丁目,虎ノ門,港区愛宕２丁目１−１,35.6637951,139.748291,NHK放送博物館,"tourist_attraction, museum, point_of_interest, establishment",4.3,1218,ChIJCcGIPpSLGGARzZ4ZW6hu6NE
,港区,愛宕２丁目,虎ノ門,港区愛宕２丁目４−７,35.6628624,139.748567,萬年山 青松寺,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.2,236,ChIJfy9hNJSLGGAR41_DfA3WUB0
,千代田区,霞が関３丁目,虎ノ門広域,千代田区霞が関３丁目１,35.6736051,139.7490405,潮見坂,"tourist_attraction, point_of_interest, establishment",3.7,13,ChIJ6RMaaYyLGGARrEUqTcQGZmM
,港区,愛宕１丁目,虎ノ門,港区愛宕１丁目５−３,35.6646681,139.7490137,出世の石段,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.5,3506,ChIJ2cn3ZZSLGGARtAH08ZmRyIo
,千代田区,霞が関３丁目,虎ノ門広域,千代田区霞が関３丁目２−１,35.6722337,139.747978,三年坂,"tourist_attraction, point_of_interest, establishment",3.8,12,ChIJ01PXMYyLGGARCWfxoruqeqA
,港区,虎ノ門２丁目,虎ノ門,港区虎ノ門２丁目６ 虎ノ門ヒルズステーションタワー 49F,35.6673323,139.7473131,TOKYO NODE SKY GARDEN & POOL | 東京ノード,"tourist_attraction, point_of_interest, establishment",3.3,4,ChIJ3bm_dQCLGGAR47H2HSGfrY0
,千代田区,永田町１丁目,赤坂,千代田区永田町１丁目２,35.6765886,139.7488209,議事堂前銀杏並木,"tourist_attraction, point_of_interest, establishment",4,21,ChIJGalOnvCLGGARzHh03S7pS_8
,港区,虎ノ門１丁目,虎ノ門,港区虎ノ門１丁目１,35.6704056,139.7496862,虎ノ門遺趾,"tourist_attraction, point_of_interest, establishment",4,45,ChIJvYEFgY2LGGARAj3HsNTXq0Y
,港区,愛宕１丁目,虎ノ門,港区愛宕１丁目５,35.6649659,139.7487043,愛宕山,"tourist_attraction, park, point_of_interest, establishment",4.5,272,ChIJaU-cdJSLGGAR_Kcus8fkTGE
,港区,-,-," 港区虎ノ門 １丁目-１７Toranomon Hills, ",35.6678611,139.7496944,Limon,"tourist_attraction, point_of_interest, establishment",0,0,ChIJKQGkKwCLGGAR9KtrRMjj3wk
