,,,,,,,,
,指標名,スポーツ施設,,,,,,
,出典,navitime,,,,,,
,年次,2024/12/20取得,,,,,,
,URL,https://www.navitime.co.jp/,,,,,,
,備考,(2022年度：959件、2023年度：3431件(全23区)、2024年度：1582件),,,,,,
,,,,,,,,
,区,町丁目,エリア,住所,施設名,種類,緯度,経度
,千代田区,神田小川町３丁目,-,東京都千代田区神田小川町3-6,スキーショップ アスペン,スキー/スノボショップ,35.6951887,139.7622244
,千代田区,東神田２丁目,-,東京都千代田区東神田2-10-15 REID-C東神田ビル 1F,ACTEK GOLF(アクテック ゴルフ),ゴルフショップ,35.6955357,139.7812677
,千代田区,神田三崎町２丁目,-,東京都千代田区神田三崎町2-17-2 日宝水道橋ビル B1F,GRIT FIGHT SHOP(グリット ファイト ショップ),スポーツ用品/スポーツウェア,35.7012894,139.7534088
,千代田区,-,-,東京都 千代田区 岩本町2-4-5 インスタイルスクエア 1F/2F,chocoZAP(チョコザップ) 岩本町二丁目,スポーツクラブ/フィットネスクラブ,35.6941792,139.775488
,千代田区,-,-,東京都 千代田区 外神田2-9-8 青朋ビル 1F,chocoZAP(チョコザップ) 外神田二丁目,スポーツクラブ/フィットネスクラブ,35.7012193,139.7690617
,千代田区,-,-,東京都 千代田区 飯田橋1-6-7 九段NIビル 1F,chocoZAP(チョコザップ) 飯田橋一丁目,スポーツクラブ/フィットネスクラブ,35.698877,139.7488176
,千代田区,東神田１丁目,-,東京都千代田区東神田1-6-4ロイジェント東神田 1F,chocoZAP(チョコザップ) 岩本町,スポーツクラブ/フィットネスクラブ,35.6945483,139.7789766
,千代田区,-,-,東京都 千代田区 九段南3-7-10 アーバンキューブ九段南 2F,chocoZAP(チョコザップ) 九段南三丁目,スポーツクラブ/フィットネスクラブ,35.693132,139.7435441
,千代田区,内神田３丁目,-,東京都千代田区内神田3-20-6 Kanda ex B1F,chocoZAP(チョコザップ) 神田,スポーツクラブ/フィットネスクラブ,35.6929139,139.7709787
,千代田区,-,-,東京都 千代田区 麹町4-2-1 MK麹町ビル B1F,chocoZAP(チョコザップ) 麹町,スポーツクラブ/フィットネスクラブ,35.684212,139.7374035
,千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内2丁目6番地1号 Marunouchi BRICK SQUARE 4F,ティップネス丸の内スタイル,スポーツクラブ/フィットネスクラブ,35.6788806,139.7627203
,千代田区,神田和泉町１丁目,-,東京都千代田区神田和泉町1-8-2 八木ビル102,ファイトフィット秋葉原,スポーツクラブ/フィットネスクラブ,35.699687,139.7770495
,千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-10-6 VORT御茶ノ水 BF,Private Practice Range(プライベート プラクティス レンジ),ゴルフ練習場,35.6988349,139.7641942
,千代田区,岩本町１丁目,-,東京都千代田区岩本町1-9-1 アイアンビルヂング 5F,ボクシングスタジオTRINITY(トリニティ),スポーツクラブ/フィットネスクラブ,35.6925469,139.777379
,千代田区,神田須田町１丁目,-,東京都千代田区神田須田町1-24 AKビル 1F,ダイビングショップ アクオス,スポーツ用品/スポーツウェア,35.6948375,139.7709589
,千代田区,富士見２丁目,-,東京都千代田区富士見2-10-2 飯田橋グラン・ブルーム サクラテラス 1F,セントラルスポーツ ジムスタ 飯田橋サクラテラス,スポーツクラブ/フィットネスクラブ,35.6989789,139.7436278
,千代田区,永田町２丁目,赤坂,東京都千代田区永田町2-13-10 プルデンシャルタワー2F,スポーツクラブNAS 赤坂店,スポーツクラブ/フィットネスクラブ,35.6760522,139.7384511
,千代田区,富士見２丁目,-,東京都千代田区富士見2-10-2 飯田橋グラン・ブルーム サクラテラス 1F,Re.Ra.Ku(リラク) 飯田橋サクラテラス店,スポーツクラブ/フィットネスクラブ,35.6989789,139.7436278
,千代田区,内神田２丁目,-,東京都千代田区内神田2-4-2 グローバルビル 1F,PRO SHOP HANDBALL7(プロ ショップ ハンドボールセブン) 神田本店,スポーツ用品/スポーツウェア,35.6899746,139.7685064
,千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-4-1 丸の内永楽ビルディング 1F,THE NORTH FACE FLIGHT TOKYO(ザ ノース フェイス フライト トウキョウ),スポーツ用品/スポーツウェア,35.6842777,139.7650482
,千代田区,神田岩本町１丁目,-,東京都千代田区神田岩本町1-20 窪田ビル 2F,WIN & WIN(ウイン アンド ウイン) 東京ショールーム,スポーツ用品/スポーツウェア,35.6964284,139.7748028
,千代田区,富士見２丁目,-,東京都千代田区富士見2-6-12 AMビル 2F,Peak Conditioning(ピーク コンディショニング),スポーツクラブ/フィットネスクラブ,35.7009143,139.7458647
,千代田区,九段北１丁目,-,東京都千代田区九段北1-11-4 井門九段下ビル B1F,GolFair(ゴルフェア),ゴルフ練習場,35.6968141,139.7511587
,千代田区,神田神保町１丁目,-,東京都千代田区神田神保町1-42-12,Hi-GOLD TOKYO BASE(ハイ ゴールド トウキョウ ベース),スポーツ用品/スポーツウェア,35.6977835,139.7581901
,千代田区,神田神保町１丁目,-,東京都千代田区神田神保町1-13-2 文銭堂ビル 4F,zen place pilates(ゼン プレイス ピラティス) 神保町,スポーツスクール/体験,35.6952356,139.7588788
,千代田区,神田錦町３丁目,-,東京都千代田区神田錦町3-21 10 OVER 9 2F,KICKBOXING STUDIO OFFICE RINGS RUNCUBE(キックボクシング スタジオ オフィス リングス ランキューブ),スポーツクラブ/フィットネスクラブ,35.6916228,139.7613489
,千代田区,内神田１丁目,-,東京都千代田区内神田1-18-11 東京ロイヤルプラザ902,HEALTH CARE CREATE(ヘルスケアクリエイト) 本店/神田トレーニングルーム,スポーツクラブ/フィットネスクラブ,35.6919051,139.7671648
