指標名,大使館・領事館,,,,,,,
出典,外務省,,,,,,,
年次,2025/3/9取得,,,,,,,
URL,https://www.mofa.go.jp/mofaj/link/emblist/,,,,,,,
備考,（2020年度：159件、2021年度：159件、2022年度：154件、2023年度：152件、2024年度：155件）,,,,,,,
,,,,,,,,
区,町丁目,エリア,住所,緯度,経度,施設名,英語名,エリア
港区,高輪３丁目,-,東京都港区高輪3丁目4-1 高輪偕成ビル5階、7階,35.634927,139.731573,マラウイ共和国大使館,Embassy of the Republic of Malawi in Japan,アフリカ
渋谷区,代官山町,-,東京都渋谷区代官山町10-14,35.650948,139.704737,リビア大使館,Embassy of Libya,アフリカ
渋谷区,鉢山町,-,東京都渋谷区鉢山町12-9,35.651736,139.696754,ギニア共和国大使館,Embassy of the Republic of Guinea in Japan,アフリカ
渋谷区,松涛２丁目,-,東京都渋谷区松濤2-7-8,35.660282,139.686907,在東京サントメ・プリンシペ民主共和国名誉領事館,Honorary Consulate of the Democratic Republic of Sao Tome and Principe in Tokyo,アフリカ
渋谷区,上原２丁目,-,東京都渋谷区上原2丁目19-12,35.664601,139.682652,コートジボワール共和国大使館,Embassy of the Republic of Cote d'Ivoire in Japan,アフリカ
渋谷区,大山町,-,東京都渋谷区大山町45-24 太田ハウス,35.669095,139.677505,ブルキナファソ大使館,Embassy of Burkina Faso in Japan,アフリカ
新宿区,市谷砂土原町１丁目,-,東京都新宿区市谷砂土原町1－2－61オフィス横丁市谷,35.69468,139.735466,リベリア共和国大使館,Embassy of the Republic of Liberia in Japan,アフリカ
千代田区,九段南３丁目,-,東京都千代田区九段南3-6-6,35.692652,139.743365,チュニジア共和国大使館,Embassy of the Republic of Tunisia in Japan,アフリカ
千代田区,麹町１丁目,-,東京都千代田区麹町1-4 半蔵門ファーストビル4階,35.68432,139.743751,南アフリカ共和国大使館,Embassy of the Republic of South Africa in Japan,アフリカ
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町4-1 新紀尾井町ビル3階 一般社団法人 アフリカ開発協会,35.681175,139.734872,在東京セーシェル共和国名誉領事館,Honorary Consulate of the Republic of Seychelles in Tokyo,アフリカ
品川区,北品川５丁目,-,東京都品川区北品川5-13-1,35.622799,139.733155,ジブチ共和国大使館,Embassy of the Republic of Djibouti in Japan,アフリカ
品川区,上大崎３丁目,-,東京都品川区上大崎3丁目12-9,35.630661,139.718617,マリ共和国大使館,Embassy of the Republic of Mali in Japan,アフリカ
