,,,,,,,,,,,,,,
,指標名,バス停,,,,,,,,,,,,
,出典,NAVITIME,,,,,,,,,,,,
,年次,2025/2/5 取得,,,,,,,,,,,,
,URL,https://www.navitime.co.jp/,,,,,,,,,,,,
,備考,（2022年度：3590件、2023年度：3645件、2024年度：3652件）,,,,,,,,,,,,
,,,,,,,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,バス停名,路線数,1÷路線数,バス路線名,事業者名・系統等,方面1,方面2,種類
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,上州ゆめぐり号：新宿-伊香保温泉・草津温泉,高速バス,伊香保温泉〔見晴下〕/草津温泉バスターミナル方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,つくば号：東京-つくば,高速バス,つくばセンター/筑波大学方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,みと号：東京-水戸,高速バス,石岡〔高速バス〕/水戸駅南口方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,東京・新宿-本庄・伊勢崎,高速バス,伊勢崎駅方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,かしま号：東京-潮来・鹿嶋,高速バス,鹿島神宮駅方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,スサノオ号：東京-松江・出雲,高速バス,松江駅/出雲大社方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,ドリーム阿南・徳島号：東京・新宿-徳島・阿南,高速バス,徳島駅前方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,ドリーム岡山・広島号：東京・横浜-岡山・広島〔ＪＲ〕,高速バス,岡山駅〔西口〕/広島バスセンター方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,マイタウン・ダイレクトバス：東京-TDR・新浦安,高速バス,日の出七丁目方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,ドリーム知多号：東京-知立・刈谷・金山駅,高速バス,知立駅北〔リリオホール前〕/刈谷駅南口方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,エアポートバス東京・成田〔TYO-NRT〕,高速バス,成田空港第１ターミナル方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,東京駅-ムーミンバレーパーク,高速バス,メッツァ方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,東京-境町,高速バス,境町高速ＢＴ方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,ひたち号：東京-日立・高萩,高速バス,日立駅/高萩駅（茨城県）方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,中央ライナー可児号：東京・新宿-中津川・多治見・可児,高速バス,可児車庫方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,ドリーム可児号：東京・新宿-中津川・多治見・可児,高速バス,可児車庫方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,ノクターン号/3列：横浜・東京-弘前・青森〔弘南バス〕,高速バス,弘前バスターミナル/青森駅前方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,萩エクスプレス：東京-山口・萩,高速バス,萩バスセンター方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,シリウス号：東京-八戸・十和田・七戸,高速バス,八戸中心街ターミナル〔三日町〕/七戸十和田駅〔南口〕方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,レイク＆ポート号：新宿・東京-横手・大曲・田沢湖,高速バス,横手バスターミナル/大曲バスターミナル方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,東京-群馬/四万温泉号,高速バス,渋川駅前/四万温泉方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,あそう号：東京-佐原・潮来・鉾田,高速バス,佐原駅南口/鉾田駅方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,東京-ひたちなか・東海,高速バス,勝田駅前〔東口〕/東海駅東口方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,ニュースター号：東京-仙台〔東北急行バス〕,高速バス,仙台駅西口〔旧仙台ホテル前〕方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,やきそば・かぐや姫EXPRESS：東京-富士・富士宮,高速バス,富士駅〔南口〕/富士宮駅方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,東京-常陸太田・大宮・大子,高速バス,常陸太田市高速バスターミナル/常陸大宮市総合保健センター方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,エクスプレス鳥海号：新宿・東京-象潟・本荘,高速バス,羽後本荘駅前方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,伊香保・四万温泉号羽田線,高速バス,伊香保温泉〔関越交通〕/四万温泉方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,東京-波崎〔関東鉄道〕,高速バス,波崎方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,ミッドナイトアロー春日部,東武バス,春日部駅西口方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,深夜急行〔平塚行き〕,神奈川中央交通,藤沢駅北口/平塚駅北口方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,深夜急行〔本厚木行き〕,神奈川中央交通,町田バスセンター/本厚木駅方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,東京-新潟/関東→新潟〔昼行便〕,ウィラー(高速バス),長岡駅大手口〔東坂之上〕/新潟駅南口方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,東京・川崎・千葉-長野/関東→長野,ウィラー(高速バス),東部湯の丸サービスエリア/長野駅東口方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,東京-上高地/さわやか信州号,高速バス,上高地バスターミナル方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,東京・大網線,千葉中央バス,大網駅方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,東京-冨里・多古,高速バス,航空博物館前/多古台バスターミナル方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,茨城空港-東京駅線,関東鉄道,茨城空港（バス）方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,東京駅-東京港フェリーターミナル線,JRバス関東,東京港フェリーターミナル方面,,バス停
,千代田区,丸の内１丁目９東京駅,大丸有,東京都千代田区丸の内１丁目９ 東京駅,35.6812362,139.7671248,東京駅〔八重洲南口〕,116,0.00862069,仙台線〔成田空港・TDR-仙台駅〕,成田空港交通,仙台駅東口方面,,バス停
,千代田区,八重洲１丁目１０東京駅八重洲北口,日八京,東京都中央区八重洲１丁目１０ 東京駅八重洲北口,35.6822966,139.7698979,東京駅八重洲北口〔鉄鋼ビル〕,4,0.25,東京駅-河口湖,高速バス,富士急ハイランド〔第１ゲート側〕/河口湖駅方面,,バス停
