指標名,バス停,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2023/1/27 取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,"（2021年度：3,601件、2022年度：3568件）",,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁目,エリア,住所,緯度,経度,バス停名,路線数,1÷路線数,バス路線名,事業者名・系統等,方面1,方面2,種類
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,みと号：東京-水戸,高速バス,石岡〔高速バス〕/水戸駅南口方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京・新宿-本庄・伊勢崎,高速バス,伊勢崎駅方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,はさき号：東京-潮来・神栖・波崎,高速バス,波崎方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,かしま号：東京-潮来・鹿嶋,高速バス,鹿島神宮駅方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-島根/スサノオ号,高速バス,松江駅/出雲大社方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-広島/ニューブリーズ号,高速バス,広島駅新幹線口方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-徳島/ドリーム阿南・徳島号,高速バス,徳島駅前方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京・神奈川-岡山・広島/ドリーム岡山・広島号,高速バス,岡山駅〔西口〕/広島バスセンター方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-千葉/マイタウン・ダイレクトバス〔新浦安〕,高速バス,日の出七丁目方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,愛知-東京/ドリーム知多号,高速バス,知立駅北〔リリオホール前〕/刈谷駅南口方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,エアポートバス東京・成田〔TYO-NRT〕,高速バス,成田空港第１ターミナル方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-埼玉/東京駅-ムーミンバレーパーク,高速バス,メッツァ方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-茨城/東京-境町,高速バス,境町高速ＢＴ方面,-,バス停
