指標名,コンベンション施設,,,,,,
出典,公益財団法人 東京観光財団（TCVB）,,,,,,
年次,2023/3/21取得,,,,,,
URL,https://businesseventstokyo.org/ja/venues/convention-venues/,,,,,,
備考,部屋数、収容人数などは各URLを参照。（2019年度：179件、2020年度：203件、2021年度：199件、2022年度：202件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-5-1,35.6769460,139.7635030,東京国際フォーラム,https://www.t-i-forum.co.jp
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2-7-2JPタワー4F-5F,35.6797170,139.7647570,JPタワー ホール&カンファレンス,http://www.jptower-hall.jp
中央区,銀座二丁目,-,東京都中央区銀座2-15-6,35.6712520,139.7712270,銀座ブロッサム 中央会館,http://ginza-blossom.jp/
千代田区,有楽町二丁目,大丸有,東京都千代田区有楽町2-10-1,35.6749880,139.7643670,東京交通会館,http://www.kotsukaikan.co.jp/
千代田区,有楽町二丁目,大丸有,東京都千代田区有楽町2-5-1マリオン11階,35.6736900,139.7625140,有楽町朝日ホール,http://www.asahi-hall.jp
千代田区,内幸町二丁目,-,東京都千代田区内幸町2-1-1,35.6709020,139.7528100,イイノホール&カンファレンスセンター,http://www.iino.co.jp/hall/
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2-4-1丸ビル7F&8F,35.6810790,139.7638300,丸ビルホール&コンファレンススクエア,http://www.marunouchi-hc.jp
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2-5-2三菱ビル1F&10F,35.6798260,139.7636470,コンファレンススクエア エムプラス,http://www.marunouchi-hc.jp
中央区,銀座八丁目,-,東京都中央区銀座8-21-1 東京都住友不動産汐留浜離宮ビルB1・1F・2F,35.6642720,139.7640340,ベルサール汐留,https://www.bellesalle.co.jp/shisetsu/shinagawa/bs_shiodome/
港区,新橋一丁目,虎ノ門広域,東京都港区新橋1-18-1,35.6689160,139.7555900,航空会館,http://www.kokukaikan.com/
中央区,銀座三丁目,-,東京都中央区銀座3-9-11,35.6711770,139.7675610,銀座フェニックスプラザ,http://www.phoenixplaza.co.jp
千代田区,日比谷公園,-,東京都千代田区日比谷公園1-3,35.6713960,139.7555180,日比谷公会堂,http://www.hibiya-kokaido.com
