指標名,スーパー,,,,,,
出典,NAVITIME,,,,,,
年次,2023/1/20 取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2020年度：458件、2021年度：532件、2022年度：523件）,,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
千代田区,九段北四丁目,-,東京都千代田区九段北4-1-3,マルエツ リンコス 九段店,その他スーパー,35.692608,139.740215
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-9-1 東京駅構内・GRANSTA TOKYO 1F,紀ノ国屋アントレ グランスタ店,その他スーパー,35.681864,139.766912
千代田区,外神田三丁目,-,東京都千代田区外神田3-1-16 ダイドーリミテッドビル 1F,オリンピック 外神田店,その他スーパー,35.700033,139.769722
中央区,築地四丁目,-,東京都中央区築地4-13-3 築地場外市場,まる一 浜田商店,その他スーパー,35.665044,139.770727
中央区,日本橋浜町三丁目,-,東京都中央区日本橋浜町3-3-1,ピーコック ストア トルナーレ 日本橋浜町店,その他スーパー,35.68481,139.788348
中央区,日本橋堀留町一丁目,-,東京都中央区日本橋堀留町1-5-12 ヤシマ日本橋ビル,まいばすけっと 日本橋堀留町1丁目店,その他スーパー,35.687325,139.779766
中央区,勝どき六丁目,-,東京都中央区勝どき6-3-2,マルエツ 勝どき六丁目店,その他スーパー,35.655144,139.773994
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町13-4,マルエツ プチ 小伝馬町駅前店,その他スーパー,35.690929,139.779226
中央区,日本橋本町二丁目,日八京,東京都中央区日本橋本町2-5-1,マルエツ プチ 日本橋本町店,その他スーパー,35.687365,139.776151
中央区,日本橋横山町,-,東京都中央区日本橋横山町1-3 OKK日本橋ビル,まいばすけっと 日本橋横山町店,その他スーパー,35.691384,139.781729
中央区,日本橋箱崎町,-,東京都中央区日本橋箱崎町31-4 箱崎314ビル,まいばすけっと 日本橋箱崎町店,その他スーパー,35.680596,139.787595
中央区,日本橋蛎殻町二丁目,-,東京都中央区日本橋蛎殻町2-10-11 秀和蛎殻町ビル,まいばすけっと 水天宮店,その他スーパー,35.682738,139.787643
中央区,日本橋本町四丁目,日八京,東京都中央区日本橋本町4-15-9 曽田ビル,まいばすけっと 日本橋本町4丁目店,その他スーパー,35.690176,139.77699
中央区,日本橋中洲,-,東京都中央区日本橋中洲7-1 月村マンションNo.33,まいばすけっと 清洲橋西店,その他スーパー,35.683259,139.790673
中央区,日本橋蛎殻町一丁目,-,東京都中央区日本橋蛎殻町1-37-12 パークアクシス日本橋ステージ,まいばすけっと 日本橋蛎殻町店,その他スーパー,35.682266,139.785208
中央区,日本橋蛎殻町一丁目,-,東京都中央区日本橋蛎殻町1-18-4\アーバネックス日本橋水天宮,まいばすけっと 蛎殻町1丁目店,その他スーパー,35.682327,139.782961
中央区,築地二丁目,-,東京都中央区築地2-11-9 築地MTビル,まいばすけっと 築地2丁目店,その他スーパー,35.668492,139.772696
中央区,新川二丁目,-,東京都中央区新川2-1-5 THE WALL,まいばすけっと 新川2丁目店,その他スーパー,35.677171,139.780056
中央区,日本橋茅場町三丁目,-,東京都中央区日本橋茅場町3-4-2 KDX茅場町ビル,まいばすけっと 茅場町3丁目店,その他スーパー,35.678373,139.777787
中央区,明石町,-,東京都中央区明石町5-15明図ビル,まいばすけっと 築地明石町店,その他スーパー,35.667985,139.777968
中央区,入船三丁目,-,東京都中央区入船3-2-6 NTT築地ビル,まいばすけっと 新富町駅前店,その他スーパー,35.670539,139.775791
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町12-8 昭和ビル,まいばすけっと 日本橋富沢町店,その他スーパー,35.690267,139.781646
中央区,日本橋小網町,-,東京都中央区日本橋小網町15-9 森友第一ビル,まいばすけっと 日本橋小網町店,その他スーパー,35.684333,139.780804
中央区,日本橋浜町二丁目,-,東京都中央区日本橋浜町2-35-4 日本橋浜町パークビル,まいばすけっと 日本橋浜町2丁目店,その他スーパー,35.688756,139.786337
中央区,東日本橋一丁目,-,東京都中央区東日本橋1-1-5ヒューリック東日本橋ビル,まいばすけっと 東日本橋1丁目店,その他スーパー,35.690477,139.785059
中央区,月島三丁目,-,東京都中央区月島3-4-5-101,ダイエー月島店,ダイエー,35.663539,139.781066
中央区,日本橋一丁目,日八京,東京都中央区日本橋1-14-7,成城石井 日本橋一丁目店,その他スーパー,35.681763,139.776203
中央区,日本橋二丁目,日八京,東京都中央区日本橋2-5-1 日本橋高島屋S.C.新館 B1F,成城石井 日本橋高島屋S.C.店,その他スーパー,35.68128,139.773788
中央区,日本橋浜町三丁目,-,東京都中央区日本橋浜町3-22-1,成城石井 日本橋浜町店,その他スーパー,35.685554,139.788734
中央区,晴海一丁目,-,東京都中央区晴海1-8-16 晴海トリトン2F,成城石井 晴海トリトン店,その他スーパー,35.657372,139.782781
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町1-7 スクエア日本橋1F,成城石井 小伝馬町店,その他スーパー,35.690137,139.777947
中央区,佃二丁目,-,東京都中央区佃2-2-8 リバーシティ21G棟,マルエツ 佃店,その他スーパー,35.668787,139.786377
中央区,日本橋馬喰町一丁目,-,東京都中央区日本橋馬喰町1-5-6,マルマンストア 日本橋馬喰町店,その他スーパー,35.692423,139.781703
中央区,新川二丁目,-,東京都中央区新川2-21-10,mini(ミニ) ピアゴ 新川2丁目店,その他スーパー,35.673418,139.782199
中央区,新川一丁目,-,東京都中央区新川1-17-24 新川中央ビル,肉のハナマサ 新川店,その他スーパー,35.678379,139.78354
中央区,築地四丁目,-,東京都中央区築地4-10-15,株式会社北島商店,その他スーパー,35.66549,139.77022
中央区,勝どき一丁目,-,東京都中央区勝どき1-8-1,SUPER MARKET FUJI(スーパーマーケットフジ) デリド勝どき駅前店,その他スーパー,35.659737,139.776575
中央区,佃一丁目,-,東京都中央区佃1-11-8 リバーシティ21ピアウエスト,マルエツ リンコス リバーシティ店,その他スーパー,35.668961,139.785079
中央区,晴海一丁目,-,東京都中央区晴海1-8-16晴海トリトン1-1,マルエツ プチ 晴海店,その他スーパー,35.657372,139.782781
中央区,八丁堀二丁目,-,東京都中央区八丁堀2-14-4ヤブ原ビル,マルエツ プチ 八丁堀店,その他スーパー,35.676894,139.776833
中央区,日本橋人形町二丁目,-,東京都中央区日本橋人形町2-7-5,マルエツ プチ 人形町駅前店,その他スーパー,35.686574,139.782951
中央区,東日本橋三丁目,-,東京都中央区東日本橋3-11-4,マルエツ プチ 東日本橋三丁目店,その他スーパー,35.69226,139.784339
中央区,新川一丁目,-,東京都中央区新川1-28-44,マルエツ プチ 新川一丁目店,その他スーパー,35.675847,139.784738
中央区,晴海三丁目,-,東京都中央区晴海3-13-2,マルエツ 晴海三丁目店,その他スーパー,35.65475,139.777669
中央区,八丁堀四丁目,-,東京都中央区八丁堀4-11-4,マルエツ プチ 八丁堀四丁目店,その他スーパー,35.673988,139.777369
中央区,日本橋横山町,-,東京都中央区日本橋横山町4-7,フレスコ日本橋横山町店,コープ,35.691791,139.782252
中央区,京橋二丁目,日八京,東京都中央区京橋2-2-8,明治屋 京橋ストアー,その他スーパー,35.677368,139.770143
中央区,勝どき一丁目,-,東京都中央区勝どき1-7-1,文化堂 勝どき店,その他スーパー,35.659957,139.777589
中央区,入船三丁目,-,東京都中央区入船3丁目5-10,miniピアゴ入船3丁目店,その他スーパー,35.670803,139.776271
中央区,日本橋二丁目,日八京,東京都中央区日本橋2-4-1 日本橋高島屋S.C.本館B1F,明治屋ストアー 日本橋高島屋S.C.店,その他スーパー,35.680801,139.773511
中央区,入船一丁目,-,東京都中央区入船1-4-10 ミニピアゴ入船1丁目店,mini(ミニ)ピアゴ 入船1丁目店,その他スーパー,35.672526,139.77699
中央区,豊海町,-,東京都中央区豊海町12-12,株式会社ホウスイ 豊海第一冷蔵庫,社会関連,35.652172,139.77016
中央区,湊二丁目,-,東京都中央区湊2-15-14 パークシティ中央湊ザタワー 1F,デリド湊店,その他スーパー,35.67122,139.780624
中央区,築地七丁目,-,東京都中央区築地7-6-5,ニューみ乃り屋,その他スーパー,35.665652,139.773929
中央区,月島一丁目,-,東京都中央区月島1-27-9,フジマート 月島店,その他スーパー,35.663181,139.782032
中央区,月島二丁目,-,東京都中央区月島2丁目10-2,文化堂月島店,その他スーパー,35.66362,139.784318
