指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2023/1/20 取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2020年度：609件、2021年度：668件、2022年度：899件）,,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
港区,三田二丁目,-,東京都港区三田2-13-9,三田春日神社,神社,35.649697,139.744426
港区,赤坂六丁目,赤坂,東京都港区赤坂6-10-12,赤坂氷川神社,神社,35.668317,139.736187
港区,六本木七丁目,六本木,東京都港区六本木7-7-7,天祖神社・龍土神明宮,神社,35.665144,139.729239
港区,元麻布一丁目,-,東京都港区元麻布1-4-23,麻布氷川神社,神社,35.652875,139.731059
港区,芝公園四丁目,-,東京都港区芝公園4丁目8-10,東照宮,神社,35.655109,139.748618
港区,六本木六丁目,六本木,東京都港区六本木6-7-14,朝日神社,神社,35.661857,139.732538
港区,白金台二丁目,-,東京都港区白金台2-26-14,真先稲荷神社,神社,35.631534,139.729547
港区,芝三丁目,-,東京都港区芝3-12-19,柳神社,神社,35.652814,139.746039
港区,高輪四丁目,-,東京都港区高輪4-10-23,高山稲荷神社,神社,35.628195,139.737240
港区,北青山三丁目,-,東京都港区北青山3-5-26,秋葉神社,神社,35.665718,139.712220
港区,高輪一丁目,-,東京都港区高輪1-18-11,稲荷神社,神社,35.639790,139.733120
港区,高輪二丁目,-,東京都港区高輪2丁目15-10,稲荷神社,神社,35.637506,139.739077
港区,白金台一丁目,-,東京都港区白金台1-1-7,古地老稲荷神社,神社,35.638455,139.727802
港区,赤坂四丁目,赤坂,東京都港区赤坂4-13-17,末廣稲荷神社,神社,35.672776,139.731753
港区,西麻布三丁目,-,東京都港区西麻布3丁目2-17,櫻田神社,神社,35.659375,139.727173
港区,南麻布四丁目,-,東京都港区南麻布4-5-61,廣尾稲荷神社,神社,35.650446,139.723602
港区,三田一丁目,-,東京都港区三田1-4-74,元神明宮,神社,35.653504,139.740617
港区,台場一丁目,-,東京都港区台場1-7-1 アクアシティお台場7F,アクアシティお台場神社,神社,35.627948,139.773834
港区,芝公園四丁目,-,東京都港区芝公園4-2-8,タワー大神宮,神社,35.658570,139.745484
港区,南青山二丁目,-,東京都港区南青山2丁目18-2,青山典範合資会社,寺院,35.669436,139.720227
港区,西麻布四丁目,-,東京都港区西麻布4-9-2,神道大教,教会,35.656889,139.722943
港区,麻布台二丁目,-,東京都港区麻布台2-2-14,熊野神社,神社,35.658598,139.742939
港区,南青山五丁目,-,東京都港区南青山5-1-7,稲荷神社,神社,35.664409,139.713447
港区,赤坂七丁目,赤坂,東京都港区赤坂7-6-19,椿大神社東京講本部,神社,35.671067,139.733050
港区,南青山三丁目,-,東京都港区南青山3-4-11,稲荷神社,神社,35.666844,139.717167
港区,芝公園三丁目,虎ノ門,東京都港区芝公園3丁目5-27,宗教法人幸稲荷神社,神社,35.660491,139.746030
港区,浜松町二丁目,-,東京都港区浜松町2-9-8,稲荷神社,神社,35.654079,139.756094
港区,虎ノ門四丁目,虎ノ門,東京都港区虎ノ門4-1-3,葺城稲荷神社,神社,35.664551,139.744906
港区,虎ノ門五丁目,虎ノ門,東京都港区虎ノ門5-10-14,西久保八幡神社,神社,35.661343,139.742650
新宿区,西早稲田二丁目,-,東京都新宿区西早稲田2-1-11,穴八幡宮,神社,35.707326,139.717227
新宿区,新宿五丁目,-,東京都新宿区新宿5-17-3,花園神社,神社,35.693565,139.705098
