指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2023/2/10取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,2020年度：645件、2021年度：679件、2022年度：728件,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,ポート名,緯度,経度,休止・再開・閉鎖情報,営業時間・備考
千代田区,神田三崎町二丁目,-,東京都千代田区神田三崎町2-22,A2-24.水道橋駅西口前 / Suidobashi Station in front of West exit,35.702096,139.754083,-,営業時間 24時間 / Open for 24 hours
千代田区,神田駿河台一丁目,-,東京都千代田区神田駿河台1-7-1,A2-25.プラウド神田駿河台 / PROUD KANDA SURUGADAI,35.699082,139.760633,-,営業時間 24時間 / Open for 24 hours
千代田区,神田駿河台二丁目,-,東京都千代田区神田駿河台2-10,A2-26.駿台興業 / Sundai Kogyo,35.698747,139.76431,-,営業時間 24時間 / Open for 24 hours
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-4-2,A2-27.丸紅ビル / Marubeni Building,35.69055,139.760169,-,営業時間 24時間 / Open for 24 hours
千代田区,一ツ橋一丁目,-,東京都千代田区一ツ橋1-2-1,A2-28.NTTコミュニケーションズ一ツ橋ビル駐車場?/ Communications Hitotsubashi Building parking,35.691732,139.756982,-,営業時間 24時間 / Open for 24 hours
千代田区,神田司町二丁目,-,東京都千代田区神田司町2-2,A3-01.神田児童公園（西側交番横） /?Kanda Children Park(West Side Next to the Police Box),35.692745,139.768074,-,営業時間 24時間 / Open for 24 hours
千代田区,内神田二丁目,-,東京都千代田区内神田2-3-6,A3-02.絶滅メディア博物館（楓ビル）/ Extinct Media Museum(Kaede Build.),35.689637,139.767904,-,営業時間 24時間 / Open for 24 hours
千代田区,神田司町二丁目,-,東京都千代田区神田司町2-16,A3-03.NTT東日本神田ビル /?NTT-East Kanda Build,35.693178,139.768394,休止中（2023年2月時点）,営業時間 24時間 / Open for 24 hours
千代田区,神田佐久間町一丁目,-,東京都千代田区神田佐久間町1-18,A3-04.秋葉原公園 /?Akihabara Park,35.697883,139.774702,-,営業時間 24時間 / Open for 24 hours
千代田区,神田和泉町,-,東京都千代田区神田和泉町1,A3-05.和泉公園（西側入口） / Izumi Park(Western Entrance),35.699016,139.777421,-,営業時間 24時間 / Open for 24 hours
千代田区,神田淡路町二丁目,-,東京都千代田区神田淡路町2-107,A3-07.淡路公園 /?Awaji Park,35.696366,139.767494,-,営業時間 24時間 / Open for 24 hours
千代田区,外神田二丁目,-,東京都千代田区外神田2-16-2,A3-08.神田明神（神田神社）/ Kanda Myoujin (Kanda Shrine ),35.702032,139.767885,-,営業時間 24時間 / Open for 24 hours
千代田区,外神田三丁目,-,東京都千代田区外神田3-5-18,A3-10.芳林公園（北側）/?Hourin Park(North Side),35.701952,139.76986,-,営業時間 24時間 / Open for 24 hours
千代田区,外神田六丁目,-,東京都千代田区外神田6-11-19,A3-11.練成公園 /?Rensei Park,35.703707,139.770993,-,営業時間 24時間 / Open for 24 hours
千代田区,外神田四丁目,-,東京都千代田区外神田4-14-1,A3-12.秋葉原UDX北側駐輪場前 /?Akihabara UDX(North Side),35.700541,139.772541,-,営業時間 24時間 / Open for 24 hours
千代田区,神田練塀町,-,東京都千代田区神田練塀町3富士ソフト秋葉原ビル,A3-13.富士ソフトビル（駐車場入口横） /?Fuji Soft Building(Side of Entrance to parking lot),35.700841,139.774102,-,営業時間 24時間 / Open for 24 hours
千代田区,岩本町一丁目,-,東京都千代田区岩本町1-1-1,A3-16.地蔵橋東児童遊園 /?Jizoubashi East Children Park,35.6913,139.775863,-,営業時間 24時間 / Open for 24 hours
千代田区,神田佐久間河岸,-,東京都千代田区神田佐久間河岸92先,A3-18.美倉橋北児童遊園 /?Mikurabashi North Children Park,35.697108,139.778585,-,営業時間 24時間 / Open for 24 hours
千代田区,神田須田町二丁目,-,東京都千代田区神田須田町2-4-24,A3-19.神田ふれあい通り第１ /?Kanda Fureai-dori St. 1,35.695019,139.772891,-,営業時間 24時間 / Open for 24 hours
千代田区,神田須田町二丁目,-,東京都千代田区神田須田町2-4-25,A3-20.神田ふれあい通り第２ /?Kanda Fureai-dori St. 2,35.695019,139.772891,-,営業時間 24時間 / Open for 24 hours
千代田区,神田須田町二丁目,-,東京都千代田区神田須田町2-4-26,A3-21.神田ふれあい通り第３ /?Kanda Fureai-dori St. 3,35.695019,139.772891,-,営業時間 24時間 / Open for 24 hours
千代田区,岩本町一丁目,-,東京都千代田区岩本町1-14-1,A3-22.龍閑児童公園 /?Ryukan Children’s Park,35.693211,139.779735,-,営業時間 24時間 / Open for 24 hours
千代田区,岩本町二丁目,-,東京都千代田区岩本町2-15-3,A3-24.岩本町ほほえみプラザ / Iwamoto-cho Hohoemi Plaza,35.694531,139.77786,-,営業時間 24時間 / Open for 24 hours
千代田区,内神田三丁目,-,東京都千代田区内神田3-21-6,A3-25.神田駅北（神田警察通り）/ North Side of Kanda　Station（Kanda Police St.）,35.692864,139.770635,-,営業時間 24時間 / Open for 24 hours
千代田区,神田花岡町,-,東京都千代田区神田花岡町1-1,A3-27.秋葉原駅中央口（ヨドバシカメラ前）/ JR Akihabara Sta. Central Exit（beside Yodobashi-Akiba）,35.69918,139.772982,-,営業時間 24時間 / Open for 24 hours
千代田区,神田花岡町,-,東京都千代田区神田花岡町1-1,A3-28.秋葉原駅電気街口（西側交通広場）/ JR Akihabara Sta. Electric Town Exit（West Traffic Square）,35.69918,139.772982,-,営業時間 24時間 / Open for 24 hours
千代田区,東神田一丁目,-,東京都千代田区東神田1-15-9,A3-36.クロックカフェ東神田 / Clock caf? Higashi-kanda,35.694953,139.782685,-,営業時間 / Open平日 9:30 - 22:00 土日 9:30 - 23:00
千代田区,東神田二丁目,-,東京都千代田区東神田2-10-9,A3-37.ポータル秋葉原 / THE PORTAL AKIHABARA,35.695745,139.781504,-,営業時間 24時間 / Open for 24 hours
千代田区,神田須田町一丁目,-,東京都千代田区神田須田町1-30-1,A3-38.パークホームズ千代田淡路町 / Park HOMES chiyoda-awajicho,35.695005,139.769571,-,営業時間 24時間 / Open for 24 hours
千代田区,東神田一丁目,-,東京都千代田区東神田1-23-17外,A3-39.トーシン東神田ビル / Toshin Higashikanda Build,35.69392,139.780982,-,営業時間 24時間 / Open for 24 hours
千代田区,外神田四丁目,-,東京都千代田区外神田1-18-13,A3-41.秋葉原ダイビル / Akihabara Daibiru Building,35.699213,139.772093,-,営業時間 24時間 / Open for 24 hours
千代田区,内神田三丁目,-,東京都千代田区内神田3-22,A3-42.内神田3丁目 / Uchikanda 3Chome,35.692622,139.770099,-,営業時間 24時間 / Open for 24 hours
千代田区,東神田一丁目,-,東京都千代田区東神田1-7-10,A3-43.unito CHIYODA,35.694809,139.779296,-,営業時間 24時間 / Open for 24 hours
千代田区,東神田一丁目,-,東京都千代田区東神田1-9‐8,A3-44.THE WAVES AKIHABARA,35.694695,139.779743,-,営業時間 24時間 / Open for 24 hours
千代田区,鍛冶町二丁目,-,東京都千代田区鍛冶町2-1-15,A3-45.鍛冶町2丁目 / Kajicho 2 Chome,35.690976,139.771198,-,営業時間 24時間 / Open for 24 hours
千代田区,神田須田町二丁目,-,東京都千代田区神田須田町2-6,A3-46.神田須田町2丁目 / Kanda sudacho 2 Chome,35.695436,139.773483,-,営業時間 24時間 / Open for 24 hours
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2-4-1,A4-01.丸ビル（南側駐輪場） /?Marunouchi Build.(Southern Cycle Port),35.681079,139.76383,-,営業時間 24時間 / Open for 24 hours
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-7-2,A4-02.東京サンケイビル / Tokyo Sankei Building,35.687076,139.765433,-,営業時間 24時間 / Open for 24 hours
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-5-1,A4-03.東京国際フォーラム（メトロD5出口） /?Tokyo International Forum (Metro D5 Exit),35.676946,139.763503,-,営業時間 24時間 / Open for 24 hours
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-5,A4-05.大手町タワー /?THE OTEMACHI TOWER,35.685542,139.764644,-,営業時間 24時間 / Open for 24 hours
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-5-1,A4-06.大手町ファーストスクエア /?OTEMACHI 1st SQUARE,35.685917,139.764236,-,営業時間 24時間 / Open for 24 hours
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-6-2,A4-08.永代通り（大手町駅B2c出口前） / Eitai-dori（beside Otemachi Sta.B2c Exit）,35.684179,139.766425,-,営業時間 24時間 / Open for 24 hours
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2-2-18地先,A4-11.二重橋前駅（メトロ4番出口）/ Nijubashimae Sta. （Metro 4 Exit）,35.680196,139.762278,-,営業時間 24時間 / Open for 24 hours
