指標名,美術館・博物館,,,,,日本博物館協会,https://www.j-muse.or.jp/
出典,日本博物館協会、Tokyo Art Beat、artscape、Internet Museum,,,,,TokyoArtBeat(EventSpace・美術館),http://www.tokyoartbeat.com/venues/Museum
年次,2023/3/22取得,,,,,artscape,https://artscape.jp/mdb/mdb_result.php?area=8
URL,右表参考,,,,,Internet Museum,https://www.museum.or.jp/modules/im_museum/
備考,4つの出典のうち、2つ以上に掲載されているもの（2020年度：202件、2021年度：204件、2022年度、125件）,,,,,※昨年度まで、#17の出典であるTokyoArtBeat(gallery)が含まれていたが、今回からは除外し、TokyoArtBeat(EventSpace・美術館)を対象とした。,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL or TEL
港区,東新橋一丁目,虎ノ門広域,東京都港区東新橋 1-8-2 ｶﾚｯﾀ汐留,35.664978,139.762412,アドミュージアム東京,03-6218-2500
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-1-1帝劇ﾋﾞﾙ9階,35.676685,139.760903,出光美術館,050-5541-8600
港区,愛宕二丁目,虎ノ門,東京都港区愛宕2-1-1,35.663794,139.748291,ＮＨＫ放送博物館,03-5400-6900
渋谷区,東三丁目,-,東京都渋谷区東3-1-5MITSUO KAJI ﾋﾞﾙ1F･2F,35.65222,139.71305,エマーユ七宝美術館,03-3407-3227
港区,虎ノ門二丁目,虎ノ門,東京都港区虎ﾉ門2-10-3,35.666991,139.743255,大倉集古館,03-5575-5711
渋谷区,神宮前一丁目,-,東京都渋谷区神宮前1-10- 10,35.669401,139.704969,太田記念美術館,03-3403-0880
千代田区,三番町,-,東京都千代田区三番町12,35.690988,139.74236,大妻女子大学博物館,03-5275-5739
千代田区,北の丸公園,-,東京都千代田区北の丸公園2-1,35.691189,139.753023,科学技術館,03-3212-8544
港区,虎ノ門四丁目,虎ノ門,東京都港区虎ﾉ門4-1-35(公財)菊池美術財団,35.666063,139.744435,菊池寛実記念 智美術館,03-5733-5131
千代田区,千代田,-,東京都千代田区千代田1-1,35.683823,139.753814,宮内庁三の丸尚蔵館,03-3213-1111
品川区,上大崎二丁目,-,東京都品川区上大崎2-25-5久米ﾋﾞﾙ8階,35.634602,139.714642,久米美術館,03-3491-1510
渋谷区,上原三丁目,-,東京都渋谷区上原3-6-12,35.66782,139.680038,古賀政男音楽博物館,03-3460-9051
渋谷区,東四丁目,-,東京都渋谷区東4-10-28,35.655644,139.71165,國學院大學博物館,03-5466-0359
港区,六本木七丁目,六本木,東京都港区六本木7-22-2,35.665094,139.726293,国立新美術館,03-5777-8600
新宿区,大京町,-,東京都新宿区大京町31-10 ｱｰﾄ千駄ヶ谷ﾋﾞﾙ,35.681742,139.714979,佐藤美術館,03-3358-6021
港区,赤坂九丁目,六本木,東京都港区赤坂9-7-4 東京ﾐｯﾄﾞﾀｳﾝ ｶﾞｰﾃﾞﾝｻｲﾄﾞ,35.666073,139.73013,サントリー美術館,03-3479-8600
品川区,大井六丁目,-,東京都品川区大井6-11-1,35.59666,139.730153,品川区立品川歴史館,03-3777-4060
渋谷区,松涛二丁目,-,東京都渋谷区松濤2-14-14,35.65868,139.691788,渋谷区立松濤美術館,03-3465-9421
千代田区,九段南一丁目,-,東京都千代田区九段南1-5-13ﾂｶｷｽｸｴｱ 九段下,35.694955,139.752206,しょうけい館（戦傷病者史料館）,03-3234-7821
千代田区,九段南一丁目,-,東京都千代田区九段南1-6-1,35.695205,139.7511,昭和館,03-3222-2577
渋谷区,東四丁目,-,東京都渋谷区東4-9-1,35.656392,139.712561,白根記念渋谷区郷土博物館・文学館,03-3486-2791
新宿区,四谷三栄町,-,東京都新宿区四谷三栄町12- 16,35.689949,139.725875,新宿区立新宿歴史博物館,03-3359-2131
品川区,上大崎四丁目,-,東京都品川区上大崎4-6-19,35.631622,139.715856,杉野学園衣裳博物館,03-6910-4413
新宿区,西新宿一丁目,-,東京都新宿区西新宿1-26-1,35.692684,139.696153,SOMPO美術館,03-3349-3081
新宿区,四谷本塩町,-,東京都新宿区四谷本塩町14-3,35.690921,139.729108,帝国データバンク史料館,03-5919-9600
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-1,35.690542,139.754642,東京国立近代美術館,03-3214-2561
江東区,三好四丁目,-,東京都江東区三好4-1-1,35.679725,139.807995,東京都現代美術館,03-5245-4111
港区,白金台五丁目,-,東京都港区白金台5-21-9,35.636858,139.71938,東京都庭園美術館,03-3443-0201
新宿区,神楽坂一丁目,-,東京都新宿区神楽坂1-3,35.699399,139.741398,東京理科大学近代科学資料館,03-5228-8224
港区,赤坂四丁目,赤坂,東京都港区赤坂4-9-17赤坂第一ﾋﾞﾙ2階,35.675287,139.732625,虎屋文庫,03-3408-2402
江東区,青海二丁目,-,東京都江東区青海2-3-6,35.619184,139.776551,日本科学未来館,03-3570-9151
千代田区,一番町,-,東京都千代田区一番町25JCII一番町ﾋﾞﾙ地下1階,35.686064,139.742579,日本カメラ博物館,03-3263-7110
中央区,日本橋本石町一丁目,日八京,東京都中央区日本橋本石町1-3-1,35.68537,139.771791,日本銀行金融研究所 貨幣博物館,03-3277-3037
港区,南青山六丁目,-,東京都港区南青山6-5-1,35.662138,139.717543,根津美術館,03-3400-2536
港区,東新橋一丁目,虎ノ門広域,東京都港区東新橋1-5-1ﾊﾟﾅｿﾆｯｸ東京汐留ﾋﾞﾙ4階,35.665883,139.761864,パナソニック汐留美術館,03-5777-8600
品川区,北品川四丁目,-,東京都品川区北品川4-5-12,35.620421,139.735305,翡翠原石館,03-6408-0313
品川区,東八潮,-,東京都品川区東八潮3-1,35.620345,139.772365,船の科学館,03-5500-1113
渋谷区,代々木三丁目,-,東京都渋谷区代々木3-22-7新宿文化ｸｲﾝﾄﾋﾞﾙ,35.686235,139.694914,文化学園服飾博物館,03-3299-2387
渋谷区,道玄坂二丁目,-,東京都渋谷区道玄坂2-24- 1,35.660739,139.695705,Bunkamura ザ・ミュージアム,03-3477-9111（大代表）
新宿区,西新宿二丁目,-,東京都新宿区西新宿2-6-1新宿住友ﾋﾞﾙ33階,35.69142,139.692595,平和祈念展示資料館,03-5323-8709
港区,白金台五丁目,-,東京都港区白金台5-12-6,35.639955,139.721802,松岡美術館,03-5449-0251
