指標名,スポーツ施設,,,,,,
出典,NAVITIME,,,,,,
年次,2023/1/17 取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2020年度：423件、2021年度：912件、2022年度：959件）,,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
千代田区,日比谷公園,-,東京都千代田区日比谷公園1-5,SPORTS STATION Hibiya Park(スポーツ ステーション ヒビヤ パーク),スポーツ施設/運動公園,35.672372,139.754008
千代田区,神田駿河台四丁目,-,東京都千代田区神田駿河台4-3 お茶の水サンクレール 1F,Dr.stretch(ドクター ストレッチ) お茶の水店,スポーツクラブ/フィットネスクラブ,35.699082,139.764849
千代田区,神田須田町一丁目,-,東京都千代田区神田須田町1-18 5F,体育・スポーツ家庭教師ファースト 東京本社,スポーツスクール/体験,35.696034,139.769681
千代田区,九段南四丁目,-,東京都千代田区九段南4-3-13 麹町秀永ビル B1F,クラヴマガ 市ヶ谷トレーニングセンター,スポーツクラブ/フィットネスクラブ,35.691761,139.740115
千代田区,一番町,-,東京都千代田区一番町6-8 B1F,GOLF FUNP(ゴルフ ファンプ),ゴルフ練習場,35.687546,139.741799
千代田区,外神田五丁目,-,東京都千代田区外神田5-1-10 千住ビル B1-4F,1/3rd Fitness(ワンサード フィットネス) 秋葉原店,スポーツクラブ/フィットネスクラブ,35.703445,139.772377
千代田区,内幸町一丁目,-,東京都千代田区内幸町1-1-6 NTT日比谷ビル B1F,ARスポーツセンター HADO ARENA(ハドーアリーナ) 日比谷店,スポーツクラブ/フィットネスクラブ,35.671302,139.757358
千代田区,神田花岡町,-,東京都千代田区神田花岡町1-1 ヨドバシカメラマルチメディアAkiba 9F,Akiba Golf Studio(アキバゴルフスタジオ),ゴルフ練習場,35.698975,139.774692
千代田区,神田三崎町二丁目,-,東京都千代田区三崎町2-6-6 光建ビル 3-5F,格闘技ジム アカデミア・アーザ,スポーツクラブ/フィットネスクラブ,35.700232,139.753878
千代田区,神田小川町二丁目,-,東京都千代田区神田小川町2-4-6 OUTDOOR PLAZA 5F,RDC BASE(アールディーシ- ベ-ス) 神田小川町店,スポーツ施設/運動公園,35.694618,139.76432
千代田区,富士見二丁目,-,東京都千代田区富士見2-4-9 千代田富士見スカイマンション 209,Y personal training gym(ワイ パーソナル トレーニング ジム) ワイジム,スポーツクラブ/フィットネスクラブ,35.6998,139.745943
千代田区,神田三崎町二丁目,-,東京都千代田区神田三崎町2-17-9 ACN水道橋駅前ビル B1F,ACN GOLF RANGE(エーシーエヌ ゴルフ レンジ) 水道橋,ゴルフ練習場,35.701358,139.753379
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-5-1 新丸の内ビルディング(新丸ビル)B1F,MARUNOUCHI Bike&Run(マルノウチ バイクアンドラン),スポーツクラブ/フィットネスクラブ,35.682621,139.764244
千代田区,有楽町二丁目,大丸有,東京都千代田区有楽町2-10-1 東京交通会館 1F,STEPGOLF PREMIUM YURAKUCHO(ステップゴルフ プレミアム ユウラクチョウ),ゴルフ練習場,35.67489,139.764331
千代田区,六番町,-,東京都千代田区六番町1-7,MTX ACADEMY(アカデミー),スポーツクラブ/フィットネスクラブ,35.68761,139.734687
千代田区,麹町二丁目,-,東京都千代田区麹町2-8-5 麹町285ビル B1F,キャピタルゴルフレンジ,ゴルフ練習場,35.685051,139.740195
千代田区,神田岩本町,-,東京都千代田区神田岩本町1-1 岩本町ビル 3F,Bodyke(ボディーク) 秋葉原本店,スポーツクラブ/フィットネスクラブ,35.696151,139.775072
千代田区,神田須田町二丁目,-,東京都千代田区神田須田町2-1-3 BP秋葉原ビル 2F,パーソナルトレーニングジムREAL WORKOUT(リアルワークアウト) 秋葉原・神田店,スポーツクラブ/フィットネスクラブ,35.695848,139.773734
千代田区,神田神保町一丁目,-,東京都千代田区神田神保町1-103 東京パークタワー1F,LoungeRange(ラウンジレンジ) 神保町,ゴルフ練習場,35.694206,139.759218
千代田区,鍛冶町二丁目,-,東京都千代田区鍛冶町2-9-4 日宝神田イーストII 5F,Apple GYM(アップルジム) 神田店,スポーツクラブ/フィットネスクラブ,35.693044,139.771907
千代田区,神田松永町,-,東京都千代田区神田松永町18-2 秋葉原NORTH COURT 5F,Apple GYM(アップルジム) 秋葉原店,スポーツクラブ/フィットネスクラブ,35.7005,139.775133
千代田区,神田東松下町,-,東京都千代田区神田東松下町39 神田トーセイビル1F,ゴルフパフォーマンス 神田店,ゴルフ練習場,35.694076,139.772759
千代田区,岩本町三丁目,-,東京都千代田区岩本町3-3-6 井門岩本町ビルB1F,ゴルフパフォーマンス 秋葉原店,ゴルフ練習場,35.695314,139.776424
千代田区,大手町一丁目,大丸有,東京都千代田区大手町2-1-1,グランサイズ大手町,スポーツクラブ/フィットネスクラブ,35.685715,139.762952
千代田区,神田神保町二丁目,-,東京都千代田区神田神保町2-10-31 iwビル6F,studio Body Link(スタジオ ボディ リンク),スポーツスクール/体験,35.697278,139.755924
千代田区,神田猿楽町二丁目,-,東京都千代田区神田猿楽町2丁目8-8,エスフォルタ水道橋,スポーツクラブ/フィットネスクラブ,35.700731,139.757931
千代田区,飯田橋四丁目,-,東京都千代田区飯田橋4丁目5-6,極真会館飯田橋道場,スポーツスクール/体験,35.70046,139.747141
千代田区,外神田三丁目,-,東京都千代田区外神田3-6-2F H協和スクエア502号,パーソナルトレーニングジム ティーバランス秋葉原店,スポーツクラブ/フィットネスクラブ,35.702304,139.769621
千代田区,平河町二丁目,-,東京都千代田区平河町2-4-5,HYPERION GOLF STUDIO(ヒューぺリオン ゴルフ スタジオ) 麹町店,ゴルフ練習場,35.682143,139.738399
千代田区,内神田二丁目,-,東京都千代田区内神田2丁目1-8,千代田区立スポーツセンター弓道場,スポーツ施設/運動公園,35.689136,139.767684
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3丁目2,セントラルスポーツジム&ラン丸の内二重橋,スポーツクラブ/フィットネスクラブ,35.677942,139.761055
千代田区,三番町,-,東京都千代田区三番町1,セントラルスポーツジム24三番町,スポーツクラブ/フィットネスクラブ,35.689366,139.744929
千代田区,神田須田町二丁目,-,東京都千代田区神田須田町2丁目1-1,PHOENIXキックボクシング&ムエタイジム,スポーツ施設/運動公園,35.69595,139.771506
千代田区,永田町二丁目,赤坂,東京都千代田区永田町2丁目4-11,フレンドシップカントリークラブ,ゴルフ場,35.672126,139.742171
千代田区,神田神保町一丁目,-,東京都千代田区神田神保町1丁目58,ハイテクスポーツ塾,スポーツ施設/運動公園,35.698513,139.757281
千代田区,神田駿河台一丁目,-,東京都千代田区神田駿河台1丁目5-6,トレードウインドマリーン,スポーツスクール/体験,35.698799,139.761096
千代田区,神田小川町三丁目,-,東京都千代田区神田小川町3丁目24-15,スポーツオーパ、ハング・パラスクール,スポーツスクール/体験,35.695505,139.762802
千代田区,神田小川町三丁目,-,東京都千代田区神田小川町3-28-13,ナビゲーションスクール,スポーツスクール/体験,35.695755,139.763171
千代田区,神田三崎町三丁目,-,東京都千代田区神田三崎町3丁目6-12,レックゴルフスクール水道橋,スポーツスクール/体験,35.701735,139.751367
千代田区,永田町二丁目,赤坂,東京都千代田区永田町2丁目13-10,WOW’D赤坂店,スポーツクラブ/フィットネスクラブ,35.676043,139.738706
千代田区,神田駿河台一丁目,-,東京都千代田区神田駿河台1-8-11,YWCAフィットネスワオ,スポーツ施設/運動公園,35.697851,139.762852
千代田区,外神田一丁目,-,東京都千代田区外神田1丁目3-13,N・Sゴルフスクール秋葉原スタジオ,スポーツスクール/体験,35.698475,139.769821
千代田区,神田神保町一丁目,-,東京都千代田区神田神保町1丁目60,加圧リハビット,スポーツ施設/運動公園,35.695378,139.759458
千代田区,九段南三丁目,-,東京都千代田区九段南3-9-11,インドアゴルフ坂の上,ゴルフ練習場,35.692221,139.741301
千代田区,神田小川町二丁目,-,東京都千代田区神田小川町2-4-6,ヒワラニ,スポーツクラブ/フィットネスクラブ,35.694618,139.76432
千代田区,神田錦町一丁目,-,東京都千代田区神田錦町1丁目14-7,東京ナビゲーション,スポーツスクール/体験,35.693831,139.76423
千代田区,飯田橋一丁目,-,東京都千代田区飯田橋1丁目3-7,パーソナルスタジオBee,スポーツクラブ/フィットネスクラブ,35.698087,139.749895
千代田区,飯田橋一丁目,-,東京都千代田区飯田橋1丁目7-4,パーソナルトレーニングジムgis,スポーツクラブ/フィットネスクラブ,35.699155,139.748539
千代田区,神田小川町三丁目,-,東京都千代田区神田小川町3丁目16-1,BoogieWonderFitnessClub.,スポーツクラブ/フィットネスクラブ,35.696746,139.760386
千代田区,麹町二丁目,-,東京都千代田区麹町2丁目5-20,ゴルフ医科学研究所,スポーツスクール/体験,35.683426,139.740434
千代田区,西神田二丁目,-,東京都千代田区西神田2丁目2-13,わたしのゴルフ水道橋店,スポーツスクール/体験,35.698807,139.755888
