指標名,コンビニ,,,,,,
出典,NAVITIME,,,,,,
年次,2023/1/20 取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,"（2020年度：2,130件、2021年度：2342件、2022年度：2305件）",,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
港区,芝浦一丁目,-,東京都港区芝浦1丁目1番1号,ファミリーマート 浜松町ビルディング店,ファミリーマート,35.651545,139.757783
港区,芝五丁目,-,東京都港区芝5-34-7,ローソン 田町センタービル店,ローソン,35.646231,139.746921
港区,台場二丁目,-,東京都港区台場2丁目3-1,ファミリーマート トレードピアお台場店,ファミリーマート,35.62774,139.776242
港区,台場一丁目,-,東京都港区台場1-5-7-101,ファミリーマート お台場海浜公園店,ファミリーマート,35.630557,139.778827
港区,愛宕一丁目,虎ノ門,東京都港区愛宕1丁目3-4,ミニストップ 愛宕1丁目店,ミニストップ,35.665933,139.749473
港区,港南五丁目,-,東京都港区港南5-4-38,ローソン 品川埠頭店,ローソン,35.627387,139.7565
港区,東新橋一丁目,虎ノ門広域,東京都港区東新橋1-1-8地先,ファミリーマート 新橋ゆりかもめ店,ファミリーマート,35.665789,139.760233
港区,三田二丁目,-,東京都港区三田2-10-6,ファミリーマート 三田二丁目店,ファミリーマート,35.650582,139.744666
港区,港南二丁目,-,東京都港区港南2-17-1,デイリーヤマザキ 京王品川ビル店,デイリーヤマザキ,35.624707,139.739417
港区,芝浦三丁目,-,東京都港区芝浦3丁目4-1グランパークプラザ,ファミリーマート 田町グランパーク店,ファミリーマート,35.643577,139.745801
港区,港南五丁目,-,東京都港区港南5-2-13,ローソン ポートストア品川店,ローソン,35.629706,139.755245
港区,西麻布三丁目,-,東京都港区西麻布3丁目24,ファミリーマート 西麻布三丁目店,ファミリーマート,35.658991,139.723871
港区,赤坂四丁目,赤坂,東京都港区赤坂4-15-1,セブンイレブン 赤坂ガーデンシティ店,セブンイレブン,35.673948,139.731474
港区,南麻布二丁目,-,東京都港区南麻布2-8-10,セブンイレブン 南麻布店,セブンイレブン,35.648643,139.736463
港区,南青山三丁目,-,東京都港区南青山3-1-30,セブンイレブン パソナスクエア店,セブンイレブン,35.66774,139.715798
港区,赤坂二丁目,赤坂,東京都港区赤坂2-6-17,セブンイレブン ヴィアイン赤坂店,セブンイレブン,35.672587,139.738937
港区,芝公園四丁目,-,東京都港区芝公園4-2-8,ローソンサテライト 東京タワー店,ローソン,35.65857,139.745484
港区,赤坂三丁目,赤坂,東京都港区赤坂3丁目8番1号赤坂アルトビル1F,ファミリーマート 赤坂見附駅前店,ファミリーマート,35.676498,139.736925
港区,西新橋一丁目,虎ノ門,東京都港区西新橋1丁目1番1号,ファミリーマート ファミマ日比谷フォートタワー店,ファミリーマート,35.670129,139.752928
港区,東新橋二丁目,虎ノ門広域,東京都港区東新橋2丁目4-1 サンマリーノ汐留,ファミリーマート 汐留イタリア街店,ファミリーマート,35.661838,139.757661
港区,南青山五丁目,-,東京都港区南青山5-4-35,ローソン 青山骨董通店,ローソン,35.661957,139.713437
港区,海岸三丁目,-,東京都港区海岸3-18-1,ローソン 芝浦埠頭店,ローソン,35.644699,139.756631
港区,港南五丁目,-,東京都港区港南5丁目5-30,ファミリーマート 品川埠頭店,ファミリーマート,35.628241,139.756554
港区,芝浦三丁目,-,東京都港区芝浦3-13-1,ローソン 田町駅東口店,ローソン,35.643246,139.749097
港区,芝公園三丁目,虎ノ門,東京都港区芝公園3-3-1,ローソンS 東京プリンスホテル店,ローソン,35.658839,139.748121
港区,芝一丁目,-,東京都港区芝1-5-12,ローソン 金杉橋店,ローソン,35.652277,139.75439
港区,海岸一丁目,-,東京都港区海岸1丁目16-1,ファミリーマート ニューピア竹芝店,ファミリーマート,35.653707,139.762407
港区,芝五丁目,-,東京都港区芝5丁目36-7,セブンイレブン 三田ベルジュビル店,セブンイレブン,35.644745,139.745005
港区,浜松町一丁目,-,東京都港区浜松町1丁目2-1,セブンイレブン 浜松町1丁目北店,セブンイレブン,35.660063,139.755964
港区,南青山四丁目,-,東京都港区南青山4丁目26-16,ミニストップ 南青山4丁目店,ミニストップ,35.662235,139.718068
港区,南青山二丁目,-,東京都港区南青山2丁目11番17号,セブンイレブン 港区南青山2丁目店,セブンイレブン,35.671537,139.721582
港区,赤坂二丁目,赤坂,東京都港区赤坂2丁目13-1,セブンイレブン 赤坂2丁目店,セブンイレブン,35.673022,139.738279
港区,赤坂五丁目,赤坂,東京都港区赤坂5-3-1,セブンイレブン 赤坂Bizタワー店,セブンイレブン,35.673569,139.736704
港区,北青山三丁目,-,東京都港区北青山3-2-5,セブンイレブン 北青山青山通り店,セブンイレブン,35.668933,139.71539
港区,六本木五丁目,六本木,東京都港区六本木5丁目2-1,セブンイレブン 六本木5丁目店,セブンイレブン,35.662527,139.733419
港区,六本木三丁目,六本木,東京都港区六本木3-14-9,ファミリーマート 六本木東店,ファミリーマート,35.6623,139.734886
港区,東新橋一丁目,虎ノ門広域,東京都港区東新橋1丁目6-3,ファミリーマート 汐留タワー店,ファミリーマート,35.664158,139.760485
港区,六本木一丁目,虎ノ門,東京都港区六本木1丁目6-1,リーベンハウス泉ガーデンタワー店,その他コンビニ,35.66462,139.739955
港区,南青山一丁目,-,東京都港区南青山1丁目2番6号,ファミリーマート 青山外苑東通り店,ファミリーマート,35.672216,139.725509
港区,南青山六丁目,-,東京都港区南青山6丁目3-11 PAN南青山,ファミリーマート 南青山六丁目店,ファミリーマート,35.66069,139.71613
港区,浜松町二丁目,-,東京都港区浜松町2丁目3-1,デイリーヤマザキ浜松町クレアタワー店,デイリーヤマザキ,35.656293,139.755597
港区,新橋一丁目,虎ノ門広域,東京都港区新橋1丁目18-1,ミニストップ 新橋1丁目店,ミニストップ,35.668905,139.755425
港区,高輪三丁目,-,東京都港区高輪3丁目10-7,ミニストップ 高輪3丁目店,ミニストップ,35.631886,139.732132
港区,南青山六丁目,-,東京都港区南青山6丁目6-22,ミニストップ 南青山6丁目店,ミニストップ,35.660382,139.717975
港区,白金六丁目,-,東京都港区白金6丁目6-2,ミニストップ 白金6丁目店,ミニストップ,35.644314,139.725789
港区,虎ノ門三丁目,虎ノ門,東京都港区虎ノ門3丁目6-9,生活彩家 気象庁店,その他コンビニ,35.665872,139.745803
港区,南青山二丁目,-,東京都港区南青山2-2-15 ウィン青山1F,ポプラ 青山2丁目店,その他コンビニ,35.671501,139.723811
港区,赤坂六丁目,赤坂,東京都港区赤坂6-14-15,セブンイレブン 赤坂6丁目店,セブンイレブン,35.66965,139.733313
港区,赤坂一丁目,虎ノ門,東京都港区赤坂1-4-1,セブンイレブン 港区溜池山王店,セブンイレブン,35.67018,139.744426
港区,南青山三丁目,-,東京都港区南青山3-15-6,セブンイレブン 港区南青山3丁目店,セブンイレブン,35.664969,139.715312
港区,赤坂九丁目,六本木,東京都港区赤坂9-7-2,セブンイレブン 東京ミッドタウン店,セブンイレブン,35.665261,139.731308
港区,新橋二丁目,虎ノ門広域,東京都港区新橋2-10-3,セブンイレブン 新橋2丁目店,セブンイレブン,35.667194,139.755878
港区,芝大門一丁目,-,東京都港区芝大門1-14-6,セブンイレブン 芝大門1丁目店,セブンイレブン,35.657178,139.75369
港区,六本木七丁目,六本木,東京都港区六本木7-10-3,セブンイレブン 六本木7丁目店,セブンイレブン,35.664657,139.729209
港区,白金台三丁目,-,東京都港区白金台3丁目2番3号,セブンイレブン 白金台駅前店,セブンイレブン,35.63749,139.725682
港区,港南二丁目,-,東京都港区港南2-16-1,セブンイレブン 品川イーストワンタワー店,セブンイレブン,35.627763,139.740774
港区,麻布台一丁目,虎ノ門,東京都港区麻布台1-9-8,セブンイレブン 港区飯倉店,セブンイレブン,35.659818,139.742476
港区,芝浦四丁目,-,東京都港区芝浦4-10-1,セブンイレブン Iingキャピタルマークタワー店,セブンイレブン,35.641128,139.746779
港区,西新橋一丁目,虎ノ門,東京都港区西新橋1-24-14-B1F,セブンイレブン 日立ハイテクビル店,セブンイレブン,35.6684,139.751393
港区,南麻布五丁目,-,東京都港区南麻布5-10-38,セブンイレブン 港区広尾駅北店,セブンイレブン,35.654293,139.722933
港区,高輪三丁目,-,東京都港区高輪3-13-1,セブンイレブン グランドプリンスホテル新高輪店,セブンイレブン,35.630867,139.734756
港区,虎ノ門五丁目,虎ノ門,東京都港区虎ノ門5丁目11番2号,セブンイレブン 神谷町オランダヒルズ店,セブンイレブン,35.661834,139.744325
港区,芝公園一丁目,-,東京都港区芝公園1丁目7-6,セブンイレブン 芝公園1丁目店,セブンイレブン,35.657945,139.752392
港区,港南一丁目,-,東京都港区港南1-6-27,セブンイレブン 港区港南1丁目店,セブンイレブン,35.62958,139.745484
港区,三田一丁目,-,東京都港区三田1丁目4-17,セブンイレブン 済生会中央病院店,セブンイレブン,35.654031,139.744199
港区,芝浦二丁目,-,東京都港区芝浦2-6-11,セブンイレブン 芝浦ベイワード店,セブンイレブン,35.644119,139.753467
港区,高輪三丁目,-,東京都港区高輪3-25-20,セブンイレブン 品川駅前店,セブンイレブン,35.630177,139.7378
港区,芝三丁目,-,東京都港区芝3丁目15-9,セブンイレブン 港区芝3丁目店,セブンイレブン,35.653095,139.745384
港区,海岸三丁目,-,東京都港区海岸3-3-20,セブンイレブン 港区汐彩橋店,セブンイレブン,35.640497,139.75362
港区,赤坂五丁目,赤坂,東京都港区赤坂5-3-6,セブンイレブン TBS放送センター店,セブンイレブン,35.671694,139.734387
港区,芝大門二丁目,-,東京都港区芝大門2-12-7,セブンイレブン 芝大門2丁目店,セブンイレブン,35.654019,139.753908
港区,麻布十番三丁目,-,東京都港区麻布十番3-5-7,セブンイレブン 港区麻布十番3丁目店,セブンイレブン,35.65317,139.735867
港区,白金一丁目,-,東京都港区白金1丁目25-20,セブンイレブン 港区白金1丁目南店,セブンイレブン,35.643836,139.732272
港区,芝五丁目,-,東京都港区芝5-14-10,セブンイレブン 港区芝5丁目店,セブンイレブン,35.647936,139.744865
港区,高輪一丁目,-,東京都港区高輪1ー1-11,セブンイレブン 魚籃坂店,セブンイレブン,35.644581,139.735392
港区,西麻布四丁目,-,東京都港区西麻布4-15-2,セブンイレブン 西麻布4丁目店,セブンイレブン,35.659119,139.721018
港区,虎ノ門五丁目,虎ノ門,東京都港区虎ノ門5-12-1,セブンイレブン 虎ノ門5丁目店,セブンイレブン,35.66281,139.745324
港区,赤坂三丁目,赤坂,東京都港区赤坂3-10-12,セブンイレブン 赤坂3丁目みすじ通り店,セブンイレブン,35.675495,139.736862
港区,虎ノ門一丁目,虎ノ門,東京都港区虎ノ門1-1-23,セブンイレブン 虎ノ門駅前店,セブンイレブン,35.670366,139.750234
港区,赤坂八丁目,赤坂,東京都港区赤坂8-4-23,セブンイレブン 青山1丁目駅前店,セブンイレブン,35.673312,139.726804
港区,海岸一丁目,-,東京都港区海岸1-2-3,セブンイレブン 港区海岸1丁目店,セブンイレブン,35.656996,139.758739
港区,芝四丁目,-,東京都港区芝4-11-3,セブンイレブン 芝フロントビル店,セブンイレブン,35.648119,139.750913
港区,芝浦四丁目,-,東京都港区芝浦4丁目15-33,セブンイレブン 芝浦4丁目店,セブンイレブン,35.638386,139.7474
港区,西麻布三丁目,-,東京都港区西麻布3-1-22,セブンイレブン 西麻布3丁目六本木通り店,セブンイレブン,35.660643,139.727162
港区,西新橋二丁目,虎ノ門,東京都港区西新橋2-7-4,セブンイレブン 西新橋2丁目店,セブンイレブン,35.666757,139.753751
港区,麻布十番二丁目,-,東京都港区麻布十番2-3-10,セブンイレブン 港区麻布十番2丁目店,セブンイレブン,35.655509,139.735126
港区,東新橋一丁目,虎ノ門広域,東京都港区東新橋1-8-2,セブンイレブン カレッタ汐留店,セブンイレブン,35.664958,139.762514
港区,芝五丁目,-,東京都港区芝5-3-2,セブンイレブン 港区芝5丁目北店,セブンイレブン,35.650008,139.745963
港区,新橋五丁目,虎ノ門広域,東京都港区新橋5-34-3,セブンイレブン 新橋5丁目店,セブンイレブン,35.662954,139.753688
港区,赤坂三丁目,赤坂,東京都港区赤坂3丁目16-7,セブンイレブン 赤坂3丁目一ツ木通り店,セブンイレブン,35.674698,139.736423
港区,南青山七丁目,-,東京都港区南青山7-3-1,セブンイレブン 港区南青山7丁目店,セブンイレブン,35.658792,139.715691
港区,芝浦三丁目,-,東京都港区芝浦3-14-15,セブンイレブン 芝浦3丁目店,セブンイレブン,35.642444,139.747101
港区,新橋二丁目,虎ノ門広域,東京都港区新橋2-8-9,セブンイレブン 新橋SL広場前店,セブンイレブン,35.66708,139.757002
港区,港南二丁目,-,東京都港区港南2-5-3,セブンイレブン 品川駅港南口店,セブンイレブン,35.628671,139.743129
港区,虎ノ門四丁目,虎ノ門,東京都港区虎ノ門4丁目3-10虎ノ門きよしビル,セブンイレブン 虎ノ門4丁目店,セブンイレブン,35.664419,139.744195
港区,北青山三丁目,-,東京都港区北青山3-8-9,セブンイレブン 港区北青山3丁目店,セブンイレブン,35.664931,139.710347
港区,赤坂八丁目,赤坂,東京都港区赤坂8丁目10-22,セブンイレブン 赤坂8丁目店,セブンイレブン,35.670395,139.727263
港区,南青山七丁目,-,東京都港区南青山7丁目10番3号,セブンイレブン 港区南青山7丁目中央店,セブンイレブン,35.659002,139.718225
港区,麻布十番二丁目,-,東京都港区麻布十番2-20-7,セブンイレブン 麻布十番駅前店,セブンイレブン,35.654842,139.736682
港区,六本木七丁目,六本木,東京都港区六本木7-14-23,セブンイレブン 六本木駅北店,セブンイレブン,35.663777,139.730835
港区,南麻布五丁目,-,東京都港区南麻布5丁目15-14,セブンイレブン 南麻布5丁目店,セブンイレブン,35.651083,139.722754
港区,虎ノ門三丁目,虎ノ門,東京都港区虎ノ門3-5-1 虎ノ門37森ビル,セブンイレブン 虎ノ門37森ビル店,セブンイレブン,35.666495,139.746285
港区,赤坂四丁目,赤坂,東京都港区赤坂4丁目9-9,セブンイレブン 赤坂4丁目店,セブンイレブン,35.675146,139.73307
港区,海岸三丁目,-,東京都港区海岸3丁目7-20,セブンイレブン 港区海岸3丁目店,セブンイレブン,35.636724,139.752542
港区,虎ノ門一丁目,虎ノ門,東京都港区虎ノ門1-14-1,セブンイレブン 虎ノ門1丁目店,セブンイレブン,35.668861,139.749318
港区,六本木三丁目,六本木,東京都港区六本木3ー4-31,セブンイレブン 六本木3丁目店,セブンイレブン,35.66479,139.735864
港区,芝三丁目,-,東京都港区芝3丁目23-1,セブンイレブン セレスティン芝三井ビル店,セブンイレブン,35.651257,139.748857
港区,虎ノ門一丁目,虎ノ門,東京都港区虎ノ門1-2-4,セブンイレブン 港区虎ノ門駅南店,セブンイレブン,35.669968,139.748818
港区,麻布十番四丁目,-,東京都港区麻布十番4-1-8,セブンイレブン 港区一の橋店,セブンイレブン,35.65492,139.737312
港区,三田三丁目,-,東京都港区三田3-11-22,セブンイレブン 泉岳寺駅前店,セブンイレブン,35.641351,139.741732
港区,南青山五丁目,-,東京都港区南青山5丁目13番3号,セブンイレブン 南青山5丁目店,セブンイレブン,35.661155,139.713896
港区,海岸三丁目,-,東京都港区海岸3-12-7,セブンイレブン 港区芝浦ふ頭店,セブンイレブン,35.640185,139.755992
港区,白金台二丁目,-,東京都港区白金台2丁目26番8号,セブンイレブン 高輪台駅前店,セブンイレブン,35.632008,139.730266
港区,浜松町一丁目,-,東京都港区浜松町1-20-8,セブンイレブン 浜松町1丁目中央店,セブンイレブン,35.657764,139.756763
港区,赤坂二丁目,赤坂,東京都港区赤坂2-17-54,セブンイレブン 港区赤坂駅南店,セブンイレブン,35.670223,139.738498
港区,芝二丁目,-,東京都港区芝2-16-7,セブンイレブン 港区芝2丁目店,セブンイレブン,35.651168,139.752211
港区,東新橋一丁目,虎ノ門広域,東京都港区東新橋1-8-2,セブンイレブン カレッタ汐留B1階店,セブンイレブン,35.664958,139.762514
港区,芝浦三丁目,-,東京都港区芝浦3-11-8,セブンイレブン 港区芝浦3なぎさ通り店,セブンイレブン,35.642817,139.749816
港区,六本木六丁目,六本木,東京都港区六本木6-1-3,セブンイレブン 六本木6丁目店,セブンイレブン,35.662703,139.732272
港区,六本木六丁目,六本木,東京都港区六本木6-9-1,セブンイレブン 7FSテレビ朝日本社ビル店,セブンイレブン,35.659635,139.730986
港区,新橋五丁目,虎ノ門広域,東京都港区新橋5-13-1,セブンイレブン 新橋第一京浜店,セブンイレブン,35.663094,139.757082
港区,芝浦四丁目,-,東京都港区芝浦4-9-25,セブンイレブン 7FS芝浦スクエアビル店,セブンイレブン,35.640081,139.745964
港区,北青山二丁目,-,東京都港区北青山2-7-19,セブンイレブン 外苑前駅前店,セブンイレブン,35.670581,139.717008
港区,芝四丁目,-,東京都港区芝4丁目7-8,セブンイレブン 港区芝4丁目店,セブンイレブン,35.649009,139.752151
港区,芝浦一丁目,-,東京都港区芝浦1丁目13-10,セブンイレブン 港区芝浦1丁目店,セブンイレブン,35.646249,139.753229
港区,高輪四丁目,-,東京都港区高輪4-10-30,セブンイレブン 品川プリンスホテル店,セブンイレブン,35.628289,139.736996
港区,芝四丁目,-,東京都港区芝4-3-5,セブンイレブン 三田駅北店,セブンイレブン,35.648965,139.750295
港区,三田一丁目,-,東京都港区三田1丁目4番28号,セブンイレブン 三田国際ビル店,セブンイレブン,35.652624,139.74438
港区,新橋一丁目,虎ノ門広域,東京都港区新橋1-13-7,セブンイレブン 新橋駅前店,セブンイレブン,35.667655,139.758224
港区,港南二丁目,-,東京都港区港南2丁目12番27号,セブンイレブン 港区港南2丁目店,セブンイレブン,35.625487,139.745207
港区,西新橋三丁目,虎ノ門,東京都港区西新橋3丁目6-10,セブンイレブン 西新橋3丁目店,セブンイレブン,35.664811,139.751833
港区,海岸一丁目,-,東京都港区海岸1丁目2-20,セブンイレブン 汐留ビルディング店,セブンイレブン,35.656822,139.759378
港区,虎ノ門三丁目,虎ノ門,東京都港区虎ノ門3-17-1,セブンイレブン 神谷町駅東店,セブンイレブン,35.664043,139.746454
港区,芝浦三丁目,-,東京都港区芝浦3-1-32,セブンイレブン なぎさテラス店,セブンイレブン,35.644972,139.748368
港区,白金五丁目,-,東京都港区白金5丁目9番1号,セブンイレブン KOYO北里大学北里研究所病院店,セブンイレブン,35.64482,139.725798
港区,六本木三丁目,六本木,東京都港区六本木3-1-1,セブンイレブン 六本木ティーキューブ店,セブンイレブン,35.665444,139.738299
港区,芝一丁目,-,東京都港区芝1丁目12-7,セブンイレブン 港区芝1丁目店,セブンイレブン,35.650793,139.754994
港区,虎ノ門四丁目,虎ノ門,東京都港区虎ノ門4丁目3番13号,セブンイレブン 神谷町駅北店,セブンイレブン,35.663733,139.744047
港区,三田五丁目,-,東京都港区三田5-18-3,セブンイレブン 港区三田5丁目店,セブンイレブン,35.644731,139.737321
港区,新橋六丁目,虎ノ門広域,東京都港区新橋6丁目16-10,セブンイレブン 御成門駅北店,セブンイレブン,35.662106,139.752291
港区,三田一丁目,-,東京都港区三田1-7-1パ-クコ-ト麻布十番1階,セブンイレブン 港区三田1丁目店,セブンイレブン,35.655066,139.740114
港区,西新橋一丁目,虎ノ門,東京都港区西新橋1-14-9,セブンイレブン 西新橋1丁目店,セブンイレブン,35.668107,139.753935
港区,赤坂六丁目,赤坂,東京都港区赤坂6丁目11-1,セブンイレブン 赤坂氷川坂下店,セブンイレブン,35.669561,139.734926
港区,麻布十番一丁目,-,東京都港区麻布十番1-5-23,セブンイレブン 港区麻布十番1丁目店,セブンイレブン,35.656958,139.73315
港区,虎ノ門四丁目,虎ノ門,東京都港区虎ノ門4丁目1-28,セブンイレブン 虎ノ門タワーズオフィス店,セブンイレブン,35.66604,139.743731
港区,南麻布五丁目,-,東京都港区南麻布5-1-10,セブンイレブン 南麻布5外苑西通り店,セブンイレブン,35.655226,139.722644
港区,東新橋一丁目,虎ノ門広域,東京都港区東新橋1-8-2,セブンイレブン カレッタ汐留B2階店,セブンイレブン,35.664958,139.762514
港区,海岸一丁目,-,東京都港区海岸1丁目7-1,セブンイレブン 東京ポートシティ竹芝店,セブンイレブン,35.655214,139.76067
港区,芝五丁目,-,東京都港区芝5丁目22-3,セブンイレブン 港区芝5丁目東店,セブンイレブン,35.648347,139.746562
中央区,銀座八丁目,-,東京都中央区銀座8丁目7,セブンイレブン 銀座ナイン店,セブンイレブン,35.668233,139.760706
港区,西麻布三丁目,-,東京都港区西麻布3丁目6-1,セブンイレブン 西麻布3丁目店,セブンイレブン,35.65629,139.726345
港区,芝二丁目,-,東京都港区芝2丁目3-3,セブンイレブン 芝2丁目金杉橋店,セブンイレブン,35.652411,139.753617
港区,芝五丁目,-,東京都港区芝5丁目31-19,セブンイレブン 三田駅西店,セブンイレブン,35.64648,139.745791
港区,西新橋二丁目,虎ノ門,東京都港区西新橋2-20-1,セブンイレブン 西新橋2丁目西店,セブンイレブン,35.665984,139.752211
港区,六本木七丁目,六本木,東京都港区六本木7ー3ー12,セブンイレブン 港区乃木坂駅南店,セブンイレブン,35.665926,139.72846
港区,高輪二丁目,-,東京都港区高輪2-14-13,ローソン 高輪店,ローソン,35.635935,139.738558
港区,南青山二丁目,-,東京都港区南青山2-14-17,ローソン 南青山二丁目店,ローソン,35.670378,139.7203
港区,赤坂九丁目,六本木,東京都港区赤坂9-5-27,ローソン 赤坂九丁目店,ローソン,35.667949,139.729079
港区,白金台二丁目,-,東京都港区白金台2-6-10,ローソン 白金台二丁目店,ローソン,35.635718,139.730995
港区,芝浦三丁目,-,東京都港区芝浦3-5-25,ローソン ベイコート芝浦店,ローソン,35.642933,139.746482
港区,港南二丁目,-,東京都港区港南2-2-6,ローソン 品川駅港南口店,ローソン,35.629316,139.7427
港区,南麻布二丁目,-,東京都港区南麻布2-10-9,ローソン 古川橋店,ローソン,35.648081,139.736283
港区,東新橋一丁目,虎ノ門広域,東京都港区東新橋1-3-1,ローソン 東新橋一丁目店,ローソン,35.664356,139.75896
港区,芝大門二丁目,-,東京都港区芝大門2-9-16,ローソン 芝大門二丁目店,ローソン,35.654392,139.75287
港区,芝浦三丁目,-,東京都港区芝浦3-7-13,ローソン 芝浦工大前店,ローソン,35.643733,139.749416
港区,芝大門一丁目,-,東京都港区芝大門1-4-4,ローソン 芝大門店,ローソン,35.658576,139.754587
港区,芝浦四丁目,-,東京都港区芝浦4-9-18,ローソン 芝浦四丁目店,ローソン,35.639745,139.747121
港区,赤坂六丁目,赤坂,東京都港区赤坂6-13-16,ローソン 赤坂六丁目店,ローソン,35.669957,139.733769
港区,赤坂四丁目,赤坂,東京都港区赤坂4丁目15ー1,セブンイレブン 赤坂ガーデンシティ店,セブンイレブン,35.673948,139.731474
港区,愛宕一丁目,虎ノ門,東京都港区愛宕1丁目1番1号,セブンイレブン 虎ノ門ヒルズレジデンシャルタワ店,セブンイレブン,35.666373,139.748328
港区,六本木三丁目,六本木,東京都港区六本木3-17-10,ローソン 六本木三丁目店,ローソン,35.661835,139.736902
港区,台場二丁目,-,東京都港区台場2-4-8,ローソン フジテレビ店,ローソン,35.626804,139.774457
港区,新橋一丁目,虎ノ門広域,東京都港区新橋1-15-7,ローソン 新橋一丁目店,ローソン,35.668089,139.757282
港区,虎ノ門三丁目,虎ノ門,東京都港区虎ノ門3-11-15,ナチュラルローソン 虎ノ門巴町店,ローソン,35.665114,139.747042
港区,新橋五丁目,虎ノ門広域,東京都港区新橋5-27-1,ローソン 新橋五丁目店,ローソン,35.662881,139.754767
港区,虎ノ門一丁目,虎ノ門,東京都港区虎ノ門1-2-10,ローソン 虎ノ門駅南店,ローソン,35.669218,139.748378
港区,芝浦二丁目,-,東京都港区芝浦2-4-1,ローソン 芝浦二丁目店,ローソン,35.645266,139.754627
港区,港南三丁目,-,東京都港区港南3-7-20,ローソン 港南三丁目店,ローソン,35.631837,139.748877
港区,港南二丁目,-,東京都港区港南2-14-10,ローソン 品川駅中央口店,ローソン,35.628703,139.742048
港区,港南二丁目,-,東京都港区港南2-16-3 品川グランドセントラルタワー1F,ローソン 品川グランパサージュ店,ローソン,35.626615,139.740774
港区,芝三丁目,-,東京都港区芝3-3-12,ローソン 芝公園南店,ローソン,35.652899,139.74758
港区,芝五丁目,-,東京都港区芝5-34-6,ローソン 新田町ビル店,ローソン,35.645971,139.746722
港区,芝五丁目,-,東京都港区芝5-27-10,ローソン 芝五丁目店,ローソン,35.647109,139.746742
港区,西新橋三丁目,虎ノ門,東京都港区西新橋3-24-9,ローソン 御成門駅前店,ローソン,35.661351,139.751071
港区,芝三丁目,-,東京都港区芝3-34-1,ローソン 芝三丁目店,ローソン,35.650458,139.747462
港区,虎ノ門一丁目,虎ノ門,東京都港区虎ノ門1-2-29,ローソン 虎ノ門琴平店,ローソン,35.670295,139.748738
港区,新橋四丁目,虎ノ門広域,東京都港区新橋4-10-2,ローソン 新橋四丁目店,ローソン,35.664777,139.756224
港区,東新橋二丁目,虎ノ門広域,東京都港区東新橋2-14-1,ナチュラルローソン コモディオ汐留店,ローソン,35.660625,139.75747
港区,港南二丁目,-,東京都港区港南2-4-18,ローソン 港南中央通り店,ローソン,35.628601,139.743847
港区,東麻布三丁目,-,東京都港区東麻布3-7-13,ナチュラルローソン 東麻布三丁目店,ローソン,35.656335,139.738079
港区,白金台二丁目,-,東京都港区白金台2-26-10,ナチュラルローソン 高輪台駅前店,ローソン,35.631785,139.729957
港区,赤坂九丁目,六本木,東京都港区赤坂9-6-29,ナチュラルローソン NL乃木坂店,ローソン,35.666664,139.728205
港区,港南二丁目,-,東京都港区港南2-15-2,ナチュラルローソン NL品川インターシティ店,ローソン,35.626151,139.74206
港区,虎ノ門四丁目,虎ノ門,東京都港区虎ノ門4-3-1 城山トラストタワー1F,ナチュラルローソン 城山トラストタワー店,ローソン,35.664708,139.743381
港区,白金一丁目,-,東京都港区白金1-27-6,ローソン 白金高輪駅前店,ローソン,35.643887,139.734188
港区,芝浦四丁目,-,東京都港区芝浦4-13-23,ナチュラルローソン 芝浦海岸通店,ローソン,35.640216,139.748026
港区,芝大門一丁目,-,東京都港区芝大門1-6-3,ナチュラルローソン 芝大門一丁目店,ローソン,35.658165,139.754228
港区,三田三丁目,-,東京都港区三田3-9-9,ローソン H三田三丁目店,ローソン,35.641354,139.740435
港区,赤坂二丁目,赤坂,東京都港区赤坂2-3-7先 溜池山王駅構内,ローソン 溜池山王メトロピア店,ローソン,35.671069,139.741939
港区,新橋六丁目,虎ノ門広域,東京都港区新橋6-20-1,ナチュラルローソン 新橋六丁目店,ローソン,35.661136,139.754527
港区,台場一丁目,-,東京都港区台場1-7-1,ローソン アクアシティお台場店,ローソン,35.627742,139.773522
港区,新橋二丁目,虎ノ門広域,東京都港区新橋2-14-6,ローソン 新橋烏森通店,ローソン,35.666707,139.755445
港区,新橋二丁目,虎ノ門広域,東京都港区新橋2-2-9,ローソン 新橋日比谷通店,ローソン,35.667854,139.754945
港区,芝公園四丁目,-,東京都港区芝公園4-1-4,ローソン 芝公園四丁目店,ローソン,35.659141,139.744047
港区,港南二丁目,-,東京都港区港南2-15-2 インターシティS&R棟2F,ローソン H品川インターシティ店,ローソン,35.626811,139.741927
港区,赤坂二丁目,赤坂,東京都港区赤坂2-23-1,ナチュラルローソン アークヒルズフロントタワー店,ローソン,35.668163,139.7395
港区,南麻布二丁目,-,東京都港区南麻布2-2-13,ローソン 港南麻布店,ローソン,35.649928,139.736448
港区,赤坂二丁目,赤坂,東京都港区赤坂2-2-17,ローソン H溜池山王店,ローソン,35.671656,139.742251
港区,麻布十番一丁目,-,東京都港区麻布十番1-10-3,ローソン 麻布十番一丁目店,ローソン,35.656191,139.736423
港区,芝浦一丁目,-,東京都港区芝浦1-2-2,ローソン H芝浦シーバンス・ア・モール店,ローソン,35.649562,139.756663
港区,東麻布二丁目,-,東京都港区東麻布2-23-14,ローソン 東麻布二丁目店,ローソン,35.657102,139.739278
