lat,lon,name
35.6247677,139.7758336,メガロス 日比谷シャンテ店
35.6556632,139.7924528,上智大学真田堀運動場
35.6841357,139.8372619,Body Produce AXIS 大手町店
35.692941,139.8169883,BICI AMORE CYCLE JERSEY(ビチ アモーレ サイクル ジャージー) 外神田店
35.6501045,139.8227402,ヨガ教室ノア 秋葉原校
35.6717108,139.8357227,Run Pit by au Smart Sports(ランピット バイ エーユー スマート スポーツ)
35.6639072,139.8228943,SPORTS STATION Hibiya Park(スポーツ ステーション ヒビヤ パーク)
35.6247677,139.7758336,FUSO SKI&BOOTSTUNE(フソウ スキー アンド ブーツチューン)
35.6868906,139.8185333,Dr.stretch(ドクター ストレッチ) お茶の水店
35.6509422,139.8348931,FUSO-SNOWBOARD(フソウ スノーボード) ウエア&アクセ館
35.6980685,139.8291722,St ANDREWS(セント アンドリュース) 大丸東京店
35.6664123,139.8249801,Goldwin(ゴールドウィン) THE NORTH FACE神田店
35.6858688,139.7987018,adabat(アダバット) 大丸東京店
35.6760332,139.8180142,体育・スポーツ家庭教師ファースト 東京本社
35.6712161,139.7942554,BurnesStyle AKIHABARA(バーネススタイル アキハバラ)
35.6697733,139.815106,GOLF FUNP(ゴルフ ファンプ)
35.688989,139.8118288,Akiba Golf Studio(アキバゴルフスタジオ)
35.6660218,139.8247839,格闘技ジム アカデミア・アーザ
35.6769056,139.79508,finetrack HIBIYA HUT(ファイントラック ヒビヤ ハット)
35.6721169,139.7961247,RDC BASE(アールディーシー ベース) 神田小川町店
35.667393,139.8157055,Y personal training gym(ワイ パーソナル トレーニング ジム) ワイジム
35.6490612,139.8300149,ACN GOLF RANGE(エーシーエヌ ゴルフ レンジ) 水道橋
35.6247677,139.7758336,STEPGOLF PREMIUM YURAKUCHO(ステップゴルフ プレミアム ユウラクチョウ) 東京交通会館店
35.6706018,139.8412502,MTX ACADEMY(アカデミー)
35.6877345,139.8155756,キャピタルゴルフレンジ
35.6378457,139.7883856,FUSO DREAM(フソウ ドリーム)工房 大丸東京店
35.7005844,139.82314,石井スポーツ 大丸東京店
35.6556632,139.7924528,BEAMS&WINDS(ビームス アンド ウインズ) 有楽町
35.6917515,139.8207716,studio Body Link(スタジオ ボディ リンク)
35.6566048,139.792988,AirFly TOKYO(エアフライ トウキョウ)
35.6378457,139.7883856,WISE 1 GOLF SQUARE(ワイズワン ゴルフ スクエア) 市ヶ谷店
35.6667112,139.8040127,パーソナルトレーニングジムREAL WORKOUT(リアルワークアウト) 秋葉原・神田店
35.6879413,139.7998006,永田町パーソナルジムObito(オビト)
