0,1,2,3,4,5,6,7,8
,,,,,,,,
,指標名,コンビニ,,,,,,
,出典,navitime,,,,,,
,年次,2026/01/16取得,,,,,,
,URL,https://www.navitime.co.jp/,,,,,,
,備考,(2023年度：2301件、2024年度：2318件、2025年度：2266件),,,,,,
,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,施設名,種類
,千代田区,紀尾井町,赤坂,千代田区紀尾井町3-20,35.6828352,139.7380653,ファミリーマート 紀尾井町三番地店,ファミリーマート
,千代田区,大手町１丁目,大丸有,千代田区大手町1-3-2,35.6887064,139.7631543,セブンイレブン 大手町カンファレンスセンター店,セブンイレブン
,千代田区,神田練塀町,-,千代田区神田練塀町3-富士ソフトビル1f,35.7002686,139.7739676,ファミリーマート 秋葉原富士ソフトビル店,ファミリーマート
,千代田区,大手町１丁目,大丸有,千代田区大手町1-1-2,35.6860801,139.7619087,ファミリーマート ファミマ大手門タワー店,ファミリーマート
,千代田区,丸の内１丁目,大丸有,千代田区丸の内1-6-1,35.6840637,139.7657671,セブンイレブン 丸の内センタービル店,セブンイレブン
,千代田区,有楽町１丁目,大丸有,千代田区有楽町1-7-1,35.6741854,139.7613293,ローソン 有楽町一丁目店,ローソン
,千代田区,内幸町１丁目,-,千代田区内幸町1-3-3,35.6694365,139.7569856,ローソン 内幸町一丁目店,ローソン
,千代田区,丸の内１丁目,大丸有,千代田区丸の内1-9-2グラントウキョウサウスタワ-地下1階,35.6786778,139.7673644,ファミリーマート ファミマサウスタワー店,ファミリーマート
,千代田区,丸の内１丁目,大丸有,千代田区丸の内1-9-1,35.682111,139.7691588,NewDaysミニ 丸地下2A,NewDays
,千代田区,飯田橋４丁目,-,千代田区飯田橋4-8-13,35.7010487,139.7449749,ファミリーマート 飯田橋駅前店,ファミリーマート
,千代田区,九段南２丁目,-,千代田区九段南2-4-16,35.6936645,139.7450307,ファミリーマート 九段南二丁目店,ファミリーマート
,千代田区,外神田６丁目,-,千代田区外神田6-14-2,35.7032459,139.7714779,ローソン 末広町駅前店,ローソン
,千代田区,丸の内１丁目,大丸有,千代田区丸の内1ー8-1丸の内トラストタワーn館,35.683259,139.7697422,ファミリーマート 丸の内トラストタワー店,ファミリーマート
,千代田区,鍛冶町２丁目,-,千代田区鍛冶町2-2-9,35.6915305,139.7714622,ローソン 神田駅東口店,ローソン
,千代田区,飯田橋４丁目,-,千代田区飯田橋4-10-2,35.7020741,139.7450226,ニューデイズ飯田橋1号,NewDays
,千代田区,神田佐久間町４丁目,-,千代田区神田佐久間町4-10,35.6974579,139.7798156,ファミリーマート 神田佐久間町店,ファミリーマート
,千代田区,神田須田町２丁目,-,千代田区神田須田町2-3-1,35.6960301,139.7719971,ファミリーマート 神田須田町二丁目店,ファミリーマート
,千代田区,平河町２丁目,-,千代田区平河町2-7-2,35.6791227,139.7404343,セブンイレブン 千代田平河町2丁目店,セブンイレブン
,千代田区,永田町２丁目,赤坂,千代田区永田町2-14-3,35.6771745,139.7375005,セブンイレブン 赤坂東急プラザ店,セブンイレブン
,千代田区,丸の内１丁目,大丸有,千代田区丸の内1-9-1,35.682111,139.7691588,NewDaysミニ 京葉2B,NewDays
,千代田区,丸の内２丁目,大丸有,千代田区丸の内2-1-1,35.6791077,139.7621731,ナチュラルローソン NL丸の内マイプラザ店,ローソン
,千代田区,紀尾井町,赤坂,千代田区紀尾井町3-33,35.6811765,139.7380918,ファミリーマート 紀尾井町店,ファミリーマート
,千代田区,神田駿河台２丁目,-,千代田区神田駿河台2-1,35.6992223,139.762699,ファミリーマート 御茶ノ水駅前店,ファミリーマート
,千代田区,麹町４丁目,-,千代田区麹町4-5,35.6837107,139.7365368,セブンイレブン 千代田区麹町4丁目店,セブンイレブン
,千代田区,神田松永町,-,千代田区神田松永町1-,35.6990522,139.7751523,ファミリーマート 秋葉原昭和通り店,ファミリーマート
,千代田区,一番町,-,千代田区一番町4-4,35.6873979,139.7421109,セブンイレブン 千代田一番町店,セブンイレブン
,千代田区,鍛冶町１丁目,-,千代田区鍛冶町1-9-4,35.6906009,139.7724564,セブンイレブン 千代田鍛冶町1丁目店,セブンイレブン
,千代田区,二番町,-,千代田区二番町4-3,35.6862771,139.7365026,セブンイレブン 麹町駅前店,セブンイレブン
,千代田区,大手町２丁目,大丸有,千代田区大手町2-1-1,35.6874275,139.7661614,セブンイレブン 大成大手町ビル店,セブンイレブン
,千代田区,神田紺屋町,-,千代田区神田紺屋町8,35.69172160000001,139.7741623,セブンイレブン 神田紺屋町店,セブンイレブン
,千代田区,岩本町３丁目,-,千代田区岩本町3-1-2,35.6945931,139.7755507,セブンイレブン 千代田岩本町3丁目店,セブンイレブン
,千代田区,神田神保町１丁目,-,千代田区神田神保町1-8-,35.696159,139.7588711,ファミリーマート FUNDES神保町店,ファミリーマート
,千代田区,神田神保町２丁目,-,千代田区神田神保町2-38-1,35.6975901,139.7548706,セブンイレブン 神田専大通り店,セブンイレブン
,千代田区,神田須田町１丁目,-,千代田区神田須田町1-16-,35.695058,139.7708347,セブンイレブン 神田須田町中央通り店,セブンイレブン
,千代田区,内幸町２丁目,-,千代田区内幸町2-1-6,35.6712173,139.7532291,セブンイレブン 日比谷パークフロント店,セブンイレブン
,千代田区,有楽町１丁目,大丸有,千代田区有楽町1-6-3,35.673898,139.7606757,セブンイレブン 日比谷駅前店,セブンイレブン
