0,1,2,3,4,5,6,7,8,9
,,,,,,,,,
,指標名,大学キャンパス,,,,,,,
,出典,教育ソリューション株式会社「全国学校データ」,,,,,,,
,年次,2026年版,,,,,,,
,URL,https://kyouikusolution.co.jp/,,,,,,,
,備考,(2023年度：97件、2024年度：97件、2025年度：110件）,,,,,,,
,,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,大学,キャンパス,運営者区分
,新宿区,河田町,-,東京都新宿区河田町8-1,35.6975924,139.7203688,東京女子医科大学,河田町キャンパス,私立
,新宿区,高田馬場３丁目,-,東京都新宿区高田馬場3-8-1,35.7147725,139.7010664,東京富士大学,,私立
,新宿区,神楽坂１丁目,-,東京都新宿区神楽坂1-3,35.7011702,139.7432783,東京理科大学,神楽坂キャンパス,私立
,新宿区,市谷田町１丁目,-,東京都新宿区市谷田町1-4,35.69288,139.7356306,武蔵野美術大学,市ヶ谷キャンパス,私立
,新宿区,戸塚町１丁目,-,東京都新宿区戸塚町1-1-104,35.7093532,139.7220953,早稲田大学,,私立
,新宿区,西早稲田１丁目,-,東京都新宿区西早稲田1-6-1,35.7102397,139.7184914,早稲田大学,早稲田キャンパス,私立
,新宿区,戸山１丁目,-,東京都新宿区戸山1-24-1,35.7050265,139.7183599,早稲田大学,戸山キャンパス,私立
,新宿区,大久保３丁目,-,東京都新宿区大久保3-4-1,35.7060372,139.7063931,早稲田大学,西早稲田キャンパス,私立
,新宿区,喜久井町,-,東京都新宿区喜久井町17,35.7050278,139.7214164,早稲田大学,喜久井町キャンパス,私立
,新宿区,西新宿１丁目,-,東京都新宿区西新宿1-7-3,35.6915872,139.6969445,東京通信大学,新宿駅前キャンパス,私立
,新宿区,西新宿１丁目,-,東京都新宿区西新宿1-7-3,35.6915872,139.6969445,国際ファッション専門職大学,東京キャンパス,私立
,新宿区,西新宿７丁目,-,東京都新宿区西新宿7-11-1,35.6937326,139.6973995,宝塚大学,東京新宿キャンパス,私立
,新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-25-30,35.712297,139.7064947,社会構想大学院大学,,私立
,千代田区,神田須田町１丁目,-,東京都千代田区神田須田町1-7-9vort秋葉原maximビル4階,35.696103,139.7708774,埼玉大学,東京ステーションカレッジ,国立
,千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町3-26,35.6821827,139.7376774,城西大学,東京紀尾井町キャンパス,私立
,千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町3-26,35.6821827,139.7376774,城西国際大学,東京紀尾井町キャンパス,私立
,千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋2-1-2学術総合センタ-内,35.6925996,139.7575537,一橋大学,千代田キャンパス,国立
,千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-3-10,35.7008114,139.7609362,東京科学大学,駿河台キャンパス,国立
,千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-4-1丸の内永楽ビルディング18階,35.6842777,139.7650482,東京都立大学,丸の内サテライトキャンパス,公立
,千代田区,飯田橋３丁目,-,東京都千代田区飯田橋3-5-1東京区政会館3階,35.70151,139.7471731,東京都立大学,飯田橋キャンパス,公立
