0,1,2,3,4,5,6,7,8
,千代田区,神田神保町１丁目,-,千代田区神田神保町1-37-3b-wall神保町2f,35.6966636,139.759225,chocoZAP(チョコザップ) 神保町,スポーツクラブ/フィットネスクラブ
,千代田区,岩本町２丁目,-,千代田区岩本町2-4-5インスタイルスクエア1f/2f,35.6941792,139.775488,chocoZAP(チョコザップ) 岩本町二丁目,スポーツクラブ/フィットネスクラブ
,千代田区,神田小川町２丁目,-,千代田区神田小川町2-2-2小川町b5ビル3f,35.6947493,139.7647987,chocoZAP(チョコザップ) 神田小川町,スポーツクラブ/フィットネスクラブ
,千代田区,外神田２丁目,-,千代田区外神田2-9-8青朋ビル1f,35.7012193,139.7690617,chocoZAP(チョコザップ) 外神田二丁目,スポーツクラブ/フィットネスクラブ
,千代田区,飯田橋１丁目,-,千代田区飯田橋1-6-7九段niビル1f,35.698877,139.7488176,chocoZAP(チョコザップ) 飯田橋一丁目,スポーツクラブ/フィットネスクラブ
,千代田区,東神田１丁目,-,千代田区東神田1-6-4ロイジェント東神田1f,35.6946799,139.7788516,chocoZAP(チョコザップ) 岩本町,スポーツクラブ/フィットネスクラブ
,千代田区,九段南３丁目,-,千代田区九段南3-7-10アーバンキューブ九段南2f,35.693132,139.7435441,chocoZAP(チョコザップ) 九段南三丁目,スポーツクラブ/フィットネスクラブ
,千代田区,内神田３丁目,-,千代田区内神田3-20-6kandaexb1f,35.69292,139.7710386,chocoZAP(チョコザップ) 神田,スポーツクラブ/フィットネスクラブ
,千代田区,麹町４丁目,-,千代田区麹町4-2-1mk麹町ビルb1f,35.6842447,139.736365,chocoZAP(チョコザップ) 麹町,スポーツクラブ/フィットネスクラブ
,千代田区,丸の内２丁目,大丸有,千代田区丸の内2-6-1marunouchibricksquare4f,35.6787105,139.7629717,ティップネス丸の内スタイル,スポーツクラブ/フィットネスクラブ
,千代田区,神田小川町３丁目,-,千代田区神田小川町3-6,35.6951887,139.7622244,スキーショップ アスペン,スキー/スノボショップ
,千代田区,東神田２丁目,-,千代田区東神田2-10-15reid-c東神田ビル1f,35.6955588,139.7810238,ACTEK GOLF(アクテック ゴルフ),ゴルフショップ
,千代田区,内神田２丁目,-,千代田区内神田2-4-2グローバルビル1f,35.6899549,139.768592,PRO SHOP HANDBALL7(プロ ショップ ハンドボールセブン) 神田本店,スポーツ用品/スポーツウェア
,千代田区,神田三崎町２丁目,-,千代田区神田三崎町2-17-2日宝水道橋ビルb1f,35.7012894,139.7534088,GRIT FIGHT SHOP(グリット ファイト ショップ),スポーツ用品/スポーツウェア
,千代田区,神田須田町１丁目,-,千代田区神田須田町1-24akビル1f,35.696034,139.7696807,ダイビングショップ アクオス,スポーツ用品/スポーツウェア
,千代田区,神田神保町１丁目,-,千代田区神田神保町1-42-12,35.6977835,139.7581901,Hi-GOLD TOKYO BASE(ハイ ゴールド トウキョウ ベース),スポーツ用品/スポーツウェア
,千代田区,九段南４丁目,-,千代田区九段南4-3-11白井ビル3f,35.6916172,139.739646,マチトレ 市ヶ谷店,スポーツクラブ/フィットネスクラブ
,千代田区,神田和泉町,-,千代田区神田和泉町1-8-2八木ビル102,35.699687,139.7770495,ファイトフィット秋葉原,スポーツクラブ/フィットネスクラブ
,千代田区,神田駿河台２丁目,-,千代田区神田駿河台2-10-6vort御茶ノ水bf,35.6989329,139.7642805,Private Practice Range(プライベート プラクティス レンジ),ゴルフ練習場
,千代田区,岩本町１丁目,-,千代田区岩本町1-9-1アイアンビルヂング5f,35.6925469,139.777379,ボクシングスタジオTRINITY(トリニティ),スポーツクラブ/フィットネスクラブ
,千代田区,富士見２丁目,-,千代田区富士見2-6-12amビル2f,35.7009531,139.7456437,Peak Conditioning(ピーク コンディショニング),スポーツクラブ/フィットネスクラブ
,千代田区,九段北１丁目,-,千代田区九段北1-11-4井門九段下ビルb1f,35.6968141,139.7511587,GolFair(ゴルフェア),ゴルフ練習場
,千代田区,神田神保町１丁目,-,千代田区神田神保町1-13-2文銭堂ビル4f,35.6952354,139.7588954,zen place pilates(ゼン プレイス ピラティス) 神保町,スポーツスクール/体験
