0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
,指標名,駅,,,,,,,,,,
,出典,駅情報：駅データ.jp、乗降客数：国土交通省,,,,,,,,,,
,年次,2025(対象区は更新なし),,,,,,,,,,
,URL,駅情報：https://ekidata.jp/、乗降客数：http://nlftp.mlit.go.jp/ksj/,,,,,,,,,,
,備考,新幹線駅除く。,,,,,,,,,,
,,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,駅名,路線,事業者,乗降客数（2023年度）,駅コード（路線別）,駅コード（路線不問）
,新宿区,高田馬場１丁目,-,東京都新宿区高田馬場一丁目３５－２,35.712677,139.703715,高田馬場,新宿線,西武鉄道,264763,2200702,1130210
,新宿区,中落合１丁目,-,東京都新宿区中落合１－１９－１,35.715106,139.686967,中井,新宿線,西武鉄道,26686,2200704,2200704
,新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町１－３０－１,35.696254,139.7,西武新宿,新宿線,西武鉄道,143181,2200701,2200701
,品川区,東品川２丁目,-,東京都品川区東品川２－５－１９,35.622908,139.750675,天王洲アイル,東京モノレール羽田空港線,東京モノレール,22754,9933602,9933602
,品川区,勝島２丁目,-,東京都品川区勝島２－２－３５,35.595006,139.74708,大井競馬場前,東京モノレール羽田空港線,東京モノレール,10404,9933603,9933603
,港区,浜松町２丁目,-,東京都港区浜松町二丁目４－１２,35.655666,139.756747,モノレール浜松町,東京モノレール羽田空港線,東京モノレール,90384,9933601,1130227
,品川区,大井１丁目,-,東京都品川区大井１丁目,35.607535,139.735025,大井町,大井町線,東京急行電鉄,112975,2600401,1133228
,品川区,戸越５丁目,-,東京都品川区戸越５－１０－１５,35.608856,139.718159,戸越公園,大井町線,東京急行電鉄,12977,2600403,2600403
,品川区,西品川１丁目,-,東京都品川区西品川１－２９－６,35.608704,139.726256,下神明,大井町線,東京急行電鉄,8823,2600402,2600402
,品川区,大崎１丁目,-,東京都品川区大崎一丁目２１－４,35.619772,139.728439,大崎,りんかい線,東京臨海高速鉄道,0,9933708,1130201
,品川区,中延４丁目,-,東京都品川区中延４－５－５,35.60571,139.712526,中延,大井町線,東京急行電鉄,20487,2600404,2600404
,品川区,中延５丁目,-,東京都品川区中延５－２－１,35.60382,139.707571,荏原町,大井町線,東京急行電鉄,14734,2600405,2600405
,品川区,大崎４丁目,-,東京都品川区大崎４－１－１,35.622244,139.722339,大崎広小路,池上線,東京急行電鉄,7045,2600502,2600502
,品川区,西五反田１丁目,-,東京都品川区東五反田二丁目１－１,35.625262,139.724175,五反田,池上線,東京急行電鉄,93047,2600501,1130202
,品川区,平塚１丁目,-,東京都品川区平塚２－１６－１,35.615928,139.714862,戸越銀座,池上線,東京急行電鉄,18702,2600503,2600503
,品川区,旗の台３丁目,-,東京都品川区旗の台２－１３－１,35.604923,139.702286,旗の台,池上線,東京急行電鉄,0,2600505,2600406
,品川区,東中延１丁目,-,東京都品川区中延２－８－１,35.610056,139.712196,荏原中延,池上線,東京急行電鉄,12393,2600504,2600504
,品川区,旗の台５丁目,-,東京都品川区旗の台２－１３－１,35.604923,139.702286,旗の台,大井町線,東京急行電鉄,0,2600406,2600406
,渋谷区,代官山町,-,東京都渋谷区代官山町１９－４,35.648193,139.703284,代官山,東横線,東京急行電鉄,27591,2600102,2600102
,渋谷区,渋谷１丁目,-,東京都渋谷区渋谷二丁目２４－１,35.6587,139.700872,渋谷,東横線,東京急行電鉄,0,2600101,1130205
,品川区,上大崎４丁目,-,東京都品川区上大崎四丁目２－１,35.633272,139.7155,目黒,目黒線,東京急行電鉄,455428,2600201,1130203
,品川区,西五反田５丁目,-,東京都品川区西五反田５－１２－１,35.626526,139.71469,不動前,目黒線,東京急行電鉄,28265,2600202,2600202
,品川区,小山６丁目,-,東京都品川区小山６－３－１０,35.615455,139.698694,西小山,目黒線,東京急行電鉄,31458,2600204,2600204
,品川区,小山３丁目,-,東京都品川区小山３－４－８,35.620538,139.704524,武蔵小山,目黒線,東京急行電鉄,51900,2600203,2600203
,千代田区,神田佐久間町２丁目,-,東京都千代田区神田佐久間町一丁目２１,35.698889,139.774273,秋葉原,日比谷線,東京地下鉄,107333,2800307,1130222
,港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門一丁目22-12,35.6677126,139.7479069,虎ノ門ヒルズ,東京メトロ日比谷線,東京地下鉄,45172,2800322,2800113
,港区,虎ノ門５丁目,虎ノ門,東京都港区虎ノ門５－１２－１１,35.662978,139.745069,神谷町,日比谷線,東京地下鉄,88969,2800317,2800317
,中央区,銀座４丁目,-,東京都中央区銀座４－１－２,35.671989,139.763965,銀座,日比谷線,東京地下鉄,217244,2800314,2800111
,渋谷区,広尾５丁目,-,東京都港区南麻布５－１０－２８,35.652279,139.722202,広尾,日比谷線,東京地下鉄,56837,2800319,2800319
,中央区,銀座４丁目,-,東京都中央区銀座４－１２－１５,35.669464,139.767253,東銀座,日比谷線,東京地下鉄,76513,2800313,2800313
,千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞が関２丁目,35.673838,139.750899,霞ヶ関,日比谷線,東京地下鉄,128553,2800316,2800211
,中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町２－６－５,35.686307,139.782285,人形町,日比谷線,東京地下鉄,65602,2800309,2800309
,中央区,日本橋２丁目,日八京,東京都中央区日本橋１丁目,35.682078,139.773516,日本橋,銀座線,東京地下鉄,0,2800109,2800109
,港区,六本木７丁目,六本木,東京都港区六本木６－１－２５,35.662836,139.731443,六本木,日比谷線,東京地下鉄,105196,2800318,2800318
,中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町１１－１,35.690737,139.778433,小伝馬町,日比谷線,東京地下鉄,35203,2800308,2800308
,中央区,八丁堀２丁目,-,東京都中央区八丁堀３丁目,35.674851,139.776982,八丁堀,日比谷線,東京地下鉄,98923,2800311,1132602
,中央区,築地３丁目,-,東京都中央区築地３－１５－１,35.668115,139.772603,築地,日比谷線,東京地下鉄,58868,2800312,2800312
,千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１丁目,35.67459,139.76017,日比谷,日比谷線,東京地下鉄,90430,2800315,1130225
,渋谷区,恵比寿南１丁目,-,東京都渋谷区恵比寿南一丁目５－５,35.647332,139.708988,恵比寿,日比谷線,東京地下鉄,98329,2800320,1130204
,千代田区,外神田４丁目,-,東京都千代田区外神田４－７－３,35.702972,139.771713,末広町,銀座線,東京地下鉄,24601,2800106,2800106
,港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門１－１－２１,35.670236,139.749832,虎ノ門,銀座線,東京地下鉄,91260,2800113,2800113
,港区,南青山２丁目,-,東京都港区北青山２－７－１６,35.670527,139.717857,外苑前,銀座線,東京地下鉄,72412,2800117,2800117
,中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町１－８－１,35.687101,139.773594,三越前,銀座線,東京地下鉄,0,2800108,1131402
,港区,赤坂２丁目,赤坂,東京都千代田区永田町２－１１－１,35.673621,139.741419,溜池山王,銀座線,東京地下鉄,74616,2800114,2800114
,中央区,銀座３丁目,-,東京都中央区銀座４－１－２,35.671989,139.763965,銀座,丸ノ内線,東京地下鉄,217244,2800210,2800111
,港区,南青山１丁目,-,東京都港区南青山１－１－１９,35.672765,139.724159,青山一丁目,銀座線,東京地下鉄,93509,2800116,2800116
,中央区,京橋２丁目,日八京,東京都中央区京橋２－２－１０,35.676856,139.770126,京橋,銀座線,東京地下鉄,50698,2800110,2800110
,港区,新橋１丁目,虎ノ門広域,東京都港区新橋二丁目１７－５,35.665503,139.759644,新橋,銀座線,東京地下鉄,194374,2800112,1130102
,千代田区,神田鍛冶町,-,東京都千代田区神田須田町一丁目１６,35.693587,139.770899,神田,銀座線,東京地下鉄,53604,2800107,1130223
,港区,赤坂３丁目,赤坂,東京都港区赤坂３－１－６,35.677021,139.737047,赤坂見附,銀座線,東京地下鉄,86493,2800115,2800115
,中央区,銀座４丁目,-,東京都中央区銀座４－１－２,35.671989,139.763965,銀座,銀座線,東京地下鉄,217244,2800111,2800111
,港区,南青山３丁目,-,東京都港区北青山３丁目,35.665247,139.712314,表参道,銀座線,東京地下鉄,168791,2800118,2800118
,渋谷区,渋谷２丁目,-,東京都渋谷区道玄坂一丁目１－１,35.6587,139.700872,渋谷,銀座線,東京地下鉄,179645,2800119,1130205
