0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,指標名,ミシュラン掲載レストラン,,,,,,,3つ星,特別な料理,
,出典,ミシュランガイド東京 2025,,,,,,,2つ星,優れた料理,
,年次,2025年,,,,,,,1つ星,高品質な料理,
,URL,https://guide.michelin.com/jp/ja/tokyo-region/restaurants,,,,,,,ビブグルマン,価格以上の満足感が得られる料理,
,備考,（2019年：318件、2020年：322件、2022年度：318件、2023年度：400件、2024年度：419件、2025年度：390件）,,,,,,,,,
,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,店舗名,カテゴリ,星数,価格帯,URL
,港区,六本木７丁目,六本木,東京都港区六本木7-5-11,35.6649259,139.7278073,ヒカリモノ／Hikarimono,寿司,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/hikarimono
,港区,西麻布１丁目,-,東京都港区西麻布1-10-16,35.6615594,139.7241308,西麻布 野口／Nishiazabu Noguchi,日本料理,-,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nishiazabu-noguchi
,港区,六本木４丁目,六本木,東京都港区六本木4-12-12,35.6647715,139.7316832,入鹿 TOKYO／IRUCA TOKYO,ラーメン,"ビブグルマン：価格以上の満足感が得られる料理,簡素なレストラン",¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/iruca-tokyo
,港区,西麻布２丁目,-,東京都港区西麻布2-14-5,35.6600386,139.7227427,おそばの甲賀／Osobano Kouga,蕎麦,ビブグルマン：価格以上の満足感が得られる料理,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/osobano-kouga
,港区,三田３丁目,-,東京都港区三田3-4-2,35.64631,139.7428625,聖坂 和敬／Hijirizaka Wakei,日本料理,-,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/hijirizaka-wakei
,港区,赤坂５丁目,赤坂,東京都港区赤坂5-3-1赤坂bizタワー,35.673049,139.7362794,広東名菜 赤坂璃宮／Canton Meisai Akasaka Rikyu,中国料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/canton-meisai-akasaka-rikyu
,港区,南青山４丁目,-,東京都港区南青山4-11-13,35.6656983,139.7176142,ジンボ ミナミ アオヤマ／JINBO MINAMI AOYAMA,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/jinbo-minami-aoyama
,港区,新橋３丁目,虎ノ門広域,東京都港区新橋3-2-3,35.6664985,139.7545666,鮨 神楽／Sushi Kagura,寿司,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-kagura
,港区,西新橋２丁目,虎ノ門広域,東京都港区西新橋2-13-6,35.6668319,139.7516011,港式料理 鴻禧／Koshikiryori Koki,中国料理,ミシュラン 一つ星: 優れた料理,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/koshikiryori-koki
,港区,西麻布３丁目,-,東京都港区西麻布3-2-34b,35.6594393,139.7267062,明寂／Myojaku,日本料理,ミシュラン 三つ星: 卓越した料理,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/myojaku
,港区,白金台５丁目,-,東京都港区白金台5-13-14b,35.6377436,139.7227802,三和／Sanwa,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sanwa
,港区,六本木７丁目,六本木,東京都港区六本木7-10-3,35.6646572,139.7292087,ブーケ・ド・フランス／Bouquet de France,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/bouquet-de-france
,港区,三田１丁目,-,東京都港区三田1-3-28,35.6544976,139.744007,宮わき／Miyawaki,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/miyawaki
,港区,麻布十番２丁目,-,東京都港区麻布十番2-8-7,35.6555301,139.7347368,立喰 鮨となり／Tachigui Sushi Tonari,寿司,"ビブグルマン：価格以上の満足感が得られる料理,簡素なレストラン",¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tachigui-sushi-tonari
,港区,新橋６丁目,虎ノ門広域,東京都港区新橋6-13-13,35.6619505,139.7536589,天ぷら かき揚げ 之村／Tempura Kakiage Yukimura,天ぷら,ビブグルマン：価格以上の満足感が得られる料理,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tempura-kakiage-yukimura
,港区,赤坂９丁目,六本木,東京都港区赤坂9-1-7,35.6680427,139.7329117,江戸前鮨 英／Edomae Sushi Hanabusa,寿司,ミシュラン 一つ星: 優れた料理,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/edomae-sushi-hanabusa
,港区,元麻布３丁目,-,東京都港区元麻布3-10-5,35.6568806,139.7323136,天 よこた／Ten Yokota,天ぷら,ミシュラン 一つ星: 優れた料理,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ten-yokota
,港区,白金台５丁目,-,東京都港区白金台5-17-10,35.6375432,139.7231827,アルシミスト／Alchimiste,"フランス料理, 現代風料理",ミシュラン 一つ星: 優れた料理,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/alchimiste
,港区,南青山３丁目,-,東京都港区南青山3-10-40,35.6664928,139.7142703,ミモザ／MIMOSA,中国料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/mimosa-1194182
,港区,東麻布３丁目,-,東京都港区東麻布3-7-5,35.6562703,139.7385296,中国飯店 富麗華／Chugoku Hanten Fureika,中国料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/chugoku-hanten-fureika
,港区,虎ノ門５丁目,虎ノ門,東京都港区虎ノ門5-10-7麻布台ヒルズガーデンプラザd,35.661618,139.7434494,フロリレージュ／Florilège,フランス料理,ミシュラン 二つ星: 素晴らしい料理,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/florilege
,港区,南麻布４丁目,-,東京都港区南麻布4-2-34,35.6483106,139.7237115,青草窠／Seisoka,日本料理,ミシュラン 一つ星: 優れた料理,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/seisoka
,港区,赤坂３丁目,赤坂,東京都港区赤坂3-21-8,35.6764667,139.7361833,赤坂 島袋／Akasaka Shimabukuro,日本料理,ミシュラン 一つ星: 優れた料理,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/akasaka-shimabukuro
,港区,六本木６丁目,六本木,東京都港区六本木6-8-28,35.6601187,139.7321322,根深／Nebuka,現代風料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nebuka
,港区,高輪２丁目,-,東京都港区高輪2-1-62,35.6410052,139.7376701,中国菜 華丘房／Chugokusai KAKYU-BOU,中国料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/chugokusai-kakyu-bou
,港区,白金５丁目,-,東京都港区白金5-12-24,35.6453066,139.7237223,オルタナティヴ／Alternative,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/alternative
