0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,指標名,観光地,,,,,,,,,
,出典,google places API,,,,,,,,,
,年次,2026/02/18取得,,,,,,,,,
,URL,google places API,,,,,,,,,
,備考,(2023年度：2497件、2024年度：2355件、2025年度：1889件),,,,,,,,,
,,,,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,施設名,ジャンル,星,口コミ数,place_id
,江東区,佐賀２丁目,-,東京都江東区佐賀2-10−10,35.6798664,139.7920136,油堀跡,"tourist_attraction, point_of_interest, establishment",0,0,ChIJc48oXQCJGGAR1gEHWyQPJDM
,江東区,清澄３丁目,-,東京都江東区清澄3-3−3,35.6810462,139.7981806,多層塔,"tourist_attraction, point_of_interest, establishment",3.5,2,ChIJUSmyRQCJGGARgKYdKQW_XOU
,江東区,清澄３丁目,-,東京都江東区清澄3-3−9,35.6808782,139.7974289,佐渡赤玉石,"tourist_attraction, point_of_interest, establishment",0,0,ChIJiXhUZQCJGGARsiKR1BCCUpY
,江東区,清澄３丁目,-,東京都江東区清澄3-3−9,35.6809021,139.7972649,清澄庭園,"tourist_attraction, point_of_interest, establishment",4.4,5276,ChIJ_SvuyD-JGGARUQZhJInwMIc
,江東区,清澄２丁目,-,東京都江東区清澄2-2清澄公園,35.6803011,139.7956774,清澄公園,"park, tourist_attraction, point_of_interest, establishment",4.2,1604,ChIJHbb1xz-JGGAR9l2MvXPsc-E
,江東区,森下２丁目,-,東京都江東区森下2-5−16,35.6862434,139.7997157,森の子575(江東区コミュニティガーデン),"tourist_attraction, point_of_interest, establishment",0,0,ChIJEbB8MACJGGARHcFbTzKD3dM
,江東区,青海１丁目,-,東京都江東区青海1-2−1,35.6272832,139.7788636,お台場ＳＫＹツーリストインフォメーション/スカイダック台場 | 水陸両用バスツアー,"tourist_attraction, point_of_interest, establishment",4.5,78,ChIJ-c-7pPCJGGARYYV-mNDYDCY
,江東区,青海１丁目,-,東京都江東区青海1-1−10ダイバーシティ東京プラザ内2fフェスティバル広場,35.624451,139.7754917,実物大ユニコーンガンダム立像,"tourist_attraction, point_of_interest, establishment",4.6,27806,ChIJF6xTyvmJGGARU8t5NIqkNeI
,江東区,青海１丁目,-,東京都江東区青海1-2東京テレポート駅前,35.6267458,139.7803668,バクのオブジェ,"tourist_attraction, point_of_interest, establishment",4.3,19,ChIJt-k1TbaJGGARlGmuijV2nmw
,江東区,青海１丁目,-,東京都江東区青海1-3−12,35.6268349,139.780792,夢の広場,"park, tourist_attraction, point_of_interest, establishment",4.1,587,ChIJwTciifqJGGAR2cIA2TjqbVo
,江東区,青海１丁目,-,東京都江東区青海1-3−3,35.6258154,139.7792663,お台場ビッグトップ,"tourist_attraction, point_of_interest, establishment",5,1,ChIJkaIDF5aJGGAR5kFvXiGUdkM
,江東区,青海１丁目,-,東京都江東区青海1-3,35.6254983,139.7778514,紫陽花の小路,"tourist_attraction, point_of_interest, establishment",4.6,54,ChIJW58iviCJGGARr9dgFYICUxw
,江東区,青海１丁目,-,東京都江東区青海1-1−1,35.6234282,139.7748435,セントラル広場,"park, tourist_attraction, point_of_interest, establishment",4.1,504,ChIJzzgdUPiJGGAR1hYokt2VdGE
,江東区,青海１丁目,-,東京都江東区青海1-3−12,35.6274911,139.7822121,シンボルプロムナード公園,"park, tourist_attraction, point_of_interest, establishment",4.2,1703,ChIJp2AeuvmJGGARp1TP1Qj317Q
,江東区,有明２丁目,-,東京都江東区有明2-3,35.6319472,139.7813949,のぞみ橋,"tourist_attraction, point_of_interest, establishment",3.9,51,ChIJtyVbjvGJGGARk5eVjrjjCZI
,江東区,青海１丁目,-,東京都江東区青海1-5−4水の広場公園(西側地区),35.625004,139.7827147,水の広場公園（西側地区）,"park, tourist_attraction, point_of_interest, establishment",4.2,164,ChIJg0iLNvuJGGARTWHNZxnELwM
,江東区,青海１丁目,-,東京都江東区青海1-3,35.6259173,139.7785881,いきものの谷,"tourist_attraction, point_of_interest, establishment",4.1,13,ChIJ-4svUvCJGGARsnO38wjrih0
,江東区,有明３丁目,-,東京都江東区有明3-1−8,35.6308444,139.7854833,東京都水の科学館,"tourist_attraction, museum, point_of_interest, establishment",4.2,1340,ChIJIfO-oO-JGGARxJYVjpssowo
,江東区,青海１丁目,-,東京都江東区青海1-1,35.6232913,139.7753198,桜の回廊,"tourist_attraction, point_of_interest, establishment",4.1,7,ChIJ_T0SAgCJGGARz9bREjMpV7A
,江東区,青海１丁目,-,東京都江東区青海1-1,35.6241609,139.7739598,「自由の炎 “LA FLAMME DE LA LIBERTE”」マルク・クチュリエ,"tourist_attraction, landmark, point_of_interest, establishment",3.8,244,ChIJwfoYF_iJGGAR-dd9gpYUQC0
,江東区,青海１丁目,-,東京都江東区青海1-1−10ダイバーシティ東京プラザ7f,35.6254768,139.7761383,ガンダムベース 東京,"tourist_attraction, museum, store, point_of_interest, establishment",4.4,18478,ChIJIy1S0_mJGGAR2d0UgvPKUPg
,江東区,青海２丁目,-,東京都江東区青海2-5−10,35.6174613,139.7804881,テレコムセンター 展望室,"tourist_attraction, point_of_interest, establishment",4.4,343,ChIJmUbGdgdiGGAR-Q6aGHfT5dU
,江東区,青海２丁目,-,東京都江東区青海2-5−8滝の広場,35.6180933,139.7792012,滝の広場,"park, tourist_attraction, point_of_interest, establishment",3.8,110,ChIJXa1G8_2JGGARK8xWCpdsoeY
,江東区,青海２丁目,-,東京都江東区青海2-3−6,35.6193359,139.7763995,日本科学未来館,"tourist_attraction, museum, point_of_interest, establishment",4.1,15941,ChIJz_149P6JGGARoImMn3NlsfY
,江東区,青海２丁目,-,東京都江東区青海2-7−8北ふ頭公園,35.6187145,139.7739592,青海北ふ頭公園,"park, tourist_attraction, point_of_interest, establishment",4,237,ChIJY-jDzQZiGGARow0aVh8jH9E
,江東区,青海２丁目,-,東京都江東区青海2-8,35.61607,139.7756369,青海南ふ頭公園,"park, tourist_attraction, point_of_interest, establishment",4.1,368,ChIJlRH3kQBiGGAR8VJAfZQgVbE
,江東区,青海１丁目,-,東京都江東区青海1-1−10ダイバーシティ東京プラザ7f,35.6254768,139.7761383,ガンダムベース 東京,"tourist_attraction, museum, point_of_interest, store, establishment",4.4,18478,ChIJIy1S0_mJGGAR2d0UgvPKUPg
,江東区,有明２丁目,-,東京都江東区有明2-3有明北緑道公園,35.6324747,139.7829215,有明北緑道公園,"park, tourist_attraction, point_of_interest, establishment",3.7,57,ChIJ_x-YL-6JGGARcuveOb2QXy0
,江東区,青海２丁目,-,東京都江東区青海2-4−2420f,35.6176193,139.7785674,東京臨海部広報展示室 TOKYO ミナトリエ,"tourist_attraction, museum, point_of_interest, establishment",4.3,266,ChIJ11Qx-P2JGGARQAFMjXp8r1s
,江東区,有明３丁目,-,東京都江東区有明3,35.6272873,139.7859087,あけみ橋,"tourist_attraction, point_of_interest, establishment",4.1,27,ChIJizGyvTyJGGARMdTxG3Dpqf0
,江東区,有明２丁目,-,東京都江東区有明2-3−3−5,35.6334065,139.7842541,東京都虹の下水道館,"tourist_attraction, museum, point_of_interest, establishment",4,327,ChIJ2zTrCO6JGGARVaDvZEqlV74
,江東区,有明３丁目,-,東京都江東区有明3-3−10,35.6303751,139.7874441,つどい橋,"tourist_attraction, point_of_interest, establishment",4,27,ChIJoXPjVu-JGGARYtb1O1ksONA
,江東区,青海４丁目,-,東京都江東区青海4-1−7青海中央ふ頭公園,35.6207856,139.780251,青海中央ふ頭公園,"park, tourist_attraction, point_of_interest, establishment",3.8,37,ChIJ576BsP6JGGARCyg0ofYBI3Q
,江東区,有明３丁目,-,東京都江東区有明3-6−11tftビル東館2f,35.630858,139.7906009,シャワーツリー35,"tourist_attraction, point_of_interest, establishment",3,4,ChIJtXw3y-eJGGARWBnu4GzcQ0I
,江東区,有明３丁目,-,東京都江東区有明3-3−8,35.6293435,139.7877461,東京ドリームパーク,"tourist_attraction, point_of_interest, establishment",0,0,ChIJVT_zDwCJGGARBujrd4BQZzk
,江東区,有明３丁目,-,東京都江東区有明3-7−7,35.6335757,139.7933784,花富士,"tourist_attraction, point_of_interest, establishment",2,2,ChIJvTLPBQCJGGARXfSwGJcsRCg
,江東区,有明３丁目,-,東京都江東区有明3-12−13有明西ふ頭公園,35.6272008,139.7943775,有明西ふ頭公園,"park, tourist_attraction, point_of_interest, establishment",3.7,191,ChIJD74eBt6JGGARDCtIxQkePFU
,江東区,有明３丁目,-,東京都江東区有明3-7,35.6323519,139.7910935,有明聖火台（東京2020オリンピック・パラリンピック競技大会競技期間用聖火台）,"tourist_attraction, point_of_interest, establishment",4.2,33,ChIJbQoGUmOJGGAReB4200V5qnk
,江東区,有明３丁目,-,東京都江東区有明3-1,35.6301384,139.7831593,有明橋,"tourist_attraction, point_of_interest, establishment",3.5,6,ChIJP1Zv2O-JGGARnM0fyP4Te3Y
,江東区,有明１丁目,-,東京都江東区有明1-13−7,35.64047,139.78805,東京2020オリンピック競技大会 開催種目説明板,"tourist_attraction, point_of_interest, establishment",5,1,ChIJcQeWBACJGGARpPYhovtapHs
,江東区,有明３丁目,-,東京都江東区有明3-8−35東京臨海広域防災公園,35.6349494,139.7958032,東京臨海広域防災公園,"tourist_attraction, park, point_of_interest, establishment",4.1,1174,ChIJe5erDsOJGGAR49n8pHUdAHw
,江東区,有明２丁目,-,東京都江東区有明2-3−5スポーツセンタ,35.6331129,139.7837179,有明スポーツセンター(A棟),"tourist_attraction, gym, health, point_of_interest, establishment",3.9,596,ChIJ2zTrCO6JGGARb2eCFntRrhM
,江東区,有明３丁目,-,東京都江東区有明3-12−13,35.6295651,139.7924889,有明客船ターミナル,"tourist_attraction, point_of_interest, establishment",3.9,20,ChIJpaXnq3CJGGARhpIIEDs2qjY
,江東区,若洲３丁目,-,東京都江東区若洲3-1−2若洲海浜公園,35.6191772,139.8344957,若洲海浜公園,"park, tourist_attraction, point_of_interest, establishment",4.1,4274,ChIJD3pXJupiGGARR2IX7ZKArrM
,江東区,若洲３丁目,-,東京都江東区若洲3-1−1,35.6127338,139.8355847,岩のオブジェ,"tourist_attraction, point_of_interest, establishment",4.3,25,ChIJj07gnMhjGGARINMhFwZ01rU
,江東区,若洲３丁目,-,東京都江東区若洲3-2江東区立若洲公園,35.6213489,139.8339763,江東区立若洲公園,"park, tourist_attraction, point_of_interest, establishment",4.1,1285,ChIJSSwYpOpiGGAROTXxGNXKJBE
