0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
,指標名,保育園,,,認可保育所,https://www.fukushi.metro.tokyo.lg.jp/kiban/fukushi_shisetsu/shs_list/index.html,,,,
,出典,東京都福祉保健局,,,認証保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninsyo/ichiran.html,,,,
,年次,2026/2/26取得,,,こども園,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/n_kodomoen/shisetsuichiran.html,,,,
,URL,右記参照,,,認可外保育施設,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninkagai/index.html,,,,
,備考,（2023年度：792件、2024年度：1044件、2025年度：1041件）,,,,,,,,
,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,施設名,種別,定員,データ時点
,江東区,白河１丁目,-,東京都江東区白河1-5-1-101,35.6835595,139.8001435,江東区白河かもめ保育園,認可保育所,89,45931
,江東区,白河３丁目,-,東京都江東区白河3-3-6,35.6818273,139.8058537,子供の村保育園,認可保育所,62,45931
,江東区,白河４丁目,-,東京都江東区白河4-9-252階,35.6819797,139.8009294,さんいく保育園清澄白河,認可保育所,105,45931
,江東区,三好２丁目,-,東京都江東区三好2-6-11,35.6795349,139.803441,さくらさくみらい三好,認可保育所,64,45931
,江東区,三好３丁目,-,東京都江東区三好3-2-11,35.6800153999999,139.8053736,アンジェリカ白河保育園,認可保育所,61,45931
,江東区,平野１丁目,-,東京都江東区平野1-3-10,35.6773645,139.8005086,グローバルキッズ平野園,認可保育所,60,45931
,江東区,清澄１丁目,-,東京都江東区清澄1-7-12,35.68277,139.7942527,おはよう保育園　清澄白河,認可保育所,60,45931
,江東区,清澄３丁目,-,東京都江東区清澄3-10-5,35.6830417,139.7974446,うぃず清澄白河駅前保育園,認可保育所,70,45931
,江東区,深川１丁目,-,東京都江東区深川1-6-15-101,35.6773593,139.7964029,江東区深川一丁目保育園,認可保育所,80,45931
,江東区,永代１丁目,-,東京都江東区永代1-12-5-101,35.6743691,139.7899521,小鳩保育園　永代,認可保育所,40,45931
,江東区,冬木,-,東京都江東区冬木11-171・2階,35.6735731,139.8001202,もんなかほうゆう保育園,認可保育所,45,45931
,江東区,冬木,-,東京都江東区冬木1-5,35.6731545,139.8002401,ナーサリールームベリーベアー深川冬木,認可保育所,230,45931
,江東区,冬木,-,東京都江東区冬木16-7,35.6749407,139.8012706,まこと保育園,認可保育所,99,45931
,江東区,木場１丁目,-,東京都江東区木場1-4-5,35.6686151,139.8047561,スマイルクラブナーサリー木場,認可保育所,46,45931
,江東区,木場１丁目,-,東京都江東区木場1-4-7,35.6686255,139.804291,さくらさくみらい木場,認可保育所,64,45931
,江東区,木場２丁目,-,東京都江東区木場2-13-17,35.6715445,139.8046578,タムスわんぱく保育園木場,認可保育所,82,45931
,江東区,木場４丁目,-,東京都江東区木場4-1-65,35.6727634,139.809333,ＭＩＷＡ木場公園保育園,認可保育所,130,45931
,江東区,木場５丁目,-,東京都江東区木場5-8-3,35.6707335,139.8078997,グレース保育園,認可保育所,66,45931
,江東区,木場１丁目,-,東京都江東区木場1-3-5,35.6684089,139.802552,アゼリヤ保育園,認可保育所,76,45931
,江東区,塩浜１丁目,-,東京都江東区塩浜1-4-46,35.6637822,139.802198,聖華しおかぜ保育園,認可保育所,120,45931
,江東区,塩浜２丁目,-,東京都江東区塩浜2-14-5,35.6629705,139.8091413,キッズスマイル江東塩浜,認可保育所,93,45931
,江東区,塩浜２丁目,-,東京都江東区塩浜2-6-2,35.6608822,139.8082875,ＬＩＦＥ　ＳＣＨＯＯＬ　塩浜　こどものいえ,認可保育所,80,45931
,江東区,塩浜２丁目,-,東京都江東区塩浜2-6-3,35.6609264,139.8086421,江東区塩崎保育園,認可保育所,127,45931
,江東区,塩浜１丁目,-,東京都江東区塩浜1-3-10,35.6634807999999,139.8007629,江東区塩浜保育園,認可保育所,129,45931
,江東区,越中島２丁目,-,東京都江東区越中島2-1-30,35.6651915,139.7950287,太陽の子越中島保育園,認可保育所,64,45931
,江東区,越中島２丁目,-,東京都江東区越中島2-1-32,35.6648892,139.7955399,ポピンズナーサリースクール越中島,認可保育所,50,45931
,江東区,古石場２丁目,-,東京都江東区古石場2-14-1-102,35.6671342,139.8000956,江東区古石場保育園,認可保育所,125,45931
,江東区,富岡２丁目,-,東京都江東区富岡2-11-14,35.6704782,139.8016335,さくらさくみらい富岡,認可保育所,68,45931
,江東区,富岡２丁目,-,東京都江東区富岡2-9-113階,35.6723252,139.8019783,コスモス江東富岡保育園,認可保育所,79,45931
,江東区,富岡１丁目,-,東京都江東区富岡1-4-101階,35.6707038,139.7972334,ひろがり保育園・門前仲町,認可保育所,40,45931
,江東区,富岡１丁目,-,東京都江東区富岡1-14-17,35.672755,139.7968263,アスクもんなか保育園,認可保育所,90,45931
,江東区,富岡２丁目,-,東京都江東区富岡2-11-61階,35.6708452,139.8014584,木下の保育園　富岡,認可保育所,78,45931
,江東区,枝川１丁目,-,東京都江東区枝川1-2-9,35.6587893,139.8022605,豊洲枝川さくらんぼ保育園,認可保育所,100,45931
,江東区,枝川３丁目,-,東京都江東区枝川3-6-15,35.6583576,139.8104037,愛隣シャローム保育園,認可保育所,99,45931
,江東区,枝川２丁目,-,東京都江東区枝川2-25-10,35.6573144,139.8081906,深川愛隣保育園,認可保育所,95,45931
,江東区,潮見１丁目,-,東京都江東区潮見1-28-82・3階,35.657047,139.815146,太陽の子　潮見保育園,認可保育所,60,45931
,江東区,潮見１丁目,-,東京都江東区潮見1-29-15-101,35.655969,139.815987,江東区潮見保育園,認可保育所,110,45931
,江東区,辰巳１丁目,-,東京都江東区辰巳1-10-81-101,35.6481828,139.8113886,江東区辰巳第三保育園,認可保育所,112,45931
,江東区,辰巳１丁目,-,東京都江東区辰巳1-2-41・2階,35.6495405,139.8079579,江東区辰巳第二保育園,認可保育所,103,45931
,江東区,豊洲３丁目,-,東京都江東区豊洲3-2-20-106,35.6568969,139.7958903,ミアヘルサ保育園ゆらりん豊洲フロント,認可保育所,60,45931
,江東区,豊洲３丁目,-,東京都江東区豊洲3-4-82階,35.6573714,139.7995199,ＴＫチルドレンズファーム豊洲校,認可保育所,50,45931
,江東区,豊洲３丁目,-,東京都江東区豊洲3-4-82階,35.6573714,139.7995199,ＴＫチルドレンズファーム豊洲第二校,認可保育所,45,45931
,江東区,豊洲３丁目,-,東京都江東区豊洲3-6-81階,35.657649,139.797675,アスクバイリンガル保育園豊洲,認可保育所,60,45931
,江東区,豊洲４丁目,-,東京都江東区豊洲4-1-8,35.6547687,139.797647,さくらさくみらい豊洲,認可保育所,69,45931
,江東区,豊洲５丁目,-,東京都江東区豊洲5-1-26,35.6519635,139.7949355,グローバルキッズ豊洲園,認可保育所,220,45931
,江東区,豊洲５丁目,-,東京都江東区豊洲5-5-25,35.6525204,139.7971886,スマイスセレソン豊洲保育園,認可保育所,77,45931
,江東区,豊洲５丁目,-,東京都江東区豊洲5-6-29,35.6516185,139.7970543,グローバルキッズ豊洲五丁目保育園,認可保育所,91,45931
,江東区,豊洲５丁目,-,東京都江東区豊洲5-6-521階,35.6497722,139.7983731,アイグラン保育園豊洲,認可保育所,55,45931
,江東区,豊洲６丁目,-,東京都江東区豊洲6-2-102階,35.6478445,139.7926887,小学館アカデミーしんとよす保育園,認可保育所,243,45931
,江東区,豊洲３丁目,-,東京都江東区豊洲3-5-21-102,35.6584153,139.7958929,蓮美幼児学園とよすナーサリー,認可保育所,134,45931
,江東区,豊洲３丁目,-,東京都江東区豊洲3-5-31階,35.6591263,139.7954282,蓮美幼児学園第２とよすナーサリー,認可保育所,87,45931
,江東区,豊洲４丁目,-,東京都江東区豊洲4-10-1-106,35.653762,139.8015295,ミアヘルサ保育園ゆらりん豊四,認可保育所,75,45931
,江東区,豊洲４丁目,-,東京都江東区豊洲4-11-20-138,35.6535176,139.8000701,ひまわりキッズガーデン豊洲,認可保育所,91,45931
,江東区,豊洲４丁目,-,東京都江東区豊洲4-1-24,35.654473,139.797164,ミアヘルサ保育園ひびき豊洲,認可保育所,120,45931
,江東区,豊洲４丁目,-,東京都江東区豊洲4-5-8,35.6544333,139.7995162,江東区豊洲保育園,認可保育所,130,45931
,江東区,豊洲２丁目,-,東京都江東区豊洲2-5-3-101,35.6583609,139.7922006,ＭＩＷＡシンフォニア保育園,認可保育所,120,45931
,江東区,東雲１丁目,-,東京都江東区東雲1-10-14,35.6502364,139.8028194,グローバルキッズしののめ園,認可保育所,78,45931
,江東区,東雲１丁目,-,東京都江東区東雲1-8-5-101,35.644945,139.8002229,江東区東雲保育園,認可保育所,73,45931
,江東区,東雲２丁目,-,東京都江東区東雲2-1-22,35.6439767,139.8014849,みんなのみらいをつくる保育園東雲,認可保育所,50,45931
,江東区,東雲２丁目,-,東京都江東区東雲2-4-4-103,35.6433595,139.7991888,江東区東雲第二保育園,認可保育所,82,45931
,江東区,東雲１丁目,-,東京都江東区東雲1-8-18,35.6448158,139.8009102,ＹＭＣＡオリーブ保育園,認可保育所,104,45931
