0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,港区,六本木４丁目,六本木,港区六本木4-5-2uビルb1f,35.665076,139.7326313,atomage,バー,Rock ･ R&B ･ TechHouse ･ House ･ Electro ･ Ska ･ Funk ･ Disco,Closed,-,,30席前後,"チャージ 1000円
ドリンク 700円～",https://www.tokyo-club.net/atomage/
,港区,赤坂７丁目,赤坂,港区赤坂7-9-7バルビゾン741f,35.6698382,139.7330071,dot & blue,バー,Piano ･ Jam session ･ Jazz ･ Disco ･ House,03-3568-3188,-,,約50名,5000円,https://www.tokyo-club.net/dot-blue/
,港区,六本木７丁目,六本木,港区六本木7-5-11カサグランデミワ2f,35.66492590000001,139.7278073,R&B cafe Boo,カフェ ･ バー,BlackMusic,Closed,-,,立 50名,1000円～4000円,https://www.tokyo-club.net/cafe-boo/
,港区,赤坂３丁目,赤坂,港区赤坂3-14-1コンチネンタルivビルb1f,35.6740362,139.7373209,The Great Journey,バー,R&B ･ Jazz ･ Disco ･ Soul ･ Funk ･ 70s ･ 80s ･ HipHop,Closed,-,,70名 (40席),"4,000円",https://www.tokyo-club.net/great-journey/
,港区,六本木７丁目,六本木,港区六本木7-6-3喜楽ビル201,35.6646414,139.7285563,Funky D,バー,80s ･ 70s ･ Funk ･ Soul ･ R&B ･ House ･ HipHop,03-3403-5636,-,,15名,"4000円 (チャージ 1000円)
ドリンク 800円～",https://www.tokyo-club.net/funky-d/
,港区,六本木３丁目,六本木,港区六本木3-11-10ココ六本木ビル4f,35.6632884,139.7329703,RAKAN TOKYO,バー,HipHop ･ Latin ･ R&B ･ etc.,Closed,-,,100名前後,,https://www.tokyo-club.net/rakan-tokyo/
,港区,赤坂３丁目,赤坂,港区赤坂3-1-11鈴木ビル3f,35.6768826,139.736777,鶴千,バー,80s ･ 70s ･ Eurobeat ･ Funk ･ Soul ･ Disco,03-3583-2207,-,,50～100名,3000円,https://www.tokyo-club.net/tsurusen/
,港区,六本木３丁目,六本木,港区六本木3-13-12エルサビル2f,35.6629041,139.7338373,MAGNET,レストランバー,HipHop ･ House ･ EDM ･ R&B ･ Techno,Closed,-,,立 100人,男性2000円～ / 女性1000円～,https://www.tokyo-club.net/magnet/
,港区,北青山１丁目,-,港区北青山1-4-5vort青山1-dualsb1f,35.6723179,139.7217362,青山RizM,ライブハウス,POPs ･ Live ･ Folk ･ Rock ･ Others,03-6804-5925,-,,250人,,https://www.tokyo-club.net/rizm/
,港区,赤坂３丁目,赤坂,港区赤坂3-21-10赤坂青明会館b1f,35.6764362,139.735884,Graffiti,ライブハウス,Acoustic ･ Rock ･ POPs ･ etc.,Closed,-,,座り 90席～ / 立 160人,"4,000円～",https://www.tokyo-club.net/graffiti/
,港区,六本木５丁目,六本木,港区六本木5-9-22第二千陽ビルb1f,35.661936,139.7330037,Electrik神社,バー,Jazz ･ Funk ･ Live ･ HipHop ･ Others,03-3478-3363,-,,50人,3500円前後,https://www.tokyo-club.net/electrik-jinja/
,港区,赤坂３丁目,赤坂,港区赤坂3-11-7ソシアル赤坂地下,35.6745648,139.7375604,CRAWFISH,ライブバー,Rock ･ Jazz ･ Folk ･ Blues ･ POPs ･ Others,03-3584-2496,-,,立 80人,4000円,https://www.tokyo-club.net/crawfish/
,港区,麻布十番２丁目,-,港区麻布十番2-8-7m2kholdingビル2f,35.6555301,139.7347368,Cafe del A.R.M,バー,Techno ･ House ･ Minimal ･ Crossover ･ HipHop ･ etc.,Closed,-,,30名未満,2500円～3500円前後,https://www.tokyo-club.net/cafe-del-arm/
,港区,六本木７丁目,六本木,港区六本木7-13-72f,35.6640023,139.7305494,VILLA TOKYO,CLUB,Allmix ･ EDM ･ House ･ etc.,03-5413-8077,-,,"400名程
地下: 立200人+固定100席 / 約400平米
ラウンジ(1階): 80平米","エントランスフィーの目安
男性 3500円 / 女性 無料 (クーポン割有)
変更の場合有、事前に確認下さい",https://www.tokyo-club.net/villa-tokyo/
,港区,六本木５丁目,六本木,港区六本木5-10-25r棟,35.6592102,139.7325451,1OAK Tokyo,CLUB,HipHop･ R&B･ Electro･ Moombahton･ etc.,Closed,-,,1000人 / 席数180,"一般: 5,000円～
1階VIP席: 15万円～
2階VIPルーム: 40万円～ ※全て目安",https://www.tokyo-club.net/1oak-tokyo/
,港区,六本木５丁目,六本木,港区六本木5-1-7六本木ストリートビル1f-2f,35.6625397,139.7332497,MEZZO TOKYO,ラウンジ ･ バー,House ･ EDM ･ Allmix ･ etc.,03-6438-9711,-,,100人 (1階60 ･ 2階40),"2,000円～",https://www.tokyo-club.net/mezzo/
,港区,南青山３丁目,-,港区南青山3-18-19フェスタ表参道ビルb1f,35.6651715,139.7128739,VENT,CLUB,House ･ Techno ･ etc.,03-6804-6652,-,,300人,3500円前後から,https://www.tokyo-club.net/vent/
,港区,六本木５丁目,六本木,港区六本木5-2-4第2鳥勝ビルb1f,35.662247,139.7338937,GOLD LOUNGE New Lex,バー,Allmix ･ Others,Closed,-,,80人,2500円～,https://www.tokyo-club.net/gold-lounge/
,港区,六本木７丁目,六本木,港区六本木7-13-7,35.6640023,139.7305494,V2 TOKYO,クラブ ･ ラウンジ,Others,03-5474-0091,-,,,-,https://www.tokyo-club.net/galaxie/
,港区,六本木３丁目,六本木,港区六本木3-8-15六本木日拓ビル1f-3f,35.6633279,139.7342002,DiA tokyo,CLUB,Allmix ･ R&B ･ EDM ･ House ･ etc.,Closed,-,,550人,"5,000円",https://www.tokyo-club.net/dia-tokyo/
