0,1,2,3,4,5,6,7,8
,,,,,,,,
,指標名,スーパー,,,,,,
,出典,navitime,,,,,,
,年次,2026/01/16取得,,,,,,
,URL,https://www.navitime.co.jp/,,,,,,
,備考,(2023年度：593件、2024年度：610件、2025年度：607件),,,,,,
,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,施設名,種類
,千代田区,九段北４丁目,-,千代田区九段北4-1-3,35.6926601,139.7401687,リンコス 九段店,その他スーパー
,千代田区,九段北４丁目,-,千代田区九段北4-1-7九段センタービル1f,35.6927571,139.7394869,イオンリカー 市ヶ谷店,酒店
,千代田区,富士見２丁目,-,千代田区富士見2-7-1プラウドタワー1f,35.7006447,139.7445996,Santoku(サントク) 飯田橋店,その他スーパー
,千代田区,鍛冶町１丁目,-,千代田区鍛冶町1-2-3,35.6898222,139.7699928,肉のハナマサ神田店,その他スーパー
,中央区,築地４丁目,-,中央区築地4-13-3築地場外市場,35.6647703,139.7702515,まる一 浜田商店,その他スーパー
,中央区,勝どき６丁目,-,中央区勝どき6-3-2,35.655696,139.7734073,マルエツ 勝どき六丁目店,その他スーパー
,中央区,晴海３丁目,-,中央区晴海3-13-2,35.6548188,139.777263,マルエツ 晴海三丁目店,その他スーパー
,中央区,豊海町,-,中央区豊海町12-12,35.6523778,139.7697743,株式会社ホウスイ 豊海第一冷蔵庫,社会関連
,中央区,銀座３丁目,-,中央区銀座3-2-1マロニエゲート銀座2内,35.6737054,139.7651517,OK(オーケーストア) 銀座店,その他スーパー
,中央区,日本橋堀留町１丁目,-,中央区日本橋堀留町1-5-12ヤシマ日本橋ビル,35.6873211,139.7797414,まいばすけっと 日本橋堀留町1丁目店,その他スーパー
,中央区,日本橋蛎殻町２丁目,-,中央区日本橋蛎殻町2-10-11秀和蛎殻町ビル,35.6835601,139.781624,まいばすけっと 水天宮店,その他スーパー
,中央区,銀座３丁目,-,中央区銀座3-2-1マロニエゲート銀座2b1・b2,35.67376369999999,139.7651281,オーケー 銀座店,その他スーパー
,中央区,佃１丁目,-,中央区佃1-11-8リバーシティ21ピアウエスト,35.669615,139.784531,リンコス リバーシティ店,その他スーパー
,中央区,日本橋横山町,-,中央区日本橋横山町1-3okk日本橋ビル,35.6913826,139.7817507,まいばすけっと 日本橋横山町店,その他スーパー
,中央区,銀座８丁目,-,中央区銀座8-10先銀座ナイン3号館,35.667122,139.7618936,肉のハナマサ 銀座店,その他スーパー
