0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,指標名,インターナショナルスクール,,,,,,,,,
,出典,plazahomes,,,,,,,,,
,年次,2026/01/14取得,,,,,,,,,
,URL,https://www.plazahomes.co.jp/living-in-tokyo/international-schools,,,,,,,,,
,備考,(2023年度：68件、2024年度：69件、2025年度：71件),,,,,,,,,
,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,施設名,英語名,対象,共学/別学,URL
,港区,麻布台１丁目,虎ノ門,港区麻布台1-3-3,35.6602672,139.7409536,ブリティッシュスクール東京 [麻布台キャンパス],British School in Tokyo [Azabudai Campus],共学プリスクール:１.5～ 3歳 キンダガーテン: 3 ～ 6歳,共学,http://www.laurus-school.com/en/
,港区,赤坂２丁目,赤坂,港区赤坂2-18-12,35.6687875,139.7395486,ムーミン・インターナショナル幼稚園,Moomin International Kindergarten,共学Primary School,共学,https://laurus-school.com/
,港区,南麻布３丁目,-,港区南麻布3-5-13,35.6515261,139.7299371,モンテソーリスクールオブ東京,The Montessori School of Tokyo,共学プリスクール: １.5～3歳 キンダガーデン: 3歳 ～ 6歳,共学,http://www.laurus-school.com/en/
,港区,白金台３丁目,-,港区白金台3-4-17,35.6358112,139.7275421,ローラス・インターナショナルスクール・オブ・サイエンス - 白金台,Laurus International School of Science (Shirokanedai),中等部,-,https://laurus-school.com/ja/
,港区,芝４丁目,-,港区芝4-1-30芝国際ビル10階,35.6496625,139.749704,ローラス・インターナショナルスクール・オブ・サイエンス 高等部,Laurus International School of Science [Upper Secondary school],共学1 - 5 歳,共学,http://www.pigeonhearts.co.jp/kidsworld/english/
,港区,高輪３丁目,-,港区高輪3-21-7レガロ高輪1f,35.6324357,139.735588,ローラス・インターナショナルスクール・オブ・サイエンス - 高輪,Laurus International School of Science (Takanawa),共学Grade 1 - 11,共学,http://russchooljp.ru/
,港区,芝４丁目,-,港区芝4-1-30芝国際ビル7-8階,35.6498518,139.7498393,ローラス・インターナショナルスクール・オブ・サイエンス 初等部,Laurus International School of Science [Primary School],共学2 - 5歳,共学,http://www.saintalbans.jp/?page_id=177
,港区,南青山６丁目,-,港区南青山6-13-14,35.6592772,139.7148889,ローラス・インターナショナルスクール・オブ・サイエンス - 青山,Laurus International School of Science (Aoyama),共学幼稚園 - 9年生,共学,https://www.nishimachi.ac.jp/
,港区,芝４丁目,-,港区芝4-1-30芝国際ビル9階,35.6496625,139.749704,ローラス・インターナショナルスクール・オブ・サイエンス 中等部,Laurus International School of Science [Lower Secondary school],共学幼稚園 - 8年生(4 - 14歳）,共学,https://www.tokyois.com/tokyois/
,港区,南麻布５丁目,-,港区南麻布5-10-24,35.6525885,139.7223946,広尾キッズワールド,Hiroo Kids World,共学2-6 years old,共学,https://hayama-international.co.jp/shirokane/
,港区,麻布台２丁目,-,港区麻布台2-1-1,35.6594352,139.7413448,在日ロシア大使館付属学校,Russian Embassy School in Tokyo,共学プリスクール、幼稚園 (2歳〜5歳),共学,https://kinder.capitaltokyo.com/
,港区,芝公園３丁目,虎ノ門,港区芝公園3-6-25,35.660046,139.7438355,聖公会聖オルバン教会　保育園,St. Alban's Nursery,共学1～6歳,共学,http://papinjapan.com/
,港区,元麻布２丁目,-,港区元麻布2-14-7,35.6535879,139.7302918,西町インターナショナルスクール,Nishimachi International School,共学9th-12th grade (14-18 years old),共学,https://www.innovationfellowship.org/
,港区,南麻布２丁目,-,港区南麻布2-13-6,35.6472393,139.7353725,東京インターナショナルスクール,Tokyo International School,12ヶ月 - 6歳,-,http://www.reggioschool.jp/ja/
,港区,白金台５丁目,-,港区白金台5-17-1,35.6376362,139.7233922,葉山インターナショナルスクール 白金校,Hayama International School Shirokane,共学5 - 12年生,共学,https://eliteopenschooltokyo.com/
,渋谷区,桜丘町,-,渋谷区桜丘町1-shibuyasakurastagesakuraタワー5階,35.6555838,139.7023117,CTISキンダーガーテン渋谷,CTIS Kindergarten Shibuya,共学1歳半～6歳まで,共学,https://www.olivetree-school.com/japanese
,渋谷区,恵比寿３丁目,-,渋谷区恵比寿3-9-20恵比寿ガーデンイーストビル2f,35.6440857,139.7159104,Prime Academic Preschool Ebisu,Prime Academic Preschool Ebisu,共学2 - 6歳,共学,http://www.ginger-tree.jp/english/
,渋谷区,道玄坂１丁目,-,渋谷区道玄坂1-10-8plugandplay1f,35.6568718,139.6985617,The Innovation Fellowship,The Innovation Fellowship,共学1 - 6歳,共学,http://sesame.tokyo/
,渋谷区,初台１丁目,-,渋谷区初台1-31-17,35.6791532,139.6834208,The Reggio School of Tokyo,The Reggio School of Tokyo,共学11ヶ月 - 5歳（小学校前）,共学,http://www.poppins-palis.jp/
,渋谷区,恵比寿西１丁目,-,渋谷区恵比寿西1-31-18,35.6482176,139.7052979,エリートオープンスクール,Elite Open School,"共学Kindergarden, Primary School, Secondary School",共学,https://www.yuaischooljapan.com/
,渋谷区,富ケ谷１丁目,-,渋谷区富ケ谷1-9-19代々木公園ksビル2階,35.6683616,139.690415,オリーブツリーインターナショナルスクール,OLIVETREE International School,共学preschool - middle school,共学,http://www.united-school.jp/
,渋谷区,神宮前３丁目,-,渋谷区神宮前3-38-3,35.6718106,139.7135881,ジンジャーツリー・インターナショナル・スクール,Gingertree international school,女子校3　-　18歳,-,https://www.issh.ac.jp/
,渋谷区,広尾１丁目,-,渋谷区広尾1-5-14,35.6493087,139.7136716,セサミ・インターナショナル・プリスクール,Sesame International Preschool,共学3 - 5 歳,共学,https://www.issh.ac.jp/
,渋谷区,恵比寿４丁目,-,渋谷区恵比寿4-20-2恵比寿ガーデンテラス弐番館1f,35.6425007,139.7149999,ポピンズアクティブラーニングインターナショナルスクール,Poppins Active Learning International School,共学メイプル（3 - 4歳）、オーク（4 - 6歳）,共学,http://www.daizawaschool.com/index.html
,渋谷区,大山町,-,渋谷区大山町1-13,35.6676475,139.6766016,ユーアイ インターナショナル イスラミック スクール,Yuai International Islamic school,共学Year 1-6（対象年齢：5-11歳）,共学,https://www.phoenixhouseschool.org/
,渋谷区,富ヶ谷２丁目,-,渋谷区富ヶ谷2-21-10キジマビル,35.6617757,139.6871489,ユナイテッドスクールオブ東京（UST）,United School of Tokyo,共学2 - 4 歳,共学,https://aupaysdessakuras.com/
,渋谷区,広尾４丁目,-,渋谷区広尾4-3-1,35.6522016,139.7198258,聖心インターナショナルスクール,International School of the Sacred Heart (ISSH),共学18 months - 6 years old,共学,https://www.koapreschool.com/
,渋谷区,広尾４丁目,-,渋谷区広尾4-3-1,35.6522016,139.7198258,聖心インターナショナルスクール　（幼稚園）,International School of the Sacred Heart ( Kindergarten ),共学K1 - K5,共学,https://aoba-bilingual.jp/harumi/
,渋谷区,大山町,-,渋谷区大山町39-20,35.6700048,139.6764022,代沢インターナショナルスクール　大山キャンパス (メイプル - オーク),DAIZAWA INTERNATIONAL SCHOOL Oyama Campus (Maple - Oak),共学6ヶ月ー12歳,共学,https://www.sunshinekids-academy.com/
,新宿区,高田馬場１丁目,-,新宿区高田馬場1-14-8千代田ビル2号館,35.70943219999999,139.7059558,アオバジャパン・バイリンガルプリスクール（早稲田キャンパス）,Aoba-Japan Bilingual Preschool (Waseda Campus),共学2歳 ｰ 6歳 未就学児,共学,https://nihonbashi.future-jidoen.com/en/
,新宿区,新小川町,-,新宿区新小川町3-16菊水ビル101,35.7054188,139.7420891,テゾーロインターナショナルスクール,Tesoro International School,共学High school,共学,https://kaisinternational.com/
,新宿区,大久保２丁目,-,新宿区大久保2-23-9,35.7045539,139.7043526,東京早稲田インターナショナルクリスチャンスクール,Tokyo Waseda International Christian School,共学K3 - Grade12,共学,https://www.cisjapan.net/
,千代田区,四番町,-,千代田区四番町3-7,35.6890961,139.738731,Phoenix House International school,Phoenix House International school,共学2 - 5歳,共学,http://www.tokyochildrensgarden.com/
,千代田区,飯田橋１丁目,-,千代田区飯田橋1-6-3コウヨウビル2f,35.6986837,139.7489456,サクラの国　Au Pays des Sakuras,Au Pays des Sakuras,共学Ages 3-8 yrs old (Preschool - Grade 2),共学,https://sistokyo.jp/
,中央区,日本橋富沢町,-,中央区日本橋富沢町11-19soho301f,35.6896102,139.7816202,KOA International Preschool,KOA International Preschool,共学Primary - Secondary (Grade 3-10),共学,https://sistokyo.jp/
,中央区,晴海１丁目,-,中央区晴海1-8-2晴海トリトンスクエア西地区,35.6573718,139.7827814,アオバジャパン・バイリンガルプリスクール（晴海キャンパス）,Aoba-Japan Bilingual Preschool (Harumi Campus),共学K1 - K5,共学,https://aoba-bilingual.jp/waseda/
,中央区,築地１丁目,-,中央区築地1-5-5クニビル,35.6699921,139.7718074,サンシャイン キッズ アカデミー（東京）,Sunshine Kids Academy (Tokyo),共学2 - 6歳,共学,http://www.tesorointernationalschool.com/
,中央区,日本橋富沢町,-,中央区日本橋富沢町14-1北祥ビル,35.6895761,139.7830797,フューチャー児童園 日本橋,Future Jidoen Nihonbashi,共学小学部、中学部、高等部,共学,http://www.wics.jp/index.php
,品川区,上大崎２丁目,-,品川区上大崎2-7-16,35.6379151,139.716489,KAISインターナショナルスクール,KAIS International School,共学Kindergarten - Grade12,共学,https://iisjapan.com/
,品川区,北品川５丁目,-,品川区北品川5-8-20,35.6196602,139.7331937,カナディアン インターナショナル スクール,Canadian International School Tokyo,共学保育園 - 12年生 (3歳-17歳）,共学,http://www.kist.ed.jp/
,品川区,東五反田５丁目,-,品川区東五反田5-11-1e-101,35.6298692,139.7234359,東京チルドレンズガーデン,Tokyo Children's Garden,共学K1 - Grade8 (Ages 3-13),共学,https://tokyobayinternationalschool.org/a/TBIS
,品川区,東品川４丁目,-,品川区東品川4-8-8,35.60944569999999,139.7458639,品川インターナショナルスクール - シーサイドキャンパス,Shinagawa International School - Seaside Campus,共学２歳児（２歳児クラス）～６歳児（年長）,共学,https://tokyo.ymca.or.jp/language/kids_garden.html
,品川区,南品川３丁目,-,品川区南品川3-6-21,35.6085164,139.7446759,品川インターナショナルスクール メインキャンパス,Shinagawa International School - Main Campus,共学Kindergarten - Grade 12,共学,http://tokyo.ymca.or.jp/tyis/
