lat,lon,name
35.6999955,139.7182025,日生薬局 新若松町店
35.7084419,139.7306208,ヨシキ薬局 山吹町店
35.6943966,139.6935048,日生薬局 西新宿店
35.7035037,139.6885603,フリージア薬局 北新宿店
35.7208093,139.6943884,かちどき薬局 落合店パート2
35.682955,139.6867214,ヤマグチ薬局 オペラシティ店
35.713054,139.7031705,若草薬局
35.7028531,139.7376712,アイ薬局 神楽坂店
35.6939601,139.7207015,ココカラファイン薬局 曙橋店
35.7010509,139.7164769,ミネ薬局 新宿若松町店
35.6999274,139.7207367,稲垣薬局
35.7013762,139.6987672,龍生堂薬局 大久保店
35.6875501,139.7196213,龍生堂薬局 四谷三丁目店
35.7208669,139.6943858,本田薬局 中落合店
35.6980529,139.7200203,ミキ薬局 第二女子医大通り店
35.70589,139.721766,フクロ薬局 早稲田店
35.7007514,139.7409966,ツイン薬局 神楽坂店
35.7126575,139.701407,ケイワ薬局 高田馬場店
35.7081192,139.7228644,けやき薬局
35.6969908,139.7136209,だいまる薬局 余丁町
35.7030127,139.7430961,日本調剤 新飯田橋薬局
35.7033638,139.7409747,ツイン薬局
35.7103097,139.6834261,うさぎ薬局
35.7217105,139.6961766,たけのこ薬局
35.6975859,139.7137607,だいまる薬局 抜弁天
35.7140083,139.7032339,中西薬局
35.7109608,139.7077939,薬樹薬局 高田馬場
35.6869639,139.7278869,きぼう堂薬局 四谷店
35.6991022,139.7190626,ミキ薬局 若松町店
35.7010858,139.7163488,コクミン薬局 国際医療センター前店
35.7121146,139.7029641,スミダ薬局 高田馬場店
35.705451,139.722844,花梨堂薬局
35.7040232,139.7324311,クレヨン薬局 神楽坂店
35.6988197,139.7189544,ミキ薬局 女子医大通り店
35.6999503,139.7200066,コスモス薬局
35.6991022,139.7190626,日本調剤 女子医大通り薬局
35.6995066,139.7219009,日生薬局 牛込店
35.6860968,139.728074,ナカ薬局
35.7010374,139.7165752,紫山堂薬局 若松町店
35.7135638,139.7067496,はしむら薬局
35.6908607,139.7098567,新宿ヒカリ薬局
35.6921744,139.7151124,フラワー薬局 新宿店
35.7116635,139.7079046,龍生堂薬局 ワセダ東店
35.7097542,139.7153971,新星堂薬局
35.6990955,139.7182698,日生薬局 若松河田駅前店
35.7114006,139.7092045,スギ薬局 高田馬場店
35.6990719,139.7181773,カワダ薬局
35.6886436,139.7117443,マミー薬局 新宿御苑店
35.6931769,139.7023267,龍生堂薬局 新宿店
35.6990285,139.7185523,ミキ薬局 河田町店
35.6920919,139.7079907,龍生堂薬局 東新宿店
35.696049,139.7197564,日生薬局 河田町店
35.7070567,139.743029,アイ薬局
35.690086,139.7077713,エアロ調剤薬局
35.7114544,139.7047992,薬局わたなべファーマシー
35.6909181,139.6967391,オーエス薬局 新宿西口店
35.7074914,139.6975408,サノ薬局
35.6939142,139.6932529,龍生堂薬局 アイランド店
35.7201898,139.6752035,ヤマグチ薬局 哲学堂店
35.6939409,139.6952394,ナチュラルローソンクオール薬局 西新宿七丁目店
35.6946508,139.6930562,スギ薬局 西新宿医大前店
35.7213601,139.6829344,プラス薬局
35.693937,139.6868018,有限会社 伊賀薬局
