0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,
,指標名,バス停,,,,,,,,,,,,
,出典,navitime,,,,,,,,,,,,
,年次,2026/01/26取得,,,,,,,,,,,,
,URL,https://www.navitime.co.jp/,,,,,,,,,,,,
,備考,(2023年度：3645件、2024年度：3652件、2025年度：3571件),,,,,,,,,,,,
,,,,,,,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,バス停名,路線数,1÷路線数,バス路線名,事業者名・系統等,方面1,方面2,種類
,江東区,猿江１丁目,-,江東区猿江1丁目3猿江１丁目,35.685765,139.811092,猿江１丁目,1,1,錦１３(晴海埠頭-錦糸町駅前),都営バス,錦糸町駅前方面,晴海埠頭方面,バス停
,江東区,猿江２丁目,-,江東区猿江2丁目16猿江２丁目,35.685828,139.816073,猿江２丁目,2,0.5,東２２,都営バス,錦糸町駅前方面,東京駅丸の内北口方面,バス停
,江東区,猿江２丁目,-,江東区猿江2丁目16猿江２丁目,35.685828,139.816073,猿江２丁目,2,0.5,錦２２,都営バス,錦糸町駅前方面,臨海車庫方面,バス停
,江東区,塩浜１丁目,-,江東区塩浜1丁目4浜園橋,35.66193,139.7994,浜園橋,2,0.5,海０１,都営バス,東京テレポート駅前方面,門前仲町（バス）方面,バス停
,江東区,塩浜１丁目,-,江東区塩浜1丁目4浜園橋,35.66193,139.7994,浜園橋,2,0.5,門１９,都営バス,門前仲町（バス）方面,深川車庫前方面,バス停
,江東区,塩浜１丁目,-,江東区塩浜1丁目5塩浜１丁目,35.66018,139.800765,塩浜１丁目,2,0.5,海０１,都営バス,東京テレポート駅前方面,門前仲町（バス）方面,バス停
,江東区,塩浜１丁目,-,江東区塩浜1丁目5塩浜１丁目,35.66018,139.800765,塩浜１丁目,2,0.5,門１９,都営バス,門前仲町（バス）方面,深川車庫前方面,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目20深川第八中学校前,35.663915,139.811523,深川第八中学校前,1,1,錦１３(晴海埠頭-錦糸町駅前),都営バス,錦糸町駅前方面,晴海埠頭方面,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目20深川八中南,35.663662,139.812513,深川八中南,3,0.3333333333333333,陽１２-１,都営バス,昭和大学江東豊洲病院前方面,東陽町駅前方面,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目20深川八中南,35.663662,139.812513,深川八中南,3,0.3333333333333333,陽１２-２,都営バス,豊洲市場方面,東陽町駅前方面,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目20深川八中南,35.663662,139.812513,深川八中南,3,0.3333333333333333,陽１２-３,都営バス,東京テレポート駅前方面,東陽町駅前方面,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目27東陽橋南,35.664018,139.816116,東陽橋南,3,0.3333333333333333,陽１２-１,都営バス,昭和大学江東豊洲病院前方面,東陽町駅前方面,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目27東陽橋南,35.664018,139.816116,東陽橋南,3,0.3333333333333333,陽１２-２,都営バス,豊洲市場方面,東陽町駅前方面,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目27東陽橋南,35.664018,139.816116,東陽橋南,3,0.3333333333333333,陽１２-３,都営バス,東京テレポート駅前方面,東陽町駅前方面,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目4塩浜橋,35.663327,139.805257,塩浜橋(東京都),1,1,業１０(新橋-とうきょうスカイツリー駅前),都営バス,とうきょうスカイツリー駅前方面,新橋（東京都）方面,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目5塩崎荘前,35.662316,139.804716,塩崎荘前,1,1,木場ルート〔潮見方面〕,しおかぜ,潮見駅前方面,,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目7−20大成ﾛﾃｯｸ,35.66312,139.8081,塩浜東,4,0.25,錦１３(晴海埠頭-錦糸町駅前),都営バス,錦糸町駅前方面,晴海埠頭方面,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目7−20大成ﾛﾃｯｸ,35.66312,139.8081,塩浜東,4,0.25,陽１２-１,都営バス,昭和大学江東豊洲病院前方面,東陽町駅前方面,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目7−20大成ﾛﾃｯｸ,35.66312,139.8081,塩浜東,4,0.25,陽１２-２,都営バス,豊洲市場方面,東陽町駅前方面,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目7−20大成ﾛﾃｯｸ,35.66312,139.8081,塩浜東,4,0.25,陽１２-３,都営バス,東京テレポート駅前方面,東陽町駅前方面,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目7塩浜２丁目,35.66156,139.8065,塩浜２丁目(東京都),7,0.1428571428571428,業１０(新橋-とうきょうスカイツリー駅前),都営バス,とうきょうスカイツリー駅前方面,新橋（東京都）方面,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目7塩浜２丁目,35.66156,139.8065,塩浜２丁目(東京都),7,0.1428571428571428,錦１３(晴海埠頭-錦糸町駅前),都営バス,錦糸町駅前方面,晴海埠頭方面,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目7塩浜２丁目,35.66156,139.8065,塩浜２丁目(東京都),7,0.1428571428571428,錦１３乙,都営バス,深川車庫前方面,,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目7塩浜２丁目,35.66156,139.8065,塩浜２丁目(東京都),7,0.1428571428571428,陽１２-１,都営バス,昭和大学江東豊洲病院前方面,東陽町駅前方面,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目7塩浜２丁目,35.66156,139.8065,塩浜２丁目(東京都),7,0.1428571428571428,陽１２-２,都営バス,豊洲市場方面,東陽町駅前方面,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目7塩浜２丁目,35.66156,139.8065,塩浜２丁目(東京都),7,0.1428571428571428,陽１２-３,都営バス,東京テレポート駅前方面,東陽町駅前方面,バス停
,江東区,塩浜２丁目,-,江東区塩浜2丁目7塩浜２丁目,35.66156,139.8065,塩浜２丁目(東京都),7,0.1428571428571428,木場ルート〔潮見方面〕,しおかぜ,潮見駅前方面,,バス停
,江東区,海の森２丁目,-,江東区海の森2丁目3中央防波堤,35.60079,139.7976,中央防波堤,1,1,波０１,都営バス,海の森水上競技場方面,東京テレポート駅前方面,バス停
,江東区,海の森,-,江東区海の森2丁目4環境局中防合同庁舎前,35.599015,139.799217,環境局中防合同庁舎前,1,1,波０１,都営バス,海の森水上競技場方面,東京テレポート駅前方面,バス停
,江東区,亀戸６丁目,-,江東区亀戸1丁目40−6,35.696682,139.824829,亀戸駅通り,13,0.07692307692307693,両２８,都営バス,葛西橋/第六葛西小学校前方面,両国駅前方面,バス停
,江東区,亀戸６丁目,-,江東区亀戸1丁目40−6,35.696682,139.824829,亀戸駅通り,13,0.07692307692307693,両２８〔日曹橋経由〕,都営バス,臨海車庫方面,,バス停
,江東区,亀戸６丁目,-,江東区亀戸1丁目40−6,35.696682,139.824829,亀戸駅通り,13,0.07692307692307693,亀２３(亀戸駅前-江東高齢者医療センター),都営バス,江東高齢者医療センター方面,,バス停
,江東区,亀戸６丁目,-,江東区亀戸1丁目40−6,35.696682,139.824829,亀戸駅通り,13,0.07692307692307693,亀２３(江東高齢者医療センター-亀戸駅前),都営バス,亀戸駅前方面,,バス停
,江東区,亀戸６丁目,-,江東区亀戸1丁目40−6,35.696682,139.824829,亀戸駅通り,13,0.07692307692307693,亀２４,都営バス,亀戸駅前方面,葛西橋方面,バス停
,江東区,亀戸６丁目,-,江東区亀戸1丁目40−6,35.696682,139.824829,亀戸駅通り,13,0.07692307692307693,亀２９,都営バス,亀戸駅前方面,なぎさニュータウン方面,バス停
,江東区,亀戸６丁目,-,江東区亀戸1丁目40−6,35.696682,139.824829,亀戸駅通り,13,0.07692307692307693,急行０５/直行03,都営バス,日本科学未来館方面,錦糸町駅前方面,バス停
,江東区,亀戸６丁目,-,江東区亀戸1丁目40−6,35.696682,139.824829,亀戸駅通り,13,0.07692307692307693,草２４,都営バス,浅草寿町方面,東大島駅前〔大島口〕方面,バス停
