指標名,ホテル,,,,,,,,,
出典,Rakuten API,,,,,,,,,
年次,2024/02/07取得,,,,,,,,,
URL,https://app.rakuten.co.jp/services/api/Travel/SimpleHotelSearch/20170426,,,,,,,,,
備考,(2021年度：1649件、2022年度：1721件、2023年度：1099件),,,,,,,,,
,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,星数,レビュー数,室数,ホテルURL
千代田区,神田富山町３０丁目,-,東京都千代田区神田富山町30-1,35.6934,139.7740312,オリンピックイン神田,4.09,143,70,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=184244
江東区,東陽６丁目,-,東京都江東区東陽6-3-3,35.67500241,139.8140788,ホテルイースト２１東京（オークラホテルズ＆リゾーツ）,4.21,4282,394,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=4822
江東区,潮見２丁目,-,東京都江東区潮見2-8-16,35.6603274,139.8173478,東京ベイ潮見プリンスホテル,4.52,725,605,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178293
中央区,日本橋小伝馬町２丁目,-,東京都中央区日本橋小伝馬町2-3,35.69029304,139.7781832,伝馬の湯　ドーミーインＰＲＥＭＩＵＭ東京小伝馬町（ドーミーイン・御宿野乃　ホテルズグループ）,4.48,1064,134,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=158347
千代田区,神田須田町１丁目,-,東京都千代田区神田須田町1-16,35.6952086,139.7706746,明神の湯ドーミーインＰＲＥＭＩＵＭ神田（ドーミーイン・御宿野乃　ホテルズグループ）,4.17,1023,137,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=161040
江東区,南砂２丁目,-,東京都江東区南砂2-1-5,35.6695004,139.8198202,Ｒ＆Ｂホテル東京東陽町,4.15,2321,202,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=52322
中央区,京橋３丁目,日八京,東京都中央区京橋3-6-7,35.675158,139.770526,アパホテル〈銀座　京橋〉（東京駅八重洲南口）,3.98,710,170,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=143288
中央区,日本橋茅場町２丁目,-,東京都中央区日本橋茅場町2-4-8,35.678682,139.7780306,京急ＥＸイン　東京・日本橋,4.37,603,142,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178446
中央区,八重洲１丁目,日八京,東京都中央区八重洲1-3-22,35.68310034,139.7711821,ホテル龍名館東京,4.64,1714,135,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=76496
中央区,銀座８丁目,-,東京都中央区銀座8-6-15,35.66818228,139.760167,銀座グランドホテル,3.36,5026,257,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=767
千代田区,神田司町２丁目,-,東京都千代田区神田司町2-2,35.69251309,139.7681931,グランドセントラルホテル＜東京都＞,4.02,5552,157,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=5309
江東区,門前仲町２丁目,-,東京都江東区門前仲町2-8-9,35.6729202,139.796626,京成リッチモンドホテル東京門前仲町,4.45,407,123,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=171942
江東区,潮見２丁目,-,東京都江東区潮見2-8-11,35.6590818,139.8180307,東京イーストサイド　ホテル櫂会,4.6,416,226,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178266
中央区,日本橋本町１丁目,日八京,東京都中央区日本橋本町1-4-14,35.68621124,139.776351,スマイルホテル日本橋三越前,3.72,1364,164,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1990
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町1-3-5,35.68078419,139.7804426,京王プレッソイン日本橋茅場町,3.81,4249,236,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=39646
千代田区,鍛冶町１丁目,-,東京都千代田区鍛冶町1-9-15,35.69065329,139.7733093,ホテルＳＵＩ神田ｂｙＡＢＥＳＴ,4.14,615,131,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168314
中央区,日本橋室町３丁目,日八京,東京都中央区日本橋室町3丁目4番地4号,35.68848118,139.7732796,三井ガーデンホテル日本橋プレミア,4.21,557,264,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=166107
中央区,築地２丁目,-,東京都中央区築地2-15-13,35.66700491,139.7704523,ヴィアイン東銀座（ＪＲ西日本グループ）,4.11,1966,293,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=130007
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-1-1,35.6845024,139.7612295,パレスホテル東京,5,12,284,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=184685
中央区,日本橋兜町１５丁目,-,東京都中央区日本橋兜町15-13,35.67936479,139.7764013,センターホテル東京,3.24,3342,108,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=922
中央区,日本橋小舟町１５丁目,-,東京都中央区日本橋小舟町15-18,35.68540587,139.779623,西鉄イン日本橋,4.12,3312,261,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=17712
千代田区,外神田４丁目,-,東京都千代田区外神田4-12-5,35.70270097,139.7732617,すえひろの湯　ドーミーイン秋葉原（ドーミーイン・御宿野乃　ホテルズグループ）,4.06,5123,100,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=39980
千代田区,岩本町１丁目,-,東京都千代田区岩本町1丁目2-2,35.69138008,139.7752565,ホテルマイステイズ神田,3.91,2819,126,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=41851
中央区,銀座６丁目,-,東京都中央区銀座6-16-8,35.6676788,139.7657912,天然温泉　七宝の湯　ドーミーインＰＲＥＭＩＵＭ銀座,4.46,56,154,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182801
中央区,晴海３丁目,-,東京都中央区晴海3-8-1,35.6547834,139.7795806,Ｌ　ｓｔａｙ＆ｇｒｏｗ晴海,4.16,504,206,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=184117
中央区,日本橋茅場町２丁目,-,東京都中央区日本橋茅場町2-13-5,35.67905381,139.7799038,スマイルホテル東京日本橋,3.94,3228,171,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=958
中央区,日本橋箱崎町２０丁目,-,東京都中央区日本橋箱崎町20-12 ホテルアクサス日本橋,35.6802386,139.786287,ＨＯＴＥＬ　ＡＸＡＳ　ＮＩＨＯＮＢＡＳＨＩ（ホテルアクサス日本橋）,4.32,333,19,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=158639
中央区,銀座５丁目,-,東京都中央区銀座5-11-1,35.66987932,139.7661224,ミレニアム三井ガーデンホテル東京,4.5,487,329,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=147093
千代田区,内神田２丁目,-,東京都千代田区内神田2-8-4,35.69079546,139.7684115,相鉄フレッサイン　神田大手町,3.95,229,219,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181179
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-2-1,35.67262343,139.7597391,レム日比谷,4.12,2485,255,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=68107
千代田区,外神田１丁目,-,東京都千代田区外神田一丁目17-4,35.69793867,139.772656,ＪＲ東日本ホテルメッツ秋葉原,4.68,316,196,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176544
中央区,日本橋馬喰町２丁目,-,東京都中央区日本橋馬喰町2-2-1,35.6952729,139.7834572,ＤＤＤ　ＨＯＴＥＬ,3.97,120,122,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172409
中央区,東日本橋２丁目,-,東京都中央区東日本橋2-15-6,35.69391618,139.7854416,Ｒ＆Ｂホテル東日本橋,3.86,3213,201,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=18164
中央区,日本橋堀留町２丁目,-,東京都中央区日本橋堀留町2-9-4,35.68827226,139.7816116,アパホテル〈人形町駅北〉,4.09,1424,206,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=129632
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町1-8-3,35.69729048,139.773798,秋葉原ワシントンホテル,4.38,2294,369,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=104554
千代田区,神田須田町１丁目,-,東京都千代田区神田須田町1-4-7,35.69490848,139.7678821,ベルケンホテル・神田,4.31,552,113,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167516
千代田区,東神田１丁目,-,東京都千代田区東神田1-9-10,35.69455194,139.7797346,コンフォートホテル東京東神田,4.42,983,188,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=160785
