指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2024/2/2取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,2020年度：645件、2021年度：679件、2022年度：728件、2023年度：793件）,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,ポート名,休止・再開・閉鎖情報,営業時間
江東区,有明三丁目,-,東京都江東区有明3-7,35.632912,139.792689,H1-160.花の広場 / Hana no Hiroba,-,Open for 24 hours
江東区,常盤一丁目,-,東京都江東区常盤1-18-2,35.683921,139.795078,H1-161.昭文社制作本部ビル / Shobunsha Production Headquarters Building,-,Open for 24 hours
江東区,森下二丁目,-,東京都江東区森下2-5-16,35.686243,139.799716,H1-163.森下公園 / Morishita Park,-,Open for 24 hours
江東区,森下三丁目,-,東京都江東区森下3-13-1,35.685468,139.802608,H1-164.森下三丁目第三児童遊園 / Morishita 3-chome Dai3 Children's Park,-,Open for 24 hours
江東区,亀戸四丁目,-,東京都江東区亀戸4-18-8,35.701585,139.825563,H1-165.亀戸梅屋敷 / KAMEIDO UMEYASHIKI,-,Open for 24 hours
江東区,亀戸六丁目,-,東京都江東区亀戸6-31-6,35.69503,139.829422,H1-166.亀戸クロック / KAMEIDO CLOCK,-,Open for 24 hours
江東区,大島八丁目,-,東京都江東区大島8-11-7,35.688032,139.840071,H1-167.大島八丁目公園 / Oojima 8-chome Park,-,Open for 24 hours
江東区,大島五丁目,-,東京都江東区大島5-27-10,35.686668,139.835673,H1-168.大島五丁目公園 / Oojima 5-chome Park,-,Open for 24 hours
江東区,亀戸七丁目,-,東京都江東区亀戸7-39-13,35.697058,139.839891,H1-169.セブンイレブン江東亀戸7丁目東店 / Seven-Eleven Koutou Kameido7chome Higashi store,-,Open for 24 hours
江東区,亀戸七丁目,-,東京都江東区亀戸7-63,35.695505,139.838252,H1-170.セブンイレブン江東亀戸7丁目南店 / Seven-Eleven Koutou Kameido7chome Minami store,-,Open for 24 hours
江東区,東砂六丁目,-,東京都江東区東砂6-11-1,35.672632,139.84209,H1-171.LOGI’Q南砂町 / LOGI’Q Minamisunamachi,-,Open for 24 hours
江東区,越中島二丁目,-,東京都江東区越中島2-3-1,35.668771,139.794103,H1-172.サンヨーパシフィックマンション / Sanyo Pacific Apartment,-,Open for 24 hours
江東区,森下二丁目,-,東京都江東区森下2-17,35.687863,139.799021,"H1-173.森下駅前	/ Morishita Ekimae",-,Open for 24 hours 
江東区,北砂一丁目,-,東京都江東区北砂1-3-43,35.682606,139.8235,H1-174.ジュネス(エントランス側) / Jeunesse(entrance side),-,Open for 24 hours
江東区,大島五丁目,-,東京都江東区大島5-45-5,35.689667,139.836352,H1-175.ダイアパレス大島駅前 / Dia Palace Ojimaekimae,-,Open for 24 hours
江東区,新砂一丁目,-,東京都江東区新砂1-6-35,35.66669,139.82346,H1-176.JMFビル東陽町02 / JMF-Bldg.Toyocho 02,-,Open for 24 hours
江東区,北砂七丁目,-,東京都江東区北砂7-7-1,35.678511,139.836772,H1-177.北砂7丁目団地(第一) / Kitasuna7-chome Danchi (First),-,Open for 24 hours
江東区,北砂七丁目,-,東京都江東区北砂7-7-1,35.678511,139.836772,H1-178.北砂7丁目団地(第二) / Kitasuna7-chome Danchi (Second),-,Open for 24 hours
江東区,北砂七丁目,-,東京都江東区北砂7-7-1,35.678511,139.836772,H1-179.北砂7丁目団地(第三) / Kitasuna7-chome Danchi (Third),-,Open for 24 hours
江東区,大島六丁目,-,東京都江東区大島6-14-2,35.691336,139.836532,H1-180.シティコート大島 / City Court Ojima　,-,Open for 24 hours
江東区,高橋,-,東京都江東区高橋1-1,35.683969,139.798842,"H1-181.高橋乗船場横	/ Takabashi Jousenjou Yoko.",【1/31 0時まで】,Open for 24 hours
江東区,亀戸一丁目,-,東京都江東区亀戸1-5-7,35.695274,139.820264,H1-182.錦糸町プライムタワー / Kinshicho Prime Tower,-,Open for 24 hours
江東区,新木場四丁目,-,東京都江東区新木場4-3-17,35.643947,139.839131,H1-183.MFLP新木場1 / MFLP Shinkiba1,-,Open for 24 hours
江東区,大島六丁目,-,東京都江東区大島6-1-2,35.690324,139.833374,H1-184.UR大島六丁目団地(第一) / UR Ojima 6-chome Danchi(First),-,Open for 24 hours
江東区,大島六丁目,-,東京都江東区大島6-1-2,35.690324,139.833374,H1-185.UR大島六丁目団地(第二) / UR Ojima 6-chome Danchi(Second),-,Open for 24 hours
江東区,亀戸六丁目,-,東京都江東区亀戸6-37-9,35.69485,139.831275,H1-186.セブン-イレブン亀戸昭和橋通り店 / Seven-Eleven Kameido Syowabashi-dori,-,Open for 24 hours
江東区,森下三丁目,-,東京都江東区森下3-12-17,35.685145,139.802121,H1-187.森下文化センター / Morishita Culture Center,-,Open for 24 hours
江東区,越中島三丁目,-,東京都江東区越中島3-6-15,35.665082,139.800045,"H1-190.福山通運 東京支店	/ FUKUYAMA TRANSPORTING TOKYO BRANCH",-,Open for 24 hours
江東区,新木場一丁目,-,東京都江東区新木場1-17-8,35.644893,139.830918,H1-191.三井リンクラボ新木場2 / Mitsui Link-Lab2,-,Open for 24 hours
江東区,新木場二丁目,-,東京都江東区新木場2-12-3,35.634866,139.824499,H1-189.MFLP新木場2 / MFLPshinkiba2,-,Open for 24 hours
江東区,佐賀二丁目,-,東京都江東区佐賀2-8-6,35.678124,139.792129,H1-192.ウエリスアーバン水天宮前 / WELLITH URBAN SUITENGUMAE,-,Open for 24 hours
江東区,豊洲四丁目,-,東京都江東区豊洲4-11-6,35.651976,139.79996,H1-193.ライフ豊洲店 / Life Toyosu,-,Open for 24 hours
江東区,北砂五丁目,-,東京都江東区北砂5-17-35,35.682719,139.835313,"H1-194.セブン-イレブン江東北砂5丁目店	/ Seven-Eleven kotokitasuna 5Chome",-,Open for 24 hours
江東区,辰巳二丁目,-,東京都江東区辰巳2-2-1,35.65141,139.815066,H1-195.東京アクアティクスセンター / Tokyo Aquatics Centre,-,Open for 24 hours
江東区,新砂一丁目,-,東京都江東区新砂1-10-5,35.666022,139.824784,H1-196.フットサルクラブ東京東陽町 / FUTSAL CLUB TOKYO TOYOCHO,-,Open for 24 hours
江東区,南砂二丁目,-,東京都江東区南砂2-32-5,35.675533,139.825019,H1-197.セブン-イレブン江東南砂葛西橋通り店 / Seven-Eleven KotoMinamisuna Kasaibashidori,-,Open for 24 hours
江東区,有明一丁目,-,東京都江東区有明1-6-30,35.634283,139.783021,H1-198.Br Tower 有明　MID CROSS / Brillia Tower Ariake MID CROSS,-,Open for 24 hours
江東区,塩浜二丁目,-,東京都江東区塩浜2-24-10,35.664034,139.815112,H1-199.ラ・ヴェール東陽町 / La Vert Toyotyo,-,Open for 24 hours
江東区,塩浜二丁目,-,東京都江東区塩浜2-18-7,35.662074,139.812548,H1-200.ヴェッセル木場南 / WesseL Kibaminami,-,Open for 24 hours
江東区,佐賀二丁目,-,東京都江東区佐賀2-8-6,35.678124,139.792129,H1-201.ウエリスアーバン水天宮前2 / WELLITH URBAN SUITENGUMAE 2,-,Open for 24 hours
江東区,辰巳二丁目,-,東京都江東区辰巳2-1-35,35.648464,139.815672,H1-202.辰巳の森海浜公園 / Tatsuminomorikaihin Park,-,Open for 24 hours
江東区,木場三丁目,-,東京都江東区木場3-12-5,35.675082,139.804005,"H1-203.セブン-イレブン江東木場３丁目店	/ Seven-Eleven Kotokiba 3 Chome",-,Open for 24 hours
江東区,大島四丁目,-,東京都江東区大島4-1-1,35.687802,139.827337,H1-204.大島四丁目団地2 / Ojima 4 chome Danchi2,-,Open for 24 hours
江東区,大島四丁目,-,東京都江東区大島4-1-1,35.687802,139.827337,"H1-205.大島四丁目団地3	/ Ojima 4 chome Danchi3",-,Open for 24 hours
江東区,北砂五丁目,-,東京都江東区北砂5-20,35.683349,139.831765,H1-206.北砂5丁目団地2 / Kitasuna 5chome Danchi2,-,Open for 24 hours
港区,西新橋一丁目,虎ノ門,東京都港区西新橋1-12-10,35.668616,139.753504,C1-02.西新橋1丁目（外堀通り） / Nishi-Shinbashi 1Chome (Sotobori St.),-,Open for 24 hours
港区,虎ノ門一丁目,虎ノ門,東京都港区虎ノ門1-23-1,35.6673,139.749071,C1-04.虎ノ門ヒルズ / TORANOMON HILLS,-,Open for 24 hours
港区,西新橋二丁目,虎ノ門,東京都港区西新橋2-22-7,35.665622,139.752601,C1-05.西新橋２丁目（新虎通り） / Nishi-Shinbashi 2-Chome (Shintora St.),-,Open for 24 hours
港区,愛宕二丁目,虎ノ門,東京都港区愛宕2-5-1,35.662139,139.748913,C1-09.愛宕グリーンヒルズ / Atago GREEN HILLS,-,Open for 24 hours
港区,新橋四丁目,虎ノ門広域,東京都港区新橋4-9-1,35.664383,139.756379,C1-14.新橋プラザビル / Shinbashi Plaza Building,-,Open for 24 hours
港区,芝公園四丁目,-,東京都港区芝公園4-2-8,35.65857,139.745484,C1-15.東京タワー / TOKYO TOWER,-,Open for 24 hours
港区,芝公園三丁目,虎ノ門,東京都港区芝公園3-5-8,35.659703,139.745252,C1-16.機械振興会館 / Kikai Shinko Kaikan Building,-,Open for 24 hours
港区,芝公園一丁目,-,東京都港区芝公園1-5-25,35.658056,139.751455,C1-17.港区役所 / Minato City Hall,-,Open for 24 hours
港区,海岸一丁目,-,東京都港区海岸1-2-20,35.65697,139.759601,C1-21.汐留ビルディング / Shiodome Building,-,Open for 24 hours
港区,芝四丁目,-,東京都港区芝4-1-17,35.648752,139.749744,C1-23.三田いきいきプラザ / Mita Iki-iki Plaza,-,Open for 24 hours
港区,三田一丁目,-,東京都港区三田1-4-28,35.653656,139.744744,C1-24.三田国際ビル / Mita Kokusai Building,-,Open for 24 hours
港区,虎ノ門二丁目,虎ノ門,東京都港区虎ノ門2-3-17,35.668399,139.746721,C1-27.虎ノ門２丁目タワー / TORANOMON 2-CHOME TOWER,-,Open for 24 hours
港区,虎ノ門四丁目,虎ノ門,東京都港区虎ノ門4-3-1,35.664666,139.743327,C1-34.城山ガーデン / SHIROYAMA GARDEN,-,Open for 24 hours
港区,芝四丁目,-,東京都東京都港区芝4-3-5,35.648965,139.750295,C1-35.セブン-イレブン三田駅北店 / Seven-Eleven Mitaekikita,-,Open for 24 hours
港区,西新橋三丁目,虎ノ門,東京都港区西新橋3-3-1,35.665072,139.750654,C1-37.KDX西新橋ビル（北側）/ KDX Nishi-shimbashi Building(North Side),-,Open for 24 hours
港区,西新橋三丁目,虎ノ門,東京都港区西新橋3-3-1,35.665072,139.750654,C1-38.KDX西新橋ビル（西側）/ KDX Nishi-shimbashi Building(West Side),-,Open for 24 hours
港区,浜松町一丁目,-,東京都港区浜松町1-13-1,35.658848,139.756887,C1-41.港区立エコプラザ / Eco Plaza,-,Open for 24 hours
港区,芝公園一丁目,-,東京都港区芝公園1-7-6,35.657956,139.752424,C1-43.KDX浜松町プレイス / KDX HAMAMATSUCHO PLACE,-,Open for 24 hours
港区,三田三丁目,-,東京都港区三田3-11-28,35.640961,139.741664,C1-44.三田Avanti / Mita Avanti,-,Open for 24 hours
港区,浜松町二丁目,-,東京都港区浜松町2-3-1,35.655981,139.755615,C1-45.浜松町クレアタワー  / NIPPON LIFE HAMAMATSUCHO CREA TOWER,-,Open for 24 hours
港区,新橋四丁目,虎ノ門広域,東京都港区新橋4-1-1,35.665397,139.753829,C1-46.新虎通りCORE / SHINTORA-DORI CORE,-,Open for 24 hours
港区,三田三丁目,-,東京都港区三田3-7-31,35.641744,139.740531,C1-47.パークプレイス三田 / Park Place Mita,-,Open for 24 hours
港区,海岸一丁目,-,東京都港区海岸1-12,35.654393,139.762793,C1-48.竹芝客船ターミナル / Takeshiba Passenger Ship Terminal,-,Open for 24 hours
港区,東新橋一丁目,虎ノ門広域,東京都港区東新橋1-5-2,35.665353,139.761023,C1-49. 汐留シティセンター / Shiodome City Center,-,Open for 24 hours
港区,虎ノ門三丁目,虎ノ門,東京都港区虎ノ門3-8-8,35.666158,139.747771,C1-50.NTT虎ノ門ビル / NTT Toranomon Bldg.,-,Open for 24 hours
港区,新橋四丁目,虎ノ門広域,東京都港区新橋4-21,35.663992,139.757709,C1-51.環二新橋四丁目 / Kam-2 Shimbashi 4-chome,-,Open for 24 hours
港区,芝三丁目,-,東京都港区芝3-7-1,35.652304,139.747936,C1-52.NTT三田ビル / NTT Mita Build.,-,Open for 24 hours
港区,新橋六丁目,虎ノ門広域,東京都港区新橋6-20-1,35.661211,139.754437,C1-53.ホテルリブマックス新橋 / HOTEL LiVEMAX SHIMBASHI,-,Open for 24 hours
港区,虎ノ門三丁目,虎ノ門,東京都港区虎ノ門3-17-1,35.664097,139.746541,C1-54. ニッセイ虎ノ門ビル / NIPPON LIFE TORANOMON BUILDING,-,Open for 24 hours
港区,新橋一丁目,虎ノ門広域,東京都港区新橋1-1-13,35.66913,139.756373,C1-55.アーバンネット内幸町ビル・THE BLOSSOM HIBIYA / Urbannet Uchisaiwaicho Building,-,Open for 24 hours
港区,海岸一丁目,-,東京都港区海岸1-13,35.65434,139.761943,C1-56.鈴与竹芝ビル / Suzuyo Takeshiba Building,-,Open for 24 hours
港区,虎ノ門二丁目,虎ノ門,東京都港区虎ノ門2-10-1,35.66758,139.745016,C1-57.虎ノ門ツインビルディング / Toranomon Twin Building,-,Open for 24 hours
港区,海岸一丁目,-,東京都港区海岸1-10,35.655751,139.762601,C1-58.ウォーターズ竹芝 / WATERS Takeshiba,-,Open for 24 hours
港区,芝三丁目,-,東京都港区芝3‐23‐1,35.651126,139.748955,C1-59.セレスティン芝三井ビルディング / CELESTINE SHIBA MITSUI Bldg,-,Open for 24 hours
港区,芝五丁目,-,東京都港区芝5-26-30,35.647632,139.7453,C1-60.専売ビル / Senbai Bldg.,-,Open for 24 hours 
港区,海岸一丁目,-,東京都港区海岸1-5,35.653348,139.75751,C1-61.環三浜松町駅南 / Kam-3 Hamamatsucho Station South,-,Open for 24 hours
港区,虎ノ門一丁目,虎ノ門,東京都港区虎ノ門1-3-1,35.669955,139.749535,C1-64.東京虎ノ門グローバルスクエア / TOKYO TORANOMON GLOBAL SQUARE,-,Open 7:30-20:00
港区,海岸一丁目,-,東京都港区海岸1-7-1,35.655248,139.76072,C1-65.東京ポートシティ竹芝 / TOKYO PORTCITY TAKESHIBA,-,Open for 24 hours
港区,西新橋一丁目,虎ノ門,東京都港区西新橋1-7-14,35.669194,139.75149,C1-67.京阪神 虎ノ門ビル / Keihanshin Toranomon Bldg.,-,Open for 24 hours
港区,新橋三丁目,虎ノ門広域,東京都港区新橋3-16-15,35.665119,139.756487,C1-68.桜田公園 / Sakurada Park,-,Open for 24 hours
港区,新橋五丁目,虎ノ門広域,東京都港区新橋5-19-7,35.663078,139.755068,C1-69.塩釜公園 / Shiogama Park,-,Open for 24 hours
港区,海岸一丁目,-,東京都港区海岸1-4,35.654704,139.758448,C1-71.芝商業高校前交差点 / Shiba Shogyo high school front intersection,-,Open for 24 hours
港区,芝五丁目,-,東京都港区芝5-34-6,35.646149,139.746655,C1-72.新田町ビル / SHIN TAMACHI Bldg.,-,Open for 24 hours
港区,西新橋一丁目,虎ノ門,東京都港区西新橋1-1-19,35.670324,139.752887,C1-73.日比谷フォートタワー / HIBIYA FORT TOWER,-,Open for 24 hours
港区,芝五丁目,-,東京都東京都港区芝5-36-4,35.645142,139.744807,C1-74.札の辻スクエア / Fudanotsuji Square,-,Open for 24 hours
港区,虎ノ門三丁目,虎ノ門,東京都港区虎ノ門3-10-11,35.665354,139.747999,C1-75.虎ノ門PFビル / Toranomon PF Bldg.,-,Open for 24 hours
港区,海岸一丁目,-,東京都港区海岸1-2,35.657084,139.759138,C1-76.浜松町駅北口交通広場(ハマサイト前) / Hamamatsucho Station North Exit Traffic Square(Hamasite),-,Open for 24 hours
港区,芝公園四丁目,-,東京都港区芝公園4-8-4,35.655563,139.749111,C1-77.芝公園 / Shiba Park,-,Open for 24 hours
港区,西新橋二丁目,虎ノ門,東京都港区西新橋2-11-13,35.666633,139.751826,C1-78.CIRCLES新橋 / CIRCLES SHINBASHI,-,Open for 24 hours
港区,芝四丁目,-,東京都港区芝4-8-2,35.648727,139.753152,C1-79.髙松コンストラクショングループ 東京本社ビル / Takamatsu Construction Group Tokyo Head Office Building,-,Open for 24 hours
港区,浜松町二丁目,-,東京都港区浜松町2-6-2,35.654433,139.755171,C1-80.浜松町262ビル / Hamamatsucho 262 Building,-,Open for 24 hours
港区,芝五丁目,-,東京都港区芝5-33-11,35.646737,139.747755,C1-81.田町タワー / Tamachi Tower,-,Open for 24 hours
港区,三田二丁目,-,東京都港区三田2-20-12,35.647953,139.739137,C1-82.トヨタモビリティ東京 港三田店 / Toyota Mobility Tokyo - Minatomita,-,Open for 24 hours
港区,赤坂一丁目,虎ノ門,東京都港区赤坂1-12-32（六本木1-1寄り）,35.667094,139.740011,C2-01.アークヒルズ（アーク森ビル） / Ark Hills (Ark Mori Tower),-,Open for 24 hours
港区,六本木六丁目,六本木,東京都港区六本木6-10-1,35.660416,139.729248,C2-02.六本木ヒルズ / Roppongi Hills,-,Open for 24 hours
港区,六本木一丁目,虎ノ門,東京都港区六本木1-4-5,35.665688,139.739419,C2-03.アークヒルズサウスタワー / Ark Hills South Tower,-,Open for 24 hours
港区,東麻布二丁目,-,東京都港区東麻布2-16-11,35.656903,139.740889,C2-04.飯倉いきいきプラザ / Iikura Iki-iki Plaza,-,Open for 24 hours
港区,南麻布四丁目,-,東京都港区南麻布4-6-7,35.651037,139.72741,C2-05.ありすいきいきプラザ / Arisu Iki-iki Plaza,-,Open for 24 hours
港区,西麻布二丁目,-,東京都港区西麻布2-9-16,35.661777,139.721079,C2-08.ファミリーマート西麻布霞町店 / Familly Mart Nishi-Azabu Kasumicho Store,-,Open for 24 hours
港区,六本木五丁目,六本木,東京都港区六本木5-16-45,35.660642,139.735031,C2-09.麻布地区総合支所 / Azabu Regional City Office,-,Open for 24 hours
港区,元麻布三丁目,-,東京都港区元麻布3-9,35.655914,139.730448,C2-10.元麻布三丁目 / Motoazabu 3-Chome,-,Open for 24 hours
港区,麻布十番四丁目,-,東京都港区麻布十番4-3-1,35.654328,139.737242,C2-11.一の橋 / Ichinohashi,-,Open for 24 hours
港区,六本木一丁目,虎ノ門,東京都港区六本木1-9-9,35.663344,139.741089,C2-12.六本木ファーストビル / Roppongi First Building,-,Open for 24 hours
港区,南麻布五丁目,-,東京都港区南麻布5-6-33,35.65242,139.727721,C2-13.麻布運動場 / Azabu Sports Field,-,Open for 24 hours
港区,元麻布一丁目,-,東京都港区元麻布1-3-1,35.653684,139.732034,C2-14.元麻布ヒルズ / MOTOAZABU HILLS,-,Open for 24 hours
港区,六本木三丁目,六本木,東京都港区六本木3-2-1,35.6646,139.737742,C2-15.住友不動産六本木グランドタワー / SUMITOMO FUDOSAN ROPPONGI GRAND TOWER,-,Open for 24 hours
港区,東麻布一丁目,-,東京都港区東麻布1-8-4,35.6571,139.743502,C2-16.ザ・ベルグレイヴィア麻布 / THE BELGRAVIA AZABU,-,Open for 24 hours
港区,六本木七丁目,六本木,東京都港区六本木7-3-24,35.665944,139.727676,C2-17.goodoffice ROPPONGI,【休止中】,Open for 24 hours
港区,東麻布一丁目,-,東京都港区東麻布1-15-11,35.656673,139.743153,C2-18.ブランシェ東麻布 / Branche Higashiazabu,-,Open for 24 hours
港区,南麻布四丁目,-,東京都港区南麻布4-57-25,35.649176,139.72376,C2-19.広尾駅 / Hiroo Station,-,Open for 24 hours
港区,六本木三丁目,六本木,東京都港区六本木3-15-17,35.662097,139.735789,C2-20.三井ガーデンホテル六本木プレミア /  Mitsui Garden Hotel Roppongi Tokyo Premier,-,Open for 24 hours
港区,東麻布一丁目,-,東京都港区東麻布1-21-8,35.65579,139.743725,C2-22.飯倉公園 / Iikura Park,-,Open for 24 hours
港区,東麻布一丁目,-,東京都港区東麻布1-27-7,35.655162,139.744546,C2-24.Dash Living HigashiAzabu,-,Open for 24 hours
港区,六本木三丁目,六本木,東京都港区六本木3-18-6,35.661601,139.73766,C2-25.アパホテル&リゾート＜六本木駅東＞/ APA HOTELS&RESORTS -ROPPONGI EKI HIGASHI-,-,Open for 24 hours
港区,東麻布三丁目,-,東京都港区東麻布3-9-1,35.655798,139.737501,C2-26.一の橋公園 / Ichinohashi Park,-,Open for 24 hours
港区,南麻布五丁目,-,東京都港区南麻布5-7-29,35.651279,139.726301,C2-27.有栖川宮記念公園第一 / Arisugawa-no-miya Memorial Park 1,-,Open for 24 hours
港区,南麻布五丁目,-,東京都港区南麻布5-7-29,35.651279,139.726301,"C2-28.有栖川宮記念公園第二	/ Arisugawa-no-miya Memorial Park 2",-,Open for 24 hours
港区,麻布狸穴町,-,東京都港区麻布狸穴町63,35.658038,139.738982,C2-29.狸穴公園 / Mamiana Park,-,Open for 24 hours
港区,赤坂四丁目,赤坂,東京都港区赤坂4-18-13,35.674748,139.731647,C3-02.赤坂地区総合支所 / Akasaka Regional City Office,-,Open for 24 hours
港区,赤坂八丁目,赤坂,東京都港区赤坂8-10-32,35.670493,139.72807,C3-06.ホテルアジア会館 / Hotel Asia Center of Japan,-,Open for 24 hours
港区,南青山一丁目,-,東京都港区南青山1-1-1,35.672696,139.725437,C3-07.新青山ビル / Shin-Aoyama Building,-,Open for 24 hours
港区,赤坂五丁目,赤坂,東京都港区赤坂5-2-20,35.67276,139.733369,C3-08.赤坂パークビルヂング / Akasaka Park Building,-,Open for 24 hours
港区,赤坂一丁目,虎ノ門,東京都港区赤坂1-3-9,35.670321,139.744635,C3-10.ファミリーマート特許庁前店 / FamilyMart Tokkyocho Mae Store,-,Open for 24 hours
港区,赤坂三丁目,赤坂,東京都港区赤坂3-8-1,35.676512,139.736966,C3-11.赤坂見附南 / South side of Akasakamitsuke,-,Open for 24 hours
港区,元赤坂一丁目,赤坂,東京都港区元赤坂1-3-13,35.67694,139.733578,C3-12.赤坂センタービルディング前（青山通り）/ Akasaka Center Building Mae(Aoyama-dori),-,Open for 24 hours
港区,赤坂四丁目,赤坂,東京都港区赤坂4-15-1,35.674043,139.731408,C3-16.赤坂ガーデンシティ / Akasaka Garden City,-,Open for 24 hours
港区,赤坂一丁目,虎ノ門,東京都港区赤坂1-4-41,35.670219,139.743524,C3-17.セブン-イレブン 港区溜池山王店 / Seven-Eleven Minatoku Tameikesanno store,-,Open for 24 hours
港区,元赤坂二丁目,-,東京都港区元赤坂2-2-23,35.677948,139.721879,C3-18.明治記念館 / Meijikinenkan,-,OPEN 7:00-21:00
港区,元赤坂二丁目,-,東京都港区元赤坂2-2-23,35.677948,139.721879,C3-19.明治記念館西 / Meijikinenkan West,-,Open for 24 hours
港区,赤坂四丁目,赤坂,東京都港区赤坂4-3-2,35.675001,139.735961,C3-22.OMO3東京赤坂 by 星野リゾート / OMO3 Tokyo Akasaka by Hoshino Resorts,-,Open for 24 hours
港区,南青山一丁目,-,東京都港区南青山1-12-32,35.668643,139.724687,C3-23.LIFORK 南青山 北エントランス / LIFORK MINAMI AOYAMA North entrance,-,Open for 24 hours
港区,南青山一丁目,-,東京都港区南青山1-12-32,35.668643,139.724687,C3-24.SHARE GREEN 南青山 西エントランス / SHARE GREEN MINAMI AOYAMA West entrance,-,Open for 24 hours
港区,赤坂七丁目,赤坂,東京都港区赤坂7-9-4,35.670074,139.733297,C3-26. ホテルリブマックス赤坂 / HOTEL LiVEMAX AKASAKA,-,Open for 24 hours
港区,赤坂二丁目,赤坂,東京都港区赤坂2-5-8,35.672474,139.739888,C3-28.ヒューリックＪＰ赤坂ビル / ＨＵＬＩＣ ＪＰAkasaka Bldg.,-,Open for 24 hours
港区,赤坂七丁目,赤坂,東京都港区赤坂7-3-39,35.673918,139.729061,C3-29.高橋是清翁記念公園 / Takahashi Korekiyo Memorial Park,-,Open for 24 hours
港区,赤坂二丁目,赤坂,東京都東京都港区赤坂2-6-17,35.672347,139.739019,C3-30.東京赤坂NKビル (ヴィアインプライム赤坂) / C3-30.Tokyo Akasaka NK Bldg. (VIA INN Prime Akasaka),-,Open for 24 hours
港区,赤坂一丁目,虎ノ門,東京都港区赤坂1-4-7,35.670226,139.744296,"C3-31.赤坂一丁目	/ 1 Akasaka",-,Open for 24 hours
港区,赤坂八丁目,赤坂,東京都港区赤坂8-11-32,35.668466,139.727463,C3-32.乃木公園 / Nogi Park,-,Open for 24 hours
港区,南青山三丁目,-,東京都港区南青山3-1-30,35.66774,139.715798,C3-33.PASONA SQUARE,-,Open for 24 hours
港区,南青山三丁目,-,東京都港区南青山3-1-34,35.668535,139.715858,C3-34.3rd MINAMI AOYAMA,-,Open for 24 hours
港区,北青山三丁目,-,東京都港区北青山3-5-10,35.666869,139.71352,"C3-35.ワールド北青山ビル	/ WORLD Kita Aoyama Building",-,Open for 24 hours
港区,高輪一丁目,-,東京都港区高輪1-6-25,35.642271,139.735445,C4-01.高輪地区総合支所（5F） / Takanawa Regional City Office(5F),-,Open for 24 hours
港区,白金台四丁目,-,東京都港区白金台4-8-5,35.637727,139.724952,C4-02.白金台いきいきプラザ /  Shirokanedai Iki-iki Plaza,-,Open for 24 hours
港区,高輪二丁目,-,東京都港区高輪2-3-23,35.637919,139.734559,C4-03.東海大学 高輪キャンパス / TOKAI UNIVERCITY Takanawa Campus,【休止中】,Open 月-金 / Mon.-Fri. 7:00-22:00 土・日・祝 / Sat. Sun. & Holiday : Closed
港区,高輪三丁目,-,東京都港区高輪3-9,35.632309,139.731813,C4-04.ショパン高輪 / Chopin Takanawa,-,Open for 24 hours
港区,白金台四丁目,-,東京都港区白金台4-6-2,35.639391,139.726366,C4-05.白金台駅自転車駐車場 / Shirokanedai Station bicycle parking,-,OPEN 4:30-25:30（深夜1:30)
港区,白金六丁目,-,東京都港区白金6-3-15,35.644104,139.723344,C4-06.白金プラチナレジデンス / SHIROKANE PLATINUM RESIDENCE,-,Open for 24 hours
港区,高輪四丁目,-,東京都港区高輪4-10-30,35.627884,139.73521,C4-07.品川プリンスホテル / Shinagawa Prince Hotel,-,Open for 24 hours
港区,高輪三丁目,-,東京都港区高輪3-4-4,35.634894,139.731946,C4-08.高輪三丁目 / Takanawa 3-chome,【休止中】,Open 3:00-23:00 
港区,三田四丁目,-,東京都港区三田4-2-20,35.646104,139.740342,C4-09.ケーヨーデイツー三田店 / Keiyo D2 MITA,-,Open for 24 hours
港区,三田四丁目,-,東京都港区三田4-16-20,35.643774,139.740784,C4-10.亀塚公園 / Kamezuka Park,-,Open for 24 hours
港区,三田五丁目,-,東京都港区三田5-2-29,35.647674,139.738098,C4-11.ザ・パークハウス 三田ガーデン / The Parkhouse Mita Garden,-,Open for 24 hours
港区,高輪二丁目,-,東京都港区高輪2-16-34,35.637874,139.739064,C4-13.コシダコネクトビル / Koshida Connect Bldg.,-,Open for 24 hours
港区,白金六丁目,-,東京都港区白金6-9-5,35.643631,139.724609,"C4-14.神応ほっとプラザ	/ Shinno Hotto Plaza",-,Open for 24 hours
港区,白金二丁目,-,東京都港区白金2-3-23,35.64299,139.733157,C4-15.クロスレジデンス白金高輪 / CROSS RESIDENCE Shirokane Takanawa,-,Open for 24 hours
港区,港南一丁目,-,東京都港区港南1-9-24,35.629715,139.742604,C5-01.こうなん星の公園 / Konan-Hoshino Park,-,Open for 24 hours
港区,港南四丁目,-,東京都港区港南4-7-47,35.628068,139.750564,C5-02.港南緑水公園 / Konan-Ryokusui Park,-,Open for 24 hours
港区,港南四丁目,-,東京都港区港南4-5-3,35.626501,139.746487,C5-03.港南公園C / Konan Park,-,Open for 24 hours
港区,芝浦一丁目,-,東京都港区芝浦1-16-1,35.646616,139.751444,C5-04.みなとパーク芝浦 / Minato Park Shibaura,-,Open for 24 hours
