指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2024/2/2取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,2020年度：645件、2021年度：679件、2022年度：728件、2023年度：793件）,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,ポート名,休止・再開・閉鎖情報,営業時間
江東区,辰巳一丁目,-,東京都江東区辰巳1-12,35.64489,139.810875,H1-39.辰巳駅東口自転車駐車場 / Tatsumi station east entrance bicycle garaje,-,Open for 24 hours
江東区,門前仲町一丁目,-,東京都江東区門前仲町1-19-15,35.674095,139.794912,H1-40.深川東京モダン館 / Fukagawa Tokyo Modan Kan,-,Open for 24 hours
江東区,平野三丁目,-,東京都江東区平野3-2-30,35.676454,139.804763,H1-41.深川北スポーツセンター / Fukagawa North Sports Center,-,Open 8:30-20:00 休館日 / Closing day 毎月第2・4月曜日（祝・休日の場合は翌日） 年末年始（12月29日-1月3日）
江東区,北砂一丁目,-,東京都江東区北砂1-2-9,35.684168,139.821661,H1-42.江東区スポーツ会館 / Koto-ku Sports Hall,-,Open for 24 hours
江東区,東陽六丁目,-,東京都江東区東陽6-3-2,35.674373,139.815557,H1-43.東京イースト21 / Tokyo East 21,-,Open for 24 hours
江東区,豊洲六丁目,-,東京都江東区豊洲6-2-15,35.648061,139.790426,H1-44.テプコ豊洲ビル / TEPCO TOYOSU Bldg.,-,Open for 24 hours
江東区,夢の島一丁目,-,東京都江東区夢の島1-1-2,35.64749,139.822643,H1-45.夢の島競技場 / Yumenoshima Stadium,-,Open for 24 hours
江東区,枝川二丁目,-,東京都江東区枝川2-2-8,35.659177,139.807264,H1-46.セブン-イレブン 江東枝川2丁目店 / Seven-Eleven Koto Edagawa 2-Chome store,-,Open for 24 hours
江東区,南砂六丁目,-,東京都江東区南砂6-7-15,35.67179,139.835519,H1-47.トピレックプラザ / TOPYREC PLAZA,-,Open for 24 hours
江東区,潮見二丁目,-,東京都江東区潮見2-3-10,35.657355,139.816177,H1-48.セブン-イレブン 江東潮見２丁目店 / Seven-Eleven Koto Shiomi 2-Chome store,-,Open for 24 hours
江東区,新砂三丁目,-,東京都江東区新砂3-3-53,35.667988,139.831458,H1-49.セブン-イレブン 江東新砂3丁目店 / Seven-Eleven Koto Shinsuna 3-Chome store,-,Open for 24 hours
江東区,豊洲二丁目,-,東京都江東区豊洲2-2,35.654223,139.794964,H1-50.豊洲交通広場北 / Toyosu Transportation Square  North ,-,Open for 24 hours
江東区,豊洲二丁目,-,東京都江東区豊洲2-2,35.654223,139.794964,H1-51.豊洲交通広場東 / Toyosu Transportation Square  East ,-,Open for 24 hours
江東区,辰巳一丁目,-,東京都江東区辰巳1-1-44,35.64589,139.8089,H1-52.辰巳駅 / Tatsumi station,-,Open for 24 hours
江東区,豊洲二丁目,-,東京都江東区豊洲2-2-18,35.654284,139.795326,H1-53.豊洲シビックセンター / Toyosu civic center,-,Open for 24 hours
江東区,北砂五丁目,-,東京都江東区北砂5-1-7,35.680414,139.832036,H1-54.砂町文化センター  / Sunamachi Culture Center,-,Open 9:00-22:00
江東区,白河一丁目,-,東京都江東区白河1-3-28,35.681091,139.800553,H1-55.深川江戸資料館 / Fukagawa Edo Museum,-,Open 8:30-20:00
江東区,南砂三丁目,-,東京都江東区南砂3-8,35.671387,139.829881,H1-56.南砂三丁目緑地公園西 / Minamisuna 3-Chome Park West,-,Open for 24 hours
江東区,新木場一丁目,-,東京都江東区新木場1-5,35.644951,139.826623,H1-57.新木場駅 / Shinkiba Station,-,Open for 24 hours
江東区,潮見二丁目,-,東京都江東区潮見2-7,35.658044,139.817724,H1-58.潮見駅 / Shiomi Station,-,Open for 24 hours
江東区,清澄一丁目,-,東京都江東区清澄1-1-7,35.681171,139.792032,H1-59.LYURO 東京清澄 / LYURO Tokyo Kiyosumi,-,Open for 24 hours
江東区,東砂三丁目,-,東京都江東区東砂3-28先,35.679775,139.844615,H1-60.荒川・砂町庭球場西 / Arakawa Sunamachi tennis court West,-,Open for 24 hours
江東区,豊洲六丁目,-,東京都江東区豊洲6-4-2,35.648761,139.786927,H1-61.Brillia ランニングスタジアム マギーズ東京前 / Brillia Running Stadium Maggie's Tokyo Front,-,Open for 24 hours
江東区,扇橋一丁目,-,東京都江東区扇橋1-21-26,35.683824,139.812314,H1-62.扇橋一丁目公園南 / Ogibashi 1-Chome Park South,-,Open for 24 hours
江東区,潮見一丁目,-,東京都江東区潮見1-3-2,35.656416,139.811377,H1-63.東京スイソミル / Tokyo Suisomiru,-,Open for 24 hours
江東区,東雲二丁目,-,東京都江東区東雲2-10-1,35.640151,139.804278,H1-64.ローソン東雲駅前店 / LAWSON Shinonome Station-Mae shop,-,Open for 24 hours
