指標名,世界トップ企業,,,,,,,,,,,,,,,
出典,Forbes/Fortune,,,,,,,,,,,,,,,
年次,2023年,,,,,,,,,,,,,,,
URL,https://www.forbes.com/global2000, https://fortune.com/global500/2023,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,
,,,,,,,,,Forbes,,,,,,,
区,町丁,エリア,住所,緯度,経度,Name,会社名,Ranking,Rank,SALES,PROFIT,ASSETS,MARKETVALUE,Employees,URL,
新宿区,市谷加賀町１丁目,-,東京都新宿区市谷加賀町１丁目１番１号,35.69562,139.73102,Dai Nippon Printing,大日本印刷株式会社,Forbes Global 2023,1658,$10.39B,$700M,$13.99B,$6.99B,-,https://www.forbes.com/companies/dai-nippon-printing/,
中央区,八重洲２丁目,日八京,東京都中央区八重洲２丁目７番１５号,35.6772,139.76822,Medipal Holdings,株式会社メディパルホールディングス,Forbes Global 2023,1698,$25.48B,$231.4M,$13.7B,$2.94B,12801,https://www.forbes.com/companies/medipal-holdings/,
港区,六本木１丁目,虎ノ門,東京都港区六本木一丁目6-1 泉ガーデンタワー18階,35.66524,139.7396,Sbi Sumishin Net Bank,住信SBIネット銀行,Forbes Global 2023,1740,$740M,$152.3M,$70.31B,$1.88B,657,https://www.forbes.com/companies/sbi-sumishin-net-bank/,
中央区,銀座４丁目,-,東京都中央区銀座４丁目７番５号,35.6713,139.76652,Oji Holdings,王子ホールディングス株式会社,Forbes Global 2023,1745,$12.78B,$455.9M,$17.99B,$3.9B,35608,https://www.forbes.com/companies/oji-holdings/,
中央区,京橋２丁目,日八京,東京都中央区京橋二丁目１６番１号,35.67646,139.77303,Shimizu,清水建設株式会社,Forbes Global 2023,1767,$13.68B,$347.4M,$18.12B,$4.48B,-,https://www.forbes.com/companies/shimizu/,
中央区,築地１丁目,-,東京都中央区築地１丁目１３－１　銀座松竹スクエア,35.66815,139.76949,Hanwa,阪和興業株式会社,Forbes Global 2023,1784,$20.12B,$420.9M,$10.05B,$1.27B,5123,https://www.forbes.com/companies/hanwa/,
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目１番３号,35.68597,139.76274,Alfresa Holdings,アルフレッサ　ホールディングス株式会社,Forbes Global 2023,1803,$20.29B,$214.8M,$10.9B,$3B,11925,https://www.forbes.com/companies/alfresa-holdings/,
品川区,東品川２丁目,-,東京都品川区東品川二丁目4番11号 野村不動産天王洲ビル,35.61974,139.7504,Japan Airlines,日本航空,Forbes Global 2023,1836,$9.05B,$-249.9M,$18.49B,$8.57B,35423,https://www.forbes.com/companies/japan-airlines/,
千代田区,麹町６丁目,-,東京都千代田区麹町６丁目１－１,35.68464,139.7326,Aozora Bank,株式会社あおぞら銀行,Forbes Global 2023,1856,$1.16B,$168.2M,$54.22B,$2.12B,2382,https://www.forbes.com/companies/aozora-bank/,
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-9-2 大手町フィナンシャルシティ グランキューブ,35.68829,139.76251,Nomura Research Institute,野村総合研究所,Forbes Global 2023,1875,$5.11B,$563.1M,$6.3B,$14.72B,6507,https://www.forbes.com/companies/nomura-research/,
新宿区,新宿５丁目,-,東京都新宿区新宿５丁目９番２号,35.69201,139.70881,Tokyo Kiraboshi Financial Group,株式会社東京きらぼしフィナンシャルグループ,Forbes Global 2023,1904,$843M,$176.2M,$49.93B,$612M,2753,https://www.forbes.com/companies/tokyo-kiraboshi-financial-group/,
新宿区,西新宿２丁目,-,東京都新宿区西新宿一丁目25番1号 新宿センタービル,35.69171,139.69288,Taisei,大成建設株式会社,Forbes Global 2023,1931,$12.48B,$484.9M,$14.28B,$6.5B,14518,https://www.forbes.com/companies/taisei/,
港区,港南２丁目,-,東京都港区港南二丁目１６番１号,35.62779,139.74075,Daito Trust Construction,大東建託株式会社,Forbes Global 2023,1941,$12.23B,$519.2M,$7.98B,$6.46B,17422,https://www.forbes.com/companies/daito-trust-construction/,
港区,赤坂８丁目,赤坂,東京都港区赤坂８丁目５番２７号,35.67143,139.72724,Nippon Steel Trading,日鉄物産株式会社,Forbes Global 2023,1971,$16.33B,$292.8M,$9.3B,$2.22B,6584,https://www.forbes.com/companies/nippon-steel-trading/,
