指標名,世界トップ企業,,,,,,,,,,,,,,,
出典,Forbes/Fortune,,,,,,,,,,,,,,,
年次,2023年,,,,,,,,,,,,,,,
URL,https://www.forbes.com/global2000, https://fortune.com/global500/2023,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,
,,,,,,,,,Forbes,,,,,,,
区,町丁,エリア,住所,緯度,経度,Name,会社名,Ranking,Rank,SALES,PROFIT,ASSETS,MARKETVALUE,Employees,URL,
中央区,新川２丁目,-,東京都中央区新川２丁目２７番２号　東京住友ツインビルディング西館,35.67427,139.7843,MS&AD Insurance,ＭＳ＆ＡＤインシュアランス　グループ　ホールディングス株式会社,Forbes Global 2023,383,$37.89B,$1.11B,$189.3B,$17.72B,39962,https://www.forbes.com/companies/msad-insurance/,
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目７－３　,35.67861,139.76494,Mitsubishi Electric,三菱電機株式会社,Forbes Global 2023,409,$36.92B,$1.58B,$41.95B,$26.99B,149655,https://www.forbes.com/companies/mitsubishi-electric/,
中央区,京橋３丁目,日八京,東京都中央区京橋３丁目１番１号　,35.6761,139.76838,Bridgestone,株式会社ブリヂストン,Forbes Global 2023,413,$31.25B,$1.98B,$37.6B,$27.83B,129260,https://www.forbes.com/companies/bridgestone/,
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目１－２　,35.68606,139.76199,ENEOS Holdings,ＥＮＥＯＳホールディングス株式会社,Forbes Global 2023,417,$111.2B,$2.29B,$81B,$10.11B,41852,https://www.forbes.com/companies/eneos-holdings/,
港区,赤坂２丁目,赤坂,東京都港区赤坂２丁目３番６号,35.67087,139.74211,Komatsu,株式会社　小松製作所,Forbes Global 2023,441,$26.25B,$2.41B,$36.64B,$23.62B,64343,https://www.forbes.com/companies/komatsu/,
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１－９－１,35.66304,139.76131,Softbank,ソフトバンク株式会社,Forbes Global 2023,442,$55.25B,$-23.11B,$320.92B,$56.05B,59721,https://www.forbes.com/companies/softbank/,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１－９－２,35.67864,139.76737,Recruit Holdings,株式会社リクルートホールディングス,Forbes Global 2023,494,$25.56B,$2.25B,$20.53B,$44.4B,51757,https://www.forbes.com/companies/recruit-holdings/,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町２丁目１番１号,35.6868,139.77298,Mitsui Fudosan,三井不動産株式会社,Forbes Global 2023,506,$17.18B,$1.53B,$67.01B,$18.36B,24408,https://www.forbes.com/companies/mitsui-fudosan/,
港区,赤坂５丁目,赤坂,東京都港区赤坂五丁目３番１号　赤坂Ｂｉｚタワー,35.67318,139.73636,Inpex,国際石油開発帝石株式会社,Forbes Global 2023,510,$17.67B,$3.33B,$47.46B,$14.37B,3364,https://www.forbes.com/companies/inpex/,
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１丁目５－２　,35.6654,139.76106,Fujitsu,富士通株式会社,Forbes Global 2023,545,$27.4B,$1.59B,$24.54B,$25.69B,124055,https://www.forbes.com/companies/fujitsu/,
