指標名,国際会議,,,,,,,,,,,
出典,日本政府観光局（JNTO）,,,,,,,,,,,
年次,2022年,,,,,,,,,,,
URL,https://mice.jnto.go.jp/document/statistics.html,,,,,,,,,,,
備考,（2018年：164件、2019年：110件、2020年：14件、2021年：1件、2022年：2件）,,,,,,,,,,,
,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,会議名,期間（2021年）,"参加国数
（日本含）",外国人参加者数,国内 参加者数,参加者総数
千代田区,内幸町２丁目,-,東京都千代田区内幸町2-1-1　飯野ビルディング4階～6階,35.6712409,139.7534723,イイノホール,政府主催国際シンポジウム～グローバルな課題としての拉致問題の解決に向けた国際連携～,12/10～12/10,3,2,111,113
千代田区,芝公園３丁目,-,東京都港区芝公園3-3-1,35.6589663,139.7455642,東京プリンスホテル,第2回東京イミグレーション・フォーラム,12/12～12/13,17,38,44,82
