,,,,,,,
指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2024/01/12取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,(2021年度：668件、2022年度：899件、2023年度：859件),,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
港区,高輪4丁目,-,東京都港区高輪4-10-23,高山稲荷神社,神社,35.6281947,139.7372403
港区,麻布台2丁目,-,東京都港区麻布台2-2-14,熊野神社,神社,35.6585983,139.7429392
港区,南青山5丁目,-,東京都港区南青山5-1-7,稲荷神社,神社,35.6644088,139.7134466
港区,赤坂7丁目,赤坂,東京都港区赤坂7-6-19,椿大神社東京講本部,神社,35.6710673,139.7330501
港区,南青山3丁目,-,東京都港区南青山3-4-11,稲荷神社,神社,35.6668439,139.7171673
港区,芝公園3丁目,虎ノ門,東京都港区芝公園3丁目5-27,宗教法人幸稲荷神社,神社,35.6604914,139.7460296
港区,浜松町2丁目,-,東京都港区浜松町2-9-8,稲荷神社,神社,35.6540791,139.7560938
港区,虎ノ門4丁目,虎ノ門,東京都港区虎ノ門4-1-3,葺城稲荷神社,神社,35.6645413,139.7449451
新宿区,西早稲田2丁目,-,東京都新宿区西早稲田2-1-11,穴八幡宮,神社,35.7073263,139.7172272
新宿区,新宿5丁目,-,東京都新宿区新宿5-17-3,花園神社,神社,35.6935782,139.7055482
新宿区,高田馬場1丁目,-,東京都新宿区高田馬場1-12-6,新宿諏訪神社,神社,35.7091813,139.7076982
新宿区,西新宿2丁目,-,東京都新宿区西新宿2-11-2,熊野神社(十二社熊野神社),神社,35.6904857,139.6881981
新宿区,西新宿8丁目,-,東京都新宿区西新宿8丁目14-10,成子天神社,神社,35.6961569,139.6923738
新宿区,百人町1丁目,-,東京都新宿区百人町1-11-16,皆中稲荷神社,神社,35.7010145,139.6994438
新宿区,大久保2丁目,-,東京都新宿区大久保2丁目27-18,夫婦木神社,神社,35.7023379,139.7038517
新宿区,歌舞伎町2丁目,-,東京都新宿区歌舞伎町2-17-5,稲荷鬼王神社,神社,35.6979002,139.7053178
新宿区,市谷八幡町,-,東京都新宿区市谷八幡町15,市谷亀岡八幡宮,神社,35.6927343,139.7337848
新宿区,下落合2丁目,-,東京都新宿区下落合2丁目7-12,氷川神社,神社,35.7168637,139.6992444
新宿区,西早稲田3丁目,-,東京都新宿区西早稲田3-5-43,水稲荷神社,神社,35.7112441,139.7159707
新宿区,西早稲田2丁目,-,東京都新宿区西早稲田2-1-11,穴八幡神社,神社,35.7073263,139.7172272
新宿区,赤城元町1丁目,-,東京都新宿区赤城元町1-10,赤城神社,神社,35.7048374,139.7363829
新宿区,須賀町5丁目,-,東京都新宿区須賀町5-6,須賀神社,神社,35.6852598,139.7225343
新宿区,北新宿3丁目,-,東京都新宿区北新宿3-16-18,鎧神社,神社,35.7045903,139.6918454
新宿区,余丁町8丁目,-,東京都新宿区余丁町8-5,厳島神社抜弁天,神社,35.6976146,139.7133618
新宿区,大京町,-,東京都新宿区大京町6,大京神社,神社,35.6858988,139.7187235
新宿区,榎町,-,東京都新宿区榎町56,稲荷神社,神社,35.7041692,139.7287797
新宿区,坂町,-,東京都新宿区坂町22,桝箕稲荷神社,神社,35.7032617,139.7117431
新宿区,天神町12丁目,-,東京都新宿区天神町75-13,北野神社,神社,35.7062141,139.7305806
新宿区,原町3丁目,-,東京都新宿区原町3-20,稲荷神社,神社,35.6999968,139.7226739
新宿区,岩戸町5丁目,-,東京都新宿区岩戸町14-2,稲荷神社,神社,35.7011034,139.7370053
新宿区,喜久井町,-,東京都新宿区喜久井町20,池立神社,神社,35.703618,139.7220953
