指標名,観光地,,,,,,,,,
出典,google places API,,,,,,,,,
年次,2024/02/09取得,,,,,,,,,
URL,https://maps.googleapis.com/maps/api/place/nearbysearch,,,,,,,,,
備考,(2021年度：1925件、2022年度：1922件、2023年度：2497件),,,,,,,,,
,,,,,,,,,,
区,町丁目,エリア,住所,緯度,経度,施設名,ジャンル,星,口コミ数,place_id
千代田区,西新橋１丁目,虎ノ門,港区西新橋１丁目６−１５ 日本酒造虎ノ門ビル 1F,35.669587,139.752346,日本の酒情報館,"museum, tourist_attraction, point_of_interest, establishment",4.4,331,ChIJ_____-yLGGAR8bvuJnTEoFs
千代田区,愛宕２丁目,虎ノ門,港区愛宕２丁目１−１,35.6637951,139.748291,NHK放送博物館,"tourist_attraction, museum, point_of_interest, establishment",4.3,1075,ChIJCcGIPpSLGGARzZ4ZW6hu6NE
千代田区,新橋２丁目,虎ノ門広域,港区新橋２丁目１５−５,35.6667417,139.7567813,烏森神社,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.2,3838,ChIJmyHLzuuLGGAR_dp7Ams-EI4
千代田区,霞が関３丁目,虎ノ門広域,千代田区霞が関３丁目１,35.6736051,139.7490405,潮見坂,"tourist_attraction, point_of_interest, establishment",3.4,9,ChIJ6RMaaYyLGGARrEUqTcQGZmM
千代田区,愛宕１丁目,虎ノ門,港区愛宕１丁目５−３,35.6646681,139.7490137,愛宕神社 出世の石段,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.4,3347,ChIJ2cn3ZZSLGGARtAH08ZmRyIo
千代田区,霞が関３丁目,虎ノ門広域,千代田区霞が関３丁目８,35.6700719,139.7475234,溜池櫓台跡,"tourist_attraction, point_of_interest, establishment",3.8,17,ChIJ9SMO442LGGARDBpf8u-8B84
千代田区,永田町２丁目,赤坂,千代田区永田町２丁目１,35.6756197,139.743717,国会議事堂裏いちょう並木通り,"tourist_attraction, point_of_interest, establishment",4.7,3,ChIJP5LTIWGLGGARkvYBGnxwEEA
千代田区,永田町１丁目,赤坂,千代田区永田町１丁目１−１,35.6775885,139.7493385,夜景の綺麗なジョギングコース,"tourist_attraction, point_of_interest, establishment",0,0,ChIJf4PwXQCLGGARqpm2CyKBiqg
千代田区,有楽町１丁目,大丸有,千代田区有楽町１丁目３−２,35.6736998,139.7602977,ゴジラ像,"tourist_attraction, point_of_interest, establishment",3.8,1871,ChIJj9FCzO-LGGARv0qenUaDws4
千代田区,霞が関３丁目,虎ノ門広域,千代田区霞が関３丁目２−１,35.6722337,139.747978,三年坂,"tourist_attraction, point_of_interest, establishment",3.6,11,ChIJ01PXMYyLGGARCWfxoruqeqA
千代田区,日比谷公園,-,千代田区日比谷公園１,35.6752793,139.7585432,伊達政宗終焉の地,"tourist_attraction, point_of_interest, establishment",3.7,99,ChIJVzm4lvGLGGARQcfrzMS4DcA
千代田区,日比谷公園,-,千代田区日比谷公園 1,35.6729416,139.7569932,思い出ベンチ,"tourist_attraction, point_of_interest, establishment",4,2,ChIJ7TljLjqLGGARkS4OxqGdh9k
千代田区,永田町１丁目,赤坂,千代田区永田町１丁目１０,35.6741622,139.7463738,茱萸坂,"tourist_attraction, point_of_interest, establishment",3.5,12,ChIJ1fioLHaMGGAR4Q6XtRRsm5c
千代田区,永田町２丁目,赤坂,千代田区永田町２丁目１９,35.6778254,139.740554,三べ坂,"tourist_attraction, point_of_interest, establishment",4.3,4,ChIJ5ewigFiNGGARBHla1FNSSsA
千代田区,虎ノ門３丁目,虎ノ門,港区虎ノ門３丁目６−１,35.6667276,139.7452294,江戸見坂,"tourist_attraction, point_of_interest, establishment",4,23,ChIJN5LqUpCLGGARQm-GwODjL_Y
千代田区,永田町２丁目,赤坂,千代田区永田町２丁目１０−５,35.6746656,139.7399379,日枝神社,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.4,10407,ChIJF0MR5MSmH2ARj3x0ov0aQ-8
千代田区,永田町２丁目,赤坂,千代田区永田町２丁目１８,35.6783975,139.7381131,東京女学館発祥の地,"tourist_attraction, point_of_interest, establishment",3.6,7,ChIJvwsuq72NGGAR70DiLrn4Obw
千代田区,虎ノ門１丁目,虎ノ門,港区虎ノ門１丁目２−７,35.6696344,139.7480255,虎ノ門 金刀比羅宮,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.2,1826,ChIJdc_l942LGGAR_f4Ot6q7ISo
千代田区,愛宕１丁目,虎ノ門,港区愛宕１丁目５,35.6649659,139.7487043,愛宕山,"tourist_attraction, park, point_of_interest, establishment",4.1,25,ChIJaU-cdJSLGGAR_Kcus8fkTGE
千代田区,新橋２丁目,虎ノ門広域,港区新橋２丁目１６−１ ニュー新橋ビル 203-C,35.6662818,139.7573815,新橋マッスルビジョン,"tourist_attraction, point_of_interest, establishment",5,4,ChIJE--ied-LGGARH4m0CIoh8lw
千代田区,日比谷公園,-,千代田区日比谷公園１,35.6758493,139.7560706,三笠山,"park, tourist_attraction, point_of_interest, establishment",3.5,40,ChIJcUcaufOLGGARsuW5JEIux_U
千代田区,虎ノ門１丁目,虎ノ門,港区虎ノ門１丁目１,35.6704056,139.7496862,虎ノ門記念碑,"tourist_attraction, point_of_interest, establishment",3.8,35,ChIJvYEFgY2LGGARAj3HsNTXq0Y
千代田区,永田町１丁目,赤坂,千代田区永田町１丁目１,35.6771485,139.7485644,櫻の井,"tourist_attraction, point_of_interest, establishment",3.6,29,ChIJryeESYqLGGAR60avG3cGwd0
千代田区,新橋１丁目,虎ノ門広域,港区新橋１丁目１８−１ 航空会館 屋上,35.6682105,139.7527161,ウサンチク,"tourist_attraction, point_of_interest, establishment",0,0,ChIJG9dLYgCLGGARxh5g9z48s0Q
千代田区,赤坂２丁目,赤坂,港区赤坂２丁目１５,35.6716753,139.7385354,福吉坂,"tourist_attraction, point_of_interest, establishment",4.3,3,ChIJuUVN6oaLGGARhmQ2bYmvi1Y
千代田区,虎ノ門２丁目,虎ノ門,港区虎ノ門２丁目１０−３,35.6670149,139.7433053,大倉集古館,"tourist_attraction, museum, point_of_interest, establishment",4.1,308,ChIJC5-nF5CLGGAR9M3JUrPsBj8
千代田区,日比谷公園,-,千代田区日比谷公園１,35.6735495,139.7549481,東屋,"tourist_attraction, point_of_interest, establishment",3,1,ChIJYzJ1HG-LGGARUCZk1kxEBN0
千代田区,日比谷公園,-,千代田区日比谷公園１−２,35.6736807,139.7568849,日比谷公園 噴水広場,"park, tourist_attraction, point_of_interest, establishment",4,692,ChIJgYcKD_KLGGARyM933-RbFaY
千代田区,銀座８丁目,-,中央区銀座８丁目,35.6690823,139.7589922,銀座コリドー街,"tourist_attraction, point_of_interest, establishment",4,51,ChIJEdwOL7yLGGAR7qwmaDq5tCs
千代田区,永田町２丁目,赤坂,千代田区永田町２丁目２,35.6750322,139.743119,山王坂,"tourist_attraction, point_of_interest, establishment",3.8,16,ChIJvdjwZYiLGGAR5ilFlkRrlF8
千代田区,赤坂５丁目,赤坂,港区赤坂５丁目３,35.6723333,139.7356421,TBS前広場,"tourist_attraction, point_of_interest, establishment",4.3,36,ChIJAxYFwoaLGGARhUnycGuMVTA
千代田区,赤坂７丁目,赤坂,港区赤坂７丁目６−１６,35.6711984,139.7335169,三分坂,"tourist_attraction, point_of_interest, establishment",3.8,36,ChIJR2WgSICLGGARDaal6un4-dg
千代田区,東新橋２丁目,虎ノ門広域,港区東新橋２丁目９−５,35.6610512,139.7576098,イタリア街,"tourist_attraction, point_of_interest, establishment",3.8,1592,ChIJ5YHK2MOLGGARfS_kBq3T3Kc
千代田区,虎ノ門５丁目,虎ノ門,港区虎ノ門５丁目４,35.6632603,139.742233,しいのき坂,"tourist_attraction, point_of_interest, establishment",3.3,3,ChIJdcFvgvaLGGARF_tADijFGI0
千代田区,新橋２丁目,虎ノ門広域,港区新橋２丁目１７,35.6662932,139.7583642,汽笛一聲 新橋地下駅開業記念,"tourist_attraction, point_of_interest, establishment",4.3,4,ChIJ1fH70p6LGGAR4aM-junyXX4
千代田区,赤坂１丁目,虎ノ門,港区赤坂１丁目１１ 桜坂,35.6687298,139.7409797,桜坂,"tourist_attraction, point_of_interest, establishment",4.6,7,ChIJA7Lw_xaLGGARovBdhO4895c
千代田区,永田町１丁目,赤坂,千代田区永田町１丁目８−１,35.6793064,139.7455436,憲政記念館,"museum, tourist_attraction, point_of_interest, establishment",3.8,633,ChIJCSOV_omLGGARC30qXmCHB7A
千代田区,三番町,-,千代田区三番町,35.6912383,139.7470812,千鳥ケ淵,"tourist_attraction, point_of_interest, establishment",4.6,515,ChIJndmxIRmNGGAR9zOZKItqjDI
千代田区,北の丸公園,-,千代田区北の丸公園１−１,35.6926852,139.7498228,時計台,"tourist_attraction, point_of_interest, establishment",4.1,50,ChIJp8s7DqGNGGAR4bsVhMgJC1s
千代田区,北の丸公園,-,千代田区北の丸公園２−５,35.6940476,139.7493268,重要文化財 旧江戸城 田安門,"tourist_attraction, point_of_interest, establishment",4.3,237,ChIJQwJLmGuMGGARZaD_O7oWHPI
千代田区,北の丸公園,-,千代田区北の丸公園２,35.6925238,139.751884,河津桜,"tourist_attraction, point_of_interest, establishment",4,1,ChIJx--EcjiNGGAR3RgZmtrrbUI
千代田区,千代田,-,千代田区千代田１,35.6896111,139.7578611,平川門,"tourist_attraction, point_of_interest, establishment",4.1,110,ChIJTajifQ6MGGAR7Hm1Kn2631A
千代田区,北の丸公園,-,千代田区北の丸公園１−１,35.6927509,139.7527614,清水門,"tourist_attraction, point_of_interest, establishment",4.1,229,ChIJ70n0MROMGGARMjFhBBLsEGk
千代田区,皇居外苑,-,千代田区皇居外苑３−１,35.6833415,139.7608736,和田倉噴水公園,"park, tourist_attraction, point_of_interest, establishment",4.2,1894,ChIJV4TDwfeLGGARZZY83rpWpSA
千代田区,北の丸公園,-,千代田区北の丸公園２−１,35.691589,139.753069,科学技術館,"tourist_attraction, museum, point_of_interest, establishment",4,3164,ChIJdfZ2xRKMGGARQSyxv6wfzw8
千代田区,北の丸公園,-,千代田区北の丸公園３−１,35.6905432,139.7546932,東京国立近代美術館,"tourist_attraction, museum, point_of_interest, establishment",4.3,5905,ChIJL0kSfg2MGGARKv5KX53ZZ2Y
千代田区,麹町１丁目,-,千代田区麹町１丁目２,35.6861597,139.7449906,千代田区立 千鳥ヶ淵公園,"park, tourist_attraction, point_of_interest, establishment",4.4,2330,ChIJ2Upy0nGMGGARNdDKDGtkffY
千代田区,千代田,-,千代田区千代田１−１,35.6867824,139.7571445,皇居東御苑,"tourist_attraction, park, point_of_interest, establishment",4.4,7324,ChIJPfFaQhOMGGAR-QPbNQoAG6M
千代田区,九段南２丁目,-,千代田区九段南２丁目２−１８,35.6946395,139.7483607,千代田区立九段坂公園,"park, tourist_attraction, point_of_interest, establishment",4.3,118,ChIJGZArzGuMGGARPTxpzTl2nHE
千代田区,九段南２丁目,-,千代田区九段南２丁目２,35.6947757,139.7487813,高燈篭 常燈明台,"tourist_attraction, point_of_interest, establishment",4.1,109,ChIJzbiOtmuMGGARAnAP53OIJZ0
千代田区,北の丸公園,-,千代田区北の丸公園２−４,35.694166,139.7498495,弥生慰霊堂,"place_of_worship, tourist_attraction, point_of_interest, establishment",4.3,23,ChIJq9r0nmuMGGARWwwQPkWWkws
千代田区,九段北２丁目,-,千代田区九段北２丁目１−４,35.6955051,139.7479212,さざれ石,"tourist_attraction, point_of_interest, establishment",4.6,8,ChIJ6xv7V--NGGAReRAJJ7vza5Y
千代田区,千代田,-,千代田区千代田１−１ 皇居東御苑,35.6864261,139.7592442,三の丸尚蔵館,"tourist_attraction, museum, point_of_interest, establishment",4.2,310,ChIJPfFaQhOMGGARTfig6X5OJvM
千代田区,千代田,-,"千代田区千代田１−１, 東御苑, 皇居",35.6854051,139.7555505,松の大廊下跡,"tourist_attraction, point_of_interest, establishment",3.8,79,ChIJhZsO6QuMGGARKpytUX8ZqOs
千代田区,九段南１丁目,-,千代田区九段南１丁目６−１,35.6950861,139.750718,昭和館,"tourist_attraction, museum, point_of_interest, establishment",4,1069,ChIJP5nfE2uMGGARCD9T7XHuNb4
千代田区,皇居外苑,-,千代田区皇居外苑３,35.6826271,139.7620267,元宮城和田倉門守衛所,"tourist_attraction, point_of_interest, establishment",4.2,110,ChIJ0QFUhfeLGGARcBgc0OSQI2U
千代田区,千代田,-,千代田区千代田１−１,35.6840122,139.758499,桔梗門（内桜田門）,"tourist_attraction, point_of_interest, establishment",4.3,609,ChIJmdef7AmMGGARhKjmuJGUSNs
千代田区,九段北１丁目,-,千代田区九段北１丁目１４−２１,35.696066,139.749981,築土神社,"tourist_attraction, place_of_worship, point_of_interest, establishment",4,435,ChIJ4UhE-GqMGGARlLgTJ-LIbtU
千代田区,九段南２丁目,-,千代田区九段南２丁目１−３２号,35.6927099,139.746339,千秋文庫,"museum, tourist_attraction, point_of_interest, establishment",3.5,28,ChIJk80baWmMGGARO_Z_Ol-4MMg
千代田区,一番町,-,千代田区一番町１８−１,35.6881335,139.7421211,滝廉太郎居住地跡の碑【東京都指定旧跡】,"tourist_attraction, point_of_interest, establishment",3.7,18,ChIJ4Ry1gGWMGGARVj3doAlwlYI
千代田区,千代田,-,千代田区千代田１,35.6861796,139.7559891,本丸跡,"tourist_attraction, point_of_interest, establishment",4.5,189,ChIJx2PyZgyMGGARfFpOJaTv_Rk
千代田区,-,-,千代田区１５,35.6954199,139.7423464,富士見坂,"tourist_attraction, point_of_interest, establishment",3.7,11,ChIJzxOEskKMGGAR0ht59j0AZA8
千代田区,富士見２丁目,-,千代田区富士見２丁目１３−１２ KADOKAWA富士見ビル ２F,35.6982516,139.7436467,アニメ聖地88一番札所,"tourist_attraction, point_of_interest, establishment",3.7,3,ChIJtUt6F42NGGARnOmBVQSEAhg
千代田区,富士見１丁目,-,千代田区富士見１丁目１−１３,35.6980827,139.7482214,二合半坂,"tourist_attraction, point_of_interest, establishment",3.7,15,ChIJx7kQ7EGMGGARDaVgIxU5TkE
千代田区,永田町１丁目,赤坂,千代田区永田町１丁目１,35.6770719,139.7477299,国会前庭 北地区,"park, tourist_attraction, point_of_interest, establishment",4,65,ChIJRwdJJIqLGGAR6wrIM__UeZg
千代田区,紀尾井町,赤坂,千代田区紀尾井町１,35.6787667,139.7380662,赤坂門跡,"tourist_attraction, point_of_interest, establishment",3.8,108,ChIJoRtqW3mMGGAR_IfueEJk_5U
千代田区,平河町１丁目,-,千代田区平河町１丁目７−５,35.6823973,139.7409509,縁結びの梅,"tourist_attraction, point_of_interest, establishment",0,0,ChIJCQnAznuNGGARkotxDMrTnm4
千代田区,元赤坂１丁目,赤坂,港区元赤坂１丁目２,35.6788247,139.7362515,弁慶橋,"tourist_attraction, point_of_interest, establishment",3.9,75,ChIJR0xmHHyMGGARAeMJayOwBhk
千代田区,紀尾井町,赤坂,千代田区紀尾井町２−１,35.6814159,139.7361246,千代田区立清水谷公園,"park, tourist_attraction, point_of_interest, establishment",3.8,636,ChIJ0zbC6nyMGGAROfFoUq13fnw
千代田区,永田町２丁目,赤坂,千代田区永田町２丁目１０−７,35.6751643,139.739661,山王稲荷神社,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.5,82,ChIJVVXigYeLGGARjnqtQYmiyTM
