,,,,,,,,,,,2023年度,昨年
指標名,保育園,,,認可保育所,https://www.fukushi.metro.tokyo.lg.jp/kiban/fukushi_shisetsu/shs_list/index.html,,,,,認可,644,603
出典,東京都福祉保健局,,,認証保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninsyo/ichiran.html,,,,,認証A,88,98
年次,2024/2/6取得,,,こども園,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/n_kodomoen/shisetsuichiran.html,,,,,認証B,11,12
URL,右記参照,,,認可外保育施設,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninkagai/index.html,,,,,認定こども園（幼保連携型）,7,7
備考,（2021年度：1073件、2022年度：1080件、2023年度：792件）,,,,,,,,,認定こども園（保育所型）,41,38
,,,,,,,,,,認定こども園（地方裁量型）,0,1
区,町丁,エリア,住所,緯度,経度,施設名,種別,定員,データ時点,,,
中央区,日本橋富沢町,-,中央区日本橋富沢町９－１０　稲村ビル１階,35.689499,139.782821,アイグラン保育園日本橋,認可,60,令和5年10月1日時点,,,
中央区,日本橋浜町１丁目,-,中央区日本橋浜町１－９－１２　日本橋プラヤビル２階,35.690225,139.787858,ＡＩＡＩ　ＮＵＲＳＥＲＹ　日本橋浜町,認可,50,令和5年10月1日時点,,,
中央区,日本橋浜町２丁目,-,中央区日本橋浜町２－４４－４　第１７村上ビル１・２Ｆ,35.687585,139.788124,キッズハウス浜町公園,認可,48,令和5年10月1日時点,,,
中央区,日本橋浜町３丁目,-,中央区日本橋浜町３－３７－１,35.685474,139.791284,浜町保育園,認可,125,令和5年10月1日時点,,,
中央区,日本橋浜町３丁目,-,中央区日本橋浜町３－４０－３　パークホームズ日本橋浜町ザレジデンス１階・２階,35.686357,139.790612,グローバルキッズ浜町園,認可,40,令和5年10月1日時点,,,
中央区,日本橋堀留町１丁目,-,中央区日本橋堀留町１－１－１－２Ｆ,35.687408,139.778996,堀留町保育園,認可,81,令和5年10月1日時点,,,
中央区,日本橋堀留町２丁目,-,中央区日本橋堀留町２－８－４　日本橋コアビル１階,35.688488,139.781388,ほっぺるランド日本橋堀留町,認可,70,令和5年10月1日時点,,,
中央区,日本橋人形町２丁目,-,中央区日本橋人形町２－１４－５,35.684603,139.784826,人形町保育園,認可,105,令和5年10月1日時点,,,
中央区,日本橋人形町３丁目,-,中央区日本橋人形町３－７－５　ＩＫＴビル１～４Ｆ,35.686625,139.781411,モニカ人形町園,認可,60,令和5年10月1日時点,,,
中央区,日本橋蛎殻町１丁目,-,中央区日本橋蛎殻町１－１－２,35.680857,139.783494,日本橋保育園,認可,91,令和5年10月1日時点,,,
