,,,,,,,,,,,2023年度,昨年
指標名,保育園,,,認可保育所,https://www.fukushi.metro.tokyo.lg.jp/kiban/fukushi_shisetsu/shs_list/index.html,,,,,認可,644,603
出典,東京都福祉保健局,,,認証保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninsyo/ichiran.html,,,,,認証A,88,98
年次,2024/2/6取得,,,こども園,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/n_kodomoen/shisetsuichiran.html,,,,,認証B,11,12
URL,右記参照,,,認可外保育施設,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninkagai/index.html,,,,,認定こども園（幼保連携型）,7,7
備考,（2021年度：1073件、2022年度：1080件、2023年度：792件）,,,,,,,,,認定こども園（保育所型）,41,38
,,,,,,,,,,認定こども園（地方裁量型）,0,1
区,町丁,エリア,住所,緯度,経度,施設名,種別,定員,データ時点,,,
港区,南麻布１丁目,-,港区南麻布一丁目１４番１号,35.651137,139.734086,まなびの森保育園麻布十番,認可,61,令和5年10月1日時点,,,
港区,南麻布１丁目,-,港区南麻布一丁目８番１１号（東町小学校内）,35.650871,139.735833,まなびの森保育園麻布,認可,60,令和5年10月1日時点,,,
港区,南麻布４丁目,-,港区南麻布四丁目１１番３０号　南麻布渋谷ビル２階,35.647023,139.727163,太陽の子南麻布保育園,認可,69,令和5年10月1日時点,,,
港区,南麻布４丁目,-,港区南麻布四丁目２番２９号１０１,35.647745,139.724129,南麻布保育園,認可,100,令和5年10月1日時点,,,
港区,南麻布３丁目,-,港区南麻布四丁目６番７号,35.649991,139.730715,本村保育園,認可,106,令和5年10月1日時点,,,
港区,南麻布２丁目,-,港区南麻布二丁目１１番１０号　ＯＪビル３階,35.647684,139.735784,アイグラン保育園南麻布,認可,98,令和5年10月1日時点,,,
港区,赤坂５丁目,赤坂,港区赤坂五丁目５番２６号１０１,35.671049,139.734025,赤坂保育園,認可,99,令和5年10月1日時点,,,
港区,赤坂４丁目,赤坂,港区赤坂四丁目１番２６号,35.676397,139.734702,赤坂山王保育園,認可,121,令和5年10月1日時点,,,
港区,赤坂４丁目,赤坂,港区赤坂四丁目７番１５号　陽栄光和ビル１階,35.675465,139.734029,赤坂ちとせ保育園,認可,50,令和5年10月1日時点,,,
港区,赤坂４丁目,赤坂,港区赤坂四丁目９番３号,35.675472,139.732987,赤坂クレア保育園,認可,40,令和5年10月1日時点,,,
港区,赤坂８丁目,赤坂,港区赤坂八丁目１２番１６号　ＮＯＺＹ　ＡＫＡＳＡＫＡ１階、２階、３階,35.66991,139.73058,太陽の子赤坂保育園,認可,60,令和5年10月1日時点,,,
港区,北青山３丁目,-,港区北青山三丁目４番１号１０１,35.666948,139.712444,青山保育園,認可,128,令和5年10月1日時点,,,
港区,北青山３丁目,-,港区北青山三丁目４番３号,35.667575,139.713351,おはよう保育園　ののあおやま,認可,20,令和5年10月1日時点,,,
港区,南青山１丁目,-,港区南青山一丁目３番１５号,35.671088,139.72546,南青山保育園,認可,136,令和5年10月1日時点,,,
港区,南青山１丁目,-,港区南青山一丁目３番１号　パークアクシス青山一丁目タワー２階,35.671858,139.725413,アイグラン保育園青山一丁目,認可,60,令和5年10月1日時点,,,
港区,南青山４丁目,-,港区南青山四丁目１５番８号　南青山２４６ビル,35.664916,139.718304,小学館アカデミー南青山保育園,認可,39,令和5年10月1日時点,,,
港区,南青山４丁目,-,港区南青山四丁目１番６号　セブン南青山ビル１階２階,35.667322,139.719162,太陽の子南青山保育園,認可,50,令和5年10月1日時点,,,
港区,芝５丁目,-,港区芝五丁目１８番１号,35.648302,139.747765,芝保育園,認可,164,令和5年10月1日時点,,,
港区,海岸３丁目,-,港区海岸三丁目１６番６号,35.642496,139.755864,にじいろ保育園海岸三丁目,認可,125,令和5年10月1日時点,,,
港区,芝浦３丁目,-,港区芝浦三丁目１番１６号,35.645149,139.750212,しばうら保育園,認可,252,令和5年10月1日時点,,,
港区,芝浦３丁目,-,港区芝浦三丁目２０番２号　山楽ビル２階、３階,35.642222,139.746542,太陽の子芝浦三丁目保育園,認可,50,令和5年10月1日時点,,,
港区,芝浦４丁目,-,港区芝浦四丁目１２番２８号,35.639562,139.749072,アスク芝浦４丁目保育園,認可,51,令和5年10月1日時点,,,
港区,芝浦４丁目,-,港区芝浦四丁目１７番３号　芝浦ＮＡビル３階,35.637015,139.747127,デイジー保育園芝浦,認可,54,令和5年10月1日時点,,,
港区,芝浦４丁目,-,港区芝浦四丁目２０番１号,35.640442,139.75256,芝浦アイランドこども園,認可,191,令和5年10月1日時点,,,
港区,芝浦２丁目,-,港区芝浦二丁目３番３１号　第二高取ビル２階,35.644118,139.754544,にじのいるか保育園芝浦,認可,60,令和5年10月1日時点,,,
港区,芝浦２丁目,-,港区芝浦二丁目９番１号　ブランズタワー芝浦２階,35.645143,139.75271,太陽の子芝浦二丁目保育園,認可,50,令和5年10月1日時点,,,
港区,白金台３丁目,-,港区白金台３－１３－１８,35.635853,139.724669,アイグラン保育園白金台,認可,58,令和5年10月1日時点,,,
港区,白金台２丁目,-,港区白金台二丁目１１番３号,35.633194,139.730732,えほんのもり白金台保育園,認可,35,令和5年10月1日時点,,,
港区,白金台２丁目,-,港区白金台二丁目２６番１０号　グリーンオーク高輪台２階,35.631745,139.730039,ニチイキッズ白金台保育園,認可,70,令和5年10月1日時点,,,
港区,白金１丁目,-,港区白金一丁目２６番１０号　白金Ｋ－ＦＬＡＴ１階、２階の一部,35.643931,139.733237,ゆらりん白金保育園,認可,50,令和5年10月1日時点,,,
港区,白金１丁目,-,港区白金一丁目２番１号　スターチャイルド白金高輪ナーサリー,35.646147,139.735246,スターチャイルド白金高輪ナーサリー,認可,23,令和5年10月1日時点,,,
港区,白金３丁目,-,港区白金三丁目１０番１２号,35.644902,139.731102,白金保育園,認可,100,令和5年10月1日時点,,,
港区,白金３丁目,-,港区白金三丁目２番３号,35.64656,139.731283,ミアヘルサ保育園ひびき白金高輪,認可,34,令和5年10月1日時点,,,
港区,白金４丁目,-,港区白金四丁目７番２号,35.642664,139.727283,みつばち保育園,認可,30,令和5年10月1日時点,,,
港区,三田１丁目,-,港区三田一丁目２番１８号　ＴＴＤ　ＰＬＡＺＡビル２階,35.654996,139.740589,太陽の子三田保育園,認可,69,令和5年10月1日時点,,,
港区,三田１丁目,-,港区三田一丁目３番３１号　Ｆｏｒｅｃａｓｔ三田２階,35.654553,139.743608,アイグラン保育園赤羽橋,認可,60,令和5年10月1日時点,,,
港区,三田５丁目,-,港区三田五丁目１７番２号,35.645161,139.736962,うれしい保育園白金高輪,認可,60,令和5年10月1日時点,,,
港区,三田５丁目,-,港区三田五丁目４番３号　三田プラザビル３階,35.647675,139.738979,太陽の子三田五丁目保育園,認可,60,令和5年10月1日時点,,,
港区,三田４丁目,-,港区三田四丁目１９番３０号,35.640324,139.738795,伊皿子坂保育園,認可,149,令和5年10月1日時点,,,
港区,高輪１丁目,-,港区高輪一丁目１６番１５号　自動車部品会館２階,35.640944,139.733469,高輪さつき保育園,認可,60,令和5年10月1日時点,,,
港区,高輪３丁目,-,港区高輪一丁目２７番４０号,35.634308,139.734547,愛星保育園,認可,65,令和5年10月1日時点,,,
港区,高輪１丁目,-,港区高輪一丁目５番３８号　ＨＵＧ高輪１階、２階,35.641674,139.736674,ゆらりん高輪保育園,認可,101,令和5年10月1日時点,,,
港区,高輪３丁目,-,港区高輪一丁目６番９号,35.634308,139.734547,みなと保育園,認可,63,令和5年10月1日時点,,,
港区,高輪３丁目,-,港区高輪三丁目１８番１５号,35.633188,139.735708,高輪保育園,認可,143,令和5年10月1日時点,,,
港区,高輪３丁目,-,港区高輪三丁目４番３号,35.631973,139.73794,高輪夢保育園,認可,50,令和5年10月1日時点,,,
港区,高輪３丁目,-,港区高輪二丁目１６番８号,35.634308,139.734547,ほっぺるランド高輪二丁目,認可,60,令和5年10月1日時点,,,
港区,高輪３丁目,-,港区高輪二丁目６番２１号,35.634308,139.734547,さくらさくみらい高輪,認可,84,令和5年10月1日時点,,,
港区,港南１丁目,-,港区港南一丁目６番２７号　芝浦クリスタル品川港南２階,35.62958,139.745484,ゆらりん港南保育園,認可,60,令和5年10月1日時点,,,
港区,港南１丁目,-,港区港南一丁目８番２３号 ＳｈｉｎａｇａｗａＨＥＡＲＴ２階,35.629643,139.744548,ゆらりんはぁと保育園,認可,50,令和5年10月1日時点,,,
港区,港南４丁目,-,港区港南四丁目１番８号　リバージュ品川２階,35.629737,139.746602,グローバルキッズ港南保育園,認可,99,令和5年10月1日時点,,,
港区,港南４丁目,-,港区港南四丁目２番３号１０１,35.629739,139.747954,こうなん保育園,認可,148,令和5年10月1日時点,,,
港区,港南４丁目,-,港区港南四丁目３番７号,35.630968,139.74967,たかはま保育園,認可,151,令和5年10月1日時点,,,
港区,港南４丁目,-,港区港南四丁目６番７号,35.627605,139.750614,ベネッセ港南保育園,認可,60,令和5年10月1日時点,,,
港区,港南４丁目,-,港区港南四丁目７番３７号（港南緑水公園内）,35.62863,139.751328,ゆらりん港南緑水保育園,認可,101,令和5年10月1日時点,,,
港区,港南２丁目,-,港区港南二丁目１６番６号　ＣａｎｏｎＳタワー,35.625628,139.740322,ふたばクラブ港南保育園,認可,29,令和5年10月1日時点,,,
港区,台場１丁目,-,港区台場一丁目３番６号　お台場レインボー公園内仮設園舎,35.630009,139.777122,台場保育園,認可,131,令和5年10月1日時点,,,
港区,白金６丁目,-,港区白金六丁目９番５号,35.643631,139.724609,神応保育園,認可,114,令和5年10月1日時点,,,
新宿区,四谷１丁目,-,新宿区四谷１－６－１ コモレ四谷２Ｆ,35.687574,139.72922,にじいろ保育園四ツ谷,認可,30,令和5年10月1日時点,,,
新宿区,愛住町,-,新宿区愛住町６,35.689974,139.719541,グローバルキッズ愛住町園,認可,80,令和5年10月1日時点,,,
新宿区,若葉１丁目,-,新宿区若葉１－９,35.686315,139.726332,グローバルキッズ若葉園,認可,42,令和5年10月1日時点,,,
新宿区,南元町,-,新宿区南元町４,35.682165,139.723409,二葉南元保育園,認可,110,令和5年10月1日時点,,,
新宿区,大京町,-,新宿区大京町２９,35.682199,139.715492,新宿三つの木保育園もりさんかくしかく,認可,80,令和5年10月1日時点,,,
新宿区,新宿６丁目,-,新宿区新宿６－２７－５６　新宿スクエアビル２Ｆ,35.697053,139.709766,フロンティアキッズ新宿,認可,48,令和5年10月1日時点,,,
新宿区,新宿５丁目,-,新宿区新宿７－１６－８,35.692913,139.709008,きゃんばす東新宿保育園,認可,50,令和5年10月1日時点,,,
新宿区,西新宿５丁目,-,新宿区西新宿５－２－１　シティタワー新宿アネックス　シティタワー新宿２０３号室,35.695133,139.687085,ポピンズナーサリースクール西新宿,認可,60,令和5年10月1日時点,,,
新宿区,西新宿５丁目,-,新宿区西新宿５－５－１,35.693753,139.686943,グローバルキッズ西新宿園,認可,51,令和5年10月1日時点,,,
新宿区,西新宿６丁目,-,新宿区西新宿６－１１－３　Ｄタワー西新宿２Ｆ,35.694811,139.689912,アイグラン保育園西新宿,認可,46,令和5年10月1日時点,,,
新宿区,西新宿２丁目,-,新宿区西新宿６－７－３９,35.691346,139.69369,新宿成子坂愛育園,認可,130,令和5年10月1日時点,,,
新宿区,西新宿７丁目,-,新宿区西新宿７－１８－１　ＴＯＭＯＥビル２Ｆ,35.695601,139.696741,ルーチェ保育園　西新宿,認可,65,令和5年10月1日時点,,,
新宿区,西落合２丁目,-,新宿区西落合２－７－１６　伊勢光ビル２Ｆ・３Ｆ,35.720209,139.678527,キッズガーデン新宿西落合,認可,80,令和5年10月1日時点,,,
新宿区,西落合３丁目,-,新宿区西落合３－１９－９,35.725619,139.679342,グローバルキッズ西落合保育園,認可,96,令和5年10月1日時点,,,
新宿区,中落合２丁目,-,新宿区中落合２－７－２４,35.71794,139.69398,中落合第ニ保育園,認可,136,令和5年10月1日時点,,,
新宿区,中落合２丁目,-,新宿区中落合２－７－５,35.717894,139.694599,下落合そらいろ保育園,認可,80,令和5年10月1日時点,,,
新宿区,中落合３丁目,-,新宿区中落合３－２１－１０,35.720942,139.68691,ウィズブック保育園中落合,認可,66,令和5年10月1日時点,,,
新宿区,中落合４丁目,-,新宿区中落合４ー２５ー１９,35.719061,139.682156,新宿こだま保育園,認可,105,令和5年10月1日時点,,,
新宿区,下落合２丁目,-,新宿区下落合１－９－１０,35.717994,139.700072,キッズタウン下落合保育園,認可,131,令和5年10月1日時点,,,
新宿区,上落合１丁目,-,新宿区上落合１－１５－１３,35.71564,139.693192,ほっぺるランド上落合,認可,116,令和5年10月1日時点,,,
新宿区,上落合１丁目,-,新宿区上落合１－２６－１９,35.712729,139.691134,八幡神社愛育園,認可,76,令和5年10月1日時点,,,
新宿区,上落合１丁目,-,新宿区上落合１－５－２　羽場ビル,35.711285,139.691496,アイグラン保育園落合,認可,117,令和5年10月1日時点,,,
新宿区,中井２丁目,-,新宿区中井２－８－６,35.717675,139.686155,獅子吼保育園,認可,80,令和5年10月1日時点,,,
新宿区,早稲田鶴巻町,-,新宿区早稲田鶴巻町５７５－１　早稲田鶴巻町パーク・ホームズ１Ｆ,35.708885,139.727802,ほっぺるランド早稲田鶴巻町,認可,60,令和5年10月1日時点,,,
新宿区,早稲田南町,-,新宿区早稲田南町５０,35.705126,139.722282,早稲田南町保育園,認可,221,令和5年10月1日時点,,,
新宿区,戸山２丁目,-,新宿区戸山２－１８－１０１,35.702114,139.712283,戸山第ニ保育園,認可,111,令和5年10月1日時点,,,
新宿区,原町２丁目,-,新宿区原町２－４３,35.698879,139.723719,原町みゆき保育園,認可,160,令和5年10月1日時点,,,
新宿区,河田町,-,新宿区河田町１０－１３,35.697511,139.717811,至誠会保育園,認可,180,令和5年10月1日時点,,,
新宿区,河田町,-,新宿区河田町３－２９　プラウドフラット新宿河田町１Ｆ,35.696557,139.721489,フロンティアキッズ曙橋,認可,70,令和5年10月1日時点,,,
新宿区,市谷加賀町２丁目,-,新宿区市谷加賀町２－４－１８,35.696614,139.727463,にじいろ保育園市谷加賀町,認可,66,令和5年10月1日時点,,,
新宿区,市谷薬王寺町,-,新宿区市谷薬王寺町２０－４０,35.697957,139.72411,アスク薬王寺保育園,認可,74,令和5年10月1日時点,,,
新宿区,市谷台町,-,新宿区市谷台町１－３　モデラート１Ｆ,35.693167,139.720619,ニチイキッズ曙橋保育園,認可,65,令和5年10月1日時点,,,
新宿区,富久町,-,新宿区富久町２２－２１,35.694026,139.7157,富久町保育園,認可,164,令和5年10月1日時点,,,
新宿区,矢来町,-,新宿区矢来町９８－１　スキップビル１Ｆ,35.702302,139.734487,アスク神楽坂保育園,認可,79,令和5年10月1日時点,,,
新宿区,榎町,-,新宿区榎町４３－１　ユニゾ神楽坂ビル２・３Ｆ,35.704544,139.728652,ほっぺるランド神楽坂,認可,122,令和5年10月1日時点,,,
新宿区,東五軒町,-,新宿区東五軒町５－２４,35.706783,139.740135,東五軒町保育園,認可,174,令和5年10月1日時点,,,
新宿区,新小川町,-,新宿区新小川町１－８　こだまビル２F,35.70449,139.743289,太陽の子新小川町保育園,認可,64,令和5年10月1日時点,,,
新宿区,新小川町,-,新宿区新小川町４－１１,35.705599,139.743368,小学館アカデミー飯田橋ガーデン保育園,認可,60,令和5年10月1日時点,,,
新宿区,神楽坂４丁目,-,新宿区神楽坂４－８　神楽坂プラザビル１Ｆ,35.702586,139.739616,グローバルキッズ神楽坂園,認可,60,令和5年10月1日時点,,,
新宿区,市谷船河原町,-,新宿区市谷船河原町１　市ヶ谷エスワンビル２・３Ｆ,35.697225,139.739754,ぽけっとランド市ヶ谷保育園,認可,122,令和5年10月1日時点,,,
新宿区,南町,-,新宿区南町２０－３,35.698331,139.735046,アスク新宿南町保育園,認可,89,令和5年10月1日時点,,,
新宿区,払方町,-,新宿区払方町１９－１　エムジー市ヶ谷ビル２・３Ｆ,35.696648,139.734826,ポピンズナーサリースクール市ヶ谷,認可,80,令和5年10月1日時点,,,
新宿区,市谷本村町,-,新宿区市谷本村町２－１０　ストリーム市ヶ谷３Ｆ,35.690241,139.731557,ポピンズナーサリースクール四ッ谷,認可,61,令和5年10月1日時点,,,
新宿区,市谷長延寺町,-,新宿区市谷長延寺町８,35.694052,139.734282,長延保育園,認可,74,令和5年10月1日時点,,,
新宿区,早稲田町,-,新宿区弁天町５０,35.706174,139.723393,弁天町保育園,認可,148,令和5年10月1日時点,,,
新宿区,北山伏町,-,新宿区北山伏町１－２,35.699714,139.731971,ほっぺるランド牛込,認可,115,令和5年10月1日時点,,,
新宿区,西早稲田３丁目,-,新宿区西早稲田１－２－２,35.710388,139.715392,にじいろ保育園西早稲田,認可,67,令和5年10月1日時点,,,
新宿区,西早稲田３丁目,-,新宿区西早稲田１－９－３０,35.710388,139.715392,西早稲田保育園,認可,79,令和5年10月1日時点,,,
新宿区,西早稲田３丁目,-,新宿区西早稲田３－９－１４,35.710388,139.715392,ぴっころきっず西早稲田,認可,63,令和5年10月1日時点,,,
新宿区,大久保１丁目,-,新宿区大久保１－１６－２０,35.700615,139.70301,ほっぺるランド新大久保,認可,57,令和5年10月1日時点,,,
新宿区,大久保２丁目,-,新宿区大久保２－１１－５,35.70248,139.706885,エイビイシイ保育園,認可,90,令和5年10月1日時点,,,
新宿区,大久保３丁目,-,新宿区大久保３－１１－１,35.708421,139.70633,大久保第一保育園,認可,116,令和5年10月1日時点,,,
新宿区,大久保３丁目,-,新宿区大久保３－８－４　住友不動産新宿ガーデンタワーアネックス２Ｆ,35.709134,139.702857,にじいろ保育園高田馬場南,認可,20,令和5年10月1日時点,,,
新宿区,百人町２丁目,-,新宿区百人町２－１８－２１,35.703207,139.697519,百人町保育園,認可,85,令和5年10月1日時点,,,
新宿区,百人町２丁目,-,新宿区百人町２－２２－６,35.703207,139.697519,クオリスキッズおおくぼ保育園,認可,60,令和5年10月1日時点,,,
新宿区,百人町３丁目,-,新宿区百人町３－２１－１４,35.704883,139.699833,新栄保育園,認可,148,令和5年10月1日時点,,,
新宿区,新宿２丁目,-,新宿区北新宿２－４－１１,35.688919,139.707811,アスク北新宿保育園,認可,81,令和5年10月1日時点,,,
新宿区,北新宿３丁目,-,新宿区北新宿３－９－２０,35.702173,139.692673,ほっぺるランド北新宿,認可,72,令和5年10月1日時点,,,
新宿区,北新宿１丁目,-,新宿区北新宿４－２１－１４,35.701154,139.692414,東京母子愛育会保育園,認可,100,令和5年10月1日時点,,,
新宿区,高田馬場１丁目,-,新宿区高田馬場１－１６－２６,35.711067,139.707374,にじいろ保育園高田馬場東,認可,72,令和5年10月1日時点,,,
新宿区,高田馬場１丁目,-,新宿区高田馬場１－２４－１６　内田ビル１Ｆ,35.711784,139.705218,にじいろ保育園高田馬場西,認可,24,令和5年10月1日時点,,,
新宿区,高田馬場１丁目,-,新宿区高田馬場１－４－１７,35.711432,139.709537,高田馬場第ニ保育園,認可,105,令和5年10月1日時点,,,
新宿区,高田馬場３丁目,-,新宿区高田馬場３ー１ー５　花川第２ビル１・２Ｆ,35.714561,139.703523,保育所まぁむ高田馬場駅前園,認可,75,令和5年10月1日時点,,,
新宿区,高田馬場３丁目,-,新宿区高田馬場３－４０－３,35.712946,139.696309,オルト保育園,認可,122,令和5年10月1日時点,,,
江東区,毛利２丁目,-,江東区毛利二丁目１番１４号,35.690449,139.816554,江東区毛利保育園,認可,117,令和5年10月1日時点,,,
江東区,住吉１丁目,-,江東区住吉１－７－８,35.687976,139.811269,グローバルキッズ住吉園,認可,62,令和5年10月1日時点,,,
江東区,住吉２丁目,-,江東区住吉二丁目２５番９号,35.687684,139.81625,めばえ保育園,認可,125,令和5年10月1日時点,,,
江東区,猿江２丁目,-,江東区猿江２－６－３,35.686405,139.814427,キッズスマイル江東猿江,認可,72,令和5年10月1日時点,,,
江東区,猿江２丁目,-,江東区猿江一丁目８番１０号,35.686405,139.814427,江東区猿江保育園,認可,61,令和5年10月1日時点,,,
江東区,森下１丁目,-,江東区森下１－２－２,35.68656,139.796664,ゆめの森保育園,認可,61,令和5年10月1日時点,,,
江東区,森下３丁目,-,江東区森下３－１４－６,35.685972,139.803037,江東区森下保育園,認可,108,令和5年10月1日時点,,,
江東区,森下３丁目,-,江東区森下３－１８－１０,35.687151,139.803337,あゆみ保育園,認可,46,令和5年10月1日時点,,,
江東区,森下３丁目,-,江東区森下３－５－２６,35.686789,139.801649,太陽の子　森下三丁目保育園,認可,80,令和5年10月1日時点,,,
江東区,森下５丁目,-,江東区森下５－１１－２,35.684958,139.808862,グローバルキッズ森下五丁目園,認可,64,令和5年10月1日時点,,,
江東区,森下３丁目,-,江東区森下三丁目１０番７号,35.68653,139.801339,神愛保育園,認可,81,令和5年10月1日時点,,,
江東区,森下４丁目,-,江東区森下四丁目１０番８号,35.685968,139.806074,グローバルキッズ深川森下園（本園）,認可,90,令和5年10月1日時点,,,
江東区,新大橋２丁目,-,江東区新大橋２－１７－９,35.690009,139.794826,ワーカーズコープ　新大橋のびっこ保育園,認可,57,令和5年10月1日時点,,,
江東区,扇橋１丁目,-,江東区扇橋１－１５－３,35.682995,139.810837,保育園ミルキーウェイ清澄白河園,認可,51,令和5年10月1日時点,,,
江東区,扇橋１丁目,-,江東区扇橋１－２１－５,35.683912,139.812823,マミー保育園扇橋,認可,80,令和5年10月1日時点,,,
江東区,扇橋３丁目,-,江東区扇橋３－５－２,35.682401,139.819443,アソシエ住吉扇橋,認可,67,令和5年10月1日時点,,,
江東区,千田,-,江東区千田２２番８号,35.680591,139.816551,江東区千田保育園,認可,100,令和5年10月1日時点,,,
江東区,千石１丁目,-,江東区千石１－３－２６,35.677105,139.811409,チェリッシュナーサリースクール木場,認可,89,令和5年10月1日時点,,,
江東区,千石２丁目,-,江東区千石２－１０－６　２Ｆ,35.678512,139.816507,キッズスマイル江東千石,認可,67,令和5年10月1日時点,,,
江東区,東陽２丁目,-,江東区東陽２－２－１４,35.666517,139.815057,マミー保育園東陽町,認可,121,令和5年10月1日時点,,,
江東区,東陽２丁目,-,江東区東陽２－４－３９,35.669082,139.818223,さくらさくみらい新東陽,認可,73,令和5年10月1日時点,,,
江東区,東陽２丁目,-,江東区東陽２－４－８,35.668783,139.818104,さくらさくみらい東陽二丁目,認可,48,令和5年10月1日時点,,,
江東区,東陽３丁目,-,江東区東陽３－２２－１－１０１,35.669205,139.813716,江東区東陽保育園,認可,122,令和5年10月1日時点,,,
江東区,東陽３丁目,-,江東区東陽３－２７－３２,35.669776,139.815114,スターチス保育園,認可,81,令和5年10月1日時点,,,
江東区,東陽５丁目,-,江東区東陽５－２８－８,35.671802,139.814347,さくらさくみらい東陽町,認可,66,令和5年10月1日時点,,,
江東区,東陽３丁目,-,江東区東陽三丁目２３番２１号,35.669777,139.814444,テンダーラビング保育園東陽,認可,100,令和5年10月1日時点,,,
江東区,東陽２丁目,-,江東区東陽二丁目４番４６号２階,35.669128,139.819358,ほっぺるランド東陽町,認可,100,令和5年10月1日時点,,,
江東区,白河１丁目,-,江東区白河１－７－１,35.683146,139.799712,江東区白河保育園,認可,97,令和5年10月1日時点,,,
江東区,白河１丁目,-,江東区白河１－７－５　１階,35.682687,139.79967,グローバルキッズ白河一丁目園,認可,53,令和5年10月1日時点,,,
江東区,白河３丁目,-,江東区白河３－１０－８,35.683473,139.806228,小鳩保育園　清澄白河,認可,50,令和5年10月1日時点,,,
江東区,白河３丁目,-,江東区白河３－１－１１,35.68158,139.804409,グローバルキッズ清澄白河園,認可,81,令和5年10月1日時点,,,
江東区,白河４丁目,-,江東区白河４－９－２,35.683822,139.808667,まなびの森保育園白河,認可,170,令和5年10月1日時点,,,
江東区,白河１丁目,-,江東区白河一丁目５番１－１０１号,35.683364,139.80026,江東区白河かもめ保育園,認可,89,令和5年10月1日時点,,,
江東区,白河３丁目,-,江東区白河三丁目３番６号,35.681808,139.805829,子供の村保育園,認可,68,令和5年10月1日時点,,,
江東区,白河４丁目,-,江東区白河四丁目９番２５号,35.682868,139.806937,さんいく保育園清澄白河,認可,105,令和5年10月1日時点,,,
江東区,三好２丁目,-,江東区三好２－６－１１,35.67951,139.803477,さくらさくみらい三好,認可,64,令和5年10月1日時点,,,
江東区,三好３丁目,-,江東区三好３－２－１１,35.680001,139.805375,アンジェリカ白河,認可,61,令和5年10月1日時点,,,
江東区,平野１丁目,-,江東区平野１－３－１０,35.678381,139.799401,グローバルキッズ平野園,認可,64,令和5年10月1日時点,,,
江東区,清澄１丁目,-,江東区清澄１－７－１２,35.68277,139.794253,おはよう保育園　清澄白河,認可,60,令和5年10月1日時点,,,
江東区,清澄３丁目,-,江東区清澄３－１０－５,35.68308,139.797383,うぃず清澄白河駅前保育園,認可,70,令和5年10月1日時点,,,
江東区,深川１丁目,-,江東区深川１－６－１５－１０１,35.677343,139.796406,江東区深川一丁目保育園,認可,80,令和5年10月1日時点,,,
江東区,冬木,-,江東区冬木１１－１７　イシマビル１．２階,35.673521,139.80008,もんなかほうゆう保育園,認可,45,令和5年10月1日時点,,,
江東区,冬木,-,江東区冬木１－５,35.673155,139.80024,ナーサリールームベリーベアー深川冬木,認可,225,令和5年10月1日時点,,,
江東区,冬木,-,江東区冬木１６番７号,35.674941,139.801271,まこと保育園,認可,99,令和5年10月1日時点,,,
江東区,木場１丁目,-,江東区木場１－４－５,35.668615,139.804756,スマイルクラブナーサリー木場,認可,46,令和5年10月1日時点,,,
江東区,木場１丁目,-,江東区木場１－４－７,35.668671,139.804265,さくらさくみらい木場,認可,57,令和5年10月1日時点,,,
江東区,木場２丁目,-,江東区木場２－１３－１７,35.671321,139.804356,タムスわんぱく保育園木場,認可,82,令和5年10月1日時点,,,
江東区,木場４丁目,-,江東区木場４－１－６５,35.672782,139.809351,ＭＩＷＡ木場公園保育園,認可,130,令和5年10月1日時点,,,
江東区,木場５丁目,-,江東区木場５－８－３,35.670724,139.807896,グレース保育園,認可,66,令和5年10月1日時点,,,
江東区,木場１丁目,-,江東区木場一丁目３番５号,35.668679,139.802494,アゼリヤ保育園,認可,80,令和5年10月1日時点,,,
江東区,塩浜１丁目,-,江東区塩浜１－４－４６,35.663773,139.802136,聖華しおかぜ保育園,認可,120,令和5年10月1日時点,,,
江東区,塩浜２丁目,-,江東区塩浜２－１４－５,35.66233,139.809151,キッズスマイル江東塩浜,認可,93,令和5年10月1日時点,,,
江東区,塩浜２丁目,-,江東区塩浜２－６－２,35.660957,139.807872,ＬＩＦＥ　ＳＣＨＯＯＬ　塩浜　こどものいえ,認可,80,令和5年10月1日時点,,,
江東区,塩浜２丁目,-,江東区塩浜２－６－３,35.660893,139.808651,江東区塩崎保育園,認可,127,令和5年10月1日時点,,,
江東区,塩浜１丁目,-,江東区塩浜一丁目３番１０号,35.663487,139.800772,江東区塩浜保育園,認可,129,令和5年10月1日時点,,,
江東区,越中島２丁目,-,江東区越中島２－１－３０,35.665077,139.794979,太陽の子越中島,認可,54,令和5年10月1日時点,,,
江東区,越中島２丁目,-,江東区越中島２－１－３２,35.664889,139.79554,ポピンズナーサリースクール越中島,認可,50,令和5年10月1日時点,,,
江東区,古石場２丁目,-,江東区古石場２－１４－１－１０２,35.667216,139.798762,江東区古石場保育園,認可,125,令和5年10月1日時点,,,
江東区,富岡１丁目,-,江東区富岡１－４－１０　１Ｆ,35.670505,139.797849,富岡クローバー保育園,認可,46,令和5年10月1日時点,,,
江東区,富岡２丁目,-,江東区富岡２－１１－１４,35.670495,139.801619,さくらさくみらい富岡,認可,68,令和5年10月1日時点,,,
江東区,富岡２丁目,-,江東区富岡2-9-11　Tokyo Monnaka Village３F,35.672032,139.801918,コスモス江東富岡保育園,認可,79,令和5年10月1日時点,,,
江東区,富岡１丁目,-,江東区富岡一丁目１４番１７号,35.672765,139.796826,アスクもんなか保育園,認可,90,令和5年10月1日時点,,,
