,,,,,,,
指標名,スポーツ施設,,,,,,
出典,NAVITIME,,,,,,
年次,2024/01/12取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,(2021年度：912件、2022年度：959件、2023年度：1422件),,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
千代田区,外神田2丁目,-,東京都千代田区外神田2-5-12 タカラビル1F-B1,エニタイムフィットネス 秋葉原店,スポーツクラブ/フィットネスクラブ,35.700219,139.7689818
千代田区,麹町4丁目,-,東京都千代田区麹町4-8 麹町クリスタルシティ 1F,エニタイムフィットネス 麹町店,スポーツクラブ/フィットネスクラブ,35.6844535,139.7371413
千代田区,内神田1丁目,-,東京都千代田区内神田1-15-2 神田オーシャンビル B1F,エニタイムフィットネス 内神田店,スポーツクラブ/フィットネスクラブ,35.6915859,139.765787
千代田区,飯田橋4丁目,-,東京都千代田区飯田橋4丁目4-7 1F,サナーレ(sanare),スポーツクラブ/フィットネスクラブ,35.7005983,139.746502
千代田区,神田和泉町1丁目,-,東京都千代田区神田和泉町1-8-2 八木ビル102,ファイトフィット秋葉原,スポーツクラブ/フィットネスクラブ,35.699687,139.7770495
千代田区,神田駿河台2丁目,-,東京都千代田区神田駿河台2-10-6 VORT御茶ノ水 BF,Private Practice Range(プライベート プラクティス レンジ),ゴルフ練習場,35.6988349,139.7641942
千代田区,神田三崎町2丁目,-,東京都千代田区神田三崎町2-17-2 日宝水道橋ビル B1F,GRIT FIGHT SHOP(グリット ファイト ショップ),スポーツ用品/スポーツウェア,35.7012894,139.7534088
千代田区,東神田2丁目,-,東京都千代田区東神田2-10-15 REID-C東神田ビル 1F,ACTEK GOLF(アクテック ゴルフ),ゴルフショップ,35.6955368,139.7812861
千代田区,岩本町1丁目,-,東京都千代田区岩本町1-9-1 アイアンビルヂング 5F,ボクシングスタジオTRINITY(トリニティ),スポーツクラブ/フィットネスクラブ,35.6925469,139.777379
千代田区,神田須田町1丁目,-,東京都千代田区神田須田町1-24 AKビル 1F,ダイビングショップ アクオス,スポーツ用品/スポーツウェア,35.6948347,139.7709387
千代田区,神田神保町2丁目,-,東京都千代田区神田神保町2-14 SP神保町ビル 1F,さかいやスポーツ シューズ館,その他靴店,35.6966056,139.7574214
千代田区,神田神保町2丁目,-,東京都千代田区神田神保町2-44,さかいやスポーツ モンベルルーム,アウトドア用品,35.6981627,139.7560861
千代田区,神田岩本町1丁目,-,東京都千代田区神田岩本町1-20 窪田ビル 2F,WIN & WIN(ウイン アンド ウイン) 東京ショールーム,スポーツ用品/スポーツウェア,35.6962196,139.775093
千代田区,富士見2丁目,-,東京都千代田区富士見2-10-2 飯田橋グラン・ブルーム サクラテラス 1F,セントラルスポーツ ジムスタ 飯田橋サクラテラス,スポーツクラブ/フィットネスクラブ,35.6989789,139.7436278
千代田区,神田神保町2丁目,-,東京都千代田区神田神保町2-48,さかいやスポーツ ウェア館,その他洋服/洋品,35.6983465,139.75653
千代田区,永田町2丁目,赤坂,東京都千代田区永田町2-13-10 プルデンシャルタワー2F,スポーツクラブNAS 赤坂店,スポーツクラブ/フィットネスクラブ,35.6759214,139.7385782
千代田区,東神田1丁目,-,東京都千代田区東神田1-2-11 アガタ竹澤ビル 404,Run boys! Run girls!(ラン ボーイズ ラン ガールズ),スポーツ用品/スポーツウェア,35.6934282,139.7807642
千代田区,内神田2丁目,-,東京都千代田区内神田2-10-7 プレミアステージ内神田2F,ジムセントラル24神田,スポーツクラブ/フィットネスクラブ,35.6911281,139.7678684
千代田区,神田多町2丁目,-,東京都千代田区神田多町2-2-2 神田21ビル 1F,つるやゴルフ 神田駅前店,ゴルフショップ,35.692986,139.7700401
千代田区,内神田1丁目,-,東京都千代田区内神田1-11-4 藤吉ビル B1,NGCニューゴルフクリニック,ゴルフ練習場,35.6910005,139.7660266
千代田区,丸の内1丁目,大丸有,東京都千代田区丸の内1-4-1 丸の内永楽ビルディング 1F,THE NORTH FACE FLIGHT TOKYO(ザ ノース フェイス フライト トウキョウ),スポーツ用品/スポーツウェア,35.6842777,139.7650482
千代田区,内神田2丁目,-,東京都千代田区内神田2-4-2 グローバルビル 1F,PRO SHOP HANDBALL7(プロ ショップ ハンドボールセブン) 神田本店,スポーツ用品/スポーツウェア,35.6899846,139.7685026
千代田区,富士見2丁目,-,東京都千代田区富士見2-6-12 AMビル 2F,Peak Conditioning(ピーク コンディショニング),スポーツクラブ/フィットネスクラブ,35.7009143,139.7458647
千代田区,九段北1丁目,-,東京都千代田区九段北1-11-4 井門九段下ビル B1F,GolFair(ゴルフェア),ゴルフ練習場,35.6968068,139.751173
千代田区,神田神保町1丁目,-,東京都千代田区神田神保町1-42-12,Hi-GOLD TOKYO BASE(ハイ ゴールド トウキョウ ベース),スポーツ用品/スポーツウェア,35.6977835,139.7581901
千代田区,神田神保町2丁目,-,東京都千代田区神田神保町2-20,さかいやスポーツ キャンプ&クライミング館,アウトドア用品,35.6967846,139.7566657
千代田区,丸の内1丁目,大丸有,東京都千代田区丸の内1-5-1 新丸の内ビルディング(新丸ビル)4F,ラグビープラス カンタベリー 新丸の内ビルディング店,スポーツ用品/スポーツウェア,35.6826212,139.7642436
千代田区,神田神保町1丁目,-,東京都千代田区神田神保町1-6-1タキイ東京ビル1F,石井スポーツ カンダコンペカン,スポーツ用品/スポーツウェア,35.6963701,139.759338
千代田区,銀座4丁目,-,東京都中央区銀座4-1 NISHIGINZA B1F,CW-X コンディショニングストア NISHIGINZA店,スポーツ用品/スポーツウェア,35.6730197,139.7634509
千代田区,神田小川町2丁目,-,東京都千代田区神田小川町2-3 松岡ビル 1F,ロンドン・スポーツ 神田店,スポーツ用品/スポーツウェア,35.6941549,139.7644792
千代田区,銀座4丁目,-,東京都中央区銀座4-1 NISHIGINZA B1F,ラウレア 西銀座店,スポーツ用品/スポーツウェア,35.6730197,139.7634509
千代田区,丸の内1丁目,大丸有,東京都千代田区丸の内1-6-1 丸の内センタービルディング 1F,Bridgestone Golf Garden Tokyo(ブリヂストン ゴルフ ガーデン トウキョウ),ゴルフ練習場,35.6840793,139.7658641
千代田区,丸の内1丁目,大丸有,東京都千代田区丸の内1-5-1 新丸の内ビルディング(新丸ビル)4F,ZOY Premier(ゾーイ プレミア) 新丸の内ビルディング店,ゴルフショップ,35.6826212,139.7642436
千代田区,丸の内1丁目,大丸有,東京都千代田区丸の内1-8-2 鉄鋼ビルディング南館5F,THE JEXER TOKYO Annex(ジェクサートウキョウアネックス),スポーツクラブ/フィットネスクラブ,35.6822728,139.7698005
千代田区,丸の内1丁目,大丸有,東京都千代田区丸の内1-9-1 大丸東京店 11F,Heal Creek & MUNITALP(ヒール クリーク アンド ムニタルプ) 大丸東京店,ゴルフショップ,35.6815527,139.7689401
千代田区,神田小川町3丁目,-,東京都千代田区神田小川町3-14-3,MONTURA TOKYO(モンチュラ トウキョウ),スポーツ用品/スポーツウェア,35.6967438,139.7606994
千代田区,丸の内1丁目,大丸有,東京都千代田区丸の内1-9-1 大丸東京店 11F,ビームス ゴルフ 大丸東京店,ゴルフショップ,35.6815527,139.7689401
千代田区,神田東紺屋町,-,東京都千代田区神田東紺屋町30 サンハイツ神田キタムラビル3F,24/7Workout(ワークアウト) 秋葉原・神田店,スポーツクラブ/フィットネスクラブ,35.6930293,139.7745643
千代田区,有楽町1丁目,大丸有,東京都千代田区有楽町1-1-2 TOKYO MIDTOWN HIBIYA内,NEUTRALWORKS.HIBIYA(ニュートラルワークスヒビヤ) 東京ミッドタウン日比谷店,スポーツ用品/スポーツウェア,35.6737436,139.7591762
千代田区,大手町1丁目,大丸有,東京都千代田区大手町1-8-1 KDDI大手町ビル2F,ゴルフテック 大手町,ゴルフ練習場,35.687887,139.7642969
千代田区,神田神保町1丁目,-,東京都千代田区神田神保町1-24,KANDAHAR 本店,スキー/スノボショップ,35.6972735,139.7594013
千代田区,丸の内3丁目,大丸有,東京都千代田区丸の内3-3-1 新東京ビル 1F,イワタヤ,ゴルフショップ,35.677514,139.7624926
千代田区,神田小川町3丁目,-,東京都千代田区神田小川町3-6-8 伸幸ビル 1F,H.L.N.A STORE Ochanomizu(エイチエルエヌエー ストア オチャノミズ),スポーツ用品/スポーツウェア,35.6954106,139.7619348
千代田区,神田小川町2丁目,-,東京都千代田区神田小川町2-3-13,FUSO-SNOWBOARD(フソウ スノーボード) ギア館,スポーツ用品/スポーツウェア,35.6941549,139.7644792
千代田区,丸の内2丁目,大丸有,東京都千代田区丸の内2-5-2 三菱ビル地下 1F,ASICS RUN TOKYO MARUNOUCHI(アシックス ラン トウキョウマルノウチ),スポーツクラブ/フィットネスクラブ,35.6798789,139.7638003
千代田区,丸の内3丁目,大丸有,東京都千代田区丸の内3-2-3 二重橋スクエア1F,Goldwin Marunouchi(ゴールドウィン丸の内),スポーツ用品/スポーツウェア,35.6778127,139.7613388
千代田区,紀尾井町7丁目,-,東京都千代田区紀尾井町7-1,上智大学真田堀運動場,スポーツ施設/運動公園,35.6841965,139.7327535
千代田区,内神田2丁目,-,東京都千代田区内神田2-3-9 翔和第7神田ビル B1,Body Produce AXIS 大手町店,スポーツクラブ/フィットネスクラブ,35.6897929,139.7679859
千代田区,外神田5丁目,-,東京都千代田区外神田5-6-2,BICI AMORE CYCLE JERSEY(ビチ アモーレ サイクル ジャージー) 外神田店,スポーツ用品/スポーツウェア,35.7032738,139.7726414
千代田区,一ツ橋1丁目,-,東京都千代田区一ツ橋1-1-1 パレスサイドビル1F,Run Pit by au Smart Sports(ランピット バイ エーユー スマート スポーツ),スポーツ施設/運動公園,35.6909195,139.7574614
千代田区,紀尾井町1丁目,-,東京都千代田区紀尾井町1-2,SPA & FITNESS KIOI(スパ アンド フィットネス キオイ),スポーツクラブ/フィットネスクラブ,35.6799364,139.7379442
千代田区,外神田1丁目,-,東京都千代田区外神田1-7-5 フロントプレイス秋葉原 1F,YONEX FITTING STUDIO AKIHABARA(ヨネックス フィッティング スタジオ アキハバラ),スポーツ用品/スポーツウェア,35.6995532,139.7699603
千代田区,日比谷公園1丁目,-,東京都千代田区日比谷公園1-5,SPORTS STATION Hibiya Park(スポーツ ステーション ヒビヤ パーク),スポーツ施設/運動公園,35.6723724,139.7540077
千代田区,神田小川町2丁目,-,東京都千代田区神田小川町2-3-3 神田小川町SKYビルディング 1F,FUSO SKI&BOOTSTUNE(フソウ スキー アンド ブーツチューン),スポーツ用品/スポーツウェア,35.6940917,139.7642096
千代田区,神田駿河台4丁目,-,東京都千代田区神田駿河台4-3 お茶の水サンクレール 1F,Dr.stretch(ドクター ストレッチ) お茶の水店,スポーツクラブ/フィットネスクラブ,35.69903,139.7648086
千代田区,丸の内1丁目,大丸有,東京都千代田区丸の内1-9-1 11F,St ANDREWS(セント アンドリュース) 大丸東京店,ゴルフショップ,35.6798702,139.7675145
千代田区,神田小川町2丁目,-,東京都千代田区神田小川町2-3-12,FUSO-SNOWBOARD(フソウ スノーボード) ウエア&アクセ館,スポーツ用品/スポーツウェア,35.6941884,139.7646129
千代田区,神田須田町1丁目,-,東京都千代田区神田須田町1-18 5F,体育・スポーツ家庭教師ファースト 東京本社,スポーツスクール/体験,35.6953125,139.7710751
千代田区,相生町,-,東京都千代田区相生町1 センタープレイスビル B1F,BurnesStyle AKIHABARA(バーネススタイル アキハバラ),スポーツクラブ/フィットネスクラブ,35.6992908,139.7739578
千代田区,九段南4丁目,-,東京都千代田区九段南4-3-13 麹町秀永ビル B1F,クラヴマガ 市ヶ谷トレーニングセンター,スポーツクラブ/フィットネスクラブ,35.6917606,139.740115
千代田区,丸の内1丁目,大丸有,東京都千代田区丸の内1-9-1 大丸東京店11F,adabat(アダバット) 大丸東京店,スポーツ用品/スポーツウェア,35.6815527,139.7689401
千代田区,一番町6丁目,-,東京都千代田区一番町6-8 B1F,GOLF FUNP(ゴルフ ファンプ),ゴルフ練習場,35.6875457,139.7417991
