指標名,ミシュラン掲載レストラン,,,,,,,3つ星,特別な料理,
港区,南青山１丁目,-,東京都港区南青山1-23-12,35.66670,139.72490,乃木坂 結／Nogizaka yui,中国料理,,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nogizaka-yui
港区,白金台５丁目,-,東京都港区白金台5-17-9B1F,35.63744,139.72316,天ぷら 銀屋／Tempura Ginya,天ぷら,2つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tempura-ginya
渋谷区,富ケ谷２丁目,-,東京都渋谷区富ヶ谷2-22-5,35.66291,139.68477,七草／Nanakusa,日本料理,1つ星,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nanakusa
港区,虎ノ門５丁目,虎ノ門,東京都港区虎ノ門5-3-3,35.66268,139.74427,空花／Sorahana,日本料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sorahana
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-1-1帝国ホテル東京本館MF,35.67246,139.75844,レ セゾン／Les Saisons,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/les-saisons-1194250
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町2-10-116F,35.68557,139.78399,江戸前 晋作／Edomae Shinsaku,天ぷら,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/edomae-shinsaku
千代田区,平河町２丁目,-,東京都千代田区平河町2-5-7B1F,35.67969,139.73871,ヌー トウキョウ／Nœud. TOKYO,"フランス料理, 現代風料理",1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/n%C5%93ud-tokyo
新宿区,若宮町,-,東京都新宿区若宮町35-4,35.69947,139.73827,懐石 小室／Kaiseki Komuro,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kaiseki-komuro
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3-2-3二重橋スクエア2F,35.67769,139.76166,ヤウメイ／YAUMAY,"中国料理, 飲茶",,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yaumay
港区,元麻布３丁目,-,東京都港区元麻布3-12-41,35.65639,139.73178,一平飯店／Ippei Hanten,中国料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ippei-hanten
中央区,銀座７丁目,-,東京都中央区銀座7-5-5,35.66967,139.76120,ロオジエ／L'OSIER,"フランス料理, 現代風料理",3つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-osier
港区,南麻布４丁目,-,東京都港区南麻布4-12-4,35.64746,139.72422,日日の料理 びおら／Hibinoryori Viola,日本料理,,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/hibinoryori-viola
港区,南青山４丁目,-,東京都港区南青山4-16-3,35.66601,139.71713,ラス／L'AS,"フランス料理, 現代風料理",ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-as
港区,東麻布１丁目,-,東京都港区東麻布1-20-3,35.65577,139.74333,クローニー／Crony,"フランス料理, 現代風料理",2つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/crony-1194937
中央区,銀座７丁目,-,東京都中央区銀座7-3-85F,35.67015,139.76058,鮨 こじま／Sushi Kojima,寿司,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-kojima
港区,北青山２丁目,-,東京都港区北青山2-12-275F,35.66965,139.71544,鮨 将司／Sushi Masashi,寿司,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-masashi
港区,南青山４丁目,-,東京都港区南青山4-11-2,35.66606,139.71812,伯雲／Hakuun,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/hakuun
港区,南青山２丁目,-,東京都港区南青山2-11-11,35.67129,139.72088,鮨 龍次郎／Sushi Ryujiro,寿司,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-ryujiro
港区,南青山２丁目,-,東京都港区南青山2-14-152F,35.67027,139.72017,慈華／itsuka,中国料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/itsuka
中央区,銀座８丁目,-,東京都中央区銀座8-18-6,35.66599,139.76504,手打ち蕎麦 成冨／Teuchisoba Narutomi,蕎麦,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/teuchisoba-narutomi
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-1-1帝国ホテル東京タワー館B1F,35.67238,139.75833,寅黒／Torakuro,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/torakuro
千代田区,外神田３丁目,-,東京都千代田区外神田3-6-8,35.70283,139.76991,いし橋／Ishibashi,すき焼,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ishibashi
新宿区,神楽坂１丁目,-,東京都新宿区神楽坂1-11-8,35.70035,139.74205,中国菜 膳楽房／Chugokusai Zen Raku Bou,中国料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/chugokusai-zenrakubo
港区,新橋２丁目,虎ノ門広域,東京都港区新橋2-20-15新橋駅前ビル1号館1F,35.66621,139.75954,はるちゃんラーメン／HARU CHAN Ramen,ラーメン,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/haru-chan-ramen
港区,西麻布１丁目,-,東京都港区西麻布1-4-23,35.66150,139.72390,西麻布 大竹／Nishiazabu Otake,日本料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nishiazabu-otake
港区,赤坂６丁目,赤坂,東京都港区赤坂6-4-15,35.67022,139.73438,コム・ア・ラ・メゾン／COMME À LA MAISON,フランス料理,,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/comme-a-la-maison
中央区,銀座６丁目,-,東京都中央区銀座6-5-154F,35.67116,139.76202,茂松／SHIGEMATSU,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/shigematsu
中央区,銀座１丁目,-,東京都中央区銀座1-14-67F,35.67300,139.76979,おにく 花柳／Oniku Karyu,牛肉料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/oniku-karyu
中央区,銀座５丁目,-,東京都中央区銀座5-4-69F,35.67169,139.76335,エスキス／ESqUISSE,"フランス料理, 現代風料理",2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/esquisse
中央区,銀座５丁目,-,東京都中央区銀座5-4-8B1F,35.67140,139.76308,銀座 奥田／GINZA OKUDA,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ginza-okuda
港区,赤坂６丁目,赤坂,東京都港区赤坂6-3-9,35.67072,139.73567,炭火割烹 白坂／Sumibikappo SHIROSAKA,日本料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sumibikappo-shirosaka
新宿区,高田馬場２丁目,-,東京都新宿区高田馬場2-13-9,35.71296,139.70749,とんかつ ひなた／Tonkatsu Hinata,とんかつ,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tonkatsu-hinata
新宿区,下落合３丁目,-,東京都新宿区下落合3-21-5,35.72263,139.70103,蕎麦 おさめ／Soba Osame,蕎麦,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/soba-osame
港区,南麻布４丁目,-,東京都港区南麻布4-2-34,35.64751,139.72401,青草窠／Seisoka,日本料理,2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/seisoka
港区,麻布台３丁目,-,東京都港区麻布台3-4-11,35.66060,139.73900,シリーズ／Series,中国料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/series
渋谷区,代々木４丁目,-,東京都渋谷区代々木4-1-6,35.67915,139.69375,ロク／roku,フランス料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/roku
新宿区,荒木町,-,東京都新宿区荒木町3-22,35.68889,139.72258,車力門 ちゃわんぶ／Sharikimon Chawambu,とんかつ,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sharikimon-chawambu
港区,六本木３丁目,六本木,東京都港区六本木3-1-1六本木ティーキューブ1F,35.66558,139.73815,エディション・コウジ シモムラ／Édition Koji Shimomura,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/edition-koji-shimomura
港区,白金５丁目,-,東京都港区白金5-7-8,35.64464,139.72782,鮨 まつうら／Sushi Matsuura,寿司,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-matsuura
港区,白金台５丁目,-,東京都港区白金台5-17-11,35.63759,139.72328,ルカンケ／REQUINQUER,フランス料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/requinquer
中央区,銀座７丁目,-,東京都中央区銀座7-3-13B1F,35.67012,139.76007,蓮 三四七／Ren Mishina,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ren-mishina
新宿区,横寺町,-,東京都新宿区横寺町37-39,35.70120,139.73633,梅香／Meishan,中国料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/meishan
江東区,富岡１丁目,-,東京都江東区富岡1-24-11,35.67035,139.79851,トラットリア ブカ・マッシモ／TRATTORIA BUCA'MASSIMO,イタリア料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/trattoria-buca-massimo
港区,三田３丁目,-,東京都港区三田3-3-22F,35.64731,139.74363,焼鳥 嘉とう／Yakitori Kato,焼鳥,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yakitori-kato
港区,西新橋１丁目,虎ノ門,東京都港区西新橋1-23-7,35.66815,139.75157,新ばし 笹田／Shimbashi Sasada,日本料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/shimbashi-sasada
中央区,銀座１丁目,-,東京都中央区銀座1-21-2,35.67276,139.77114,ラ・ベットラ・ダ・オチアイ／LA BETTOLA da Ochiai,イタリア料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/la-bettola-da-ochiai
港区,赤坂８丁目,赤坂,東京都港区赤坂8-11-19,35.66844,139.72905,乃木坂 しん／Nogizaka Shin,日本料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nogizaka-shin
中央区,東日本橋２丁目,-,東京都中央区東日本橋2-8-1,35.69317,139.78559,ミル／mille,フランス料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/mille-1194183
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-3-1フォレストタワー2F,35.66344,139.74918,醍醐／Daigo,精進料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/daigo
港区,西麻布４丁目,-,東京都港区西麻布4-18-20,35.65833,139.71879,西麻布 鮨 真／Nishiazabu Sushi Shin,寿司,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nishiazabu-sushi-shin
港区,東麻布２丁目,-,東京都港区東麻布2-19-2,35.65671,139.74255,ユヌ パンセ／UNE PINCÉE,フランス料理,,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/une-pincee
中央区,日本橋兜町,-,東京都中央区日本橋兜町8-1,35.68182,139.77808,ネキ／Neki,"フランス料理, 現代風料理",,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/neki
中央区,日本橋浜町３丁目,-,東京都中央区日本橋浜町3-7-3,35.68401,139.78827,浜町 かねこ／Hamacho Kaneko,蕎麦,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/hamacho-kaneko
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1-13,35.68033,139.73589,紀尾井町 福田家／Kioicho Fukudaya,日本料理,2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kioicho-fukudaya
中央区,銀座８丁目,-,東京都中央区銀座8-8-195F,35.66853,139.76157,銀座 福樹／Ginza Fukuju,日本料理,2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ginza-fukuju
港区,白金台５丁目,-,東京都港区白金台5-17-10,35.63754,139.72314,アルシミスト／Alchimiste,"フランス料理, 現代風料理",1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/alchimiste
港区,虎ノ門５丁目,虎ノ門,東京都港区虎ノ門5-10-7麻布台ヒルズガーデンプラザD2F,35.66160,139.74356,フロリレージュ／Florilège,フランス料理,2つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/florilege
渋谷区,西原３丁目,-,東京都渋谷区西原3-2-3,35.67040,139.68257,ジーテン／jeeten,中国料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/jeeten
中央区,日本橋人形町３丁目,-,東京都中央区日本橋人形町3-4-11,35.68622,139.78122,かつ好／Katsuyoshi,とんかつ,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/katsuyoshi
中央区,銀座５丁目,-,東京都中央区銀座5-6-105F,35.67073,139.76364,ぎんざ かつかみ／Ginza Katsukami,とんかつ,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ginza-katsukami
港区,元赤坂１丁目,赤坂,東京都港区元赤坂1-5-8B1F,35.67738,139.73363,懐石 辻留／Kaiseki Tsujitome,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kaiseki-tsujitome
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2-3-18,35.67321,139.71270,傳／Den,日本料理,2つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/den
新宿区,神楽坂４丁目,-,東京都新宿区神楽坂4-3-112F,35.70199,139.74003,ふしきの／FUSHIKINO,日本料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/fushikino
港区,六本木６丁目,六本木,東京都港区六本木6-12-2六本木ヒルズレジデンスB棟3F,35.65871,139.72905,すきやばし 次郎 六本木店／Sukiyabashi Jiro Roppongiten,寿司,2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sukiyabashi-jiro-roppongiten
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門1-11-5B1F,35.66879,139.75038,シャルキュ／CHARCUT,フランス料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/charcut
渋谷区,千駄ケ谷３丁目,-,東京都渋谷区千駄ヶ谷3-7-13B1F,35.67697,139.70436,シンシア／Sincère,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sincere
千代田区,外神田１丁目,-,東京都千代田区外神田1-8-14,35.69913,139.76971,丸五／Marugo,とんかつ,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/marugo
渋谷区,恵比寿１丁目,-,東京都渋谷区恵比寿1-24-10,35.64661,139.71546,イル バロンドーロ／IL BALLOND'ORO,イタリア料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/il-ballond-oro
新宿区,荒木町,-,東京都新宿区荒木町16,35.69128,139.72475,曙橋 かず／Akebonobashi Kazu,日本料理,,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/akebonobashi-kazu
千代田区,神田小川町２丁目,-,東京都千代田区神田小川町2-8,35.69490,139.76397,ポンチ軒／Ponchiken,とんかつ,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ponchiken
港区,麻布十番３丁目,-,東京都港区麻布十番3-7-5,35.65361,139.73508,麻布十番 ふくだ／Azabujuban Fukuda,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/azabujuban-fukuda
港区,赤坂６丁目,赤坂,東京都港区赤坂6-11-10,35.66964,139.73485,ワキヤ 一笑美茶樓／Wakiya Ichiemicharo,中国料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/wakiya-ichiemicharo
新宿区,神楽坂４丁目,-,東京都新宿区神楽坂4-3-7,35.70175,139.74012,ルグドゥノム ブション リヨネ／LUGDUNUM Bouchon Lyonnais,フランス料理,,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/lugdunum-bouchon-lyonnais
渋谷区,代々木５丁目,-,東京都渋谷区代々木5-55-7,35.67787,139.69237,ロス レイエス マーゴス／Los Reyes Magos,スペイン料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/los-reyes-magos
港区,赤坂９丁目,六本木,東京都港区赤坂9-7-1ザ・リッツ・カールトン東京45F,35.66594,139.73118,エリタージュ バイ ケイ コバヤシ／Héritage by Kei Kobayashi,"フランス料理, 現代風料理",,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/heritage-by-kei-kobayashi
港区,南青山３丁目,-,東京都港区南青山3-10-402F,35.66644,139.71433,ミモザ／MIMOSA,中国料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/mimosa-1194182
中央区,銀座７丁目,-,東京都中央区銀座7-6-52F,35.66970,139.76199,銀座 安達直人／Ginza Adachi Naoto,日本料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/adachi-naoto
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1-30-12,35.64848,139.70569,アビス／abysse,"フランス料理, 現代風料理",1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/abysse
品川区,小山３丁目,-,東京都品川区小山3-22-7,35.61882,139.70644,もち豚とんかつ たいよう／Mochibuta Tonkatsu Taiyo,とんかつ,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/mochibuta-tonkatsu-taiyo
港区,六本木６丁目,六本木,東京都港区六本木6-10-1六本木ヒルズヒルサイド2F,35.66040,139.72905,ラトリエ ドゥ ジョエル・ロブション／L'ATELIER de Joël Robuchon,"フランス料理, 現代風料理",1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-atelier-de-joel-robuchon-1194216
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-9-4B1F,35.67494,139.76101,アピシウス／APICIUS,フランス料理,,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/apicius-1209867
中央区,築地１丁目,-,東京都中央区築地1-5-11B1F,35.67023,139.77168,プリモ パッソ／PRIMO PASSO,イタリア料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/primo-passo
港区,西麻布２丁目,-,東京都港区西麻布2-2-2,35.66417,139.72027,田中田 西麻布店／Tanakada Nishiazabuten,居酒屋,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tanakada-nishiazabuten
