指標名,ミシュラン掲載レストラン,,,,,,,3つ星,特別な料理,
出典,ミシュランガイド東京 2023,,,,,,,2つ星,優れた料理,
年次,2023年,,,,,,,1つ星,高品質な料理,
URL,https://clubmichelin.jp/search/restaurant/?rg=1,,,,,,,ビブグルマン,価格以上の満足感が得られる料理,
備考,（2019年：318件、2020年：322件、2022年度：318件、2023年度：400件*）,,,,,,,,,
,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,店舗名,カテゴリ,星数,価格帯,URL
渋谷区,広尾５丁目,-,東京都渋谷区広尾5-19-7,35.64907,139.72029,ポンテ デル ピアット／PONTE DEL PIATTO,イタリア料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ponte-del-piatto
港区,白金台４丁目,-,東京都港区白金台4-9-23B1F,35.63831,139.72337,ラリューム／L'allium,フランス料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-allium
中央区,銀座７丁目,-,東京都中央区銀座7-2-183F,35.67065,139.75999,鮨處 やまだ／Sushidokoro Yamada,寿司,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushidokoro-yamada
港区,南青山７丁目,-,東京都港区南青山7-12-12B1F,35.65784,139.71847,スダチ／Sudachi,日本料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sudachi
中央区,築地２丁目,-,東京都中央区築地2-14-2,35.66776,139.77061,天麩羅 なかがわ／Tempura Nakagawa,天ぷら,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tempura-nakagawa
渋谷区,東３丁目,-,東京都渋谷区東3-15-8,35.65025,139.70968,ビストロエビス／Bistro YEBISU,フランス料理,,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/bistro-yebisu
港区,白金台３丁目,-,東京都港区白金台3-18-42F,35.63528,139.72082,クロデグルメ／Clos Des Gourmets,フランス料理,,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/clos-des-gourmets
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ヶ谷1-44-2,35.66848,139.68994,パス／PATH,"フランス料理, 現代風料理",,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/path
中央区,銀座４丁目,-,東京都中央区銀座4-5-5,35.67186,139.76550,銀座 レカン／Ginza L’écrin,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ginza-l-ecrin
港区,南青山２丁目,-,東京都港区南青山2-27-16B1F,35.66854,139.71702,マルカ／malca,イタリア料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/malca
渋谷区,恵比寿西２丁目,-,東京都渋谷区恵比寿西2-7-1,35.65042,139.70727,タコスバー／TACOS BAR,メキシコ料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tacos-bar
港区,赤坂２丁目,赤坂,東京都港区赤坂2-17-592F,35.67071,139.73802,赤坂 渡なべ／Akasaka Watanabe,日本料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/akasaka-watanabe
中央区,新富２丁目,-,東京都中央区新富2-7-4,35.67086,139.77372,新富町 湯浅／Shintomicho Yuasa,中国料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/shintomicho-yuasa
港区,北青山３丁目,-,東京都港区北青山3-4-3ののあおやま2F,35.66765,139.71309,ホテルズ／Hotel's,現代風料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/hotel-s
港区,元麻布３丁目,-,東京都港区元麻布3-12-42F,35.65605,139.73258,焼鳥 ひなた／Yakitori Hinata,焼鳥,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yakitori-hinata
港区,南青山６丁目,-,東京都港区南青山6-15-4B1F,35.65949,139.71426,ネモ／NéMo,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nemo
港区,東麻布３丁目,-,東京都港区東麻布3-7-5,35.65622,139.73846,中国飯店 富麗華／Chugoku Hanten Fureika,中国料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/chugoku-hanten-fureika
中央区,銀座２丁目,-,東京都中央区銀座2-7-129F,35.67286,139.76713,ブルガリ イル・リストランテ ルカ・ファンティン／BVLGARI IL RISTORANTE LUCA FANTIN,イタリア料理,,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/bvlgari-il-ristorante-luca-fantin
新宿区,袋町,-,東京都新宿区袋町3-43F,35.70118,139.73866,一凛／Ichirin,日本料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ichirin
港区,南青山２丁目,-,東京都港区南青山2-27-18パサージュ青山2F,35.66907,139.71658,リストランテ アクアパッツァ／Ristorante ACQUA PAZZA,イタリア料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ristorante-acqua-pazza
中央区,銀座６丁目,-,東京都中央区銀座6-7-15B1F,35.67061,139.76257,つるとかめ／Tsurutokame,日本料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tsurutokame
江東区,白河１丁目,-,東京都江東区白河1-3-6,35.68154,139.79940,エマン／eman,スペイン料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/eman
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-10-112F,35.68098,139.77454,焼鳥 髙はし／Yakitori Takahashi,焼鳥,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yakitori-takahashi
新宿区,荒木町,-,東京都新宿区荒木町9-15,35.69005,139.72219,御料理 ほりうち／Oryori Horiuchi,日本料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/oryori-horiuchi
渋谷区,恵比寿１丁目,-,東京都渋谷区恵比寿1-23-103F,35.64611,139.71593,御料理 一穂／Oryori Ichiho,日本料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/oryori-ichiho
渋谷区,恵比寿南１丁目,-,東京都渋谷区恵比寿南1-17-174F,35.64481,139.71047,匠 鮨 おわな／Takumi Sushi Owana,寿司,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/takumi-sushi-owana
新宿区,神楽坂４丁目,-,東京都新宿区神楽坂4-22F,35.70207,139.73973,初志／Uisane,日本料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/uisane
千代田区,六番町,-,東京都千代田区六番町4-3,35.68917,139.73532,ティン ガナ／Tinc gana,"スペイン料理, 現代風料理",,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tinc-gana
中央区,銀座１丁目,-,東京都中央区銀座1-3-3,35.67539,139.76634,エシカ／ETHICA,メキシコ料理,,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ethica
新宿区,神楽坂２丁目,-,東京都新宿区神楽坂2-22,35.70048,139.74106,一宇／Ichiu,日本料理,,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ichiu
