指標名,スタートアップ企業,,,,,,,,,,,,
出典,IINITIAL,,,,,,,,,,,,
年次,2024/02/06取得,,,,,,,,,,,,
URL,https://initial.inc/companies,,,,,,,,,,,,
備考,(2021年度：8785件、2022年度：-件、2023年度：11361件),,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,会社名,代表者,従業員数,総調達額,URL,設立,タイプ,業種
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1 愛宕グリーンヒルズMORIタワー,35.6621409,139.7488929,バリオセキュア株式会社,坂巻　千弘,30,,http://www.variosecure.net/,2001/6/21,IPO / Exit企業,コンピューター - ITサービス
港区,愛宕２丁目,虎ノ門,東京都港区愛宕二丁目5-1 愛宕グリーンヒルズMORI タワー,35.6621409,139.7488929,イヴレス株式会社,山川　景子,,,https://ivresse.jp/,1990/5/8,IPO / Exit企業,
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1 愛宕グリーンヒルズMORIタワー41F,35.6621409,139.7488929,株式会社ソフトニック,エルビン・ズート,10,,http://www.softonic.jp/,2009/11/1,未公開企業,コンピューター - ソフトウェア
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1 愛宕グリーンヒルズMORIタワー34F,35.6621409,139.7488929,VANDDD株式会社,阿部　諒馬,5,"243,250",https://vanddd.com/,2018/3/16,未公開企業,コンピューター - ソフトウェア
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1 愛宕グリーンヒルズMORIタワー41F,35.6621409,139.7488929,株式会社ソフトニック,エルビン・ズート,10,,http://www.softonic.jp/,2009/11/1,未公開企業,コンピューター - ソフトウェア
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1 愛宕グリーンヒルズMORIタワー34F,35.6621409,139.7488929,株式会社エンバーク,野田　臣吾,,"6,000",http://livy.jp/,2012/7/1,未公開企業,消費者向けサービス・販売
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1 愛宕グリーンヒルズMORIタワー34F,35.6621409,139.7488929,株式会社エンバーク,野田　臣吾,,"6,000",http://livy.jp/,2012/7/1,未公開企業,消費者向けサービス・販売
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1 愛宕グリーンヒルズMORIタワー34F,35.6621409,139.7488929,UHS株式会社,藤井　邦啓,0,"50,000",https://uhs.company,2021/2/5,未公開企業,コンピューター - ITサービス
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1 愛宕グリーンヒルズMORIタワー34F,35.6621409,139.7488929,株式会社エンバーク,野田　臣吾,,"6,000",http://livy.jp/,2012/7/1,未公開企業,消費者向けサービス・販売
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1 愛宕グリーンヒルズMORIタワー34F,35.6621409,139.7488929,UHS株式会社,藤井　邦啓,0,"50,000",https://uhs.company,2021/2/5,未公開企業,コンピューター - ITサービス
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1 愛宕グリーンヒルズMORIタワー34F,35.6621409,139.7488929,VANDDD株式会社,阿部　諒馬,5,"243,250",https://vanddd.com/,2018/3/16,未公開企業,コンピューター - ソフトウェア
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1 愛宕グリーンヒルズMORIタワー34階,35.6621409,139.7488929,Priv Tech株式会社,中道　大輔,10,"225,500",https://privtech.co.jp/,2020/3/2,未公開企業,コンピューター - ITサービス
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1 愛宕グリーンヒルズMORIタワー24F,35.6621409,139.7488929,シェアード・モビリティ・ネットワークス株式会社,畑　翼,6,"903,000",https://www.sharedmobilitynetworks.com/,2019/7/1,未公開企業,消費者向けサービス・販売
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1 愛宕グリーンヒルズMORIタワー35階,35.6621409,139.7488929,株式会社X Capital,野原　秀介,67,"243,286",https://xcap.co.jp/,2018/3/30,未公開企業,ビジネスサービス
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2-5-1 愛宕グリーンヒルズMORIタワー34F,35.6621409,139.7488929,AIVy株式会社,村上　卓斗,,"51,000",https://aivy.tokyo/,2023/4/20,未公開企業,コンピューター - ソフトウェア
千代田区,一ツ橋１丁目,-,東京都千代田区一ツ橋1-1-1,35.6909195,139.7574614,株式会社パソナ,上田　宗央,"1,111",,http://www.pasona.co.jp/,1989/9/27,IPO / Exit企業,ビジネスサービス
